TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0048731	system development	3.85630151826044e-10	-21.6761423616796	3545	80	0.365296803652968	219	18905	79192,26280,5175,170302,25925,1272,91137,3973,2173,57110,5080,222894,11096,81792,51741,10690,26281,7763,130399,6444,6092,5803,6445,9353,9211,2259,10451,282996,2650,3642,166378,5087,2202,265,26047,10512,590,1131,2263,5789,4133,221981,1003,7345,1826,2042,6262,4897,92,8323,2596,23284,7048,10842,54360,92737,2201,5101,4857,3084,339479,1833,23544,1946,57698,9678,79633,127933,2043,23414,256987,164781,4915,2250,140767,8633,7291,7227,4009,89795	IRX1,IL1RAPL2,PECAM1,ARX,ZNF521,CNTN1,SLC25A46,LHCGR,FABP7,PLAAT1,PAX6,FERD3L,ADAMTS5,ADAMTS12,WWOX,FUT9,FGF20,ZFAND5,ACVR1C,SGCD,ROBO2,PTPRZ1,SGCG,SLIT2,LGI1,FGF14,VAV3,RBM20,GCNT1,INSM1,AFG2A,PBX1,EFEMP1,AMELX,CNTNAP2,SEMA3C,BCHE,CHRM3,FGFR2,PTPRD,MAP2,THSD7A,CDH5,UCHL1,DSCAM,EPHA3,RYR2,NRCAM,ACVR2A,FZD6,GAP43,ADGRL3,TGFBR2,PPP1R17,CYTL1,DNER,FBN2,PCDH9,NOVA1,NRG1,BRINP3,EPYC,SEZ6L,EFNA5,SHTN1,PHF14,FAT4,UHMK1,EPHA4,ZFPM2,SERINC5,DAW1,NTRK2,FGF5,NRSN1,UNC5C,TWIST1,TRPS1,LMX1A,NAV3
GO:0007275	multicellular organism development	1.17594898871233e-09	-20.5611903653561	3972	85	0.388127853881279	219	18905	1946,57698,9678,55788,1833,23544,164781,4915,79633,127933,23414,2043,256987,8633,7291,121227,2250,140767,89795,4009,7227,23284,92,8323,2596,54360,7048,10842,4857,92737,2201,5101,10742,339479,3084,10451,2650,282996,3642,2202,166378,5087,9353,9211,2259,26047,10512,590,1131,2263,265,4133,221981,1003,5789,4897,1826,2042,7345,6262,91137,3973,26280,79192,5175,25925,170302,1272,9508,222894,5080,2173,57110,11096,81792,23671,6445,6092,5803,51741,26281,10690,7763,6444,130399	EFNA5,SHTN1,PHF14,LMBRD1,EPYC,SEZ6L,DAW1,NTRK2,FAT4,UHMK1,ZFPM2,EPHA4,SERINC5,UNC5C,TWIST1,LRIG3,FGF5,NRSN1,NAV3,LMX1A,TRPS1,ADGRL3,ACVR2A,FZD6,GAP43,CYTL1,TGFBR2,PPP1R17,NOVA1,DNER,FBN2,PCDH9,RAI2,BRINP3,NRG1,VAV3,GCNT1,RBM20,INSM1,EFEMP1,AFG2A,PBX1,SLIT2,LGI1,FGF14,CNTNAP2,SEMA3C,BCHE,CHRM3,FGFR2,AMELX,MAP2,THSD7A,CDH5,PTPRD,NRCAM,DSCAM,EPHA3,UCHL1,RYR2,SLC25A46,LHCGR,IL1RAPL2,IRX1,PECAM1,ZNF521,ARX,CNTN1,ADAMTS3,FERD3L,PAX6,FABP7,PLAAT1,ADAMTS5,ADAMTS12,TMEFF2,SGCG,ROBO2,PTPRZ1,WWOX,FGF20,FUT9,ZFAND5,SGCD,ACVR1C
GO:0048856	anatomical structure development	8.87219500497786e-09	-18.5403436073182	5236	100	0.45662100456621	219	18905	5341,7227,121227,7291,8633,10563,2250,83893,4915,23414,79633,55788,57698,1833,4857,84466,3174,5101,92737,54360,7048,92,1826,51205,2042,221981,4133,5789,2263,1131,23254,166378,5087,3642,2650,9353,5803,6092,130399,6444,10690,26281,151354,81792,11096,5080,222894,9508,57110,3973,10404,1272,25925,79192,57181,89795,4009,140767,164781,7402,256987,2043,127933,9678,1946,23544,54829,339479,10742,3084,2201,10842,23284,2596,8323,4897,6262,7345,1003,9043,590,10512,26047,265,2202,282996,10451,2259,9211,6445,7763,51741,6760,135935,23671,2173,91137,170302,5175,26280	PLEK,TRPS1,LRIG3,TWIST1,UNC5C,CXCL13,FGF5,SPATA16,NTRK2,ZFPM2,FAT4,LMBRD1,SHTN1,EPYC,NOVA1,MEGF10,HNF4G,PCDH9,DNER,CYTL1,TGFBR2,ACVR2A,DSCAM,ACP6,EPHA3,THSD7A,MAP2,PTPRD,FGFR2,CHRM3,KAZN,AFG2A,PBX1,INSM1,GCNT1,SLIT2,PTPRZ1,ROBO2,ACVR1C,SGCD,FUT9,FGF20,LRATD1,ADAMTS12,ADAMTS5,PAX6,FERD3L,ADAMTS3,PLAAT1,LHCGR,CPQ,CNTN1,ZNF521,IRX1,SLC39A10,NAV3,LMX1A,NRSN1,DAW1,UTRN,SERINC5,EPHA4,UHMK1,PHF14,EFNA5,SEZ6L,ASPN,BRINP3,RAI2,NRG1,FBN2,PPP1R17,ADGRL3,GAP43,FZD6,NRCAM,RYR2,UCHL1,CDH5,SPAG9,BCHE,SEMA3C,CNTNAP2,AMELX,EFEMP1,RBM20,VAV3,FGF14,LGI1,SGCG,ZFAND5,WWOX,SS18,NOBOX,TMEFF2,FABP7,SLC25A46,ARX,PECAM1,IL1RAPL2
GO:0007409	axonogenesis	1.05929740075574e-08	-18.3630748850727	366	20	0.091324200913242	219	18905	7345,1826,2042,4009,4897,6092,5803,8633,2043,2263,5080,10512,170302,1272,2596,9353,9211,91137,57698,1946	UCHL1,DSCAM,EPHA3,LMX1A,NRCAM,ROBO2,PTPRZ1,UNC5C,EPHA4,FGFR2,PAX6,SEMA3C,ARX,CNTN1,GAP43,SLIT2,LGI1,SLC25A46,SHTN1,EFNA5
GO:0007399	nervous system development	1.85153510643673e-08	-17.8046656616822	2193	55	0.251141552511416	219	18905	10842,7048,8323,2596,23284,3084,339479,92737,5101,4857,127933,79633,256987,2043,4915,23544,1946,57698,4009,89795,2250,140767,7291,8633,2173,5080,222894,79192,26280,1272,170302,25925,91137,130399,10690,26281,6092,5803,590,10512,26047,2263,1131,9353,9211,2259,166378,5087,3642,1826,2042,7345,4897,5789,4133	PPP1R17,TGFBR2,FZD6,GAP43,ADGRL3,NRG1,BRINP3,DNER,PCDH9,NOVA1,UHMK1,FAT4,SERINC5,EPHA4,NTRK2,SEZ6L,EFNA5,SHTN1,LMX1A,NAV3,FGF5,NRSN1,TWIST1,UNC5C,FABP7,PAX6,FERD3L,IRX1,IL1RAPL2,CNTN1,ARX,ZNF521,SLC25A46,ACVR1C,FUT9,FGF20,ROBO2,PTPRZ1,BCHE,SEMA3C,CNTNAP2,FGFR2,CHRM3,SLIT2,LGI1,FGF14,AFG2A,PBX1,INSM1,DSCAM,EPHA3,UCHL1,NRCAM,PTPRD,MAP2
GO:0048667	cell morphogenesis involved in neuron differentiation	5.23632681447286e-08	-16.7650604810319	443	21	0.0958904109589041	219	18905	2043,10512,2263,5080,9353,9211,2596,170302,1272,1946,91137,57698,4009,2042,7345,1826,5803,6092,4897,4133,8633	EPHA4,SEMA3C,FGFR2,PAX6,SLIT2,LGI1,GAP43,ARX,CNTN1,EFNA5,SLC25A46,SHTN1,LMX1A,EPHA3,UCHL1,DSCAM,PTPRZ1,ROBO2,NRCAM,MAP2,UNC5C
GO:0048812	neuron projection morphogenesis	5.59332504130606e-08	-16.6991068140665	486	22	0.100456621004566	219	18905	2043,2263,5080,10512,26047,1272,170302,2596,9353,9211,91137,57698,1946,1826,7345,2042,4009,4897,6092,5803,4133,8633	EPHA4,FGFR2,PAX6,SEMA3C,CNTNAP2,CNTN1,ARX,GAP43,SLIT2,LGI1,SLC25A46,SHTN1,EFNA5,DSCAM,UCHL1,EPHA3,LMX1A,NRCAM,ROBO2,PTPRZ1,MAP2,UNC5C
GO:0048699	generation of neurons	5.62246506788317e-08	-16.6939105520357	1159	36	0.164383561643836	219	18905	7345,2042,1826,4009,4897,5789,8633,4133,7291,2043,127933,2263,26047,10512,4915,590,9353,9211,57698,3642,5087,1946,10690,26281,339479,5803,6092,92737,5080,2596,1272,25925,170302,79192,91137,23284	UCHL1,EPHA3,DSCAM,LMX1A,NRCAM,PTPRD,UNC5C,MAP2,TWIST1,EPHA4,UHMK1,FGFR2,CNTNAP2,SEMA3C,NTRK2,BCHE,SLIT2,LGI1,SHTN1,INSM1,PBX1,EFNA5,FUT9,FGF20,BRINP3,PTPRZ1,ROBO2,DNER,PAX6,GAP43,CNTN1,ZNF521,ARX,IRX1,SLC25A46,ADGRL3
GO:0007411	axon guidance	5.65357373272167e-08	-16.6883928796841	224	15	0.0684931506849315	219	18905	2043,5080,10512,2596,1272,170302,9211,9353,1946,2042,1826,4009,4897,6092,8633	EPHA4,PAX6,SEMA3C,GAP43,CNTN1,ARX,LGI1,SLIT2,EFNA5,EPHA3,DSCAM,LMX1A,NRCAM,ROBO2,UNC5C
GO:0097485	neuron projection guidance	5.65357373272167e-08	-16.6883928796841	224	15	0.0684931506849315	219	18905	8633,4897,6092,2042,1826,4009,1946,2596,170302,1272,9211,9353,5080,10512,2043	UNC5C,NRCAM,ROBO2,EPHA3,DSCAM,LMX1A,EFNA5,GAP43,ARX,CNTN1,LGI1,SLIT2,PAX6,SEMA3C,EPHA4
