TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0030424	axon	4.15870282276229e-05	-10.0877222607748	650	20	0.0904977375565611	221	19868	5101,4133,8633,2059,6857,9211,1272,4915,2596,127933,4897,7345,1826,26047,6092,8492,23284,2043,57698,140767	PCDH9,MAP2,UNC5C,EPS8,SYT1,LGI1,CNTN1,NTRK2,GAP43,UHMK1,NRCAM,UCHL1,DSCAM,CNTNAP2,ROBO2,PRSS12,ADGRL3,EPHA4,SHTN1,NRSN1
GO:0098858	actin-based cell projection	5.39263109883119e-05	-9.82789205465751	229	11	0.0497737556561086	221	19868	2059,8633,23428,4133,6555,10788,2043,57698,51741,2596,7402	EPS8,UNC5C,SLC7A8,MAP2,SLC10A2,IQGAP2,EPHA4,SHTN1,WWOX,GAP43,UTRN
GO:0030426	growth cone	9.89629942389513e-05	-9.22076457327481	165	9	0.0407239819004525	221	19868	1826,5101,4133,8633,2059,57698,2043,140767,2596	DSCAM,PCDH9,MAP2,UNC5C,EPS8,SHTN1,EPHA4,NRSN1,GAP43
GO:0030427	site of polarized growth	0.000124250826098042	-8.99320824433324	170	9	0.0407239819004525	221	19868	1826,5101,4133,8633,2059,2043,57698,140767,2596	DSCAM,PCDH9,MAP2,UNC5C,EPS8,EPHA4,SHTN1,NRSN1,GAP43
GO:0030175	filopodium	0.000183799481001259	-8.60166517176126	106	7	0.0316742081447964	221	19868	10788,57698,2043,2596,7402,8633,4133	IQGAP2,SHTN1,EPHA4,GAP43,UTRN,UNC5C,MAP2
GO:0150034	distal axon	0.000253604805403183	-8.27973338683001	273	11	0.0497737556561086	221	19868	57698,2043,140767,2596,4915,8492,1826,4133,8633,2059,5101	SHTN1,EPHA4,NRSN1,GAP43,NTRK2,PRSS12,DSCAM,MAP2,UNC5C,EPS8,PCDH9
GO:0044307	dendritic branch	0.000366814289526078	-7.9106548610723	3	2	0.00904977375565611	221	19868	4133,10142	MAP2,AKAP9
GO:0043005	neuron projection	0.000418911356405995	-7.77785122031431	1335	29	0.131221719457014	221	19868	6092,339479,92737,4915,8633,2059,6857,5101,57698,2043,2834,140767,22895,23284,26047,8492,1826,7345,4897,2042,9628,127933,10142,2596,1070,1272,9211,4133,1131	ROBO2,BRINP3,DNER,NTRK2,UNC5C,EPS8,SYT1,PCDH9,SHTN1,EPHA4,PRLHR,NRSN1,RPH3A,ADGRL3,CNTNAP2,PRSS12,DSCAM,UCHL1,NRCAM,EPHA3,RGS6,UHMK1,AKAP9,GAP43,CETN3,CNTN1,LGI1,MAP2,CHRM3
GO:0071944	cell periphery	0.00048745405926947	-7.62631450936295	6404	95	0.429864253393665	221	19868	137902,9628,2042,11096,265,5796,23239,23284,100130733,22895,6445,7048,80731,22979,5413,23167,5101,92737,9508,10451,1946,6444,57709,10446,51305,23428,5803,2202,590,10142,1003,2201,7345,4897,1131,10085,7402,1833,10863,2263,121227,3084,8492,64762,26047,57181,6857,2059,26280,10788,84466,10225,5581,2596,144125,221981,1272,116135,129401,2834,23254,8573,4589,6555,8633,8935,10512,55788,3973,10888,6092,5341,119774,23002,145581,2043,79633,10666,5789,5175,153020,130399,1826,81792,7006,83698,26960,6262,4915,51741,23352,256987,54829,8323,92	PXDNL,RGS6,EPHA3,ADAMTS5,AMELX,PTPRK,PHLPP1,ADGRL3,LRRC70,RPH3A,SGCG,TGFBR2,THSD7B,EFR3B,SEPTIN5,EFR3A,PCDH9,DNER,ADAMTS3,VAV3,EFNA5,SGCD,SLC7A14,LRRN2,KCNK9,SLC7A8,PTPRZ1,EFEMP1,BCHE,AKAP9,CDH5,FBN2,UCHL1,NRCAM,CHRM3,EDIL3,UTRN,EPYC,ADAM28,FGFR2,LRIG3,NRG1,PRSS12,GAREM1,CNTNAP2,SLC39A10,SYT1,EPS8,IL1RAPL2,IQGAP2,MEGF10,CD96,PRKCE,GAP43,OR2AG1,THSD7A,CNTN1,LRRC3B,NUP35,PRLHR,KAZN,CASK,MUC7,SLC10A2,UNC5C,SKAP2,SEMA3C,LMBRD1,LHCGR,GPR83,ROBO2,PLEK,OR52K2,DAAM1,LRFN5,EPHA4,FAT4,CD226,PTPRD,PECAM1,RASGEF1B,ACVR1C,DSCAM,ADAMTS12,TEC,CALN1,NBEA,RYR2,NTRK2,WWOX,UBR4,SERINC5,ASPN,FZD6,ACVR2A
GO:0031012	extracellular matrix	0.000569157199560919	-7.47135388860088	561	16	0.0723981900452489	221	19868	10446,1833,54829,5803,8573,121227,2263,2202,81792,1946,265,10085,116135,9508,11096,2201	LRRN2,EPYC,ASPN,PTPRZ1,CASK,LRIG3,FGFR2,EFEMP1,ADAMTS12,EFNA5,AMELX,EDIL3,LRRC3B,ADAMTS3,ADAMTS5,FBN2
GO:0030312	external encapsulating structure	0.000580143998421136	-7.45223421209859	562	16	0.0723981900452489	221	19868	1946,1833,54829,10446,8573,5803,2263,121227,81792,2202,2201,11096,10085,265,116135,9508	EFNA5,EPYC,ASPN,LRRN2,CASK,PTPRZ1,FGFR2,LRIG3,ADAMTS12,EFEMP1,FBN2,ADAMTS5,EDIL3,AMELX,LRRC3B,ADAMTS3
GO:0042995	cell projection	0.00058019646094744	-7.45214378600698	2406	44	0.199095022624434	221	19868	4915,6857,2059,54829,84466,10788,51741,728597,23002,1131,127933,4897,7345,10142,5341,1826,26047,8492,57698,2043,7402,89846,92737,5101,6555,8633,6092,10888,339479,23428,1070,1272,9211,164781,221981,4133,2042,9628,2596,8573,2834,140767,23284,22895	NTRK2,SYT1,EPS8,ASPN,MEGF10,IQGAP2,WWOX,DCDC2C,DAAM1,CHRM3,UHMK1,NRCAM,UCHL1,AKAP9,PLEK,DSCAM,CNTNAP2,PRSS12,SHTN1,EPHA4,UTRN,FGD3,DNER,PCDH9,SLC10A2,UNC5C,ROBO2,GPR83,BRINP3,SLC7A8,CETN3,CNTN1,LGI1,DAW1,THSD7A,MAP2,EPHA3,RGS6,GAP43,CASK,PRLHR,NRSN1,ADGRL3,RPH3A
GO:0044304	main axon	0.000960213606335302	-6.94835479165404	68	5	0.0226244343891403	221	19868	4897,26047,6092,9211,4133	NRCAM,CNTNAP2,ROBO2,LGI1,MAP2
GO:0016010	dystrophin-associated glycoprotein complex	0.000979285271525757	-6.92868756714869	18	3	0.0135746606334842	221	19868	6444,7402,6445	SGCD,UTRN,SGCG
GO:0036477	somatodendritic compartment	0.00123485324886588	-6.69680314279191	844	20	0.0904977375565611	221	19868	22895,57698,2043,140767,23544,339479,26047,8492,1826,10142,2596,2042,7345,127933,4133,8633,1131,92737,4915,9211	RPH3A,SHTN1,EPHA4,NRSN1,SEZ6L,BRINP3,CNTNAP2,PRSS12,DSCAM,AKAP9,GAP43,EPHA3,UCHL1,UHMK1,MAP2,UNC5C,CHRM3,DNER,NTRK2,LGI1
GO:0120025	plasma membrane bounded cell projection	0.0014262143982038	-6.55273161891984	2293	41	0.18552036199095	221	19868	5341,10142,2596,2042,7345,4897,9628,127933,4133,1131,164781,23002,1070,728597,9211,1272,89846,22895,23284,7402,2834,2043,57698,140767,8573,26047,8492,1826,2059,6857,8633,5101,6555,92737,4915,51741,10788,23428,10888,339479,6092	PLEK,AKAP9,GAP43,EPHA3,UCHL1,NRCAM,RGS6,UHMK1,MAP2,CHRM3,DAW1,DAAM1,CETN3,DCDC2C,LGI1,CNTN1,FGD3,RPH3A,ADGRL3,UTRN,PRLHR,EPHA4,SHTN1,NRSN1,CASK,CNTNAP2,PRSS12,DSCAM,EPS8,SYT1,UNC5C,PCDH9,SLC10A2,DNER,NTRK2,WWOX,IQGAP2,SLC7A8,GPR83,BRINP3,ROBO2
GO:0043194	axon initial segment	0.00155737465554763	-6.46475378852024	21	3	0.0135746606334842	221	19868	4897,9211,4133	NRCAM,LGI1,MAP2
