TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr20p11.23	human chr20p11.23	7.22917066337899e-07	-14.1399713290602	78	5	0.0123762376237624	404	193383	101929591,3642,100128496,100130264,7692	KIZ-AS1,INSM1,SCP2D1-AS1,SLC24A3-AS1,ZNF133
human chr4q28.1	human chr4q28.1	3.39541093087337e-06	-12.5930857642568	48	4	0.0099009900990099	404	193383	101927087,100302267,166378,79633	LINC02516,MIR2054,AFG2A,FAT4
human chr4q21.21	human chr4q21.21	3.69112471888494e-06	-12.5095793444887	49	4	0.0099009900990099	404	193383	153020,118425,2250,152559	RASGEF1B,PCAT4,FGF5,PAQR3
human chr3q26.2	human chr3q26.2	7.79900723798504e-06	-11.7615141095506	59	4	0.0099009900990099	404	193383	57709,693136,693154,101928583	SLC7A14,MIR551B,MIR569,SLC7A14-AS1
human chr7q21.11	human chr7q21.11	1.37495715734465e-05	-11.1945028926319	68	4	0.0099009900990099	404	193383	101927378,10512,105375380,100874021	LINC03017,SEMA3C,LINC00972,MAGI2-AS2
human chr2q36.3	human chr2q36.3	1.37495715734465e-05	-11.1945028926319	68	4	0.0099009900990099	404	193383	164781,92737,646736,80309	DAW1,DNER,LOC646736,SPHKAP
human chr8q21.3	human chr8q21.3	1.82254894175914e-05	-10.9126894262413	73	4	0.0099009900990099	404	193383	862,101929709,85481,100127983	RUNX1T1,PARAIL,PSKH2,C8orf88
human chr5q23.2	human chr5q23.2	2.36890765545722e-05	-10.6504965209429	78	4	0.0099009900990099	404	193383	115123,84466,103724389,101927460	MARCHF3,MEGF10,LINC01170,LINC02240
human chr4q21.23	human chr4q21.23	3.89486960357805e-05	-10.1532652641083	31	3	0.00742574257425743	404	193383	404201,100616349,27235	WDFY3-AS2,MIR4451,COQ2
human chr4p15.33	human chr4p15.33	7.82116375131675e-05	-9.45609210418127	39	3	0.00742574257425743	404	193383	101929071,152742,201853	LINC01182,LINC01085,LINC00504
human chr4p13	human chr4p13	0.00012850835131643	-8.95951666495147	46	3	0.00742574257425743	404	193383	7345,101927074,152573	UCHL1,LINC00682,SHISA3
human chr14q31.1	human chr14q31.1	0.00012850835131643	-8.95951666495147	46	3	0.00742574257425743	404	193383	100628307,102724294,101928599	DIO2-AS1,LINC02311,LINC02301
human chr4q13.1	human chr4q13.1	0.000155247503056742	-8.77048992065045	49	3	0.00742574257425743	404	193383	105377671,100616450,23284	LINC02494,MIR548AG1,ADGRL3
human chr4q28.3	human chr4q28.3	0.000343017699453455	-7.97772851022455	64	3	0.00742574257425743	404	193383	100874047,105377443,105377441	LINC00499,LINC02172,LINC02511
human chr1q23.3	human chr1q23.3	0.000399936936714095	-7.82420368150042	162	4	0.0099009900990099	404	193383	5087,127814295,127933,4009	PBX1,LOC127814295,UHMK1,LMX1A
human chr9q22.31	human chr9q22.31	0.000504980245024008	-7.59099124821841	73	3	0.00742574257425743	404	193383	54829,89846,100847045	ASPN,FGD3,MIR548AU
human chr7q31.1	human chr7q31.1	0.000504980245024008	-7.59099124821841	73	3	0.00742574257425743	404	193383	4897,154907,442720	NRCAM,LINC02903,EIF3IP1
human chr4p15.31	human chr4p15.31	0.000727148572435606	-7.22637973757482	19	2	0.00495049504950495	404	193383	9353,100505893	SLIT2,SLIT2-IT1
human chr4q22.3	human chr4q22.3	0.00080682639390256	-7.12240203811272	20	2	0.00495049504950495	404	193383	8633,101410545	UNC5C,STPG2-AS1
human chr5q22.1	human chr5q22.1	0.00116555939504268	-6.75455413978935	24	2	0.00495049504950495	404	193383	114915,91137	EPB41L4A-AS1,SLC25A46
human chr4q26	human chr4q26	0.00122339265704948	-6.7061274132586	99	3	0.00742574257425743	404	193383	100302290,693162,8492	MIR1973,MIR577,PRSS12
human chr5q14.3	human chr5q14.3	0.00122339265704948	-6.7061274132586	99	3	0.00742574257425743	404	193383	645323,10085,1070	MIR9-2HG,EDIL3,CETN3
human chr13q22.1	human chr13q22.1	0.00136870142908219	-6.59389285063115	26	2	0.00495049504950495	404	193383	100874155,11278	LINC00392,KLF12
human chr9p24.2	human chr9p24.2	0.00136870142908219	-6.59389285063115	26	2	0.00495049504950495	404	193383	84850,9933	GLIS3-AS1,PUM3
human chr1q43	human chr1q43	0.0015291809743949	-6.48302299776081	107	3	0.00742574257425743	404	193383	339535,1131,6262	LINC01139,CHRM3,RYR2
human chr5p14.1	human chr5p14.1	0.00158751414631961	-6.44558591616966	28	2	0.00495049504950495	404	193383	105374698,643401	LINC02103,PURPL
human chr4q13.3	human chr4q13.3	0.00169842872952235	-6.37805173207867	111	3	0.00742574257425743	404	193383	4589,173,9508	MUC7,AFM,ADAMTS3
human chr7q21.2	human chr7q21.2	0.00170275519697157	-6.37550763574264	29	2	0.00495049504950495	404	193383	10142,7978	AKAP9,MTERF1
human chr8p12	human chr8p12	0.00178725961601565	-6.32707177299012	113	3	0.00742574257425743	404	193383	100507341,7486,3084	SMIM18,WRN,NRG1
human chr8q22.3	human chr8q22.3	0.001878938847539	-6.27704810429649	115	3	0.00742574257425743	404	193383	8323,693127,105375690	FZD6,MIR548A3,LOC105375690
human chr8q21.13	human chr8q21.13	0.00202186831124297	-6.20373328847561	118	3	0.00742574257425743	404	193383	101927141,51050,3174	LOC101927141,PI15,HNF4G
human chr18q11.2	human chr18q11.2	0.00207097001403997	-6.17973817564987	119	3	0.00742574257425743	404	193383	25925,105372030,6760	ZNF521,LINC01894,SS18
human chr22q13.2|22q13.3	human chr22q13.2|22q13.3	0.00208911848605666	-6.17101307898474	1	1	0.00247524752475248	404	193383	6942	TCF20
