TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	7.33953703380391e-21	-46.3610111866514	2125	75	0.390625	192	16984	590,9508,1519,84466,26280,7486,23352,4009,130399,23254,1946,10085,1833,92737,2762,26960,8573,23671,55137,6857,6444,344148,267012,8715,8935,1826,51305,9353,26047,1272,254827,4857,5581,23239,119587,4133,51050,80731,2259,83734,114793,2201,25925,11278,64784,28998,10512,23428,26297,114825,2059,8633,5789,3084,6262,6092,6445,83893,11096,10451,221981,131368,5101,4915,10225,29091,10788,2596,81792,2042,23414,7402,5080,92,282996	BCHE,ADAMTS3,CTSO,MEGF10,IL1RAPL2,WRN,UBR4,LMX1A,ACVR1C,KAZN,EFNA5,EDIL3,EPYC,DNER,GMDS,NBEA,CASK,TMEFF2,FIGN,SYT1,SGCD,NCKAP5,DAOA,NOL4,SKAP2,DSCAM,KCNK9,SLIT2,CNTNAP2,CNTN1,NAALADL2,NOVA1,PRKCE,PHLPP1,CPXM2,MAP2,PI15,THSD7B,FGF14,ATG10,FMNL2,FBN2,ZNF521,KLF12,CRTC3,MRPL13,SEMA3C,SLC7A8,SERGEF,PWWP2A,EPS8,UNC5C,PTPRD,NRG1,RYR2,ROBO2,SGCG,SPATA16,ADAMTS5,VAV3,THSD7A,ZPLD1,PCDH9,NTRK2,CD96,STXBP6,IQGAP2,GAP43,ADAMTS12,EPHA3,ZFPM2,UTRN,PAX6,ACVR2A,RBM20
Burkitt_lymphoma	Burkitt_lymphoma	7.33953703380391e-21	-46.3610111866514	2125	75	0.390625	192	16984	119587,4133,51050,5581,23239,4857,26047,1272,254827,1826,51305,9353,344148,8715,267012,8935,8573,26960,23671,55137,6857,6444,92737,2762,1833,1946,10085,23352,130399,23254,4009,7486,26280,84466,1519,590,9508,7402,5080,282996,92,2042,23414,10788,29091,2596,81792,4915,10225,221981,131368,5101,10451,83893,6445,11096,6262,6092,8633,5789,3084,26297,114825,2059,23428,64784,28998,10512,11278,114793,2201,25925,83734,80731,2259	CPXM2,MAP2,PI15,PRKCE,PHLPP1,NOVA1,CNTNAP2,CNTN1,NAALADL2,DSCAM,KCNK9,SLIT2,NCKAP5,NOL4,DAOA,SKAP2,CASK,NBEA,TMEFF2,FIGN,SYT1,SGCD,DNER,GMDS,EPYC,EFNA5,EDIL3,UBR4,ACVR1C,KAZN,LMX1A,WRN,IL1RAPL2,MEGF10,CTSO,BCHE,ADAMTS3,UTRN,PAX6,RBM20,ACVR2A,EPHA3,ZFPM2,IQGAP2,STXBP6,GAP43,ADAMTS12,NTRK2,CD96,THSD7A,ZPLD1,PCDH9,VAV3,SPATA16,SGCG,ADAMTS5,RYR2,ROBO2,UNC5C,PTPRD,NRG1,SERGEF,PWWP2A,EPS8,SLC7A8,CRTC3,MRPL13,SEMA3C,KLF12,FMNL2,FBN2,ZNF521,ATG10,THSD7B,FGF14
central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	5.05067379869879e-13	-28.3140845490508	7233	131	0.682291666666667	192	16984	282996,2042,170302,81792,10225,4915,3174,221981,5101,131368,313,6445,9678,11096,6092,1003,22895,6262,3084,5789,3973,10863,83698,10512,64784,23002,28998,11278,25925,5796,114793,23167,89795,83734,55788,2259,80731,51050,119587,79633,5581,26047,51305,1826,64328,267012,728597,8935,55024,23671,6444,2187,6857,8573,92737,2043,2762,80309,10085,130399,137902,10446,175,91137,221458,152559,84466,10563,60468,6942,1519,23544,5080,92,7402,89846,23414,2596,153020,10659,29091,10788,5341,57181,10451,121227,83893,10526,173,5803,8633,10888,135152,26297,114825,10666,9628,7227,64798,2201,51741,4589,4133,23239,6760,4857,10142,1272,254827,221037,79668,9353,8715,22979,344148,55137,26281,1833,1946,2834,4009,23254,23352,6555,9211,2650,7486,26280,2263,590,9508	RBM20,EPHA3,ARX,ADAMTS12,CD96,NTRK2,HNF4G,THSD7A,PCDH9,ZPLD1,AOAH,SGCG,PHF14,ADAMTS5,ROBO2,CDH5,RPH3A,RYR2,NRG1,PTPRD,LHCGR,ADAM28,CALN1,SEMA3C,CRTC3,DAAM1,MRPL13,KLF12,ZNF521,PTPRK,FMNL2,EFR3A,NAV3,ATG10,LMBRD1,FGF14,THSD7B,PI15,CPXM2,FAT4,PRKCE,CNTNAP2,KCNK9,DSCAM,XPO4,DAOA,DCDC2C,SKAP2,BANK1,TMEFF2,SGCD,FANCB,SYT1,CASK,DNER,EPHA4,GMDS,SPHKAP,EDIL3,ACVR1C,PXDNL,LRRN2,AGA,SLC25A46,KIF6,PAQR3,MEGF10,CXCL13,BACH2,TCF20,CTSO,SEZ6L,PAX6,ACVR2A,UTRN,FGD3,ZFPM2,GAP43,RASGEF1B,CELF2,STXBP6,IQGAP2,PLEK,SLC39A10,VAV3,LRIG3,SPATA16,IPO8,AFM,PTPRZ1,UNC5C,GPR83,B3GAT2,SERGEF,PWWP2A,CD226,RGS6,TRPS1,DEPTOR,FBN2,WWOX,MUC7,MAP2,PHLPP1,SS18,NOVA1,AKAP9,CNTN1,NAALADL2,JMJD1C,PARP8,SLIT2,NOL4,EFR3B,NCKAP5,FIGN,FGF20,EPYC,EFNA5,PRLHR,LMX1A,KAZN,UBR4,SLC10A2,LGI1,GCNT1,WRN,IL1RAPL2,FGFR2,BCHE,ADAMTS3
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	1.12940190249588e-12	-27.5093329131543	3513	83	0.432291666666667	192	16984	173,11096,6445,83893,140767,6262,1003,10690,6092,5101,221981,5968,10451,121227,313,10788,81792,4915,3174,7402,127933,92,23414,2042,89846,23167,80731,2202,2201,114793,5796,25925,4897,10512,5789,8633,5803,3084,135152,26960,6857,2187,23671,55137,2762,2043,92737,219972,1826,1131,9353,344148,8935,8715,4857,26047,254827,119587,4133,7692,79633,23239,79192,1519,145581,9508,23544,11222,2263,60468,26280,84466,135935,23352,23254,137902,152559,221458,57600,80309,10742,10085,1946	AFM,ADAMTS5,SGCG,SPATA16,NRSN1,RYR2,CDH5,FUT9,ROBO2,PCDH9,THSD7A,REG1B,VAV3,LRIG3,AOAH,IQGAP2,ADAMTS12,NTRK2,HNF4G,UTRN,UHMK1,ACVR2A,ZFPM2,EPHA3,FGD3,EFR3A,THSD7B,EFEMP1,FBN2,FMNL2,PTPRK,ZNF521,NRCAM,SEMA3C,PTPRD,UNC5C,PTPRZ1,NRG1,B3GAT2,NBEA,SYT1,FANCB,TMEFF2,FIGN,GMDS,EPHA4,DNER,MPEG1,DSCAM,CHRM3,SLIT2,NCKAP5,SKAP2,NOL4,NOVA1,CNTNAP2,NAALADL2,CPXM2,MAP2,ZNF133,FAT4,PHLPP1,IRX1,CTSO,LRFN5,ADAMTS3,SEZ6L,MRPL3,FGFR2,BACH2,IL1RAPL2,MEGF10,NOBOX,UBR4,KAZN,PXDNL,PAQR3,KIF6,FNIP2,SPHKAP,RAI2,EDIL3,EFNA5
chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	1.12940190249588e-12	-27.5093329131543	3513	83	0.432291666666667	192	16984	23671,55137,2187,6857,26960,92737,219972,2043,2762,9353,1826,1131,8715,8935,344148,4857,254827,26047,4133,119587,79192,23239,79633,7692,1519,23544,9508,145581,11222,26280,84466,60468,2263,23254,137902,135935,23352,221458,152559,80309,57600,1946,10085,10742,140767,83893,6445,11096,173,6092,10690,1003,6262,221981,5101,313,10451,121227,5968,81792,10788,4915,3174,92,127933,7402,89846,2042,23414,23167,2202,80731,25925,5796,114793,2201,10512,4897,3084,5803,8633,5789,135152	TMEFF2,FIGN,FANCB,SYT1,NBEA,DNER,MPEG1,EPHA4,GMDS,SLIT2,DSCAM,CHRM3,NOL4,SKAP2,NCKAP5,NOVA1,NAALADL2,CNTNAP2,MAP2,CPXM2,IRX1,PHLPP1,FAT4,ZNF133,CTSO,SEZ6L,ADAMTS3,LRFN5,MRPL3,IL1RAPL2,MEGF10,BACH2,FGFR2,KAZN,PXDNL,NOBOX,UBR4,KIF6,PAQR3,SPHKAP,FNIP2,EFNA5,EDIL3,RAI2,NRSN1,SPATA16,SGCG,ADAMTS5,AFM,ROBO2,FUT9,CDH5,RYR2,THSD7A,PCDH9,AOAH,VAV3,LRIG3,REG1B,ADAMTS12,IQGAP2,NTRK2,HNF4G,ACVR2A,UHMK1,UTRN,FGD3,EPHA3,ZFPM2,EFR3A,EFEMP1,THSD7B,ZNF521,PTPRK,FMNL2,FBN2,SEMA3C,NRCAM,NRG1,PTPRZ1,UNC5C,PTPRD,B3GAT2
diffuse_large_B_cell_lymphoma	diffuse_large_B_cell_lymphoma	1.35628092642308e-12	-27.3262747749893	4162	92	0.479166666666667	192	16984	26047,79633,5581,119587,92737,219972,2762,2043,55024,23671,6444,6857,8573,64328,267012,8935,1826,1131,221458,10085,23544,1519,84466,10563,2250,10225,4915,81792,2042,170302,6092,22895,6262,25996,6445,11096,221981,131368,5101,10512,64784,23002,2059,3973,3084,5789,2259,80731,89795,83734,8323,25925,5796,114793,11278,10142,1272,254827,4857,23239,4133,26281,55137,8715,54829,344148,9353,9211,23254,4009,1946,1833,590,9508,26280,29091,89846,23414,7402,140767,83893,10451,121227,10666,26297,135152,8633,100130480,2202,64798,2201,7227	CNTNAP2,FAT4,PRKCE,CPXM2,DNER,MPEG1,GMDS,EPHA4,BANK1,TMEFF2,SGCD,SYT1,CASK,XPO4,DAOA,SKAP2,DSCAM,CHRM3,KIF6,EDIL3,SEZ6L,CTSO,MEGF10,CXCL13,FGF5,CD96,NTRK2,ADAMTS12,EPHA3,ARX,ROBO2,RPH3A,RYR2,REXO2,SGCG,ADAMTS5,THSD7A,ZPLD1,PCDH9,SEMA3C,CRTC3,DAAM1,EPS8,LHCGR,NRG1,PTPRD,FGF14,THSD7B,NAV3,ATG10,FZD6,ZNF521,PTPRK,FMNL2,KLF12,AKAP9,CNTN1,NAALADL2,NOVA1,PHLPP1,MAP2,FGF20,FIGN,NOL4,ASPN,NCKAP5,SLIT2,LGI1,KAZN,LMX1A,EFNA5,EPYC,BCHE,ADAMTS3,IL1RAPL2,STXBP6,FGD3,ZFPM2,UTRN,NRSN1,SPATA16,VAV3,LRIG3,CD226,SERGEF,B3GAT2,UNC5C,LINC01387,EFEMP1,DEPTOR,FBN2,TRPS1
central_nervous_system-brainstem-glioma-astrocytoma_Grade_IV	central_nervous_system-brainstem-glioma-astrocytoma_Grade_IV	1.45704676812647e-12	-27.2546094903106	2542	68	0.354166666666667	192	16984	10225,29091,10788,81792,23414,2042,7402,282996,6262,1003,6092,173,11096,83893,10451,57181,5101,221981,10512,10666,26297,3973,2059,8633,8492,7048,5803,3084,2259,80731,8323,23167,114793,5796,25925,11278,79668,26047,254827,5581,23239,51050,2043,2762,92737,8573,26960,6444,6857,23671,55137,55024,344148,8715,1826,9353,221458,23352,23254,4009,10085,1946,145581,9508,23544,51205,60468,26280	CD96,STXBP6,IQGAP2,ADAMTS12,ZFPM2,EPHA3,UTRN,RBM20,RYR2,CDH5,ROBO2,AFM,ADAMTS5,SPATA16,VAV3,SLC39A10,PCDH9,THSD7A,SEMA3C,CD226,SERGEF,LHCGR,EPS8,UNC5C,PRSS12,TGFBR2,PTPRZ1,NRG1,FGF14,THSD7B,FZD6,EFR3A,FMNL2,PTPRK,ZNF521,KLF12,PARP8,CNTNAP2,NAALADL2,PRKCE,PHLPP1,PI15,EPHA4,GMDS,DNER,CASK,NBEA,SGCD,SYT1,TMEFF2,FIGN,BANK1,NCKAP5,NOL4,DSCAM,SLIT2,KIF6,UBR4,KAZN,LMX1A,EDIL3,EFNA5,LRFN5,ADAMTS3,SEZ6L,ACP6,BACH2,IL1RAPL2
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm	1.57512728317944e-12	-27.1766850321992	7328	131	0.682291666666667	192	16984	26047,51050,119587,79192,79633,5581,55024,23671,6444,6857,2187,8573,26960,92737,2762,2043,27235,51305,1826,1131,64328,267012,728597,8935,137902,130399,91137,221458,80309,10085,57709,6942,1519,23544,145581,84466,10563,2250,81792,10225,4915,282996,2042,25996,9678,6445,11096,6092,22895,1003,6262,221981,131368,5101,313,83698,23428,10512,23002,64784,28998,3084,7048,8492,5789,2059,3973,10863,23167,89795,83734,8323,55788,2259,80731,11278,25925,114793,6760,4857,1272,10142,254827,221037,79668,4133,23239,55137,26281,9353,8715,22979,344148,4009,23254,9211,85481,1833,1946,56521,590,9508,100113404,7486,11222,26280,862,2596,29091,10788,5080,92,7402,23414,140767,83893,10526,5341,57181,121227,10451,10666,5803,8633,26297,135152,100130480,4589,2202,64798,2201	CNTNAP2,PI15,CPXM2,IRX1,FAT4,PRKCE,BANK1,TMEFF2,SGCD,SYT1,FANCB,CASK,NBEA,DNER,GMDS,EPHA4,COQ2,KCNK9,DSCAM,CHRM3,XPO4,DAOA,DCDC2C,SKAP2,PXDNL,ACVR1C,SLC25A46,KIF6,SPHKAP,EDIL3,SLC7A14,TCF20,CTSO,SEZ6L,LRFN5,MEGF10,CXCL13,FGF5,ADAMTS12,CD96,NTRK2,RBM20,EPHA3,REXO2,PHF14,SGCG,ADAMTS5,ROBO2,RPH3A,CDH5,RYR2,THSD7A,ZPLD1,PCDH9,AOAH,CALN1,SLC7A8,SEMA3C,DAAM1,CRTC3,MRPL13,NRG1,TGFBR2,PRSS12,PTPRD,EPS8,LHCGR,ADAM28,EFR3A,NAV3,ATG10,FZD6,LMBRD1,FGF14,THSD7B,KLF12,ZNF521,FMNL2,SS18,NOVA1,CNTN1,AKAP9,NAALADL2,JMJD1C,PARP8,MAP2,PHLPP1,FIGN,FGF20,SLIT2,NOL4,EFR3B,NCKAP5,LMX1A,KAZN,LGI1,PSKH2,EPYC,EFNA5,DNAJC12,BCHE,ADAMTS3,LINC00583,WRN,MRPL3,IL1RAPL2,RUNX1T1,GAP43,STXBP6,IQGAP2,PAX6,ACVR2A,UTRN,ZFPM2,NRSN1,SPATA16,IPO8,PLEK,SLC39A10,LRIG3,VAV3,CD226,PTPRZ1,UNC5C,SERGEF,B3GAT2,LINC01387,MUC7,EFEMP1,DEPTOR,FBN2
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	1.92319777665783e-12	-26.9770318066344	3616	84	0.4375	192	16984	100130480,2259,80731,2202,89795,8323,83734,25925,114793,2201,64798,11278,10512,23002,64784,10666,2059,3973,135152,26297,3084,8633,6092,6262,22895,140767,25996,11096,6445,83893,10451,121227,131368,5101,221981,10225,81792,29091,89846,170302,23414,2042,7402,9508,23544,590,1519,10563,84466,26280,2250,9211,4009,23254,10085,1946,1833,2762,2043,219972,92737,6444,6857,23671,55024,55137,8573,54829,8935,64328,267012,8715,344148,9353,1826,254827,10142,1272,26047,4857,79633,23239,5581,119587	LINC01387,FGF14,THSD7B,EFEMP1,NAV3,FZD6,ATG10,ZNF521,FMNL2,FBN2,DEPTOR,KLF12,SEMA3C,DAAM1,CRTC3,CD226,EPS8,LHCGR,B3GAT2,SERGEF,NRG1,UNC5C,ROBO2,RYR2,RPH3A,NRSN1,REXO2,ADAMTS5,SGCG,SPATA16,VAV3,LRIG3,ZPLD1,PCDH9,THSD7A,CD96,ADAMTS12,STXBP6,FGD3,ARX,ZFPM2,EPHA3,UTRN,ADAMTS3,SEZ6L,BCHE,CTSO,CXCL13,MEGF10,IL1RAPL2,FGF5,LGI1,LMX1A,KAZN,EDIL3,EFNA5,EPYC,GMDS,EPHA4,MPEG1,DNER,SGCD,SYT1,TMEFF2,BANK1,FIGN,CASK,ASPN,SKAP2,XPO4,DAOA,NOL4,NCKAP5,SLIT2,DSCAM,NAALADL2,AKAP9,CNTN1,CNTNAP2,NOVA1,FAT4,PHLPP1,PRKCE,CPXM2
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-mantle_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-mantle_cell_lymphoma	5.86212280704976e-12	-25.8625093241749	2746	70	0.364583333333333	192	16984	4857,1272,254827,221037,26047,4133,119587,23239,79633,7692,5581,23671,55137,6857,26960,92737,2762,9353,1826,267012,8715,344148,23254,2173,56521,1946,10085,6942,590,23544,9508,84466,26280,81792,29091,10788,4915,282996,7402,2042,23414,6445,11096,6092,3642,22895,6262,152573,221981,5341,5101,121227,10512,3084,8633,8492,10888,3973,89795,83734,55788,2202,80731,2259,7227,11278,25925,64798,2201,114793	NOVA1,CNTN1,NAALADL2,JMJD1C,CNTNAP2,MAP2,CPXM2,PHLPP1,FAT4,ZNF133,PRKCE,TMEFF2,FIGN,SYT1,NBEA,DNER,GMDS,SLIT2,DSCAM,DAOA,NOL4,NCKAP5,KAZN,FABP7,DNAJC12,EFNA5,EDIL3,TCF20,BCHE,SEZ6L,ADAMTS3,MEGF10,IL1RAPL2,ADAMTS12,STXBP6,IQGAP2,NTRK2,RBM20,UTRN,EPHA3,ZFPM2,SGCG,ADAMTS5,ROBO2,INSM1,RPH3A,RYR2,SHISA3,THSD7A,PLEK,PCDH9,LRIG3,SEMA3C,NRG1,UNC5C,PRSS12,GPR83,LHCGR,NAV3,ATG10,LMBRD1,EFEMP1,THSD7B,FGF14,TRPS1,KLF12,ZNF521,DEPTOR,FBN2,FMNL2
