TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.60.40.10	Immunoglobulins	7.31719644730297e-05	-9.52269820936218	726	22	0.124293785310734	177	14531	10666,10446,5803,10512,26280,8633,4915,145581,2263,10225,4897,3084,1272,1826,5789,121227,2043,137902,2042,5796,5175,6092	CD226,LRRN2,PTPRZ1,SEMA3C,IL1RAPL2,UNC5C,NTRK2,LRFN5,FGFR2,CD96,NRCAM,NRG1,CNTN1,DSCAM,PTPRD,LRIG3,EPHA4,PXDNL,EPHA3,PTPRK,PECAM1,ROBO2
3.40.1620.60	-	0.000108307070415667	-9.13054012062511	21	4	0.0225988700564972	177	14531	9508,11096,10863,81792	ADAMTS3,ADAMTS5,ADAM28,ADAMTS12
2.20.100.10	Thrombospondin type-1 (TSP1) repeat	0.000114697030563387	-9.07321642288781	63	6	0.0338983050847458	177	14531	221981,9508,8633,81792,11096,80731	THSD7A,ADAMTS3,UNC5C,ADAMTS12,ADAMTS5,THSD7B
3.80.10.10	Ribonuclease Inhibitor	0.000146553343837723	-8.82812107402419	319	13	0.0734463276836158	177	14531	1833,10446,4915,145581,3973,116135,23239,121227,9211,137902,100130733,9353,54829	EPYC,LRRN2,NTRK2,LRFN5,LHCGR,LRRC3B,PHLPP1,LRIG3,LGI1,PXDNL,LRRC70,SLIT2,ASPN
2.10.25.10	Laminin	0.00181776007160262	-6.3101502657521	226	9	0.0508474576271186	177	14531	9353,23671,2201,2202,92737,3084,26047,10085,79633	SLIT2,TMEFF2,FBN2,EFEMP1,DNER,NRG1,CNTNAP2,EDIL3,FAT4
2.80.10.50	-	0.00276047931154375	-5.89235095072805	79	5	0.0282485875706215	177	14531	117248,2250,26281,2259,6262	GALNT15,FGF5,FGF20,FGF14,RYR2
2.60.120.830	-	0.003759465250283	-5.58347855236407	26	3	0.0169491525423729	177	14531	9508,11096,81792	ADAMTS3,ADAMTS5,ADAMTS12
3.90.1720.10	endopeptidase domain like (from Nostoc punctiforme)	0.00393663430451929	-5.53742915817266	8	2	0.0112994350282486	177	14531	151354,57110	LRATD1,PLAAT1
2.60.120.260	Galactose-binding domain-like	0.0066280537278186	-5.01644407326199	97	5	0.0282485875706215	177	14531	2043,119587,2042,10085,26047	EPHA4,CPXM2,EPHA3,EDIL3,CNTNAP2
1.10.510.10	Transferase(Phosphotransferase) domain 1	0.00715182139960564	-4.94038821351367	491	13	0.0734463276836158	177	14531	8573,85481,130399,4915,127933,2263,2042,375449,92,2043,5581,7048,7006	CASK,PSKH2,ACVR1C,NTRK2,UHMK1,FGFR2,EPHA3,MAST4,ACVR2A,EPHA4,PRKCE,TGFBR2,TEC
2.10.60.10	CD59	0.00741313398258674	-4.90450198946755	33	3	0.0169491525423729	177	14531	130399,92,7048	ACVR1C,ACVR2A,TGFBR2
1.10.8.460	ppGaNTase-T1 linker domain-like	0.0121808547246682	-4.4078898447234	1	1	0.00564971751412429	177	14531	117248	GALNT15
2.60.40.1770	ephrin a2 ectodomain	0.0121947634933114	-4.40674864124472	14	2	0.0112994350282486	177	14531	2043,2042	EPHA4,EPHA3
1.10.150.50	Transcription Factor, Ets-1	0.013266266695987	-4.32253080435802	115	5	0.0282485875706215	177	14531	2042,64762,23254,2043,2059	EPHA3,GAREM1,KAZN,EPHA4,EPS8
1.20.58.2220	Formin, FH2 domain	0.013959208985775	-4.27161584616341	15	2	0.0112994350282486	177	14531	114793,23002	FMNL2,DAAM1
1.10.418.10	Calponin-like domain	0.0157519227427226	-4.1507928422585	79	4	0.0225988700564972	177	14531	10451,7402,89795,10788	VAV3,UTRN,NAV3,IQGAP2
2.60.120.200	-	0.0162196330574164	-4.12153285339809	121	5	0.0282485875706215	177	14531	9353,5796,79633,26047,26960	SLIT2,PTPRK,FAT4,CNTNAP2,NBEA
3.40.390.10	Collagenase (Catalytic Domain)	0.0185622575666638	-3.98662492288625	83	4	0.0225988700564972	177	14531	9508,81792,10863,11096	ADAMTS3,ADAMTS12,ADAM28,ADAMTS5
3.40.630.10	Zn peptidases	0.0194686948349127	-3.93894749651816	47	3	0.0169491525423729	177	14531	119587,254827,10404	CPXM2,NAALADL2,CPQ
1.20.5.1000	arf6 gtpase in complex with a specific effector, jip4	0.0242141643389377	-3.72081751378075	2	1	0.00564971751412429	177	14531	9043	SPAG9
3.30.1460.50	-	0.0242141643389377	-3.72081751378075	2	1	0.00564971751412429	177	14531	83734	ATG10
4.10.51.10	Cytochrome C Oxidase, chain K	0.0242141643389377	-3.72081751378075	2	1	0.00564971751412429	177	14531	170712	COX7B2
3.30.2140.20	-	0.0242141643389377	-3.72081751378075	2	1	0.00564971751412429	177	14531	10	NAT2
6.10.250.220	-	0.0242141643389377	-3.72081751378075	2	1	0.00564971751412429	177	14531	8935	SKAP2
2.30.29.90	-	0.0242141643389377	-3.72081751378075	2	1	0.00564971751412429	177	14531	29091	STXBP6
3.90.1180.10	Ribosomal protein L13	0.0242141643389377	-3.72081751378075	2	1	0.00564971751412429	177	14531	28998	MRPL13
3.50.30.30	-	0.0341658678327954	-3.37652814984866	24	2	0.0112994350282486	177	14531	254827,10404	NAALADL2,CPQ
