TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
55016	MARCHF1 (membrane associated ring-CH-type finger 1)	0.000114575426139683	-9.07427720826828	69	6	0.027027027027027	222	20077	7048,23284,2263,2042,92,91137	TGFBR2,ADGRL3,FGFR2,EPHA3,ACVR2A,SLC25A46
56547	MMP26 (matrix metallopeptidase 26)	0.000129944700377741	-8.94840157971884	24	4	0.018018018018018	222	20077	23167,2043,23284,5796	EFR3A,EPHA4,ADGRL3,PTPRK
375519	GJB7 (gap junction protein beta 7)	0.000350580190727288	-7.95592108813645	55	5	0.0225225225225225	222	20077	1946,23167,22979,1272,2596	EFNA5,EFR3A,EFR3B,CNTN1,GAP43
9235	IL32 (interleukin 32)	0.000362152727058717	-7.92344453716016	31	4	0.018018018018018	222	20077	5581,5789,2263,23414	PRKCE,PTPRD,FGFR2,ZFPM2
89765	RSPH1 (radial spoke head component 1)	0.000615061722193871	-7.39378793390277	130	7	0.0315315315315315	222	20077	4897,10085,5080,5789,23544,92737,8573	NRCAM,EDIL3,PAX6,PTPRD,SEZ6L,DNER,CASK
116870	Mta1 (metastasis associated 1)	0.000721756831855022	-7.23382227378536	37	4	0.018018018018018	222	20077	6942,7227,9678,114825	TCF20,TRPS1,PHF14,PWWP2A
2534	FYN (FYN proto-oncogene, Src family tyrosine kinase)	0.000791728596201344	-7.14129190644255	417	13	0.0585585585585586	222	20077	5175,8935,5581,5803,1272,2263,10142,5789,4915,4133,2043,10666,2042	PECAM1,SKAP2,PRKCE,PTPRZ1,CNTN1,FGFR2,AKAP9,PTPRD,NTRK2,MAP2,EPHA4,CD226,EPHA3
100130958	SYCE1L (synaptonemal complex central element protein 1 like)	0.000799738549755705	-7.13122569651666	38	4	0.018018018018018	222	20077	83698,23428,8715,80309	CALN1,SLC7A8,NOL4,SPHKAP
6900	CNTN2 (contactin 2)	0.000808834189765063	-7.11991661893946	17	3	0.0135135135135135	222	20077	4897,26047,1272	NRCAM,CNTNAP2,CNTN1
57498	KIDINS220 (kinase D interacting substrate 220)	0.0008415258479773	-7.08029382825459	178	8	0.036036036036036	222	20077	10666,7402,5413,2042,23239,4915,1003,2263	CD226,UTRN,SEPTIN5,EPHA3,PHLPP1,NTRK2,CDH5,FGFR2
55156	ARMC1 (armadillo repeat containing 1)	0.000874337984946569	-7.04204354659678	67	5	0.0225225225225225	222	20077	91137,1272,6857,4133,2059	SLC25A46,CNTN1,SYT1,MAP2,EPS8
84000	TMPRSS13 (transmembrane serine protease 13)	0.000951724178784723	-6.95723529331953	102	6	0.027027027027027	222	20077	1070,5796,2650,121227,1946,8935	CETN3,PTPRK,GCNT1,LRIG3,EFNA5,SKAP2
399694	SHC4 (SHC adaptor protein 4)	0.00153124581691152	-6.48167361548785	21	3	0.0135135135135135	222	20077	64762,4915,26960	GAREM1,NTRK2,NBEA
27352	SGSM3 (small G protein signaling modulator 3)	0.00153124581691152	-6.48167361548785	21	3	0.0135135135135135	222	20077	1826,10666,1131	DSCAM,CD226,CHRM3
5576	PRKAR2A (protein kinase cAMP-dependent type II regulatory subunit alpha)	0.00161054429578582	-6.43118308520254	197	8	0.036036036036036	222	20077	10142,9043,6262,862,4133,91137,26960,64798	AKAP9,SPAG9,RYR2,RUNX1T1,MAP2,SLC25A46,NBEA,DEPTOR
4052	LTBP1 (latent transforming growth factor beta binding protein 1)	0.00193851611805905	-6.2458324861811	80	5	0.0225225225225225	222	20077	140767,1003,590,2201,2202	NRSN1,CDH5,BCHE,FBN2,EFEMP1
90273	CEACAM21 (CEA cell adhesion molecule 21)	0.00193851611805905	-6.2458324861811	80	5	0.0225225225225225	222	20077	2043,79633,5101,1272,2042	EPHA4,FAT4,PCDH9,CNTN1,EPHA3
8573	CASK (calcium/calmodulin dependent serine protein kinase)	0.00200468952223115	-6.21226608196941	204	8	0.036036036036036	222	20077	2059,8573,2043,26047,7402,22895,80117,10142	EPS8,CASK,EPHA4,CNTNAP2,UTRN,RPH3A,ARL14,AKAP9
57504	MTA3 (metastasis associated 1 family member 3)	0.00228397491346785	-6.08183797084421	163	7	0.0315315315315315	222	20077	7227,11278,1826,2263,23414,114825,6942	TRPS1,KLF12,DSCAM,FGFR2,ZFPM2,PWWP2A,TCF20
6259	RYK (receptor like tyrosine kinase)	0.00233002441992494	-6.06187653080497	209	8	0.036036036036036	222	20077	1003,2263,5789,79633,5101,2043,5796,1272	CDH5,FGFR2,PTPRD,FAT4,PCDH9,EPHA4,PTPRK,CNTN1
8828	NRP2 (neuropilin 2)	0.00242088169369489	-6.02362346893032	51	4	0.018018018018018	222	20077	339479,10512,140767,7048	BRINP3,SEMA3C,NRSN1,TGFBR2
57633	LRRN1 (leucine rich repeat neuronal 1)	0.00246430196855355	-6.00584668864706	7	2	0.00900900900900901	222	20077	27069,5789	GHITM,PTPRD
