TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0019199	transmembrane receptor protein kinase activity	3.26849845602751e-06	-12.6311798662733	81	8	0.0388349514563107	206	18530	92,130399,2202,4915,2042,7048,2043,2263	ACVR2A,ACVR1C,EFEMP1,NTRK2,EPHA3,TGFBR2,EPHA4,FGFR2
GO:0017002	activin receptor activity	0.000108268018842642	-9.13090074911274	9	3	0.0145631067961165	206	18530	7048,130399,92	TGFBR2,ACVR1C,ACVR2A
GO:0005102	signaling receptor binding	0.000146235730104063	-8.83029064855079	1516	33	0.160194174757282	206	18530	2250,10085,2259,7345,2201,11096,9353,10512,55024,10563,3084,1946,1003,7048,8573,92737,7402,6857,265,1826,10451,5789,5803,2043,10666,2202,54360,84466,26281,9211,444882,10142,55788	FGF5,EDIL3,FGF14,UCHL1,FBN2,ADAMTS5,SLIT2,SEMA3C,BANK1,CXCL13,NRG1,EFNA5,CDH5,TGFBR2,CASK,DNER,UTRN,SYT1,AMELX,DSCAM,VAV3,PTPRD,PTPRZ1,EPHA4,CD226,EFEMP1,CYTL1,MEGF10,FGF20,LGI1,IGFL4,AKAP9,LMBRD1
GO:0004714	transmembrane receptor protein tyrosine kinase activity	0.000625893850611496	-7.37632976895567	62	5	0.0242718446601942	206	18530	4915,2202,2043,2263,2042	NTRK2,EFEMP1,EPHA4,FGFR2,EPHA3
GO:0019198	transmembrane receptor protein phosphatase activity	0.000820731692418499	-7.1053143077485	17	3	0.0145631067961165	206	18530	5803,5789,5796	PTPRZ1,PTPRD,PTPRK
GO:0005001	transmembrane receptor protein tyrosine phosphatase activity	0.000820731692418499	-7.1053143077485	17	3	0.0145631067961165	206	18530	5796,5789,5803	PTPRK,PTPRD,PTPRZ1
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	0.00115054256368197	-6.76752165336095	19	3	0.0145631067961165	206	18530	92,130399,7048	ACVR2A,ACVR1C,TGFBR2
GO:1990935	splicing factor binding	0.00179144573410515	-6.3247323124371	6	2	0.00970873786407767	206	18530	127933,282996	UHMK1,RBM20
GO:0005004	GPI-linked ephrin receptor activity	0.00179144573410515	-6.3247323124371	6	2	0.00970873786407767	206	18530	2043,2042	EPHA4,EPHA3
GO:0098632	cell-cell adhesion mediator activity	0.00264677683292825	-5.93441266872539	52	4	0.0194174757281553	206	18530	4897,29091,1826,1272	NRCAM,STXBP6,DSCAM,CNTN1
GO:0001217	DNA-binding transcription repressor activity	0.00348120392534317	-5.6603770894662	272	9	0.0436893203883495	206	18530	170302,5080,3642,60468,222894,11278,7227,7291,79192	ARX,PAX6,INSM1,BACH2,FERD3L,KLF12,TRPS1,TWIST1,IRX1
GO:0045499	chemorepellent activity	0.00361415533059939	-5.62289710749239	28	3	0.0145631067961165	206	18530	10512,3084,1946	SEMA3C,NRG1,EFNA5
GO:0050839	cell adhesion molecule binding	0.00414120239686762	-5.48676909928672	561	14	0.0679611650485437	206	18530	3084,5803,1003,10666,7402,114793,1272,10085,57698,4897,1826,11096,29091,5789	NRG1,PTPRZ1,CDH5,CD226,UTRN,FMNL2,CNTN1,EDIL3,SHTN1,NRCAM,DSCAM,ADAMTS5,STXBP6,PTPRD
GO:0019838	growth factor binding	0.00417269502492565	-5.4791931629752	136	6	0.029126213592233	206	18530	7048,2263,10563,4915,130399,92	TGFBR2,FGFR2,CXCL13,NTRK2,ACVR1C,ACVR2A
GO:0008237	metallopeptidase activity	0.00513992380045962	-5.27071702443826	188	7	0.0339805825242718	206	18530	11096,119587,81792,10404,10863,9508,23366	ADAMTS5,CPXM2,ADAMTS12,CPQ,ADAM28,ADAMTS3,MATCAP2
GO:0004713	protein tyrosine kinase activity	0.00514432260516401	-5.26986157916805	142	6	0.029126213592233	206	18530	4915,7006,2202,2263,2043,2042	NTRK2,TEC,EFEMP1,FGFR2,EPHA4,EPHA3
