TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00408	IGc2	3.21045905674104e-06	-12.6490966227165	242	15	0.102739726027397	146	9743	137902,8633,145581,2263,5175,121227,10446,10666,6092,5789,3084,1826,4915,1272,4897	PXDNL,UNC5C,LRFN5,FGFR2,PECAM1,LRIG3,LRRN2,CD226,ROBO2,PTPRD,NRG1,DSCAM,NTRK2,CNTN1,NRCAM
SM00409	IG	7.47261267144284e-06	-11.8042658647564	399	19	0.13013698630137	146	9743	5789,4897,1272,1826,4915,3084,2263,10512,26280,5175,145581,137902,8633,5796,10225,6092,10666,121227,10446	PTPRD,NRCAM,CNTN1,DSCAM,NTRK2,NRG1,FGFR2,SEMA3C,IL1RAPL2,PECAM1,LRFN5,PXDNL,UNC5C,PTPRK,CD96,ROBO2,CD226,LRIG3,LRRN2
SM00369	LRR_TYP	6.15147621361304e-05	-9.6962333772217	175	11	0.0753424657534247	146	9743	9353,145581,137902,1833,100130733,10446,121227,54829,9211,23239,116135	SLIT2,LRFN5,PXDNL,EPYC,LRRC70,LRRN2,LRIG3,ASPN,LGI1,PHLPP1,LRRC3B
SM00082	LRRCT	0.000235719531220983	-8.3528678867078	83	7	0.0479452054794521	146	9743	10446,121227,137902,9211,4915,100130733,9353	LRRN2,LRIG3,PXDNL,LGI1,NTRK2,LRRC70,SLIT2
SM00209	TSP1	0.000374660676603738	-7.889489804019	64	6	0.0410958904109589	146	9743	8633,80731,221981,11096,9508,81792	UNC5C,THSD7B,THSD7A,ADAMTS5,ADAMTS3,ADAMTS12
SM00060	FN3	0.000391690788288102	-7.84503783483197	149	9	0.0616438356164384	146	9743	2043,5803,5789,1272,6092,5796,2042,4897,1826	EPHA4,PTPRZ1,PTPRD,CNTN1,ROBO2,PTPRK,EPHA3,NRCAM,DSCAM
SM00013	LRRNT	0.00123627979144361	-6.69564857708223	54	5	0.0342465753424658	146	9743	1833,54829,116135,9353,4915	EPYC,ASPN,LRRC3B,SLIT2,NTRK2
SM00181	EGF	0.00176385042022578	-6.34025612078328	184	9	0.0616438356164384	146	9743	3084,26047,79633,84466,2201,92737,9353,2202,10085	NRG1,CNTNAP2,FAT4,MEGF10,FBN2,DNER,SLIT2,EFEMP1,EDIL3
SM00231	FA58C	0.00311700672888577	-5.77088211942937	20	3	0.0205479452054795	146	9743	26047,10085,119587	CNTNAP2,EDIL3,CPXM2
SM00049	DEP	0.0035969263294255	-5.62767559559446	21	3	0.0205479452054795	146	9743	9628,5341,64798	RGS6,PLEK,DEPTOR
SM00442	FGF	0.00411956162717726	-5.49200852245228	22	3	0.0205479452054795	146	9743	26281,2250,2259	FGF20,FGF5,FGF14
SM00219	TyrKc	0.00689337034593386	-4.97719514869167	80	5	0.0342465753424658	146	9743	2042,2263,7006,2043,4915	EPHA3,FGFR2,TEC,EPHA4,NTRK2
SM01140	Drf_GBD	0.00749341475747821	-4.89373067647229	9	2	0.0136986301369863	146	9743	23002,114793	DAAM1,FMNL2
SM01139	Drf_FH3	0.00749341475747821	-4.89373067647229	9	2	0.0136986301369863	146	9743	114793,23002	FMNL2,DAAM1
SM00365	LRR_SD22	0.00750475982323641	-4.89221781664245	52	4	0.0273972602739726	146	9743	100130733,9353,121227,10446	LRRC70,SLIT2,LRIG3,LRRN2
