TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0048731	system development	1.1353437742753e-14	-32.1092558120196	3545	239	0.296894409937888	805	18905	7852,161357,9061,83990,79971,284,7043,8320,5764,9353,9315,8817,7399,6660,56288,8613,136319,7291,54664,4887,7042,27253,351,83478,2047,10512,153241,5101,1946,5205,340273,2045,9734,7038,5915,1000,7369,8412,23322,23224,6310,10203,5950,639,6493,50,5788,23345,5420,56923,5787,80031,10507,339479,3747,287,2138,154091,7337,53942,4857,64478,10630,10371,64398,3459,8455,9890,30061,3084,2897,23077,7504,5992,63951,129446,4983,1015,63950,5179,11086,23767,147372,868,1829,2115,9218,51201,10159,137970,3074,23440,221692,10413,4254,166614,91653,651,9215,9079,1840,4094,9241,5274,23287,58504,1317,57624,1956,168002,2534,4724,57451,1272,4915,1630,23405,4897,9723,9314,65084,8321,474,3642,1608,129880,11174,6938,7223,1301,2737,4978,151,552,10252,4664,152330,168667,57007,1902,2861,5270,1909,2099,2932,7368,2743,158326,1046,590,23284,5789,23544,6262,5800,6091,9788,2042,1767,7903,6240,5251,4781,5607,2201,7707,341640,55553,2195,886,54928,11141,7857,1007,323,91584,4336,81031,3720,5587,2566,2043,5594,9806,8549,6913,3037,8048,26280,7518,23075,4734,10178,6456,658,5456,205428,1462,91768,6928,340665,6092,161742,4753,140767,2890,114798,223117,861,2823,2263,51339,2034,6507,8787,26053,2555,389549,92,6197,5291,7010,1501,54477,84631,23607,8898,800,5090,2697,115701,55331,25861,27152,2334,6657,3791,6546,214	CXCR4,MDGA2,PAPSS1,BRIP1,WLS,ANGPT1,TGFB3,EOMES,PTN,SLIT2,NREP,FGF18,USH2A,SOX5,PARD3,PLPP3,MTPN,TWIST1,TMEM106B,NPY2R,TGFB2,PCDH17,APP,ARHGAP24,EPHB1,SEMA3C,CEP120,PCDH9,EFNA5,ATP8B1,ABCB5,EPHA7,HDAC9,TG,RARB,CDH2,UMOD,BCAR3,RPGRIP1L,SYNE2,ATXN1,CALCRL,RBP4,PRDM1,SIM2,ACO2,PTPRC,SYNE1,PODXL,NMUR2,PTPRB,SEMA6D,SEMA4D,BRINP3,KCNC2,ANK2,EYA1,SLC2A12,UBE3A,CNTN5,NOVA1,CSMD1,PDPN,SEMA3A,PALS1,IFNGR1,ATRN,PLPPR4,SLC40A1,NRG1,GRIK1,MYCBP2,XK,RFX4,DMRTA1,XIRP2,OPHN1,CDH17,DMRTA2,PENK,ADAM29,FLRT3,CCBE1,CBLB,DSG2,ETV1,VAPA,ZDHHC2,ATP6AP2,UNC5D,HEXB,OTP,PHACTR1,YAP1,KITLG,DCLK2,BOC,BMP3,LARGE1,LDB2,DTX1,MAF,NOG,SERPINI1,AGTPBP1,ARHGAP22,SLC31A1,NYAP2,EGFR,DACT2,FYN,NDUFS4,TENM2,CNTN1,NTRK2,DCC,DICER1,NRCAM,SEMA3E,KLF4,TMEM135,FZD1,ATOH1,INSM1,DGKG,BBS5,ADAMTS6,TCF12,TRPC4,COL11A1,GLI3,OPCML,ADRA2B,AVPR1A,SPRY1,NAB1,CNTN4,BMPER,ACKR3,LPAR1,GPR37,SERPINE2,EDNRA,ESR1,GSK3B,UGT8,GLRB,FREM1,CDX4,BCHE,ADGRL3,PTPRD,SEZ6L,RYR2,PTPRO,ROBO1,MTSS1,EPHA3,DNAH5,ST8SIA4,RRM1,PHEX,NFIB,MAP2K5,FBN2,ZNF148,FREM2,SOX6,FAT1,CCKAR,BPNT2,IL1RAPL1,SCG2,CDH9,APBB2,PLXNA4,MOBP,SLC2A10,JARID2,PRKD1,GABRG2,EPHA4,MAPK1,SPOCK2,LGR5,TBX15,HAS2,CSRP3,IL1RAPL2,XRCC4,SWAP70,NEDD4,TENM1,SH3GL2,BMPR1B,POU3F4,DIPK2A,VCAN,CABLES1,HNF1B,CYP26C1,ROBO2,SPRED1,NELL2,NRSN1,GRIA1,SLITRK1,SEMA3D,RUNX1,GPM6A,FGFR2,DACT1,EPAS1,SLC1A3,RGS9,AUTS2,GABRA2,FEZF1,ACVR2A,RPS6KA3,PIK3CB,TEK,CTNND2,PLEKHA5,SLITRK2,CD2AP,MTMR2,CALD1,PBX3,GJA1,ALPK2,ACER3,WHRN,INTU,AFF2,SOX2,KDR,SLC8A1,ALCAM
GO:0007275	multicellular organism development	2.73746997009855e-14	-31.2291571766612	3972	259	0.321739130434783	805	18905	5992,63951,23077,2897,7504,147372,868,1829,1015,28316,129446,4983,63950,5179,23767,11086,55788,51201,10159,9218,2115,651,9215,91653,221692,23440,10413,4254,3074,137970,166614,9241,4094,1840,121227,9079,57624,168002,9508,2534,1956,5274,23287,58504,1317,1630,23405,4897,9723,9314,57451,4724,1272,4915,1608,8321,3642,474,7223,1301,129880,11174,6938,65084,284,83990,79971,9061,7852,161357,56288,6660,54664,7291,4887,83999,8613,136319,8320,7043,4593,9315,8817,7399,9353,5764,153241,10512,5101,27253,7042,83478,351,2047,5915,7038,5205,340273,1946,9734,9371,2045,6310,10203,639,5950,23322,1000,7369,8412,23224,80031,5787,5420,56923,339479,3747,287,10507,6493,5788,23345,50,10630,4857,64478,10371,2138,154091,53918,53942,7337,9890,3084,23671,30061,8455,64398,3459,1462,5456,205428,8013,6456,658,26280,4734,10178,23075,7518,6928,91768,340665,6092,1602,223117,861,2823,140767,161742,4753,1010,2890,114798,6507,2034,8787,26053,2555,2263,51339,7010,5291,1501,92,389549,6197,8898,84733,5090,2697,800,54477,84631,23607,6657,27152,2334,25861,115701,55331,214,3791,6546,10252,4664,2737,552,151,4978,2861,5270,1909,5890,2530,168667,152330,57007,1902,590,23284,7368,2743,2099,2932,1046,158326,9788,5800,6091,23544,5789,6262,6240,7903,5251,5607,4781,2042,1767,7707,2201,6468,341640,55553,3720,1006,5587,2195,886,3655,323,91584,1007,4336,81031,11141,54928,7857,6913,3037,8549,8048,2043,2566,9806,1005,4300,5594	RFX4,DMRTA1,MYCBP2,GRIK1,XK,CCBE1,CBLB,DSG2,CDH17,CDH20,XIRP2,OPHN1,DMRTA2,PENK,FLRT3,ADAM29,LMBRD1,ZDHHC2,ATP6AP2,VAPA,ETV1,BMP3,LARGE1,BOC,PHACTR1,OTP,YAP1,KITLG,HEXB,UNC5D,DCLK2,NOG,MAF,DTX1,LRIG3,LDB2,NYAP2,DACT2,ADAMTS3,FYN,EGFR,SERPINI1,AGTPBP1,ARHGAP22,SLC31A1,DCC,DICER1,NRCAM,SEMA3E,KLF4,TENM2,NDUFS4,CNTN1,NTRK2,DGKG,FZD1,INSM1,ATOH1,TRPC4,COL11A1,BBS5,ADAMTS6,TCF12,TMEM135,ANGPT1,BRIP1,WLS,PAPSS1,CXCR4,MDGA2,PARD3,SOX5,TMEM106B,TWIST1,NPY2R,KREMEN1,PLPP3,MTPN,EOMES,TGFB3,MUSK,NREP,FGF18,USH2A,SLIT2,PTN,CEP120,SEMA3C,PCDH9,PCDH17,TGFB2,ARHGAP24,APP,EPHB1,RARB,TG,ATP8B1,ABCB5,EFNA5,HDAC9,KIF3B,EPHA7,ATXN1,CALCRL,PRDM1,RBP4,RPGRIP1L,CDH2,UMOD,BCAR3,SYNE2,SEMA6D,PTPRB,PODXL,NMUR2,BRINP3,KCNC2,ANK2,SEMA4D,SIM2,PTPRC,SYNE1,ACO2,PDPN,NOVA1,CSMD1,SEMA3A,EYA1,SLC2A12,PELO,CNTN5,UBE3A,PLPPR4,NRG1,TMEFF2,SLC40A1,ATRN,PALS1,IFNGR1,VCAN,POU3F4,DIPK2A,NR4A3,SH3GL2,BMPR1B,IL1RAPL2,NEDD4,TENM1,SWAP70,XRCC4,HNF1B,CABLES1,CYP26C1,ROBO2,DACH1,SEMA3D,RUNX1,GPM6A,NRSN1,SPRED1,NELL2,CDH12,GRIA1,SLITRK1,SLC1A3,EPAS1,RGS9,AUTS2,GABRA2,FGFR2,DACT1,TEK,PIK3CB,CTNND2,ACVR2A,FEZF1,RPS6KA3,MTMR2,CBX2,PBX3,GJA1,CALD1,PLEKHA5,SLITRK2,CD2AP,SOX2,INTU,AFF2,WHRN,ALPK2,ACER3,ALCAM,KDR,SLC8A1,SPRY1,NAB1,GLI3,AVPR1A,ADRA2B,OPCML,GPR37,SERPINE2,EDNRA,RAD51B,FUT8,BMPER,CNTN4,ACKR3,LPAR1,BCHE,ADGRL3,UGT8,GLRB,ESR1,GSK3B,CDX4,FREM1,MTSS1,PTPRO,ROBO1,SEZ6L,PTPRD,RYR2,RRM1,ST8SIA4,PHEX,MAP2K5,NFIB,EPHA3,DNAH5,ZNF148,FBN2,FBXW4,FREM2,SOX6,JARID2,CDH8,PRKD1,FAT1,CCKAR,ITGA6,APBB2,PLXNA4,CDH9,MOBP,SLC2A10,IL1RAPL1,BPNT2,SCG2,TBX15,HAS2,LGR5,CSRP3,EPHA4,GABRG2,SPOCK2,CDH7,MLLT3,MAPK1
GO:0022008	neurogenesis	3.55052955590836e-14	-30.9690945388757	1335	117	0.145341614906832	805	18905	7042,2932,351,7368,2047,10512,590,153241,23284,1946,5205,2045,5789,6091,5800,9734,5915,7852,2737,161357,4978,4664,8320,152330,5764,9353,1902,9315,7399,6660,2861,56288,1909,8613,136319,7291,54664,2138,886,11141,91584,323,4336,53942,10371,64398,3459,2043,5594,9890,1000,2042,23322,23224,639,4781,5787,80031,10507,55553,339479,2115,4753,9218,114798,223117,861,2823,3074,137970,2263,221692,23440,166614,6507,91653,26053,9215,23077,10178,4734,6456,658,1462,4983,63950,23767,5179,6092,57451,1272,4915,25861,1630,23405,4897,6657,9723,8321,3642,474,214,1608,7223,389549,1840,9241,1501,23287,84631,23607,8898,57624,1956,5090,2534,2697	TGFB2,GSK3B,APP,UGT8,EPHB1,SEMA3C,BCHE,CEP120,ADGRL3,EFNA5,ATP8B1,EPHA7,PTPRD,ROBO1,PTPRO,HDAC9,RARB,CXCR4,GLI3,MDGA2,OPCML,NAB1,EOMES,CNTN4,PTN,SLIT2,LPAR1,NREP,USH2A,SOX5,GPR37,PARD3,EDNRA,PLPP3,MTPN,TWIST1,TMEM106B,EYA1,CCKAR,IL1RAPL1,PLXNA4,APBB2,MOBP,CNTN5,SEMA3A,PALS1,IFNGR1,EPHA4,MAPK1,PLPPR4,CDH2,EPHA3,RPGRIP1L,SYNE2,PRDM1,NFIB,PTPRB,SEMA6D,SEMA4D,SOX6,BRINP3,ETV1,NELL2,VAPA,SLITRK1,SEMA3D,RUNX1,GPM6A,HEXB,UNC5D,FGFR2,PHACTR1,OTP,DCLK2,SLC1A3,BOC,AUTS2,LARGE1,MYCBP2,TENM1,NEDD4,SH3GL2,BMPR1B,VCAN,OPHN1,DMRTA2,FLRT3,PENK,ROBO2,TENM2,CNTN1,NTRK2,WHRN,DCC,DICER1,NRCAM,SOX2,SEMA3E,FZD1,INSM1,ATOH1,ALCAM,DGKG,TRPC4,FEZF1,DTX1,NOG,CTNND2,AGTPBP1,SLITRK2,CD2AP,MTMR2,NYAP2,EGFR,PBX3,FYN,GJA1
GO:0007399	nervous system development	4.10060046634852e-14	-30.8250578837229	2193	166	0.206211180124224	805	18905	6493,339479,287,3747,10507,55553,80031,7707,5787,56923,23224,1767,2042,23322,1000,639,4781,6310,6240,7903,9806,5594,2566,2043,8455,64398,3459,3084,9890,91584,323,1007,53942,4336,11141,7337,886,2138,5587,10371,3720,4857,9315,7399,152330,1902,57007,5764,9353,8320,7291,54664,5270,136319,8613,1909,2861,56288,6660,552,161357,4978,2737,7852,4664,79971,5800,6091,9734,2045,5789,23544,5205,1946,5915,2047,7368,2743,7042,27253,351,2932,23284,5101,590,153241,10512,84631,23607,5274,23287,5090,2534,2697,1956,8898,57624,6197,1840,9079,389549,1501,9241,7223,6938,214,1608,8321,3642,474,55331,25861,1272,4915,57451,4724,6657,4897,23405,9723,27152,2334,1630,63950,5179,23767,4983,340665,6092,6928,91768,4734,10178,7504,23077,26280,2897,5456,1462,6456,658,5992,166614,221692,2263,23440,51339,137970,3074,26053,2555,9215,91653,6507,8787,2890,114798,9218,140767,4753,2115,10159,2823,51201,223117,861	SIM2,BRINP3,ANK2,KCNC2,SEMA4D,SOX6,SEMA6D,ZNF148,PTPRB,NMUR2,SYNE2,DNAH5,EPHA3,RPGRIP1L,CDH2,PRDM1,NFIB,ATXN1,RRM1,ST8SIA4,SPOCK2,MAPK1,GABRG2,EPHA4,ATRN,PALS1,IFNGR1,NRG1,PLPPR4,PLXNA4,APBB2,CDH9,CNTN5,MOBP,IL1RAPL1,UBE3A,CCKAR,EYA1,PRKD1,SEMA3A,JARID2,NOVA1,NREP,USH2A,CNTN4,LPAR1,ACKR3,PTN,SLIT2,EOMES,TWIST1,TMEM106B,SERPINE2,MTPN,PLPP3,EDNRA,GPR37,PARD3,SOX5,AVPR1A,MDGA2,OPCML,GLI3,CXCR4,NAB1,WLS,PTPRO,ROBO1,HDAC9,EPHA7,PTPRD,SEZ6L,ATP8B1,EFNA5,RARB,EPHB1,UGT8,GLRB,TGFB2,PCDH17,APP,GSK3B,ADGRL3,PCDH9,BCHE,CEP120,SEMA3C,SLITRK2,CD2AP,SERPINI1,AGTPBP1,PBX3,FYN,GJA1,EGFR,MTMR2,NYAP2,RPS6KA3,DTX1,LDB2,FEZF1,CTNND2,NOG,TRPC4,TCF12,ALCAM,DGKG,FZD1,INSM1,ATOH1,ACER3,WHRN,CNTN1,NTRK2,TENM2,NDUFS4,SOX2,NRCAM,DICER1,SEMA3E,INTU,AFF2,DCC,DMRTA2,PENK,FLRT3,OPHN1,CYP26C1,ROBO2,HNF1B,CABLES1,NEDD4,TENM1,XK,MYCBP2,IL1RAPL2,GRIK1,POU3F4,VCAN,SH3GL2,BMPR1B,RFX4,DCLK2,PHACTR1,FGFR2,OTP,DACT1,UNC5D,HEXB,AUTS2,GABRA2,LARGE1,BOC,SLC1A3,RGS9,GRIA1,SLITRK1,VAPA,NRSN1,NELL2,ETV1,ATP6AP2,GPM6A,ZDHHC2,SEMA3D,RUNX1
GO:0097485	neuron projection guidance	5.2659302194455e-14	-30.5749334920801	224	39	0.0484472049689441	805	18905	2115,351,4753,2047,53942,91584,323,1272,10512,223117,1630,9723,10371,4897,2043,1946,137970,6091,5800,2045,214,474,91653,2737,23077,2042,389549,9241,4781,658,4983,23767,9353,152330,80031,2534,6092,1909,10507	ETV1,APP,NELL2,EPHB1,CNTN5,PLXNA4,APBB2,CNTN1,SEMA3C,SEMA3D,DCC,SEMA3E,SEMA3A,NRCAM,EPHA4,EFNA5,UNC5D,ROBO1,PTPRO,EPHA7,ALCAM,ATOH1,BOC,GLI3,MYCBP2,EPHA3,FEZF1,NOG,NFIB,BMPR1B,OPHN1,FLRT3,SLIT2,CNTN4,SEMA6D,FYN,ROBO2,EDNRA,SEMA4D
GO:0007411	axon guidance	5.2659302194455e-14	-30.5749334920801	224	39	0.0484472049689441	805	18905	80031,2534,6092,1909,10507,4983,23767,9353,152330,9241,4781,658,2737,23077,2042,389549,214,474,91653,2043,1946,137970,5800,6091,2045,10512,223117,1630,9723,4897,10371,2115,351,4753,2047,53942,323,91584,1272	SEMA6D,FYN,ROBO2,EDNRA,SEMA4D,OPHN1,FLRT3,SLIT2,CNTN4,NOG,NFIB,BMPR1B,GLI3,MYCBP2,EPHA3,FEZF1,ALCAM,ATOH1,BOC,EPHA4,EFNA5,UNC5D,PTPRO,ROBO1,EPHA7,SEMA3C,SEMA3D,DCC,SEMA3E,NRCAM,SEMA3A,ETV1,APP,NELL2,EPHB1,CNTN5,APBB2,PLXNA4,CNTN1
GO:0009653	anatomical structure morphogenesis	1.1820509596707e-13	-29.7663551777795	2238	167	0.207453416149068	805	18905	137970,51339,2263,256764,221692,10413,6507,2034,91653,1297,9215,26053,2115,4753,161742,114798,1010,223117,55788,2823,10159,4983,129446,28316,1015,23767,147372,6928,6092,23077,658,6456,8013,5456,3791,474,8321,214,129880,7053,1301,4915,10486,1272,25861,115701,1630,27152,9314,9723,6657,23405,4897,23287,1317,58504,23607,84631,57624,8898,1956,800,2697,168002,2534,5090,389549,121227,92,9241,5291,7010,1501,5519,1946,5205,6262,2045,6091,5800,9788,5915,83478,351,2099,7042,7368,158326,2047,1046,10512,7286,7043,8320,405754,9353,57007,5764,152330,168667,8817,6660,56288,1909,136319,8613,5270,54664,7291,4887,7852,2737,151,10252,8038,284,79971,4664,64398,2043,5594,1005,4093,8549,9890,3037,6913,8048,30061,23671,3084,2138,3655,886,2195,7857,54928,4336,53942,1007,91584,323,64478,1006,10630,10371,5587,900,5420,2201,5787,80031,55553,6468,341640,10507,287,8412,1000,2042,23322,10203,29071,4781,5251,639,5950	UNC5D,DACT1,FGFR2,WDR72,PHACTR1,YAP1,SLC1A3,EPAS1,BOC,COL9A1,LARGE1,AUTS2,ETV1,NELL2,SPRED1,SLITRK1,CDH12,SEMA3D,LMBRD1,GPM6A,ATP6AP2,OPHN1,XIRP2,CDH20,CDH17,FLRT3,CCBE1,HNF1B,ROBO2,MYCBP2,BMPR1B,SH3GL2,NR4A3,POU3F4,KDR,ATOH1,FZD1,ALCAM,BBS5,TGM3,COL11A1,NTRK2,CAP2,CNTN1,WHRN,ALPK2,DCC,INTU,KLF4,SEMA3E,SOX2,DICER1,NRCAM,AGTPBP1,SLC31A1,ARHGAP22,CD2AP,SLITRK2,NYAP2,MTMR2,EGFR,CALD1,GJA1,DACT2,FYN,PBX3,FEZF1,LRIG3,ACVR2A,NOG,PIK3CB,TEK,CTNND2,PPP2R1B,EFNA5,ATP8B1,RYR2,EPHA7,ROBO1,PTPRO,MTSS1,RARB,ARHGAP24,APP,ESR1,TGFB2,UGT8,FREM1,EPHB1,CDX4,SEMA3C,TUFT1,TGFB3,EOMES,ERVFRD-1,SLIT2,ACKR3,PTN,CNTN4,BMPER,FGF18,SOX5,PARD3,EDNRA,MTPN,PLPP3,SERPINE2,TMEM106B,TWIST1,NPY2R,CXCR4,GLI3,ADRA2B,SPRY1,ADAM12,ANGPT1,WLS,NAB1,PALS1,EPHA4,MAPK1,CDH7,SMAD9,LGR5,PLPPR4,HAS2,TBX15,CSRP3,SLC40A1,TMEFF2,NRG1,EYA1,ITGA6,CCKAR,FAT1,SCG2,BPNT2,MOBP,CNTN5,CDH9,PLXNA4,APBB2,CSMD1,CDH8,PDPN,SEMA3A,PRKD1,CCNG1,PODXL,FBN2,PTPRB,SEMA6D,SOX6,FBXW4,FREM2,SEMA4D,ANK2,BCAR3,CDH2,EPHA3,RPGRIP1L,CALCRL,C1GALT1C1,NFIB,PHEX,PRDM1,RBP4
GO:0034330	cell junction organization	1.77001098650076e-13	-29.3626204552935	532	63	0.0782608695652174	805	18905	26059,23607,84631,287,2534,2697,8898,9414,1000,2239,1501,9806,1005,2043,2566,8321,11141,10486,25861,53942,1007,323,91584,3655,9723,4897,1006,395,152330,23767,4983,4593,7043,129446,28316,1015,23024,1829,56288,4734,10243,8499,5789,23544,5800,1946,1308,9788,9215,2555,114798,2047,1010,2890,351,7042,27253,2743,7368,2823,23284,51201,8404	ERC2,CD2AP,SLITRK2,ANK2,FYN,GJA1,MTMR2,TJP2,CDH2,GPC4,CTNND2,SPOCK2,CDH7,EPHA4,GABRG2,FZD1,IL1RAPL1,CAP2,WHRN,CNTN5,CDH9,APBB2,PLXNA4,ITGA6,SEMA3E,NRCAM,CDH8,ARHGAP6,CNTN4,FLRT3,OPHN1,MUSK,TGFB3,XIRP2,CDH20,CDH17,PDZRN3,DSG2,PARD3,NEDD4,GPHN,PPFIA2,PTPRD,SEZ6L,PTPRO,EFNA5,COL17A1,MTSS1,LARGE1,GABRA2,SLITRK1,EPHB1,CDH12,GRIA1,APP,TGFB2,PCDH17,GLRB,UGT8,GPM6A,ADGRL3,ZDHHC2,SPARCL1
GO:0032502	developmental process	4.31349501882599e-13	-28.4718577241758	5746	339	0.42111801242236	805	18905	51339,256764,2263,221937,3475,8788,5139,8787,2034,6507,8825,2555,1297,26053,140767,4753,161742,114798,1010,2890,59269,223117,861,839,2823,7402,1602,6928,91768,6092,340665,202051,26280,387357,4734,10178,23075,7518,135138,5948,64641,140801,8013,85413,1462,205428,5456,658,6456,4837,214,3791,6546,22999,9992,115701,25861,9258,55331,10486,285335,6657,9308,2334,27152,54477,23607,84631,84733,8898,2697,2119,5090,51760,800,50617,92,389549,6197,7010,5291,1501,26298,5519,5800,6091,23544,6262,54463,5789,9788,1308,2743,7368,2932,2099,1046,158326,590,23284,7286,2530,5890,405754,80070,1902,57007,152330,168667,2861,83938,1909,5270,2737,552,151,4978,55686,10252,4664,2566,2043,4093,3702,9806,5594,4300,1005,3037,6913,8549,8048,886,3655,2195,81031,4336,340481,323,1007,91584,7857,11141,54928,3720,1006,5587,900,7707,2201,9462,55553,6468,341640,2042,1767,9414,6240,7903,5912,4781,5607,5251,10404,29071,4254,23139,221692,10413,23440,6857,3344,3074,137970,166614,651,9215,91653,9218,2115,359948,8202,10124,55788,51201,2660,10159,8607,1015,4983,129446,28316,5179,23767,11086,63950,3298,200162,1829,868,147372,23077,2897,7504,5992,63951,6256,65084,11057,1608,474,3642,8321,55022,1301,7223,6938,11174,129880,7053,57451,4724,4915,1272,130827,1630,9723,9314,23405,4897,10891,353189,23287,5274,1317,58504,57624,9508,2534,168002,23327,1956,10075,389072,1840,9079,121227,4094,9241,340273,5205,1946,9734,2045,9371,7038,5915,389763,83478,351,7042,27253,2047,153241,10512,8404,5101,8320,4593,7043,7399,8817,9315,9353,5764,56288,6660,4887,54664,7291,136319,8613,83999,114899,23051,7852,9425,161357,83990,284,79971,9061,8038,8455,3459,64398,9890,3084,54790,2078,30061,23671,131149,9750,154091,127124,2138,53942,53918,7337,10630,64478,4857,10371,2122,6493,23345,5788,50,80031,5787,56923,5420,287,50508,3747,339479,10507,23322,1488,7369,8412,1000,23224,10203,222008,6310,639,5950	DACT1,WDR72,FGFR2,FOXK1,IFRD1,DLK1,PDE3A,RGS9,EPAS1,SLC1A3,LIN7A,GABRA2,COL9A1,AUTS2,NRSN1,NELL2,SPRED1,SLITRK1,CDH12,GRIA1,HIVEP3,SEMA3D,RUNX1,CASP6,GPM6A,UTRN,DACH1,HNF1B,CABLES1,ROBO2,CYP26C1,SPATA24,IL1RAPL2,THEMIS,NEDD4,TENM1,SWAP70,XRCC4,PACRG,RBP2,EBF2,RPL10L,NR4A3,SLC22A16,VCAN,DIPK2A,POU3F4,BMPR1B,SH3GL2,NNMT,ALCAM,KDR,SLC8A1,RIMS1,KCNE2,ALPK2,WHRN,MFHAS1,ACER3,CAP2,SLC9C1,SOX2,CD83,AFF2,INTU,PLEKHA5,CD2AP,SLITRK2,CBX2,MTMR2,GJA1,ETV5,PBX3,SYT17,CALD1,ATP6V0A4,ACVR2A,FEZF1,RPS6KA3,TEK,PIK3CB,CTNND2,EHF,PPP2R1B,PTPRO,ROBO1,SEZ6L,RYR2,RETREG1,PTPRD,MTSS1,COL17A1,GLRB,UGT8,GSK3B,ESR1,CDX4,FREM1,BCHE,ADGRL3,TUFT1,FUT8,RAD51B,ERVFRD-1,ADAMTS20,LPAR1,ACKR3,CNTN4,BMPER,GPR37,LRMDA,EDNRA,SERPINE2,GLI3,AVPR1A,ADRA2B,OPCML,MREG,SPRY1,NAB1,GABRG2,EPHA4,SMAD9,ITK,SPOCK2,MAPK1,MLLT3,CDH7,HAS2,TBX15,LGR5,CSRP3,CCKAR,ITGA6,FAT1,SLC2A10,MOBP,ZDHHC21,APBB2,CDH9,PLXNA4,SCG2,IL1RAPL1,BPNT2,JARID2,CDH8,PRKD1,CCNG1,ZNF148,FBN2,RASAL2,SOX6,FBXW4,FREM2,EPHA3,DNAH5,TJP2,RRM1,ST8SIA4,RAP2B,NFIB,MAP2K5,PHEX,CPQ,C1GALT1C1,KITLG,MAST2,PHACTR1,YAP1,OTP,SYT1,FOXN2,HEXB,UNC5D,DCLK2,BMP3,LARGE1,BOC,VAPA,ETV1,IRF2BP2,NCOA3,ARL4A,LMBRD1,ZDHHC2,MSTN,ATP6AP2,RUVBL1,CDH17,OPHN1,XIRP2,CDH20,PENK,FLRT3,ADAM29,DMRTA2,HSF2,SPAG17,DSG2,CBLB,CCBE1,MYCBP2,GRIK1,XK,RFX4,DMRTA1,RXRA,TMEM135,ABHD2,DGKG,ATOH1,INSM1,FZD1,PID1,COL11A1,TRPC4,TCF12,ADAMTS6,BBS5,TGM3,TENM2,NDUFS4,NTRK2,CNTN1,TMEM182,DCC,SEMA3E,KLF4,DICER1,NRCAM,PPARGC1A,SLCO4C1,AGTPBP1,SERPINI1,SLC31A1,ARHGAP22,NYAP2,ADAMTS3,FYN,DACT2,NEDD4L,EGFR,HUWE1,PLEKHM3,DTX1,LDB2,LRIG3,MAF,NOG,ABCB5,ATP8B1,EFNA5,HDAC9,EPHA7,KIF3B,TG,RARB,SPATA31D1,ARHGAP24,APP,TGFB2,PCDH17,EPHB1,CEP120,SEMA3C,SPARCL1,PCDH9,EOMES,MUSK,TGFB3,USH2A,FGF18,NREP,SLIT2,PTN,PARD3,SOX5,NPY2R,TMEM106B,TWIST1,MTPN,PLPP3,KREMEN1,C1QTNF3,ZHX3,CXCR4,CDYL,MDGA2,BRIP1,ANGPT1,WLS,PAPSS1,ADAM12,ATRN,IFNGR1,PALS1,PLPPR4,NRG1,TET2,ERG,SLC40A1,TMEFF2,OTOL1,RIPOR2,SLC2A12,ATP6V1G3,EYA1,CNTN5,PELO,UBE3A,PDPN,CSMD1,NOVA1,SEMA3A,MECOM,SIM2,SYNE1,PTPRC,ACO2,SEMA6D,PTPRB,NMUR2,PODXL,ANK2,NOX3,KCNC2,BRINP3,SEMA4D,RPGRIP1L,CTBP2,UMOD,BCAR3,CDH2,SYNE2,CALCRL,VSTM2A,ATXN1,PRDM1,RBP4
GO:0000902	cell morphogenesis	1.49280533455011e-12	-27.2303639913044	688	72	0.0894409937888199	805	18905	6456,658,23077,2737,56288,1909,6092,54664,28316,4983,1015,152330,9353,5764,23767,223117,10512,2823,7042,4753,351,2115,7368,1010,114798,2047,6507,91653,26053,137970,1946,221692,2263,10413,2045,6091,5800,9241,29071,1501,4781,1000,389549,2042,57624,80031,10507,1956,168002,2534,84631,23607,1630,1006,10371,23405,4897,9723,2195,886,10486,1272,91584,1007,323,25861,53942,9890,474,214,2043,1005	SH3GL2,BMPR1B,MYCBP2,GLI3,PARD3,EDNRA,ROBO2,TMEM106B,CDH20,OPHN1,CDH17,CNTN4,SLIT2,PTN,FLRT3,SEMA3D,SEMA3C,GPM6A,TGFB2,NELL2,APP,ETV1,UGT8,CDH12,SLITRK1,EPHB1,SLC1A3,BOC,AUTS2,UNC5D,EFNA5,PHACTR1,FGFR2,YAP1,EPHA7,ROBO1,PTPRO,NOG,C1GALT1C1,CTNND2,NFIB,CDH2,FEZF1,EPHA3,NYAP2,SEMA6D,SEMA4D,EGFR,DACT2,FYN,SLITRK2,CD2AP,DCC,CDH8,SEMA3A,DICER1,NRCAM,SEMA3E,FAT1,CCKAR,CAP2,CNTN1,PLXNA4,CDH9,APBB2,WHRN,CNTN5,PLPPR4,ATOH1,ALCAM,EPHA4,CDH7
