TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr7q21.11	human chr7q21.11	5.69588127117712e-17	-37.4042032512519	68	14	0.0103168754605748	1357	193383	2770,781,10371,9723,223117,399670,105369146,101927269,101927378,105375380,100505881,10512,101927356,100874021	GNAI1,CACNA2D1,SEMA3A,SEMA3E,SEMA3D,RPL13AP17,LOC105369146,LOC101927269,LINC03017,LINC00972,MAGI2-AS3,SEMA3C,CACNA2D1-AS1,MAGI2-AS2
human chr7p21.1	human chr7p21.1	1.39266983305196e-08	-18.0894580958755	62	8	0.00589535740604274	1357	193383	7291,101927769,340273,9734,155465,100302140,100506049,101927668	TWIST1,LOC101927769,ABCB5,HDAC9,AGR3,MIR1302-6,LRRC72,LOC101927668
human chr4q21.21	human chr4q21.21	5.48144762670349e-08	-16.7193115124212	49	7	0.0051584377302874	1357	193383	100505875,153020,651,100505702,84779,100506035,255119	LINC01088,RASGEF1B,BMP3,LINC01094,NAA11,LINC00989,CFAP299
human chr5q23.1	human chr5q23.1	1.29711536780503e-07	-15.8579527998458	82	8	0.00589535740604274	1357	193383	102467224,102467223,100847085,94033,102467226,728342,100422885,51334	LINC02147,LINC02214,MIR5706,FTMT,LOC102467226,LINC00992,MIR1244-2,PRR16
human chr12q21.31	human chr12q21.31	1.81614733992757e-07	-15.5213782397491	58	7	0.0051584377302874	1357	193383	8499,100616133,160335,55117,693202,8825,29080	PPFIA2,MIR4699,TMTC2,SLC6A15,MIR617,LIN7A,CCDC59
human chr6p22.3	human chr6p22.3	2.19304734385454e-07	-15.3328035931306	158	10	0.00736919675755343	1357	193383	105374972,6310,140767,54901,10486,3720,100874531,9750,101928519,105374960	LINC03005,ATXN1,NRSN1,CDKAL1,CAP2,JARID2,LINC00581,RIPOR2,LOC101928519,LOC105374960
human chr4p15.33	human chr4p15.33	3.16119536160346e-07	-14.9671454159005	39	6	0.00442151805453206	1357	193383	9957,9364,101929019,152742,113218507,105374484	HS3ST1,RAB28,LINC02270,LINC01085,MIR12113,LINC02360
human chr5q34	human chr5q34	4.97251239222811e-07	-14.514170427063	67	7	0.0051584377302874	1357	193383	57451,2566,102557615,79646,101927908,900,101927835	TENM2,GABRG2,LINC01947,PANK3,LOC101927908,CCNG1,LINC02143
human chr12q12	human chr12q12	5.60911410324257e-07	-14.3937028577539	99	8	0.00589535740604274	1357	193383	29951,4753,80070,9169,283461,1272,144245,196527	PDZRN4,NELL2,ADAMTS20,SCAF11,REDIC1,CNTN1,ALG10B,ANO6
human chr8q21.3	human chr8q21.3	8.98206787092024e-07	-13.9228655199953	73	7	0.0051584377302874	1357	193383	168975,54714,862,138009,100127983,55529,115111	CNBD1,CNGB3,RUNX1T1,DCAF4L2,C8orf88,PIP4P2,SLC26A7
