TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.60.40.10	Immunoglobulins	2.83885069005221e-05	-10.4695261813062	726	57	0.0871559633027523	654	14531	7053,11141,6091,5788,23077,64641,5789,1462,91653,137970,161357,4978,3791,162282,10225,1630,152330,26280,5669,53942,9308,115701,3459,2045,2047,2042,92949,9218,54674,1272,2263,7010,91584,10507,2043,2632,253559,10371,137902,4897,23767,7399,55729,222008,214,121227,223117,22986,5787,4915,5800,6092,4593,9723,10512,3084,1493	TGM3,IL1RAPL1,ROBO1,PTPRC,MYCBP2,EBF2,PTPRD,VCAN,BOC,UNC5D,MDGA2,OPCML,KDR,ANKFN1,CD96,DCC,CNTN4,IL1RAPL2,PSG1,CNTN5,CD83,ALPK2,IFNGR1,EPHA7,EPHB1,EPHA3,ADAMTSL1,VAPA,LRRN3,CNTN1,FGFR2,TEK,PLXNA4,SEMA4D,EPHA4,GBE1,CADM2,SEMA3A,PXDNL,NRCAM,FLRT3,USH2A,ATF7IP,VSTM2A,ALCAM,LRIG3,SEMA3D,SORCS3,PTPRB,NTRK2,PTPRO,ROBO2,MUSK,SEMA3E,SEMA3C,NRG1,CTLA4
4.10.900.10	TCF3-CBD (Catenin binding domain)	0.000237456069397438	-8.34552792255697	29	7	0.0107033639143731	654	14531	1000,1005,28316,1829,1006,1010,1007	CDH2,CDH7,CDH20,DSG2,CDH8,CDH12,CDH9
3.30.2160.10	Hect, E3 ligase catalytic domain	0.000863579714663853	-7.05442434887248	26	6	0.00917431192660551	654	14531	7337,10075,57520,57531,4734,23327	UBE3A,HUWE1,HECW2,HACE1,NEDD4,NEDD4L
3.30.2410.10	Hect, E3 ligase catalytic domain	0.00130889723020025	-6.63857030529669	28	6	0.00917431192660551	654	14531	23327,57531,4734,57520,10075,7337	NEDD4L,HACE1,NEDD4,HECW2,HUWE1,UBE3A
3.90.1750.10	Hect, E3 ligase catalytic domains	0.00130889723020025	-6.63857030529669	28	6	0.00917431192660551	654	14531	23327,57531,4734,57520,10075,7337	NEDD4L,HACE1,NEDD4,HECW2,HUWE1,UBE3A
2.60.40.150	C2 domain	0.00179169381028763	-6.3245938438233	156	16	0.0244648318042813	654	14531	5291,23327,5288,23322,7405,153241,5289,51760,22999,8821,4734,6857,57520,55784,200014,9462	PIK3CB,NEDD4L,PIK3C2G,RPGRIP1L,UVRAG,CEP120,PIK3C3,SYT17,RIMS1,INPP4B,NEDD4,SYT1,HECW2,MCTP2,CC2D1B,RASAL2
3.30.450.20	PAS domain	0.00184597095884608	-6.29474987496126	40	7	0.0107033639143731	654	14531	57685,8202,90134,6493,5151,781,2034	CACHD1,NCOA3,KCNH7,SIM2,PDE8A,CACNA2D1,EPAS1
3.30.1680.10	ligand-binding face of the semaphorins, domain 2	0.00191104924417475	-6.26010284525708	30	6	0.00917431192660551	654	14531	223117,10507,10512,80031,9723,10371	SEMA3D,SEMA4D,SEMA3C,SEMA6D,SEMA3E,SEMA3A
2.30.29.30	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)	0.0020717946397998	-6.17934007156256	431	33	0.0504587155963303	654	14531	161742,196996,200734,9649,55022,440107,9844,83478,6641,5587,2059,8898,257019,23362,129880,58504,2888,9459,5783,54545,23158,4983,23075,3702,2035,351,64411,26031,54477,50807,4651,323,389072	SPRED1,GRAMD2A,SPRED2,RALGPS1,PID1,PLEKHG7,ELMO1,ARHGAP24,SNTB1,PRKD1,EPS8,MTMR2,FRMD3,PSD3,BBS5,ARHGAP22,GRB14,ARHGEF6,PTPN13,MTMR12,TBC1D9,OPHN1,SWAP70,ITK,EPB41,APP,ARAP3,OSBPL3,PLEKHA5,ASAP1,MYO10,APBB2,PLEKHM3
2.60.40.1770	ephrin a2 ectodomain	0.00283496852059423	-5.8657244457109	14	4	0.00611620795107034	654	14531	2047,2042,2045,2043	EPHB1,EPHA3,EPHA7,EPHA4
2.30.42.10	-	0.00294414848535205	-5.82793564278683	149	15	0.0229357798165138	654	14531	25861,6641,56288,3603,9414,22999,23024,5783,8825,57568,117583,27152,23139,29951,64398	WHRN,SNTB1,PARD3,IL16,TJP2,RIMS1,PDZRN3,PTPN13,LIN7A,SIPA1L2,PARD3B,INTU,MAST2,PDZRN4,PALS1
2.60.40.60	Cadherins	0.00520884971168055	-5.25739623229962	114	12	0.018348623853211	654	14531	57526,1010,1006,1005,1007,1829,28316,27253,1015,5101,2195,1000	PCDH19,CDH12,CDH8,CDH7,CDH9,DSG2,CDH20,PCDH17,CDH17,PCDH9,FAT1,CDH2
2.20.70.10	-	0.00534652321493166	-5.23130879569681	48	7	0.0107033639143731	654	14531	10413,57520,54477,4734,23327,7402,323	YAP1,HECW2,PLEKHA5,NEDD4,NEDD4L,UTRN,APBB2
2.60.120.830	-	0.00544494300586424	-5.21306798989456	26	5	0.00764525993883792	654	14531	11174,79875,92949,80070,9508	ADAMTS6,THSD4,ADAMTSL1,ADAMTS20,ADAMTS3
