TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
5789	PTPRD (protein tyrosine phosphatase receptor type D)	2.24856783512789e-05	-10.7026319691382	123	17	0.0195627157652474	869	20077	114798,8499,112609,9308,2078,23544,9788,2534,353189,1956,2897,59272,1317,2861,11141,2239,340441	SLITRK1,PPFIA2,MRAP2,CD83,ERG,SEZ6L,MTSS1,FYN,SLCO4C1,EGFR,GRIK1,ACE2,SLC31A1,GPR37,IL1RAPL1,GPC4,POTEA
6810	STX4 (syntaxin 4)	4.21132118394285e-05	-10.0751490460933	423	37	0.0425776754890679	869	20077	56288,57685,121227,3459,7444,323,79971,5413,54463,196527,140767,1829,4012,57458,6857,29091,1837,222584,55117,51704,54901,351,6091,84803,23345,7871,9218,64116,23224,23673,54477,2697,81839,53407,7402,1902,1956	PARD3,CACHD1,LRIG3,IFNGR1,VRK2,APBB2,WLS,SEPTIN5,RETREG1,ANO6,NRSN1,DSG2,LNPEP,TMCC3,SYT1,STXBP6,DTNA,FAM83B,SLC6A15,GPRC5B,CDKAL1,APP,ROBO1,GPAT3,SYNE1,SLMAP,VAPA,SLC39A8,SYNE2,STX12,PLEKHA5,GJA1,VANGL1,STX18,UTRN,LPAR1,EGFR
650	BMP2 (bone morphogenetic protein 2)	8.87023298232276e-05	-9.33022440266644	26	7	0.00805523590333717	869	20077	658,285704,92,112574,7042,9241,168667	BMPR1B,RGMB,ACVR2A,SNX18,TGFB2,NOG,BMPER
80304	WDCP (WD repeat and coiled coil containing)	9.05554443661738e-05	-9.30954824991859	99	14	0.0161104718066743	869	20077	51701,5594,92949,7328,7337,6119,861,153241,3702,23322,9061,9169,53944,8607	NLK,MAPK1,ADAMTSL1,UBE2H,UBE3A,RPA3,RUNX1,CEP120,ITK,RPGRIP1L,PAPSS1,SCAF11,CSNK1G1,RUVBL1
57498	KIDINS220 (kinase D interacting substrate 220)	9.29021956834685e-05	-9.28396327751024	178	20	0.0230149597238205	869	20077	8788,5413,9218,112609,753,4915,56288,23274,10159,2099,6657,8887,7402,1956,5587,5160,2263,2932,2042,2697	DLK1,SEPTIN5,VAPA,MRAP2,LDLRAD4,NTRK2,PARD3,CLEC16A,ATP6AP2,ESR1,SOX2,TAX1BP1,UTRN,EGFR,PRKD1,PDHA1,FGFR2,GSK3B,EPHA3,GJA1
1501	CTNND2 (catenin delta 2)	0.000150483885981167	-8.80165454940031	37	8	0.00920598388952819	869	20077	83594,25917,1956,1000,2099,2534,1501,6119	NUDT12,THUMPD3,EGFR,CDH2,ESR1,FYN,CTNND2,RPA3
1445	CSK (C-terminal Src kinase)	0.000160495161204009	-8.7372467641103	855	60	0.0690448791714614	869	20077	8898,6546,57520,54823,1519,26577,7444,9723,6119,84959,137902,59272,3308,23024,2555,83594,3702,340273,2119,5519,55227,2890,55129,5066,81706,23051,1956,153830,9429,9649,2534,223117,9779,387882,839,353299,79971,129880,2334,1301,2632,5151,51704,3298,7328,55331,2897,9844,8549,26269,166815,132864,9414,115701,5205,84570,80117,3429,2697,54664	MTMR2,SLC8A1,HECW2,SWT1,CTSO,PCOLCE2,VRK2,SEMA3E,RPA3,UBASH3B,PXDNL,ACE2,HSPA4,PDZRN3,GABRA2,NUDT12,ITK,ABCB5,ETV5,PPP2R1B,LRRC1,GRIA1,ANO10,PAM,PPP1R14C,ZHX3,EGFR,RNF145,ABCG2,RALGPS1,FYN,SEMA3D,TBC1D5,C12orf75,CASP6,RGSL1,WLS,BBS5,AFF2,COL11A1,GBE1,PDE8A,GPRC5B,HSF2,UBE2H,ACER3,GRIK1,ELMO1,LGR5,FBXO8,TIGD2,CPEB2,TJP2,ALPK2,ATP8B1,COL25A1,ARL14,IFI27,GJA1,TMEM106B
7227	TRPS1 (transcriptional repressor GATA binding 1)	0.000173670432745145	-8.65835111944153	131	16	0.0184119677790564	869	20077	55553,23476,6119,639,1956,6657,2099,51701,1488,5594,2122,2078,6660,4085,6928,4781	SOX6,BRD4,RPA3,PRDM1,EGFR,SOX2,ESR1,NLK,CTBP2,MAPK1,MECOM,ERG,SOX5,MAD2L1,HNF1B,NFIB
5527	PPP2R5C (protein phosphatase 2 regulatory subunit B'gamma)	0.000181123252435121	-8.6163328057613	81	12	0.0138089758342923	869	20077	6657,2099,11124,5594,1956,57214,7328,6119,23075,351,5519,900	SOX2,ESR1,FAF1,MAPK1,EGFR,CEMIP,UBE2H,RPA3,SWAP70,APP,PPP2R1B,CCNG1
1500	CTNND1 (catenin delta 1)	0.000195105527960575	-8.54196997675109	232	23	0.0264672036823936	869	20077	84861,2045,6197,1000,2043,1308,23274,2534,351,56288,2898,1956,7328,5594,8613,6657,2932,10413,2697,1006,440107,6119,23476	KLHL22,EPHA7,RPS6KA3,CDH2,EPHA4,COL17A1,CLEC16A,FYN,APP,PARD3,GRIK2,EGFR,UBE2H,MAPK1,PLPP3,SOX2,GSK3B,YAP1,GJA1,CDH8,PLEKHG7,RPA3,BRD4
