TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR013098	Ig_I-set	2.85000384239785e-09	-19.675945494457	132	24	0.02937576499388	817	18605	4978,5789,91653,4593,26280,3791,54674,2263,137902,6091,121227,92949,1272,53942,4915,4897,152330,10512,3084,6092,1630,161357,115701,137970	OPCML,PTPRD,BOC,MUSK,IL1RAPL2,KDR,LRRN3,FGFR2,PXDNL,ROBO1,LRIG3,ADAMTSL1,CNTN1,CNTN5,NTRK2,NRCAM,CNTN4,SEMA3C,NRG1,ROBO2,DCC,MDGA2,ALPK2,UNC5D
IPR003598	Ig_sub2	8.69506248808465e-06	-11.6527552235151	242	27	0.0330477356181151	817	18605	4897,152330,3084,10507,6092,1630,115701,161357,5669,137970,11141,91653,4978,5789,253559,4593,2263,54674,3791,137902,214,6091,121227,53942,1272,92949,4915	NRCAM,CNTN4,NRG1,SEMA4D,ROBO2,DCC,ALPK2,MDGA2,PSG1,UNC5D,IL1RAPL1,BOC,OPCML,PTPRD,CADM2,MUSK,FGFR2,LRRN3,KDR,PXDNL,ALCAM,ROBO1,LRIG3,CNTN5,CNTN1,ADAMTSL1,NTRK2
IPR036116	FN3_sf	1.02499459807946e-05	-11.4882381225601	203	24	0.02937576499388	817	18605	1272,53942,5800,55729,5787,5788,2045,6091,54674,91653,5789,161357,1630,7399,7010,6092,23767,3459,2043,2047,152330,162282,2042,4897	CNTN1,CNTN5,PTPRO,ATF7IP,PTPRB,PTPRC,EPHA7,ROBO1,LRRN3,BOC,PTPRD,MDGA2,DCC,USH2A,TEK,ROBO2,FLRT3,IFNGR1,EPHA4,EPHB1,CNTN4,ANKFN1,EPHA3,NRCAM
IPR003961	FN3_dom	1.02499459807946e-05	-11.4882381225601	203	24	0.02937576499388	817	18605	5788,2045,5787,55729,5800,53942,1272,5789,91653,54674,6091,7010,6092,23767,1630,7399,161357,4897,2042,162282,152330,2043,3459,2047	PTPRC,EPHA7,PTPRB,ATF7IP,PTPRO,CNTN5,CNTN1,PTPRD,BOC,LRRN3,ROBO1,TEK,ROBO2,FLRT3,DCC,USH2A,MDGA2,NRCAM,EPHA3,ANKFN1,CNTN4,EPHA4,IFNGR1,EPHB1
IPR013783	Ig-like_fold	1.5842846352967e-05	-11.0527924937206	726	57	0.0697674418604651	817	18605	7399,1630,161357,5669,222008,23767,7010,2632,2043,3459,1272,22986,4915,9218,5787,1493,137902,91584,91653,4978,64641,253559,2263,26280,3791,115701,137970,11141,3084,1462,10507,6092,10371,223117,2047,10225,4897,9723,2042,10512,152330,162282,53942,92949,5788,2045,55729,5800,214,9308,6091,121227,7053,23077,5789,4593,54674	USH2A,DCC,MDGA2,PSG1,VSTM2A,FLRT3,TEK,GBE1,EPHA4,IFNGR1,CNTN1,SORCS3,NTRK2,VAPA,PTPRB,CTLA4,PXDNL,PLXNA4,BOC,OPCML,EBF2,CADM2,FGFR2,IL1RAPL2,KDR,ALPK2,UNC5D,IL1RAPL1,NRG1,VCAN,SEMA4D,ROBO2,SEMA3A,SEMA3D,EPHB1,CD96,NRCAM,SEMA3E,EPHA3,SEMA3C,CNTN4,ANKFN1,CNTN5,ADAMTSL1,PTPRC,EPHA7,ATF7IP,PTPRO,ALCAM,CD83,ROBO1,LRIG3,TGM3,MYCBP2,PTPRD,MUSK,LRRN3
IPR003599	Ig_sub	3.69447416992977e-05	-10.2060872292409	399	36	0.0440636474908201	817	18605	1630,161357,115701,11141,5669,137970,1462,3084,10507,6092,222008,10371,223117,4897,10225,152330,10512,92949,1272,53942,4915,1493,137902,9308,6091,214,121227,5789,4978,91653,253559,4593,3791,54674,26280,2263	DCC,MDGA2,ALPK2,IL1RAPL1,PSG1,UNC5D,VCAN,NRG1,SEMA4D,ROBO2,VSTM2A,SEMA3A,SEMA3D,NRCAM,CD96,CNTN4,SEMA3C,ADAMTSL1,CNTN1,CNTN5,NTRK2,CTLA4,PXDNL,CD83,ROBO1,ALCAM,LRIG3,PTPRD,OPCML,BOC,CADM2,MUSK,KDR,LRRN3,IL1RAPL2,FGFR2
IPR039808	Cadherin	8.76866114473749e-05	-9.34174133332614	34	8	0.00979192166462668	817	18605	1005,2195,1000,1015,1006,28316,1007,1010	CDH7,FAT1,CDH2,CDH17,CDH8,CDH20,CDH9,CDH12
IPR007110	Ig-like_dom	0.000109723249091805	-9.11754927975762	437	37	0.0452876376988984	817	18605	10225,4897,9723,10512,152330,10371,223117,3084,1462,222008,6092,10507,7010,1630,115701,161357,137970,5669,11141,91653,4978,5789,4593,253559,2263,26280,3791,54674,137902,6091,9308,214,121227,53942,92949,1272,4915	CD96,NRCAM,SEMA3E,SEMA3C,CNTN4,SEMA3A,SEMA3D,NRG1,VCAN,VSTM2A,ROBO2,SEMA4D,TEK,DCC,ALPK2,MDGA2,UNC5D,PSG1,IL1RAPL1,BOC,OPCML,PTPRD,MUSK,CADM2,FGFR2,IL1RAPL2,KDR,LRRN3,PXDNL,ROBO1,CD83,ALCAM,LRIG3,CNTN5,ADAMTSL1,CNTN1,NTRK2
IPR027231	Semaphorin	0.00016065767664154	-8.73623468866053	20	6	0.00734394124847001	817	18605	10507,9723,10512,10371,223117,80031	SEMA4D,SEMA3E,SEMA3C,SEMA3A,SEMA3D,SEMA6D
IPR020635	Tyr_kinase_cat_dom	0.000182949139851566	-8.60630236805935	80	12	0.01468788249694	817	18605	7010,1956,2045,3702,2534,4915,2042,2263,3791,4593,2043,2047	TEK,EGFR,EPHA7,ITK,FYN,NTRK2,EPHA3,FGFR2,KDR,MUSK,EPHA4,EPHB1
