TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa04360	Axon guidance	4.1000941999091e-09	-19.3122558879125	175	27	0.0876623376623377	308	7246	80031,10371,658,1630,9353,10512,9723,6091,2047,91653,2932,137970,7223,1946,91584,5291,2042,223117,10507,2770,7852,2534,5594,6092,2045,56288,2043	SEMA6D,SEMA3A,BMPR1B,DCC,SLIT2,SEMA3C,SEMA3E,ROBO1,EPHB1,BOC,GSK3B,UNC5D,TRPC4,EFNA5,PLXNA4,PIK3CB,EPHA3,SEMA3D,SEMA4D,GNAI1,CXCR4,FYN,MAPK1,ROBO2,EPHA7,PARD3,EPHA4
ko04360	Axon guidance	4.1000941999091e-09	-19.3122558879125	175	27	0.0876623376623377	308	7246	56288,2043,6092,2045,2534,5594,7852,10507,2770,2042,223117,5291,1946,91584,137970,2932,7223,9723,6091,91653,2047,10512,1630,9353,658,10371,80031	PARD3,EPHA4,ROBO2,EPHA7,FYN,MAPK1,CXCR4,SEMA4D,GNAI1,EPHA3,SEMA3D,PIK3CB,EFNA5,PLXNA4,UNC5D,GSK3B,TRPC4,SEMA3E,ROBO1,BOC,EPHB1,SEMA3C,DCC,SLIT2,BMPR1B,SEMA3A,SEMA6D
hsa04080	Neuroactive ligand-receptor interaction	0.000671639763325767	-7.30578842765564	277	24	0.0779220779220779	308	7246	1902,2911,3350,2925,886,4887,9287,4158,2566,151,56288,8001,2890,10203,2555,552,2897,9568,7201,1909,56923,2743,2898,10886	LPAR1,GRM1,HTR1A,GRPR,CCKAR,NPY2R,TAAR2,MC2R,GABRG2,ADRA2B,PARD3,GLRA3,GRIA1,CALCRL,GABRA2,AVPR1A,GRIK1,GABBR2,TRHR,EDNRA,NMUR2,GLRB,GRIK2,NPFFR2
ko04080	Neuroactive ligand-receptor interaction	0.000671639763325767	-7.30578842765564	277	24	0.0779220779220779	308	7246	4158,2566,151,56288,8001,2890,10203,2911,1902,3350,2925,886,4887,9287,56923,2743,2898,10886,2555,552,2897,9568,7201,1909	MC2R,GABRG2,ADRA2B,PARD3,GLRA3,GRIA1,CALCRL,GRM1,LPAR1,HTR1A,GRPR,CCKAR,NPY2R,TAAR2,NMUR2,GLRB,GRIK2,NPFFR2,GABRA2,AVPR1A,GRIK1,GABBR2,TRHR,EDNRA
hsa04015	Rap1 signaling pathway	0.00349243442295485	-5.65715624354348	210	18	0.0584415584415584	308	7246	2770,2263,5587,3791,1902,4254,284,5291,108,114,56288,64411,1946,8817,5594,57568,1956,7010	GNAI1,FGFR2,PRKD1,KDR,LPAR1,KITLG,ANGPT1,PIK3CB,ADCY2,ADCY8,PARD3,ARAP3,EFNA5,FGF18,MAPK1,SIPA1L2,EGFR,TEK
ko04015	Rap1 signaling pathway	0.00349243442295485	-5.65715624354348	210	18	0.0584415584415584	308	7246	1946,8817,56288,64411,57568,1956,7010,5594,2263,5587,3791,2770,114,284,1902,4254,5291,108	EFNA5,FGF18,PARD3,ARAP3,SIPA1L2,EGFR,TEK,MAPK1,FGFR2,PRKD1,KDR,GNAI1,ADCY8,ANGPT1,LPAR1,KITLG,PIK3CB,ADCY2
hsa05200	Pathways in cancer	0.00509912101893209	-5.27868710333469	395	28	0.0909090909090909	308	7246	6256,2932,7043,1488,3655,2737,862,5602,8321,1909,1630,7042,114,868,861,8817,2122,5594,1956,2770,2263,2034,7852,4254,1902,5915,5291,108	RXRA,GSK3B,TGFB3,CTBP2,ITGA6,GLI3,RUNX1T1,MAPK10,FZD1,EDNRA,DCC,TGFB2,ADCY8,CBLB,RUNX1,FGF18,MECOM,MAPK1,EGFR,GNAI1,FGFR2,EPAS1,CXCR4,KITLG,LPAR1,RARB,PIK3CB,ADCY2
hsa04072	Phospholipase D signaling pathway	0.00903251419842109	-4.70692452301777	146	13	0.0422077922077922	308	7246	5594,2534,1956,56894,8613,1608,108,552,5291,2911,4254,1902,114	MAPK1,FYN,EGFR,AGPAT3,PLPP3,DGKG,ADCY2,AVPR1A,PIK3CB,GRM1,KITLG,LPAR1,ADCY8
ko04072	Phospholipase D signaling pathway	0.00903251419842109	-4.70692452301777	146	13	0.0422077922077922	308	7246	1956,56894,2534,5594,114,108,552,1902,2911,4254,5291,8613,1608	EGFR,AGPAT3,FYN,MAPK1,ADCY8,ADCY2,AVPR1A,LPAR1,GRM1,KITLG,PIK3CB,PLPP3,DGKG
ko04024	cAMP signaling pathway	0.00996619021359221	-4.60855689305258	198	16	0.051948051948052	308	7246	4158,5594,2737,64411,6262,2890,5291,5139,108,3350,54714,114,2770,9568,5602,1909	MC2R,MAPK1,GLI3,ARAP3,RYR2,GRIA1,PIK3CB,PDE3A,ADCY2,HTR1A,CNGB3,ADCY8,GNAI1,GABBR2,MAPK10,EDNRA
