TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0045499	chemorepellent activity	8.49023568431009e-09	-18.5843490767835	28	11	0.0139593908629442	788	18530	1946,80031,3084,10371,9723,1803,10512,223117,23767,10507,2045	EFNA5,SEMA6D,NRG1,SEMA3A,SEMA3E,DPP4,SEMA3C,SEMA3D,FLRT3,SEMA4D,EPHA7
GO:0008013	beta-catenin binding	2.6219582273274e-06	-12.8515891043563	107	17	0.0215736040609137	788	18530	1007,2697,28316,23189,1501,1000,1005,2932,168002,9314,2099,1015,1010,51339,2737,1006,7223	CDH9,GJA1,CDH20,KANK1,CTNND2,CDH2,CDH7,GSK3B,DACT2,KLF4,ESR1,CDH17,CDH12,DACT1,GLI3,CDH8,TRPC4
GO:0030215	semaphorin receptor binding	3.30243576357372e-05	-10.3182651585933	23	7	0.00888324873096447	788	18530	80031,6014,10371,9723,223117,10512,10507	SEMA6D,RIT2,SEMA3A,SEMA3E,SEMA3D,SEMA3C,SEMA4D
GO:0019199	transmembrane receptor protein kinase activity	0.00015319338405981	-8.78380948657846	81	12	0.0152284263959391	788	18530	4915,1956,2042,2263,2045,4593,2047,658,7010,3791,92,2043	NTRK2,EGFR,EPHA3,FGFR2,EPHA7,MUSK,EPHB1,BMPR1B,TEK,KDR,ACVR2A,EPHA4
GO:0004714	transmembrane receptor protein tyrosine kinase activity	0.000264253728027616	-8.23860082535652	62	10	0.0126903553299492	788	18530	4915,2045,2263,2042,1956,2047,4593,2043,3791,7010	NTRK2,EPHA7,FGFR2,EPHA3,EGFR,EPHB1,MUSK,EPHA4,KDR,TEK
GO:0005173	stem cell factor receptor binding	0.000296758054576703	-8.12259338220864	4	3	0.00380710659898477	788	18530	200734,4254,161742	SPRED2,KITLG,SPRED1
GO:0004707	MAP kinase activity	0.000405356573966909	-7.81074344866057	16	5	0.00634517766497462	788	18530	6885,51701,5596,5602,5594	MAP3K7,NLK,MAPK4,MAPK10,MAPK1
GO:0042802	identical protein binding	0.000506597809585148	-7.58779314416217	2048	117	0.148477157360406	788	18530	590,6885,4289,114,25861,1803,23345,7247,1956,5195,53373,2263,7038,11116,79953,2890,23417,51562,284,3037,129401,10516,2043,6256,7518,285704,2099,839,1006,84959,4094,112609,5413,1075,2534,6928,51201,10404,6480,8460,9218,5596,7399,55553,6897,5800,23077,6310,10243,391257,6092,2898,57458,57829,9788,3791,351,283349,4915,7486,7042,4085,9353,2660,63950,4753,9241,6675,8942,3298,6913,6240,202051,56952,59272,222008,9061,1000,1297,8029,3429,5587,8898,7010,30061,205860,10178,8013,5635,79618,23051,56979,114899,79646,9194,64398,6857,7291,158158,6091,6014,7043,9992,3074,1317,64747,5594,57451,9429,23607,23767,214,8048,6456,6262,10486,63951	BCHE,MAP3K7,MKLN1,ADCY8,WHRN,DPP4,SYNE1,TSN,EGFR,PEX14,TPCN1,FGFR2,TG,CEP43,SYNDIG1,GRIA1,MLYCD,MBIP,ANGPT1,HAS2,NUP35,FBLN5,EPHA4,RXRA,XRCC4,RGMB,ESR1,CASP6,CDH8,UBASH3B,MAF,MRAP2,SEPTIN5,CTSC,FYN,HNF1B,ZDHHC2,CPQ,ST6GAL1,TPST1,VAPA,MAPK4,USH2A,SOX6,TARS1,PTPRO,MYCBP2,ATXN1,GPHN,SUMO1P1,ROBO2,GRIK2,TMCC3,ZP4,MTSS1,KDR,APP,RASSF3,NTRK2,WRN,TGFB2,MAD2L1,SLIT2,MSTN,DMRTA2,NELL2,NOG,UAP1,KYNU,HSF2,TBX15,RRM1,SPATA24,PRTFDC1,ACE2,VSTM2A,PAPSS1,CDH2,COL9A1,CUBN,IFI27,PRKD1,MTMR2,TEK,SLC40A1,TRIML2,TENM1,NR4A3,PRPSAP1,HMBOX1,ZHX3,PRDM9,C1QTNF3,PANK3,SLC16A7,PALS1,SYT1,TWIST1,RASEF,ROBO1,RIT2,TGFB3,KCNE2,HEXB,SLC31A1,MFSD1,MAPK1,TENM2,ABCG2,CD2AP,FLRT3,ALCAM,CSRP3,SH3GL2,RYR2,CAP2,DMRTA1
GO:0003707	nuclear steroid receptor activity	0.00051311080766408	-7.57501873677282	25	6	0.00761421319796954	788	18530	6256,2099,8013,2104,5139,11057	RXRA,ESR1,NR4A3,ESRRG,PDE3A,ABHD2
GO:0008046	axon guidance receptor activity	0.000842752631759456	-7.07883708103154	11	4	0.0050761421319797	788	18530	6091,2045,6092,2047	ROBO1,EPHA7,ROBO2,EPHB1
GO:0008188	neuropeptide receptor activity	0.000860368840494828	-7.05814937636499	48	8	0.0101522842639594	788	18530	2925,2861,22986,10886,56923,128674,4158,4887	GRPR,GPR37,SORCS3,NPFFR2,NMUR2,PROKR2,MC2R,NPY2R
