TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ephrina_ephapathway	EphrinA-EPHA pathway	0.00060374697580619	-7.4123553620267	8	4	0.03125	128	2232	2045,2043,1946,2042	EPHA7,EPHA4,EFNA5,EPHA3
ps1pathway	Presenilin action in Notch and Wnt signaling	0.00386194689231672	-5.55658384641249	46	8	0.0625	128	2232	5594,51701,8321,1840,83464,4734,2932,6885	MAPK1,NLK,FZD1,DTX1,APH1B,NEDD4,GSK3B,MAP3K7
ephrinarevpathway	Ephrin A  reverse signaling	0.00942466754367178	-4.66442482015118	3	2	0.015625	128	2232	2534,1946	FYN,EFNA5
syndecan_3_pathway	Syndecan-3-mediated signaling events	0.0137003524526978	-4.29033372000469	17	4	0.03125	128	2232	5764,2534,83464,1956	PTN,FYN,APH1B,EGFR
glypican_1pathway	Glypican 1 network	0.0142362249842734	-4.25196550756237	26	5	0.0390625	128	2232	2534,351,9353,7043,3084	FYN,APP,SLIT2,TGFB3,NRG1
bmppathway	BMP receptor signaling	0.0148589708600327	-4.20915149780866	36	6	0.046875	128	2232	9241,5594,6885,4093,285704,2932	NOG,MAPK1,MAP3K7,SMAD9,RGMB,GSK3B
ephrinbrevpathway	Ephrin B reverse signaling	0.016687226415016	-4.09311173756184	27	5	0.0390625	128	2232	6885,5783,2047,2534,7852	MAP3K7,PTPN13,EPHB1,FYN,CXCR4
epha_fwdpathway	EPHA forward signaling	0.0292450119487914	-3.5320462515117	31	5	0.0390625	128	2232	2043,2045,1946,2042,2534	EPHA4,EPHA7,EFNA5,EPHA3,FYN
lysophospholipid_pathway	LPA receptor mediated events	0.0298901061450329	-3.51022775150381	65	8	0.0625	128	2232	5291,108,2932,1902,5587,114,2770,1956	PIK3CB,ADCY2,GSK3B,LPAR1,PRKD1,ADCY8,GNAI1,EGFR
erbb4_pathway	ErbB4 signaling events	0.0331155758580636	-3.40775153755231	32	5	0.0390625	128	2232	5291,4734,10413,5594,2534	PIK3CB,NEDD4,YAP1,MAPK1,FYN
alk1pathway	ALK1 signaling events	0.0448772597947221	-3.10382407589904	24	4	0.03125	128	2232	7043,4093,92,5594	TGFB3,SMAD9,ACVR2A,MAPK1
erbb1_receptor_proximal_pathway	EGF receptor (ErbB1) signaling pathway	0.0511320070673768	-2.9733446164581	25	4	0.03125	128	2232	5594,2770,5291,1956	MAPK1,GNAI1,PIK3CB,EGFR
nephrin_neph1_pathway	Nephrin/Neph1 signaling in the kidney podocyte	0.0578403310825787	-2.85006897703704	26	4	0.03125	128	2232	5291,5602,23607,2534	PIK3CB,MAPK10,CD2AP,FYN
et_egfrpathway	EGFR-dependent Endothelin signaling events	0.072795592968432	-2.6200998617598	8	2	0.015625	128	2232	1909,1956	EDNRA,EGFR
pi3kcipathway	Class I PI3K signaling events	0.0820168536769942	-2.50083052019055	41	5	0.0390625	128	2232	3702,5291,64411,9459,2534	ITK,PIK3CB,ARAP3,ARHGEF6,FYN
botulinumtoxinpathway	Effects of Botulinum toxin	0.090167624669473	-2.40608484462008	9	2	0.015625	128	2232	22999,6857	RIMS1,SYT1
s1p_s1p1_pathway	S1P1 pathway	0.102954487977598	-2.27346825269846	20	3	0.0234375	128	2232	5594,2770,3791	MAPK1,GNAI1,KDR
