TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF07679	I-set	3.65022207943752e-09	-19.4284778275214	132	24	0.030188679245283	795	17869	5789,4897,137902,3791,92949,161357,3084,4978,4593,54674,91653,6091,10512,26280,137970,2263,115701,1272,152330,1630,53942,121227,6092,4915	PTPRD,NRCAM,PXDNL,KDR,ADAMTSL1,MDGA2,NRG1,OPCML,MUSK,LRRN3,BOC,ROBO1,SEMA3C,IL1RAPL2,UNC5D,FGFR2,ALPK2,CNTN1,CNTN4,DCC,CNTN5,LRIG3,ROBO2,NTRK2
PF00041	fn3	2.46632492804711e-06	-12.9127813987038	136	20	0.0251572327044025	795	17869	5788,1272,53942,1630,7010,7399,152330,6092,54674,5800,6091,2047,91653,2042,5789,162282,2043,4897,2045,5787	PTPRC,CNTN1,CNTN5,DCC,TEK,USH2A,CNTN4,ROBO2,LRRN3,PTPRO,ROBO1,EPHB1,BOC,EPHA3,PTPRD,ANKFN1,EPHA4,NRCAM,EPHA7,PTPRB
PF13927	Ig_3	5.48295383885635e-05	-9.8112814875412	141	18	0.0226415094339623	795	17869	5789,253559,214,2263,92949,137902,4897,4593,53942,4978,152330,161357,1272,6091,91653,5669,121227,6092	PTPRD,CADM2,ALCAM,FGFR2,ADAMTSL1,PXDNL,NRCAM,MUSK,CNTN5,OPCML,CNTN4,MDGA2,CNTN1,ROBO1,BOC,PSG1,LRIG3,ROBO2
PF01403	Sema	0.000278693827994269	-8.18539676941851	30	7	0.00880503144654088	795	17869	80031,10371,91584,10512,9723,223117,10507	SEMA6D,SEMA3A,PLXNA4,SEMA3C,SEMA3E,SEMA3D,SEMA4D
PF01049	CADH_Y-type_LIR	0.0003076264454554	-8.08662435050619	22	6	0.00754716981132075	795	17869	1005,1010,28316,1000,1007,1006	CDH7,CDH12,CDH20,CDH2,CDH9,CDH8
PF12947	EGF_3	0.000908628574634905	-7.00357415605258	18	5	0.00628930817610063	795	17869	22795,8029,4753,2201,7369	NID2,CUBN,NELL2,FBN2,UMOD
PF00632	HECT	0.00123666136386325	-6.69533997902129	28	6	0.00754716981132075	795	17869	23327,4734,57520,10075,7337,57531	NEDD4L,NEDD4,HECW2,HUWE1,UBE3A,HACE1
PF18452	Ig_6	0.00158602448679163	-6.44652471654968	6	3	0.00377358490566038	795	17869	223117,11141,10371	SEMA3D,IL1RAPL1,SEMA3A
PF07714	PK_Tyr_Ser-Thr	0.00194988857285865	-6.23998305016292	130	14	0.0176100628930818	795	17869	2043,658,2042,6885,2045,3702,3791,2263,7010,4593,2534,4915,2047,1956	EPHA4,BMPR1B,EPHA3,MAP3K7,EPHA7,ITK,KDR,FGFR2,TEK,MUSK,FYN,NTRK2,EPHB1,EGFR
PF12053	Par3_HAL_N_term	0.00197702171024593	-6.22616375344478	2	2	0.00251572327044025	795	17869	117583,56288	PARD3B,PARD3
PF20624	DMRT5_DMB	0.00197702171024593	-6.22616375344478	2	2	0.00251572327044025	795	17869	63950,63951	DMRTA2,DMRTA1
PF05210	Sprouty	0.00268389032308562	-5.92048792393951	7	3	0.00377358490566038	795	17869	200734,10252,161742	SPRED2,SPRY1,SPRED1
PF01404	Ephrin_lbd	0.00272163769934851	-5.9065214845122	14	4	0.0050314465408805	795	17869	2047,2043,2042,2045	EPHB1,EPHA4,EPHA3,EPHA7
PF14575	EphA2_TM	0.00272163769934851	-5.9065214845122	14	4	0.0050314465408805	795	17869	2042,2045,2043,2047	EPHA3,EPHA7,EPHA4,EPHB1
PF07699	Ephrin_rec_like	0.00272163769934851	-5.9065214845122	14	4	0.0050314465408805	795	17869	7038,2043,2042,2045	TG,EPHA4,EPHA3,EPHA7
PF00595	PDZ	0.00305509737811142	-5.79094381187102	122	13	0.0163522012578616	795	17869	64398,25861,6641,22999,8825,57568,56288,5783,3603,29951,117583,23024,9414	PALS1,WHRN,SNTB1,RIMS1,LIN7A,SIPA1L2,PARD3,PTPN13,IL16,PDZRN4,PARD3B,PDZRN3,TJP2
PF00028	Cadherin	0.00415080365250515	-5.48445331228144	112	12	0.0150943396226415	795	17869	5101,27253,1005,2195,1015,28316,1829,1006,57526,1010,1007,1000	PCDH9,PCDH17,CDH7,FAT1,CDH17,CDH20,DSG2,CDH8,PCDH19,CDH12,CDH9,CDH2
PF00792	PI3K_C2	0.00415275146727517	-5.483984160267	8	3	0.00377358490566038	795	17869	5289,5288,5291	PIK3C3,PIK3C2G,PIK3CB
PF05986	ADAMTS_spacer1	0.00435277960013201	-5.4369406494117	25	5	0.00628930817610063	795	17869	92949,80070,11174,79875,9508	ADAMTSL1,ADAMTS20,ADAMTS6,THSD4,ADAMTS3
PF19236	ADAMTS_CR_3	0.00435277960013201	-5.4369406494117	25	5	0.00628930817610063	795	17869	9508,79875,80070,11174,92949	ADAMTS3,THSD4,ADAMTS20,ADAMTS6,ADAMTSL1
PF00431	CUB	0.0044712748700604	-5.41008170519004	47	7	0.00880503144654088	795	17869	114788,8029,64478,26577,83999,8455,23544	CSMD3,CUBN,CSMD1,PCOLCE2,KREMEN1,ATRN,SEZ6L
PF19030	TSP1_ADAMTS	0.00519503990131168	-5.26005097374597	26	5	0.00628930817610063	795	17869	9508,92949,80070,79875,11174	ADAMTS3,ADAMTSL1,ADAMTS20,THSD4,ADAMTS6
PF07647	SAM_2	0.005434353966154	-5.21501463094707	37	6	0.00754716981132075	795	17869	23328,8499,8658,2043,64411,2042	SASH1,PPFIA2,TNKS,EPHA4,ARAP3,EPHA3
PF04814	HNF-1_N	0.00575557084322702	-5.15758705089731	3	2	0.00251572327044025	795	17869	6928,79618	HNF1B,HMBOX1
PF19309	Frem_N	0.00575557084322702	-5.15758705089731	3	2	0.00251572327044025	795	17869	158326,341640	FREM1,FREM2
PF01160	Opiods_neuropep	0.00575557084322702	-5.15758705089731	3	2	0.00251572327044025	795	17869	5368,5179	PNOC,PENK
PF15268	Dapper	0.00575557084322702	-5.15758705089731	3	2	0.00251572327044025	795	17869	168002,51339	DACT2,DACT1
PF03474	DMA	0.00575557084322702	-5.15758705089731	3	2	0.00251572327044025	795	17869	63950,63951	DMRTA2,DMRTA1
PF04621	ETS_PEA3_N	0.00575557084322702	-5.15758705089731	3	2	0.00251572327044025	795	17869	2119,2115	ETV5,ETV1
PF08517	AXH	0.00575557084322702	-5.15758705089731	3	2	0.00251572327044025	795	17869	26959,6310	HBP1,ATXN1
PF21549	PRDM2_PR	0.00581834998975643	-5.14673856434918	17	4	0.0050314465408805	795	17869	639,2122,11107,56979	PRDM1,MECOM,PRDM5,PRDM9
PF00326	Peptidase_S9	0.00602438917835341	-5.11193918593099	9	3	0.00377358490566038	795	17869	57628,1803,5550	DPP10,DPP4,PREP
PF03160	Calx-beta	0.00602438917835341	-5.11193918593099	9	3	0.00377358490566038	795	17869	158326,6546,341640	FREM1,SLC8A1,FREM2
PF00613	PI3Ka	0.00602438917835341	-5.11193918593099	9	3	0.00377358490566038	795	17869	5289,5288,5291	PIK3C3,PIK3C2G,PIK3CB
PF00397	WW	0.00707533011839062	-4.95114117669818	39	6	0.00754716981132075	795	17869	10413,54477,23327,4734,57520,323	YAP1,PLEKHA5,NEDD4L,NEDD4,HECW2,APBB2
PF01391	Collagen	0.00764890083665271	-4.87319332295017	78	9	0.0113207547169811	795	17869	1297,147372,114899,1301,131149,4481,340267,1308,84570	COL9A1,CCBE1,C1QTNF3,COL11A1,OTOL1,MSR1,COL28A1,COL17A1,COL25A1
PF13903	Claudin_2	0.0083240693258255	-4.78860404205853	10	3	0.00377358490566038	795	17869	130827,100507421,130733	TMEM182,TMEM178B,TMEM178A
PF00168	C2	0.00870188622614371	-4.74421546921825	123	12	0.0150943396226415	795	17869	6857,57520,23327,55784,200014,5288,153241,7405,51760,23322,9462,22999	SYT1,HECW2,NEDD4L,MCTP2,CC2D1B,PIK3C2G,CEP120,UVRAG,SYT17,RPGRIP1L,RASAL2,RIMS1
PF00989	PAS	0.0088298700136805	-4.72961498546211	19	4	0.0050314465408805	795	17869	2034,6493,8202,5151	EPAS1,SIM2,NCOA3,PDE8A
PF13855	LRR_8	0.0104871862549858	-4.55760112372824	173	15	0.0188679245283019	795	17869	137902,114798,4064,8549,23767,23507,9353,121227,54674,6251,4915,84631,55227,9258,55144	PXDNL,SLITRK1,CD180,LGR5,FLRT3,LRRC8B,SLIT2,LRIG3,LRRN3,RSU1,NTRK2,SLITRK2,LRRC1,MFHAS1,LRRC8D
PF00777	Glyco_transf_29	0.0106555955745938	-4.54167011873899	20	4	0.0050314465408805	795	17869	6489,6480,256435,7903	ST8SIA1,ST6GAL1,ST6GALNAC3,ST8SIA4
PF08686	PLAC	0.0110711885018346	-4.5034091756185	11	3	0.00377358490566038	795	17869	79875,11174,92949	THSD4,ADAMTS6,ADAMTSL1
PF05041	Pecanex_C	0.0111718226078018	-4.4943605093101	4	2	0.00251572327044025	795	17869	22990,64430	PCNX1,PCNX4
PF10541	KASH	0.0111718226078018	-4.4943605093101	4	2	0.00251572327044025	795	17869	23224,23345	SYNE2,SYNE1
PF15636	Tox-GHH	0.0111718226078018	-4.4943605093101	4	2	0.00251572327044025	795	17869	57451,10178	TENM2,TENM1
PF06484	Ten_N	0.0111718226078018	-4.4943605093101	4	2	0.00251572327044025	795	17869	57451,10178	TENM2,TENM1
PF07645	EGF_CA	0.0112872478070458	-4.48408170316453	69	8	0.010062893081761	795	17869	22795,10516,53353,8029,147372,2201,4753,7369	NID2,FBLN5,LRP1B,CUBN,CCBE1,FBN2,NELL2,UMOD
PF07648	Kazal_2	0.0127745310452295	-4.36030185235445	32	5	0.00628930817610063	795	17869	8404,353189,53919,23671,9806	SPARCL1,SLCO4C1,SLCO1C1,TMEFF2,SPOCK2
PF00001	7tm_1	0.0139148152142918	-4.27480116369779	280	21	0.0264150943396226	795	17869	7201,1909,57007,54112,2861,2925,128674,7852,552,4887,151,56923,9287,1902,4158,11245,8549,886,10886,3350,2857	TRHR,EDNRA,ACKR3,GPR88,GPR37,GRPR,PROKR2,CXCR4,AVPR1A,NPY2R,ADRA2B,NMUR2,TAAR2,LPAR1,MC2R,GPR176,LGR5,CCKAR,NPFFR2,HTR1A,GPR34
PF01562	Pep_M12B_propep	0.0164146434744482	-4.10958144776197	34	5	0.00628930817610063	795	17869	11174,80070,9508,8038,11086	ADAMTS6,ADAMTS20,ADAMTS3,ADAM12,ADAM29
PF00112	Peptidase_C1	0.0179595125214906	-4.01963535893243	13	3	0.00377358490566038	795	17869	27283,1075,1519	TINAG,CTSC,CTSO
PF00939	Na_sulph_symp	0.0180729327955277	-4.01333988563676	5	2	0.00251572327044025	795	17869	26266,6561	SLC13A4,SLC13A1
PF12534	Pannexin_like	0.0180729327955277	-4.01333988563676	5	2	0.00251572327044025	795	17869	23507,55144	LRRC8B,LRRC8D
PF16184	Cadherin_3	0.0180729327955277	-4.01333988563676	5	2	0.00251572327044025	795	17869	158326,341640	FREM1,FREM2
PF00169	PH	0.0200912867744768	-3.90746905170984	187	15	0.0188679245283019	795	17869	6641,50807,389072,5587,3702,4983,23075,64411,2888,83478,58504,9649,4651,54477,9459	SNTB1,ASAP1,PLEKHM3,PRKD1,ITK,OPHN1,SWAP70,ARAP3,GRB14,ARHGAP24,ARHGAP22,RALGPS1,MYO10,PLEKHA5,ARHGEF6
PF00005	ABC_tran	0.0208887270849218	-3.868545639453	49	6	0.00754716981132075	795	17869	19,9429,340273,10350,85320,5244	ABCA1,ABCG2,ABCB5,ABCA9,ABCC11,ABCB4
PF12781	AAA_9	0.0221152965642272	-3.81148575765783	14	3	0.00377358490566038	795	17869	1770,1767,127602	DNAH9,DNAH5,DNAH14
PF01094	ANF_receptor	0.0230679028807517	-3.76931311336651	37	5	0.00628930817610063	795	17869	2898,2911,9568,2890,2897	GRIK2,GRM1,GABBR2,GRIA1,GRIK1
PF00520	Ion_trans	0.0233595485496759	-3.75674944699328	109	10	0.0125786163522013	795	17869	54714,6262,80036,3747,285335,90134,53373,3755,7223,3739	CNGB3,RYR2,TRPM3,KCNC2,SLC9C1,KCNH7,TPCN1,KCNG1,TRPC4,KCNA4
PF01421	Reprolysin	0.0256212878472207	-3.66433171651615	38	5	0.00628930817610063	795	17869	8038,9508,11086,80070,11174	ADAM12,ADAMTS3,ADAM29,ADAMTS20,ADAMTS6
PF09068	EF-hand_2	0.0263163869499068	-3.63756345588766	6	2	0.00251572327044025	795	17869	1837,7402	DTNA,UTRN
PF09069	EF-hand_3	0.0263163869499068	-3.63756345588766	6	2	0.00251572327044025	795	17869	1837,7402	DTNA,UTRN
PF00930	DPPIV_N	0.0263163869499068	-3.63756345588766	6	2	0.00251572327044025	795	17869	57628,1803	DPP10,DPP4
PF06327	Adcy_cons_dom	0.0263163869499068	-3.63756345588766	6	2	0.00251572327044025	795	17869	108,114	ADCY2,ADCY8
PF18027	Pepdidase_M14_N	0.0263163869499068	-3.63756345588766	6	2	0.00251572327044025	795	17869	79841,23287	AGBL2,AGTPBP1
PF02816	Alpha_kinase	0.0263163869499068	-3.63756345588766	6	2	0.00251572327044025	795	17869	80216,115701	ALPK1,ALPK2
PF01153	Glypican	0.0263163869499068	-3.63756345588766	6	2	0.00251572327044025	795	17869	2262,2239	GPC5,GPC4
PF12777	MT	0.0267486485836905	-3.62127132715218	15	3	0.00377358490566038	795	17869	127602,1767,1770	DNAH14,DNAH5,DNAH9
PF17852	Dynein_AAA_lid	0.0267486485836905	-3.62127132715218	15	3	0.00377358490566038	795	17869	1770,1767,127602	DNAH9,DNAH5,DNAH14
PF00008	EGF	0.0269132213465564	-3.61513761324886	66	7	0.00880503144654088	795	17869	8029,8788,9353,1462,2195,3084,53353	CUBN,DLK1,SLIT2,VCAN,FAT1,NRG1,LRP1B
PF00090	TSP_1	0.0272153073938875	-3.60397569214277	52	6	0.00754716981132075	795	17869	9508,92949,137970,11174,79875,80070	ADAMTS3,ADAMTSL1,UNC5D,ADAMTS6,THSD4,ADAMTS20
PF01462	LRRNT	0.0302212777261289	-3.49920904221968	27	4	0.0050314465408805	795	17869	9353,4915,8549,54674	SLIT2,NTRK2,LGR5,LRRN3
PF12775	AAA_7	0.031857668677843	-3.44647715113103	16	3	0.00377358490566038	795	17869	1770,1767,127602	DNAH9,DNAH5,DNAH14
PF18199	Dynein_C	0.031857668677843	-3.44647715113103	16	3	0.00377358490566038	795	17869	127602,1767,1770	DNAH14,DNAH5,DNAH9
PF12780	AAA_8	0.031857668677843	-3.44647715113103	16	3	0.00377358490566038	795	17869	1770,1767,127602	DNAH9,DNAH5,DNAH14
PF12774	AAA_6	0.031857668677843	-3.44647715113103	16	3	0.00377358490566038	795	17869	1767,1770,127602	DNAH5,DNAH9,DNAH14
PF00178	Ets	0.0340558749401086	-3.37975272264682	28	4	0.0050314465408805	795	17869	26298,2119,2115,2078	EHF,ETV5,ETV1,ERG
PF01437	PSI	0.0340558749401086	-3.37975272264682	28	4	0.0050314465408805	795	17869	91584,80031,10507,8455	PLXNA4,SEMA6D,SEMA4D,ATRN
PF00794	PI3K_rbd	0.0357693856014075	-3.33066290222419	7	2	0.00251572327044025	795	17869	5288,5291	PIK3C2G,PIK3CB
PF00751	DM	0.0357693856014075	-3.33066290222419	7	2	0.00251572327044025	795	17869	63950,63951	DMRTA2,DMRTA1
PF10591	SPARC_Ca_bdg	0.0357693856014075	-3.33066290222419	7	2	0.00251572327044025	795	17869	8404,9806	SPARCL1,SPOCK2
PF00086	Thyroglobulin_1	0.0374375226833401	-3.28508179720775	17	3	0.00377358490566038	795	17869	7038,9806,22795	TG,SPOCK2,NID2
PF00102	Y_phosphatase	0.0376032235629181	-3.28066549920483	42	5	0.00628930817610063	795	17869	5788,5787,5800,5789,5783	PTPRC,PTPRB,PTPRO,PTPRD,PTPN13
PF12662	cEGF	0.0425351472078993	-3.15742455169512	30	4	0.0050314465408805	795	17869	2201,53353,10516,22795	FBN2,LRP1B,FBLN5,NID2
PF00047	ig	0.0433046314382135	-3.13949568807212	73	7	0.00880503144654088	795	17869	3791,10507,9723,1272,9308,11141,4978	KDR,SEMA4D,SEMA3E,CNTN1,CD83,IL1RAPL1,OPCML
PF00060	Lig_chan	0.0434808017114342	-3.13543577827368	18	3	0.00377358490566038	795	17869	2890,2897,2898	GRIA1,GRIK1,GRIK2
PF00454	PI3_PI4_kinase	0.0434808017114342	-3.13543577827368	18	3	0.00377358490566038	795	17869	5291,5288,5289	PIK3CB,PIK3C2G,PIK3C3
PF10613	Lig_chan-Glu_bd	0.0434808017114342	-3.13543577827368	18	3	0.00377358490566038	795	17869	2898,2890,2897	GRIK2,GRIA1,GRIK1
PF15351	JCAD	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	57608	JCAD
PF02159	Oest_recep	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	2099	ESR1
PF01783	Ribosomal_L32p	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	64983	MRPL32
PF15199	DAOA	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	267012	DAOA
PF14493	HTH_40	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	7486	WRN
PF05808	Podoplanin	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	10630	PDPN
PF19285	NmU-R2_C_term	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	56923	NMUR2
PF15245	VGLL4	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	9686	VGLL4
PF03368	Dicer_dimer	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	23405	DICER1
PF09173	eIF2_C	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	1968	EIF2S3
PF17669	DUF5529	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	100131378	C11orf91
PF12416	DUF3668	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	153241	CEP120
PF06784	UPF0240	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	29078	NDUFAF4
PF21800	KRR1-like_KH2	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	11103	KRR1
PF18455	GBR2_CC	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	9568	GABBR2
PF09758	FPL	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	23274	CLEC16A
PF07160	SKA1	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	220134	SKA1
PF15079	Tsc35	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	84066	TEX35
PF01687	Flavokinase	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	55312	RFK
PF08983	V1R_C	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	552	AVPR1A
PF10496	Syntaxin-18_N	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	53407	STX18
PF07140	IFNGR1_D2	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	3459	IFNGR1
PF15175	SPATA24	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	202051	SPATA24
PF20932	Dicer_dsRBD	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	23405	DICER1
PF15395	DUF4617	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	55196	RESF1
PF15123	DUF4562	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	152940	SPMIP2
PF21677	BLTP1_mid	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	84162	BLTP1
PF16599	PTN13_u3	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	5783	PTPN13
PF06963	FPN1	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	30061	SLC40A1
PF10479	BLTP1_C	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	84162	BLTP1
PF10158	LOH1CR12	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	118426	BORCS5
PF02922	CBM_48	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	2632	GBE1
PF02867	Ribonuc_red_lgC	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	6240	RRM1
PF04902	Nab1	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	4664	NAB1
PF12743	ESR1_C	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	2099	ESR1
PF04800	NDUS4	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	4724	NDUFS4
PF07225	NDUF_B4	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	4710	NDUFB4
PF06632	XRCC4	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	7518	XRCC4
PF18831	LRR_11	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	4064	CD180
PF14951	DUF4503	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	23514	SPIDR
PF21636	PPP1R21_C	0.0444904583359922	-3.11248053221698	1	1	0.00125786163522013	795	17869	129285	PPP1R21
