TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00109	TYRKINASE	0.00153170387519621	-6.48137451930009	98	12	0.05	240	5258	2047,6885,2045,2263,4915,7010,4593,3702,2042,1956,2043,2534	EPHB1,MAP3K7,EPHA7,FGFR2,NTRK2,TEK,MUSK,ITK,EPHA3,EGFR,EPHA4,FYN
PR00014	FNTYPEIII	0.00389168582319712	-5.54891284165846	34	6	0.025	240	5258	2043,5789,2045,2042,1630,2047	EPHA4,PTPRD,EPHA7,EPHA3,DCC,EPHB1
PR00205	CADHERIN	0.00508822091668678	-5.28082703472676	113	12	0.05	240	5258	1006,1007,1010,1015,1829,2195,57526,27253,1000,5101,1005,28316	CDH8,CDH9,CDH12,CDH17,DSG2,FAT1,PCDH19,PCDH17,CDH2,PCDH9,CDH7,CDH20
PR01028	OPIOIDPRCRSR	0.00603753298791525	-5.10975979618148	3	2	0.00833333333333333	240	5258	5368,5179	PNOC,PENK
PR01423	TGFBETA	0.00603753298791525	-5.10975979618148	3	2	0.00833333333333333	240	5258	7042,7043	TGFB2,TGFB3
PR01292	RETNOICACIDR	0.0117119143411282	-4.44714863555972	4	2	0.00833333333333333	240	5258	5915,2104	RARB,ESRRG
PR01857	ADAMTSFAMILY	0.0218873882025683	-3.82184468920419	24	4	0.0166666666666667	240	5258	80070,92949,11174,9508	ADAMTS20,ADAMTSL1,ADAMTS6,ADAMTS3
PR00171	SUGRTRNSPORT	0.0235267610140296	-3.74961673918038	14	3	0.0125	240	5258	81031,56606,154091	SLC2A10,SLC2A9,SLC2A12
PR00700	PRTYPHPHTASE	0.0250984345413503	-3.68494980365992	37	5	0.0208333333333333	240	5258	5783,5787,5789,5788,5800	PTPN13,PTPRB,PTPRD,PTPRC,PTPRO
PR00653	ACTIVIN2R	0.0275548537953797	-3.59157657758082	6	2	0.00833333333333333	240	5258	92,658	ACVR2A,BMPR1B
PR00454	ETSDOMAIN	0.03661130134784	-3.30739830624192	28	4	0.0166666666666667	240	5258	2119,26298,2115,2078	ETV5,EHF,ETV1,ERG
