TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50853	FN3	3.35329496729067e-05	-10.302982030198	192	23	0.0400696864111498	574	12232	7399,91653,162282,2045,2043,2042,55729,7010,5788,152330,5789,6091,54674,53942,23767,1630,5800,2047,6092,5787,4897,1272,161357	USH2A,BOC,ANKFN1,EPHA7,EPHA4,EPHA3,ATF7IP,TEK,PTPRC,CNTN4,PTPRD,ROBO1,LRRN3,CNTN5,FLRT3,DCC,PTPRO,EPHB1,ROBO2,PTPRB,NRCAM,CNTN1,MDGA2
PS50835	IG_LIKE	0.000334940019478685	-8.0015590885022	435	37	0.0644599303135888	574	12232	10512,91653,92949,121227,137902,10507,115701,214,2263,7010,11141,10371,137970,5789,4915,9308,222008,4978,223117,152330,54674,26280,6091,3791,53942,5669,1630,1462,253559,10225,4593,3084,4897,6092,9723,161357,1272	SEMA3C,BOC,ADAMTSL1,LRIG3,PXDNL,SEMA4D,ALPK2,ALCAM,FGFR2,TEK,IL1RAPL1,SEMA3A,UNC5D,PTPRD,NTRK2,CD83,VSTM2A,OPCML,SEMA3D,CNTN4,LRRN3,IL1RAPL2,ROBO1,KDR,CNTN5,PSG1,DCC,VCAN,CADM2,CD96,MUSK,NRG1,NRCAM,ROBO2,SEMA3E,MDGA2,CNTN1
PS00109	PROTEIN_KINASE_TYR	0.000426462486497972	-7.75998615152939	94	13	0.0226480836236934	574	12232	2043,2045,3791,3702,4915,2263,7010,2047,2534,1956,4593,152110,2042	EPHA4,EPHA7,KDR,ITK,NTRK2,FGFR2,TEK,EPHB1,FYN,EGFR,MUSK,NEK10,EPHA3
PS51004	SEMA	0.000474238901584912	-7.65379935145796	31	7	0.0121951219512195	574	12232	10512,10371,10507,9723,80031,91584,223117	SEMA3C,SEMA3A,SEMA4D,SEMA3E,SEMA6D,PLXNA4,SEMA3D
PS01159	WW_DOMAIN_1	0.000541859732691985	-7.52050338578928	41	8	0.0139372822299652	574	12232	323,10413,57520,4734,7402,54477,10788,23327	APBB2,YAP1,HECW2,NEDD4,UTRN,PLEKHA5,IQGAP2,NEDD4L
PS01186	EGF_2	0.00105460399077027	-6.85458994671968	213	21	0.0365853658536585	574	12232	23671,8455,57451,7010,3084,2047,10178,4753,2042,8029,9353,53353,10516,2195,22795,2201,1462,8788,7369,2045,147372	TMEFF2,ATRN,TENM2,TEK,NRG1,EPHB1,TENM1,NELL2,EPHA3,CUBN,SLIT2,LRP1B,FBLN5,FAT1,NID2,FBN2,VCAN,DLK1,UMOD,EPHA7,CCBE1
PS50237	HECT	0.00161776675955673	-6.42670862428657	28	6	0.0104529616724739	574	12232	7337,57520,23327,57531,10075,4734	UBE3A,HECW2,NEDD4L,HACE1,HUWE1,NEDD4
PS50020	WW_DOMAIN_2	0.00210191048192544	-6.16490859452965	50	8	0.0139372822299652	574	12232	57520,323,10413,7402,4734,10788,54477,23327	HECW2,APBB2,YAP1,UTRN,NEDD4,IQGAP2,PLEKHA5,NEDD4L
PS50026	EGF_3	0.00217816567718067	-6.12927218887009	196	19	0.0331010452961672	574	12232	22795,2195,9353,53353,10516,4753,8029,10178,7010,3084,8455,23671,57451,147372,8038,7369,1462,8788,2201	NID2,FAT1,SLIT2,LRP1B,FBLN5,NELL2,CUBN,TENM1,TEK,NRG1,ATRN,TMEFF2,TENM2,CCBE1,ADAM12,UMOD,VCAN,DLK1,FBN2
PS00010	ASX_HYDROXYL	0.00245560298645727	-6.00938293222937	100	12	0.0209059233449477	574	12232	7369,10516,53353,8788,9353,1462,22795,147372,2195,2201,8029,4753	UMOD,FBLN5,LRP1B,DLK1,SLIT2,VCAN,NID2,CCBE1,FAT1,FBN2,CUBN,NELL2
PS50106	PDZ	0.00290925317791303	-5.83985887062882	143	15	0.0261324041811847	574	12232	29951,23139,3603,25861,27152,57568,22999,8825,117583,23024,9414,56288,6641,5783,64398	PDZRN4,MAST2,IL16,WHRN,INTU,SIPA1L2,RIMS1,LIN7A,PARD3B,PDZRN3,TJP2,PARD3,SNTB1,PTPN13,PALS1
PS51227	SPR	0.00312207442420001	-5.76925761854394	7	3	0.00522648083623693	574	12232	161742,10252,200734	SPRED1,SPRY1,SPRED2
PS00791	RECEPTOR_TYR_KIN_V_2	0.00329535843057256	-5.71524033680038	14	4	0.00696864111498258	574	12232	2045,2042,2047,2043	EPHA7,EPHA3,EPHB1,EPHA4
PS51550	EPH_LBD	0.00329535843057256	-5.71524033680038	14	4	0.00696864111498258	574	12232	2047,2043,2042,2045	EPHB1,EPHA4,EPHA3,EPHA7
PS00790	RECEPTOR_TYR_KIN_V_1	0.00329535843057256	-5.71524033680038	14	4	0.00696864111498258	574	12232	2043,2047,2045,2042	EPHA4,EPHB1,EPHA7,EPHA3
PS51547	C2_PI3K	0.00482205544811378	-5.33455500030259	8	3	0.00522648083623693	574	12232	5291,5288,5289	PIK3CB,PIK3C2G,PIK3C3
PS00232	CADHERIN_1	0.00500803730951173	-5.29671119522972	109	12	0.0209059233449477	574	12232	5101,1005,1015,28316,27253,1000,2195,1829,57526,1007,1006,1010	PCDH9,CDH7,CDH17,CDH20,PCDH17,CDH2,FAT1,DSG2,PCDH19,CDH9,CDH8,CDH12
PS01187	EGF_CA	0.00522838584941977	-5.2536526815404	96	11	0.0191637630662021	574	12232	9353,10516,53353,22795,2195,4753,8029,7369,1462,147372,2201	SLIT2,FBLN5,LRP1B,NID2,FAT1,NELL2,CUBN,UMOD,VCAN,CCBE1,FBN2
PS51148	AXH	0.0063895659239091	-5.05308894343073	3	2	0.00348432055749129	574	12232	26959,6310	HBP1,ATXN1
PS51488	KBD	0.0063895659239091	-5.05308894343073	3	2	0.00348432055749129	574	12232	200734,161742	SPRED2,SPRED1
PS51937	HNF_P1	0.0063895659239091	-5.05308894343073	3	2	0.00348432055749129	574	12232	79618,6928	HMBOX1,HNF1B
PS51936	POU_4	0.0063895659239091	-5.05308894343073	3	2	0.00348432055749129	574	12232	79618,6928	HMBOX1,HNF1B
PS01252	OPIOIDS_PRECURSOR	0.0063895659239091	-5.05308894343073	3	2	0.00348432055749129	574	12232	5368,5179	PNOC,PENK
PS50268	CADHERIN_2	0.00714995681602972	-4.94064896201058	114	12	0.0209059233449477	574	12232	1015,28316,5101,1829,1010,1007,1006,2195,1005,57526,27253,1000	CDH17,CDH20,PCDH9,DSG2,CDH12,CDH9,CDH8,FAT1,CDH7,PCDH19,PCDH17,CDH2
PS01180	CUB	0.00747547673119697	-4.89612738499028	49	7	0.0121951219512195	574	12232	8029,8455,114788,26577,64478,83999,23544	CUBN,ATRN,CSMD3,PCOLCE2,CSMD1,KREMEN1,SEZ6L
PS50900	PLAC	0.00867806686857275	-4.74695648610758	18	4	0.00696864111498258	574	12232	11174,92949,79875,9508	ADAMTS6,ADAMTSL1,THSD4,ADAMTS3
PS51545	PIK_HELICAL	0.0096311625640073	-4.642751337301	10	3	0.00522648083623693	574	12232	5291,5288,5289	PIK3CB,PIK3C2G,PIK3C3
