TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-422475	Axon guidance	6.06815754449426e-06	-12.0124555336485	551	47	0.104212860310421	451	10391	83464,7010,1272,2263,161,4897,200734,6091,5519,214,5291,9723,285643,6092,10371,2932,4254,161742,2534,3791,285704,10507,284,3084,2042,1956,6456,2045,5594,9353,7903,10486,8817,9462,2043,7223,2047,5788,4651,287,91584,80031,6197,137970,1630,1297,1946	APH1B,TEK,CNTN1,FGFR2,AP2A2,NRCAM,SPRED2,ROBO1,PPP2R1B,ALCAM,PIK3CB,SEMA3E,KIF4B,ROBO2,SEMA3A,GSK3B,KITLG,SPRED1,FYN,KDR,RGMB,SEMA4D,ANGPT1,NRG1,EPHA3,EGFR,SH3GL2,EPHA7,MAPK1,SLIT2,ST8SIA4,CAP2,FGF18,RASAL2,EPHA4,TRPC4,EPHB1,PTPRC,MYO10,ANK2,PLXNA4,SEMA6D,RPS6KA3,UNC5D,DCC,COL9A1,EFNA5
R-HSA-1500931	Cell-Cell communication	1.8515772623316e-05	-10.8968876148817	134	18	0.0399113082039911	451	10391	2534,56288,1015,3655,1630,1000,101928583,23607,1308,5291,1006,1005,9459,64398,1007,253559,1010,6251	FYN,PARD3,CDH17,ITGA6,DCC,CDH2,SLC7A14-AS1,CD2AP,COL17A1,PIK3CB,CDH8,CDH7,ARHGEF6,PALS1,CDH9,CADM2,CDH12,RSU1
R-HSA-446728	Cell junction organization	2.64797964904333e-05	-10.5391285123316	89	14	0.0310421286031042	451	10391	1308,1000,101928583,56288,1015,3655,253559,1007,1010,6251,1006,1005,64398,9459	COL17A1,CDH2,SLC7A14-AS1,PARD3,CDH17,ITGA6,CADM2,CDH9,CDH12,RSU1,CDH8,CDH7,PALS1,ARHGEF6
R-HSA-418990	Adherens junctions interactions	0.000293944940529266	-8.13211808527548	31	7	0.0155210643015521	451	10391	1010,1007,253559,1000,1005,1006,1015	CDH12,CDH9,CADM2,CDH2,CDH7,CDH8,CDH17
R-HSA-1630316	Glycosaminoglycan metabolism	0.000298500903030147	-8.11673759990957	124	15	0.0332594235033259	451	10391	57214,337876,9957,83539,3037,10090,3074,411,1462,2239,64579,51000,2262,9061,11046	CEMIP,CHSY3,HS3ST1,CHST9,HAS2,UST,HEXB,ARSB,VCAN,GPC4,NDST4,SLC35B3,GPC5,PAPSS1,SLC35D2
R-HSA-421270	Cell-cell junction organization	0.00030340690767332	-8.10043572376347	62	10	0.0221729490022173	451	10391	101928583,1000,253559,1007,1010,1015,1006,56288,1005,64398	SLC7A14-AS1,CDH2,CADM2,CDH9,CDH12,CDH17,CDH8,PARD3,CDH7,PALS1
R-HSA-428542	Regulation of Commissural axon pathfinding by Slit and Robo	0.000314462808114502	-8.0646447460043	4	3	0.00665188470066519	451	10391	9353,6091,6092	SLIT2,ROBO1,ROBO2
R-HSA-373752	Netrin-1 signaling	0.000379807988325419	-7.87584472682829	42	8	0.0177383592017738	451	10391	7223,6091,2534,137970,1630,9353,285704,4651	TRPC4,ROBO1,FYN,UNC5D,DCC,SLIT2,RGMB,MYO10
R-HSA-112315	Transmission across Chemical Synapses	0.000482354812040987	-7.63683059015411	217	21	0.0465631929046563	451	10391	2890,5594,6857,406974,114,161,6507,2898,22999,590,2897,2770,8825,2566,8499,9568,83988,108,781,2555,6197	GRIA1,MAPK1,SYT1,MIR197,ADCY8,AP2A2,SLC1A3,GRIK2,RIMS1,BCHE,GRIK1,GNAI1,LIN7A,GABRG2,PPFIA2,GABBR2,NCALD,ADCY2,CACNA2D1,GABRA2,RPS6KA3
R-HSA-3928665	EPH-ephrin mediated repulsion of cells	0.000966784731877726	-6.94153470169063	48	8	0.0177383592017738	451	10391	2045,1946,2534,2047,2043,83464,2042,161	EPHA7,EFNA5,FYN,EPHB1,EPHA4,APH1B,EPHA3,AP2A2
