TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00408	IGc2	6.83468471411955e-05	-9.59091512400462	242	27	0.0556701030927835	485	9743	214,115701,11141,161357,4897,4593,137970,92949,253559,10507,5669,3791,4978,1630,137902,5789,6091,152330,53942,4915,6092,91653,121227,2263,1272,54674,3084	ALCAM,ALPK2,IL1RAPL1,MDGA2,NRCAM,MUSK,UNC5D,ADAMTSL1,CADM2,SEMA4D,PSG1,KDR,OPCML,DCC,PXDNL,PTPRD,ROBO1,CNTN4,CNTN5,NTRK2,ROBO2,BOC,LRIG3,FGFR2,CNTN1,LRRN3,NRG1
SM00060	FN3	0.000144372693667379	-8.84311245141405	149	19	0.0391752577319588	485	9743	6091,4897,7010,7399,162282,5788,2045,5787,91653,5800,6092,53942,152330,1630,2047,1272,2043,2042,5789	ROBO1,NRCAM,TEK,USH2A,ANKFN1,PTPRC,EPHA7,PTPRB,BOC,PTPRO,ROBO2,CNTN5,CNTN4,DCC,EPHB1,CNTN1,EPHA4,EPHA3,PTPRD
SM00409	IG	0.000375085473310097	-7.88835662913877	399	36	0.0742268041237113	485	9743	121227,10371,2263,1272,10512,3084,54674,6091,10225,6092,222008,91653,152330,53942,4915,5669,3791,4978,1630,253559,10507,5789,223117,137902,1462,11141,1493,161357,4897,214,115701,137970,92949,26280,9308,4593	LRIG3,SEMA3A,FGFR2,CNTN1,SEMA3C,NRG1,LRRN3,ROBO1,CD96,ROBO2,VSTM2A,BOC,CNTN4,CNTN5,NTRK2,PSG1,KDR,OPCML,DCC,CADM2,SEMA4D,PTPRD,SEMA3D,PXDNL,VCAN,IL1RAPL1,CTLA4,MDGA2,NRCAM,ALCAM,ALPK2,UNC5D,ADAMTSL1,IL1RAPL2,CD83,MUSK
SM00219	TyrKc	0.00055306446125867	-7.50003599676391	80	12	0.0247422680412371	485	9743	2043,3791,2047,2263,2534,1956,7010,3702,2042,2045,4915,4593	EPHA4,KDR,EPHB1,FGFR2,FYN,EGFR,TEK,ITK,EPHA3,EPHA7,NTRK2,MUSK
SM00630	Sema	0.000671723725819779	-7.30566342426706	31	7	0.0144329896907217	485	9743	91584,10507,10512,9723,10371,80031,223117	PLXNA4,SEMA4D,SEMA3C,SEMA3E,SEMA3A,SEMA6D,SEMA3D
SM00423	PSI	0.000939138404642323	-6.97054769383248	42	8	0.0164948453608247	485	9743	80031,223117,8455,10507,91584,10512,10371,9723	SEMA6D,SEMA3D,ATRN,SEMA4D,PLXNA4,SEMA3C,SEMA3A,SEMA3E
SM00119	HECTc	0.0021767135746796	-6.12993907420532	28	6	0.0123711340206186	485	9743	57531,23327,4734,7337,10075,57520	HACE1,NEDD4L,NEDD4,UBE3A,HUWE1,HECW2
SM00615	EPH_lbd	0.00407172343205802	-5.5036889214762	14	4	0.00824742268041237	485	9743	2045,2047,2043,2042	EPHA7,EPHB1,EPHA4,EPHA3
SM00228	PDZ	0.00496447633532506	-5.30544745828111	143	15	0.0309278350515464	485	9743	25861,23139,9414,22999,3603,29951,117583,57568,6641,5783,23024,8825,27152,56288,64398	WHRN,MAST2,TJP2,RIMS1,IL16,PDZRN4,PARD3B,SIPA1L2,SNTB1,PTPN13,PDZRN3,LIN7A,INTU,PARD3,PALS1
SM00142	PI3K_C2	0.0056894506085323	-5.16914158936628	8	3	0.00618556701030928	485	9743	5288,5289,5291	PIK3C2G,PIK3C3,PIK3CB
