TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2857	Mesodermal Commitment Pathway	0.00252171686636919	-5.98281531325744	156	16	0.0634920634920635	252	5358	58499,8320,79668,10413,6657,3720,51701,1488,92,9314,5915,5090,9241,154091,10124,406911	ZNF462,EOMES,PARP8,YAP1,SOX2,JARID2,NLK,CTBP2,ACVR2A,KLF4,RARB,PBX3,NOG,SLC2A12,ARL4A,MIR125B1
WP2858	Ectoderm Differentiation	0.00293689869046859	-5.83040112158307	144	15	0.0595238095238095	252	5358	5783,5787,91653,51701,2263,6657,5420,2534,101928583,1006,2737,7903,9079,1501,10486	PTPN13,PTPRB,BOC,NLK,FGFR2,SOX2,PODXL,FYN,SLC7A14-AS1,CDH8,GLI3,ST8SIA4,LDB2,CTNND2,CAP2
WP3853	ERK Pathway in Huntington's Disease	0.00329041322018055	-5.71674212325266	14	4	0.0158730158730159	252	5358	5594,1956,2911,4915	MAPK1,EGFR,GRM1,NTRK2
WP1539	Angiogenesis	0.00450229767144068	-5.40316741886096	24	5	0.0198412698412698	252	5358	284,3791,5594,7010,2263	ANGPT1,KDR,MAPK1,TEK,FGFR2
WP2795	Cardiac Hypertrophic Response	0.00477976378158369	-5.34336415177861	57	8	0.0317460317460317	252	5358	3084,5594,9734,6885,2932,5587,2263,5607	NRG1,MAPK1,HDAC9,MAP3K7,GSK3B,PRKD1,FGFR2,MAP2K5
WP1544	MicroRNAs in cardiomyocyte hypertrophy	0.0079999034350476	-4.8283258079942	102	11	0.0436507936507936	252	5358	5607,406911,406912,2932,8321,3084,5596,2263,9734,5291,5594	MAP2K5,MIR125B1,MIR125B2,GSK3B,FZD1,NRG1,MAPK4,FGFR2,HDAC9,PIK3CB,MAPK1
WP3915	Angiopoietin Like Protein 8 Regulatory Pathway	0.00874440682159265	-4.73934100339048	132	13	0.0515873015873016	252	5358	5594,868,5291,5602,5289,6197,5596,6885,6256,5288,5607,2932,53919	MAPK1,CBLB,PIK3CB,MAPK10,PIK3C3,RPS6KA3,MAPK4,MAP3K7,RXRA,PIK3C2G,MAP2K5,GSK3B,SLCO1C1
WP363	Wnt Signaling Pathway Netpath	0.0113235745308802	-4.48086848477319	53	7	0.0277777777777778	252	5358	7010,5594,53944,51701,2697,2932,6885	TEK,MAPK1,CSNK1G1,NLK,GJA1,GSK3B,MAP3K7
WP516	Hypertrophy Model	0.0127537581552339	-4.36192929353685	20	4	0.0158730158730159	252	5358	3475,8013,11072,2660	IFRD1,NR4A3,DUSP14,MSTN
WP2853	Endoderm Differentiation	0.0192492618559478	-3.95028256412911	146	13	0.0515873015873016	252	5358	6928,9241,154091,1488,5090,351,79668,6657,51701,3720,9425,58499,8320	HNF1B,NOG,SLC2A12,CTBP2,PBX3,APP,PARP8,SOX2,NLK,JARID2,CDYL,ZNF462,EOMES
WP2868	TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer	0.0200505134287629	-3.90950051813783	5	2	0.00793650793650794	252	5358	1956,5594	EGFR,MAPK1
WP24	Peptide GPCRs	0.0220106075978669	-3.81623077828791	74	8	0.0317460317460317	252	5358	7852,2925,552,7201,886,4887,4158,1909	CXCR4,GRPR,AVPR1A,TRHR,CCKAR,NPY2R,MC2R,EDNRA
WP399	Wnt Signaling Pathway and Pluripotency	0.0281480163498887	-3.57027839402364	107	10	0.0396825396825397	252	5358	5602,8321,5519,1488,2932,6885,51701,5587,6657,28227	MAPK10,FZD1,PPP2R1B,CTBP2,GSK3B,MAP3K7,NLK,PRKD1,SOX2,PPP2R3B
