TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0007275	multicellular organism development	2.06108346569615e-11	-24.605204224177	3972	140	0.353535353535354	396	18905	23118,6753,23081,886,4897,23345,9060,4593,5270,7204,4753,91137,63951,89797,57822,10512,53942,3912,55755,2702,9314,55294,590,56034,6310,10529,54145,688,1016,1825,51339,56913,9211,8829,3670,117154,51776,7436,170302,11240,10395,339479,2895,4129,6197,285220,2044,5362,8796,84525,2043,221935,54886,644943,56243,117531,255324,115908,50507,4747,9723,23022,84700,7227,140733,56853,5915,4488,1006,284,1131,5028,2042,639,8470,9734,56923,4325,84694,5954,9369,4133,6507,3248,1009,306,3685,800,1295,2697,8633,4856,1004,7852,203228,4857,11059,8915,6694,5456,54477,1894,5991,627,7048,63978,84002,80031,168667,137970,1496,5358,1602,55619,1272,7029,658,344758,389207,401498,56978,121599,222894,5449,2650,144165,3084,79192,3791,23245,285513,57107,7534,100126572,4810,80000,23284,1030,27152,9215	TAB2,SSTR3,KDM4C,CCKAR,NRCAM,SYNE1,PAPSS2,MUSK,SERPINE2,TRIO,NELL2,SLC25A46,DMRTA1,NAV2,GRHL3,SEMA3C,CNTN5,LAMB1,CDK5RAP2,GJA5,KLF4,FBXW7,BCHE,PDGFC,ATXN1,NEBL,H2BC12L,KLF5,CDH18,DSC3,DACT1,C1GALT1,LGI1,NRP1,ISL1,DACH2,MAP3K20,VLDLR,ARX,PADI2,DLC1,BRINP3,GRID2,MAOB,RPS6KA3,EPHA6,EPHA5,PLXNA2,SCEL,HOPX,EPHA4,SDK1,PLPPR1,RASSF10,KIAA1217,TMC1,EPGN,CTHRC1,NOX4,NEFL,SEMA3E,PALLD,MYO18B,TRPS1,MACROD2,CELF4,RARB,MSX2,CDH8,ANGPT1,CHRM3,P2RY1,EPHA3,PRDM1,SORBS2,HDAC9,NMUR2,MMP16,GJA10,RCN1,NRXN3,MAP2,SLC1A3,HPGD,CDH11,ANXA3,ITGAV,CALD1,COL8A1,GJA1,UNC5C,CCN3,CDH6,CXCR4,C9orf72,NOVA1,WWP1,BCL10,SPP2,POU3F4,PLEKHA5,ECT2,RFX3,BDNF,TGFBR2,PRDM14,B3GNT5,SEMA6D,BMPER,UNC5D,CTNNA2,PLS3,DACH1,DOCK10,CNTN1,TFDP2,BMPR1B,GPR149,GRXCR1,TMEM215,PRDM8,SPIC,FERD3L,POU1F1,GCNT1,PRICKLE1,NRG1,IRX1,KDR,ASTN2,GPRIN3,PDSS2,YWHAZ,GJE1,NHS,GREB1L,ADGRL3,CDKN2B,INTU,LARGE1
GO:0032502	developmental process	3.4485222816557e-11	-24.090490207806	5746	182	0.45959595959596	396	18905	8728,203228,4857,8633,4856,3486,1004,5991,6694,6507,9734,4325,5954,9369,2697,3248,306,800,3983,1295,1602,7029,627,1496,168667,3084,144165,3791,389207,57665,401498,658,26084,344758,5449,56978,1293,131149,80000,1213,1030,9215,54861,4842,57107,81833,135935,4753,7204,3912,10512,6753,23118,9060,9211,301,84203,1825,1016,56913,80070,117154,51776,170302,55294,590,2702,56034,245806,54145,644943,54886,6197,5583,2895,2043,84525,1662,57561,639,1006,4488,55022,84700,7227,5915,140733,7852,55252,54477,1894,5456,11059,8915,56923,84694,4133,1009,3685,55619,5358,3298,83989,8835,1272,84002,80031,7048,63978,137970,10584,2650,23245,81626,79192,64848,222894,121599,27152,4810,463,23284,5948,7534,285513,100126572,84230,7104,91137,53942,63951,57822,89797,4897,23345,23081,10891,886,5270,4593,51339,11240,10395,8829,3670,7436,9314,55755,127124,688,10529,6310,399,56243,50507,4747,406,9723,117531,6860,255324,115908,4129,285220,339479,5139,221935,57159,2044,8796,5362,1131,2042,5028,59269,7181,284,83938,8470,23022,2113,56853	ADAM19,C9orf72,NOVA1,UNC5C,CCN3,IGFBP3,CDH6,RFX3,SPP2,SLC1A3,HDAC9,MMP16,RCN1,NRXN3,GJA1,HPGD,ANXA3,CALD1,ABLIM1,COL8A1,DACH1,TFDP2,BDNF,CTNNA2,BMPER,NRG1,PRICKLE1,KDR,GRXCR1,RDH14,TMEM215,BMPR1B,ARHGEF26,GPR149,POU1F1,PRDM8,COL6A3,OTOL1,GREB1L,CLTC,CDKN2B,LARGE1,SNRK,NOS1,PDSS2,SPACA1,NOBOX,NELL2,TRIO,LAMB1,SEMA3C,SSTR3,TAB2,PAPSS2,LGI1,ANXA1,TXNDC2,DSC3,CDH18,C1GALT1,ADAMTS20,DACH2,MAP3K20,ARX,FBXW7,BCHE,GJA5,PDGFC,VGLL2,H2BC12L,RASSF10,PLPPR1,RPS6KA3,PRKCH,GRID2,EPHA4,HOPX,DDX10,ARRDC3,PRDM1,CDH8,MSX2,PID1,MYO18B,TRPS1,RARB,MACROD2,CXCR4,ASXL2,PLEKHA5,ECT2,POU3F4,WWP1,BCL10,NMUR2,GJA10,MAP2,CDH11,ITGAV,DOCK10,PLS3,HSF2,ARB2A,SOCS2,CNTN1,B3GNT5,SEMA6D,TGFBR2,PRDM14,UNC5D,COLEC10,GCNT1,ASTN2,SHCBP1L,IRX1,YTHDC2,FERD3L,SPIC,INTU,NHS,ZFHX3,ADGRL3,RBP2,YWHAZ,GPRIN3,GJE1,LRRC8C,TM4SF4,SLC25A46,CNTN5,DMRTA1,GRHL3,NAV2,NRCAM,SYNE1,KDM4C,PPARGC1A,CCKAR,SERPINE2,MUSK,DACT1,PADI2,DLC1,NRP1,ISL1,VLDLR,KLF4,CDK5RAP2,ATP6V1G3,KLF5,NEBL,ATXN1,RHOH,KIAA1217,NOX4,NEFL,BMAL1,SEMA3E,TMC1,SYT4,EPGN,CTHRC1,MAOB,EPHA6,BRINP3,PDE3A,SDK1,TRIM54,EPHA5,SCEL,PLXNA2,CHRM3,EPHA3,P2RY1,HIVEP3,NR2C1,ANGPT1,LRMDA,SORBS2,PALLD,ETS1,CELF4
GO:0009653	anatomical structure morphogenesis	4.51205709944613e-11	-23.8216828537997	2238	93	0.234848484848485	396	18905	10529,56034,688,2702,55294,9314,7436,170302,51776,8829,3670,10395,56913,51339,1016,9211,5270,886,23081,4897,57822,10512,3912,53942,7204,91137,4753,5915,23022,84700,284,4488,1006,639,2042,84525,5362,2044,221935,2043,2895,285220,115908,255324,9723,4747,50507,168667,1496,137970,63978,7048,627,80031,1272,55619,1295,800,3983,3685,1009,3248,2697,9369,4133,4325,6507,8915,5456,1894,55252,1004,4856,8633,203228,7852,100126572,81833,7534,4842,9215,80000,27152,56978,26084,658,401498,3791,79192,23245,2650,144165,3084	NEBL,PDGFC,KLF5,GJA5,FBXW7,KLF4,VLDLR,ARX,MAP3K20,NRP1,ISL1,DLC1,C1GALT1,DACT1,CDH18,LGI1,SERPINE2,CCKAR,KDM4C,NRCAM,GRHL3,SEMA3C,LAMB1,CNTN5,TRIO,SLC25A46,NELL2,RARB,PALLD,MYO18B,ANGPT1,MSX2,CDH8,PRDM1,EPHA3,HOPX,PLXNA2,EPHA5,SDK1,EPHA4,GRID2,EPHA6,CTHRC1,EPGN,SEMA3E,NEFL,NOX4,BMPER,CTNNA2,UNC5D,PRDM14,TGFBR2,BDNF,SEMA6D,CNTN1,DOCK10,COL8A1,CALD1,ABLIM1,ITGAV,CDH11,HPGD,GJA1,NRXN3,MAP2,MMP16,SLC1A3,BCL10,POU3F4,ECT2,ASXL2,CDH6,CCN3,UNC5C,C9orf72,CXCR4,GJE1,SPACA1,YWHAZ,NOS1,LARGE1,GREB1L,INTU,PRDM8,ARHGEF26,BMPR1B,TMEM215,KDR,IRX1,ASTN2,GCNT1,PRICKLE1,NRG1
GO:0048667	cell morphogenesis involved in neuron differentiation	7.52402628831371e-11	-23.3103346175739	443	34	0.0858585858585859	396	18905	137970,1496,627,23022,80031,8829,3670,7436,170302,1272,9211,55619,2042,2044,56978,1009,2043,4133,9369,658,886,4897,6507,285220,10512,53942,4747,9723,144165,7204,8633,4753,203228,91137	UNC5D,CTNNA2,BDNF,PALLD,SEMA6D,NRP1,ISL1,VLDLR,ARX,CNTN1,LGI1,DOCK10,EPHA3,EPHA5,PRDM8,CDH11,EPHA4,MAP2,NRXN3,BMPR1B,CCKAR,NRCAM,SLC1A3,EPHA6,SEMA3C,CNTN5,NEFL,SEMA3E,PRICKLE1,TRIO,UNC5C,NELL2,C9orf72,SLC25A46
GO:0048731	system development	1.04323258153241e-10	-22.9835267859408	3545	127	0.320707070707071	396	18905	9211,56913,51339,10395,11240,7436,170302,3670,8829,590,55294,9314,2702,55755,688,54145,56034,6310,10529,91137,4753,7204,3912,53942,89797,10512,57822,63951,4897,23345,6753,23118,886,5270,9060,2042,5028,639,1131,284,4488,8470,84700,7227,23022,5915,140733,56243,644943,54886,9723,50507,4747,115908,117531,255324,285220,4129,6197,2895,339479,221935,2043,84525,5362,2044,5358,55619,7029,1272,84002,80031,627,7048,1496,137970,168667,203228,7852,4857,4856,8633,5991,1894,5456,54477,8915,6694,11059,6507,4133,9369,4325,56923,9734,84694,5954,2697,3685,1009,800,306,1295,3248,27152,80000,1030,23284,4810,9215,7534,57107,285513,100126572,3084,144165,2650,23245,79192,3791,401498,389207,344758,658,222894,5449,56978	LGI1,C1GALT1,DACT1,DLC1,PADI2,VLDLR,ARX,ISL1,NRP1,BCHE,FBXW7,KLF4,GJA5,CDK5RAP2,KLF5,H2BC12L,PDGFC,ATXN1,NEBL,SLC25A46,NELL2,TRIO,LAMB1,CNTN5,NAV2,SEMA3C,GRHL3,DMRTA1,NRCAM,SYNE1,SSTR3,TAB2,CCKAR,SERPINE2,PAPSS2,EPHA3,P2RY1,PRDM1,CHRM3,ANGPT1,MSX2,SORBS2,MYO18B,TRPS1,PALLD,RARB,MACROD2,KIAA1217,RASSF10,PLPPR1,SEMA3E,NOX4,NEFL,CTHRC1,TMC1,EPGN,EPHA6,MAOB,RPS6KA3,GRID2,BRINP3,SDK1,EPHA4,HOPX,PLXNA2,EPHA5,PLS3,DOCK10,TFDP2,CNTN1,B3GNT5,SEMA6D,BDNF,TGFBR2,CTNNA2,UNC5D,BMPER,C9orf72,CXCR4,NOVA1,CCN3,UNC5C,RFX3,ECT2,POU3F4,PLEKHA5,BCL10,SPP2,WWP1,SLC1A3,MAP2,NRXN3,MMP16,NMUR2,HDAC9,GJA10,RCN1,GJA1,ITGAV,CDH11,CALD1,ANXA3,COL8A1,HPGD,INTU,GREB1L,CDKN2B,ADGRL3,NHS,LARGE1,YWHAZ,PDSS2,GPRIN3,GJE1,NRG1,PRICKLE1,GCNT1,ASTN2,IRX1,KDR,TMEM215,GRXCR1,GPR149,BMPR1B,FERD3L,POU1F1,PRDM8
GO:0007409	axonogenesis	2.12234233331223e-10	-22.2733305769769	366	30	0.0757575757575758	396	18905	1272,170302,3670,8829,2042,9211,1496,137970,23022,627,80031,10512,9723,53942,4747,7204,8633,144165,91137,203228,4753,1009,56978,2044,2043,886,658,9369,285220,4897	CNTN1,ARX,ISL1,NRP1,EPHA3,LGI1,CTNNA2,UNC5D,PALLD,BDNF,SEMA6D,SEMA3C,SEMA3E,CNTN5,NEFL,TRIO,UNC5C,PRICKLE1,SLC25A46,C9orf72,NELL2,CDH11,PRDM8,EPHA5,EPHA4,CCKAR,BMPR1B,NRXN3,EPHA6,NRCAM
GO:0048856	anatomical structure development	5.52909833262395e-10	-21.3158261778588	5236	166	0.419191919191919	396	18905	55755,2702,55294,590,9314,54145,6310,10529,245806,56034,688,56913,51339,1016,1825,301,9211,7436,170302,51776,8829,3670,117154,10395,11240,886,10891,23081,6753,23118,23345,4897,4593,9060,5270,7204,91137,4753,7104,10512,57822,89797,63951,3912,53942,23022,7227,84700,140733,5915,56853,284,4488,1006,639,7181,5028,59269,2042,1131,8470,2895,339479,5139,285220,6197,4129,57561,1662,8796,84525,5362,2044,221935,2043,54886,56243,644943,399,115908,255324,117531,9723,4747,50507,63978,7048,627,80031,84002,10584,168667,1496,137970,55619,5358,1602,1272,8835,83989,7029,9369,4133,84694,5954,9734,56923,4325,6507,1295,3983,306,800,3685,1009,3248,2697,55252,1004,4856,8633,4857,203228,7852,8728,8915,6694,11059,5991,1894,54477,5456,135935,81833,285513,57107,4842,7534,100126572,23284,1030,463,80000,4810,131149,27152,54861,5948,9215,26084,344758,658,401498,389207,56978,121599,1293,5449,64848,222894,2650,144165,3084,3791,79192,23245	CDK5RAP2,GJA5,FBXW7,BCHE,KLF4,H2BC12L,ATXN1,NEBL,VGLL2,PDGFC,KLF5,C1GALT1,DACT1,CDH18,DSC3,ANXA1,LGI1,VLDLR,ARX,MAP3K20,NRP1,ISL1,DACH2,DLC1,PADI2,CCKAR,PPARGC1A,KDM4C,SSTR3,TAB2,SYNE1,NRCAM,MUSK,PAPSS2,SERPINE2,TRIO,SLC25A46,NELL2,TM4SF4,SEMA3C,GRHL3,NAV2,DMRTA1,LAMB1,CNTN5,PALLD,TRPS1,MYO18B,MACROD2,RARB,CELF4,ANGPT1,MSX2,CDH8,PRDM1,NR2C1,P2RY1,HIVEP3,EPHA3,CHRM3,SORBS2,GRID2,BRINP3,PDE3A,EPHA6,RPS6KA3,MAOB,ARRDC3,DDX10,SCEL,HOPX,PLXNA2,EPHA5,SDK1,EPHA4,PLPPR1,KIAA1217,RASSF10,RHOH,CTHRC1,EPGN,TMC1,SEMA3E,NEFL,NOX4,PRDM14,TGFBR2,BDNF,SEMA6D,B3GNT5,COLEC10,BMPER,CTNNA2,UNC5D,DOCK10,PLS3,DACH1,CNTN1,SOCS2,ARB2A,TFDP2,NRXN3,MAP2,GJA10,RCN1,HDAC9,NMUR2,MMP16,SLC1A3,COL8A1,ABLIM1,ANXA3,CALD1,ITGAV,CDH11,HPGD,GJA1,ASXL2,CDH6,CCN3,UNC5C,NOVA1,C9orf72,CXCR4,ADAM19,BCL10,SPP2,WWP1,RFX3,ECT2,PLEKHA5,POU3F4,NOBOX,SPACA1,GPRIN3,PDSS2,NOS1,YWHAZ,GJE1,ADGRL3,CDKN2B,ZFHX3,GREB1L,NHS,OTOL1,INTU,SNRK,RBP2,LARGE1,ARHGEF26,GPR149,BMPR1B,TMEM215,GRXCR1,PRDM8,SPIC,COL6A3,POU1F1,YTHDC2,FERD3L,GCNT1,PRICKLE1,NRG1,KDR,IRX1,ASTN2
GO:0000902	cell morphogenesis	5.57629913549115e-10	-21.3073256109536	688	42	0.106060606060606	396	18905	1496,137970,100126572,63978,23022,627,80031,1272,170302,7436,8829,3670,1016,1006,2042,9211,55619,56978,1009,2044,2043,886,26084,658,9369,4133,285220,6507,4897,10512,9723,53942,4747,1894,50507,1004,8633,7204,144165,91137,203228,4753	CTNNA2,UNC5D,GJE1,PRDM14,PALLD,BDNF,SEMA6D,CNTN1,ARX,VLDLR,NRP1,ISL1,CDH18,CDH8,EPHA3,LGI1,DOCK10,PRDM8,CDH11,EPHA5,EPHA4,CCKAR,ARHGEF26,BMPR1B,NRXN3,MAP2,EPHA6,SLC1A3,NRCAM,SEMA3C,SEMA3E,CNTN5,NEFL,ECT2,NOX4,CDH6,UNC5C,TRIO,PRICKLE1,SLC25A46,C9orf72,NELL2
GO:0007411	axon guidance	2.10883156628783e-09	-19.9771318028933	224	22	0.0555555555555556	396	18905	2044,2043,9369,658,4897,285220,10512,53942,9723,7204,8633,4753,137970,23022,627,80031,3670,8829,170302,1272,9211,2042	EPHA5,EPHA4,NRXN3,BMPR1B,NRCAM,EPHA6,SEMA3C,CNTN5,SEMA3E,TRIO,UNC5C,NELL2,UNC5D,PALLD,BDNF,SEMA6D,ISL1,NRP1,ARX,CNTN1,LGI1,EPHA3
GO:0097485	neuron projection guidance	2.10883156628783e-09	-19.9771318028933	224	22	0.0555555555555556	396	18905	8633,7204,4753,10512,53942,9723,9369,658,4897,285220,2044,2043,9211,2042,8829,3670,170302,1272,23022,627,80031,137970	UNC5C,TRIO,NELL2,SEMA3C,CNTN5,SEMA3E,NRXN3,BMPR1B,NRCAM,EPHA6,EPHA5,EPHA4,LGI1,EPHA3,NRP1,ISL1,ARX,CNTN1,PALLD,BDNF,SEMA6D,UNC5D
