TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0030054	cell junction	2.66210143518949e-09	-19.7441500128199	2227	87	0.21219512195122	410	19868	338667,56853,50507,29119,1894,203228,9369,23284,4810,10395,55755,8470,51339,4856,7534,145270,627,6235,1213,115207,4747,10590,23426,4593,5028,5874,2702,5270,2043,54477,2697,308,6622,1009,92140,1131,301,9758,23345,5583,11178,1825,2913,1272,3791,5173,79953,57528,1006,6197,2895,145581,30845,84694,3685,216,3350,5581,4897,1016,3356,221935,4842,91862,7852,1496,375567,6507,6014,6860,100132463,8829,347730,1004,127124,1244,7204,53942,23022,55619,201134,9215,22866,100126572,8633,9211,29102	VSIG10L2,CELF4,NOX4,CTNNA3,ECT2,C9orf72,NRXN3,ADGRL3,NHS,DLC1,CDK5RAP2,SORBS2,DACT1,CCN3,YWHAZ,PRIMA1,BDNF,RPS29,CLTC,KCTD12,NEFL,SCGN,GRIP1,MUSK,P2RY1,RAB27B,GJA5,SERPINE2,EPHA4,PLEKHA5,GJA1,ANXA5,SNCA,CDH11,MTDH,CHRM3,ANXA1,FRMPD4,SYNE1,PRKCH,LZTS1,DSC3,GRM3,CNTN1,KDR,PDYN,SYNDIG1,KCTD16,CDH8,RPS6KA3,GRID2,LRFN5,EHD3,GJA10,ITGAV,ALDH1A1,HTR1A,PRKCE,NRCAM,CDH18,HTR2A,SDK1,NOS1,MARVELD3,CXCR4,CTNNA2,VWC2,SLC1A3,RIT2,SYT4,CLDN24,NRP1,LRRTM1,CDH6,ATP6V1G3,ABCC2,TRIO,CNTN5,PALLD,DOCK10,CEP112,LARGE1,CNKSR2,GJE1,UNC5C,LGI1,DROSHA
GO:0071944	cell periphery	4.49100605865252e-08	-16.9186040007823	6404	184	0.448780487804878	410	19868	6508,886,2702,8728,6541,115207,23245,3454,115908,53353,200728,56034,55117,23284,4064,3094,10395,137970,10584,1894,338667,195814,2042,2044,285513,3791,5173,79953,5358,153020,54886,5583,54212,255324,301,4325,4308,1293,10928,374462,1009,92140,2697,308,2043,10165,1295,54331,6860,1511,100132463,221935,3356,23531,57561,84694,9723,3350,3912,5581,30845,5627,342125,2936,117194,145581,51573,7292,7294,6694,22866,9332,23255,84570,57829,89797,201134,8853,9215,344807,221061,84443,64116,286183,11148,817,26095,399,127124,4651,5099,590,5270,23179,64215,5874,1213,9847,23426,4593,131149,5028,4856,56479,145270,4810,136227,8470,6753,50507,658,9369,168667,54769,23329,23118,93661,344758,2913,1272,3084,800,11178,1825,11059,3248,23345,1804,1131,8915,157753,19,219981,2731,8911,6622,117531,8829,644139,6507,7436,56923,6014,80834,306,9482,57526,4842,1496,7852,375567,4897,9649,1016,84230,3685,6281,2895,80070,5362,57528,5067,80731,3001,9413,1006,7048,256076,100126572,8633,285220,64123,6885,23022,8796,284,10512,483,53942,117584,1244,80031,347730,1004	SLC4A3,CCKAR,GJA5,ADAM19,SLC7A1,KCTD12,ASTN2,IFNAR1,CTHRC1,LRP1B,TMEM17,PDGFC,SLC6A15,ADGRL3,CD180,HINT1,DLC1,UNC5D,COLEC10,ECT2,VSIG10L2,SDR16C5,EPHA3,EPHA5,GPRIN3,KDR,PDYN,SYNDIG1,PLS3,RASGEF1B,PLPPR1,PRKCH,SNTG1,EPGN,ANXA1,MMP16,TRPM1,COL6A3,RALBP1,PTPRQ,CDH11,MTDH,GJA1,ANXA5,EPHA4,SLC25A13,COL8A1,GNG2,SYT4,CTSG,CLDN24,SDK1,HTR2A,MMD,ARRDC3,GJA10,SEMA3E,HTR1A,LAMB1,PRKCE,EHD3,PROS1,TMC3,GSR,MRGPRX2,LRFN5,GDE1,TNFSF4,TXK,SPP2,CNKSR2,CD163,MTCL1,COL25A1,ZP4,NAV2,CEP112,ASAP2,LARGE1,CD200R1L,FAM171A1,FRMPD3,SLC39A8,NKAIN3,HHLA2,CAMK2D,PTPN20,RHOH,ATP6V1G3,MYO10,PCDH7,BCHE,SERPINE2,RGL1,DNAJC1,RAB27B,CLTC,C2CD5,GRIP1,MUSK,OTOL1,P2RY1,CCN3,KCNQ5,PRIMA1,NHS,COL26A1,SORBS2,SSTR3,NOX4,BMPR1B,NRXN3,BMPER,DIRAS2,TBC1D30,TAB2,CAPZA3,GPR149,GRM3,CNTN1,NRG1,CALD1,LZTS1,DSC3,WWP1,HPGD,SYNE1,DPP6,CHRM3,BCL10,TMEM74,ABCA1,OR5A2,GLDC,CACNA1I,SNCA,TMC1,NRP1,PIRT,SLC1A3,VLDLR,NMUR2,RIT2,TAS1R2,ANXA3,STX8,PCDH19,NOS1,CTNNA2,CXCR4,VWC2,NRCAM,RALGPS1,CDH18,LRRC8C,ITGAV,S100A10,GRID2,ADAMTS20,PLXNA2,KCTD16,CNTN3,THSD7B,GZMA,ENTREP1,CDH8,TGFBR2,COL6A5,GJE1,UNC5C,EPHA6,ADGRL4,MAP3K7,PALLD,SCEL,ANGPT1,SEMA3C,ATP1B3,CNTN5,RFFL,ABCC2,SEMA6D,LRRTM1,CDH6
GO:0005886	plasma membrane	1.49691845493578e-07	-15.7146870193253	5920	171	0.417073170731707	410	19868	800,11178,1825,3248,11059,23345,344758,1272,2913,3084,8911,6622,1804,1131,8915,157753,19,219981,2731,64215,5874,1213,9847,23426,4593,5028,4651,5099,590,23179,50507,658,9369,54769,23329,23118,56479,145270,4810,136227,8470,6753,64123,6885,23022,8796,7048,8633,100126572,285220,80031,347730,1004,284,10512,483,53942,117584,1244,9482,57526,4842,7852,1496,375567,4897,9649,1016,8829,117531,644139,6507,7436,56923,6014,80834,306,2895,5067,5362,57528,3001,80731,9413,1006,84230,3685,6281,5358,153020,54886,5583,54212,2042,2044,285513,3791,5173,79953,2697,308,10165,2043,255324,301,4325,4308,1293,10928,374462,1009,92140,8728,6541,115207,3454,6508,886,2702,10584,1894,338667,195814,53353,200728,56034,55117,4064,23284,3094,10395,137970,84570,57829,201134,8853,344807,9215,221061,64116,84443,22866,9332,23255,127124,286183,11148,817,26095,399,3356,221935,23531,57561,54331,6860,1511,100132463,342125,2936,117194,145581,51573,7294,7292,84694,9723,3350,5581,5627,30845	CALD1,LZTS1,DSC3,HPGD,WWP1,SYNE1,GPR149,CNTN1,GRM3,NRG1,CACNA1I,SNCA,DPP6,CHRM3,BCL10,TMEM74,ABCA1,OR5A2,GLDC,DNAJC1,RAB27B,CLTC,C2CD5,GRIP1,MUSK,P2RY1,MYO10,PCDH7,BCHE,RGL1,NOX4,BMPR1B,NRXN3,DIRAS2,TBC1D30,TAB2,KCNQ5,PRIMA1,NHS,COL26A1,SORBS2,SSTR3,ADGRL4,MAP3K7,PALLD,SCEL,TGFBR2,UNC5C,GJE1,EPHA6,SEMA6D,LRRTM1,CDH6,ANGPT1,SEMA3C,ATP1B3,CNTN5,RFFL,ABCC2,STX8,PCDH19,NOS1,CXCR4,CTNNA2,VWC2,NRCAM,RALGPS1,CDH18,NRP1,TMC1,PIRT,SLC1A3,VLDLR,NMUR2,RIT2,TAS1R2,ANXA3,GRID2,CNTN3,PLXNA2,KCTD16,GZMA,THSD7B,ENTREP1,CDH8,LRRC8C,ITGAV,S100A10,PLS3,RASGEF1B,PLPPR1,PRKCH,SNTG1,EPHA3,EPHA5,GPRIN3,KDR,PDYN,SYNDIG1,GJA1,ANXA5,SLC25A13,EPHA4,EPGN,ANXA1,MMP16,TRPM1,COL6A3,RALBP1,PTPRQ,CDH11,MTDH,ADAM19,SLC7A1,KCTD12,IFNAR1,SLC4A3,CCKAR,GJA5,COLEC10,ECT2,VSIG10L2,SDR16C5,LRP1B,TMEM17,PDGFC,SLC6A15,CD180,ADGRL3,HINT1,DLC1,UNC5D,COL25A1,ZP4,CEP112,ASAP2,CD200R1L,LARGE1,FAM171A1,SLC39A8,FRMPD3,CNKSR2,CD163,MTCL1,ATP6V1G3,NKAIN3,HHLA2,CAMK2D,PTPN20,RHOH,HTR2A,SDK1,MMD,ARRDC3,GNG2,SYT4,CTSG,CLDN24,TMC3,GSR,MRGPRX2,LRFN5,GDE1,TXK,TNFSF4,GJA10,SEMA3E,HTR1A,PRKCE,PROS1,EHD3
GO:0043005	neuron projection	3.15172846839275e-07	-14.9701446284879	1335	56	0.136585365853659	410	19868	6622,2043,347730,53942,817,1131,4129,374462,4308,11178,55619,23345,9758,54886,23022,339479,344758,9211,2042,2044,79953,5173,285220,8633,2913,1272,389207,203228,2895,658,1006,627,216,3350,4856,6753,8470,23284,51617,5874,1496,4842,3356,5028,23426,10590,4747,4897,8829,117531,4651,4133,306,6014,6860,6507	SNCA,EPHA4,LRRTM1,CNTN5,CAMK2D,CHRM3,MAOB,PTPRQ,TRPM1,LZTS1,DOCK10,SYNE1,FRMPD4,PLPPR1,PALLD,BRINP3,GPR149,LGI1,EPHA3,EPHA5,SYNDIG1,PDYN,EPHA6,UNC5C,GRM3,CNTN1,GRXCR1,C9orf72,GRID2,BMPR1B,CDH8,BDNF,ALDH1A1,HTR1A,CCN3,SSTR3,SORBS2,ADGRL3,NSG2,RAB27B,CTNNA2,NOS1,HTR2A,P2RY1,GRIP1,SCGN,NEFL,NRCAM,NRP1,TMC1,MYO10,MAP2,ANXA3,RIT2,SYT4,SLC1A3
GO:0045202	synapse	6.9546126581644e-07	-14.1786905197054	1474	59	0.14390243902439	410	19868	2895,203228,6197,145581,9369,57528,1006,56853,7534,51339,5581,627,3350,216,145270,23284,8470,3356,221935,5874,375567,4842,4897,115207,4593,5028,4747,23426,10590,5270,8829,6507,6014,6860,6622,127124,347730,54477,1004,2043,1131,53942,7204,1009,11178,201134,9215,23345,55619,23022,9758,9211,29102,8633,1272,2913,22866,5173,79953	GRID2,C9orf72,RPS6KA3,LRFN5,NRXN3,KCTD16,CDH8,CELF4,YWHAZ,DACT1,PRKCE,BDNF,HTR1A,ALDH1A1,PRIMA1,ADGRL3,SORBS2,HTR2A,SDK1,RAB27B,VWC2,NOS1,NRCAM,KCTD12,MUSK,P2RY1,NEFL,GRIP1,SCGN,SERPINE2,NRP1,SLC1A3,RIT2,SYT4,SNCA,ATP6V1G3,LRRTM1,PLEKHA5,CDH6,EPHA4,CHRM3,CNTN5,TRIO,CDH11,LZTS1,CEP112,LARGE1,SYNE1,DOCK10,PALLD,FRMPD4,LGI1,DROSHA,UNC5C,CNTN1,GRM3,CNKSR2,PDYN,SYNDIG1
GO:0097447	dendritic tree	8.19072017100446e-07	-14.0150938239916	623	33	0.0804878048780488	410	19868	5028,10590,23426,23345,55619,339479,9758,4842,11178,3356,5173,6014,6860,306,79953,285220,8633,2913,9211,2042,2044,4133,2043,658,2895,203228,8470,4129,51617,627,3350,1131,4856	P2RY1,SCGN,GRIP1,SYNE1,DOCK10,BRINP3,FRMPD4,NOS1,LZTS1,HTR2A,PDYN,RIT2,SYT4,ANXA3,SYNDIG1,EPHA6,UNC5C,GRM3,LGI1,EPHA3,EPHA5,MAP2,EPHA4,BMPR1B,GRID2,C9orf72,SORBS2,MAOB,NSG2,BDNF,HTR1A,CHRM3,CCN3
GO:0030425	dendrite	2.17112107885755e-06	-13.0402668976156	621	32	0.0780487804878049	410	19868	10590,23426,5028,339479,9758,23345,55619,4842,3356,11178,285220,5173,6860,306,79953,2913,8633,4133,2044,9211,2042,2043,2895,658,203228,8470,4129,51617,3350,627,4856,1131	SCGN,GRIP1,P2RY1,BRINP3,FRMPD4,SYNE1,DOCK10,NOS1,HTR2A,LZTS1,EPHA6,PDYN,SYT4,ANXA3,SYNDIG1,GRM3,UNC5C,MAP2,EPHA5,LGI1,EPHA3,EPHA4,GRID2,BMPR1B,C9orf72,SORBS2,MAOB,NSG2,HTR1A,BDNF,CCN3,CHRM3
GO:0042995	cell projection	5.22007512840589e-06	-12.1629987637584	2406	81	0.197560975609756	410	19868	8470,6753,23284,4810,51617,10395,30845,3350,216,627,4856,200728,3685,23329,1006,57528,27152,389207,9369,2895,658,29119,203228,6014,6860,306,3983,6507,2702,117531,8829,4133,4651,4747,10590,23426,5028,115207,9847,4897,4842,1496,5874,3356,85462,374462,4129,7204,4308,817,301,483,1770,53942,284,1131,2043,347730,22858,6622,121441,285220,5173,79953,2913,1272,8633,344758,26084,2042,9211,2044,201625,54212,339479,23022,54886,9758,23345,55619,11178	SORBS2,SSTR3,ADGRL3,NHS,NSG2,DLC1,EHD3,HTR1A,ALDH1A1,BDNF,CCN3,TMEM17,ITGAV,TBC1D30,CDH8,KCTD16,INTU,GRXCR1,NRXN3,GRID2,BMPR1B,CTNNA3,C9orf72,RIT2,SYT4,ANXA3,ABLIM1,SLC1A3,GJA5,TMC1,NRP1,MAP2,MYO10,NEFL,SCGN,GRIP1,P2RY1,KCTD12,C2CD5,NRCAM,NOS1,CTNNA2,RAB27B,HTR2A,FHDC1,PTPRQ,MAOB,TRIO,TRPM1,CAMK2D,ANXA1,ATP1B3,DNAH9,CNTN5,ANGPT1,CHRM3,EPHA4,LRRTM1,CILK1,SNCA,NEDD1,EPHA6,PDYN,SYNDIG1,GRM3,CNTN1,UNC5C,GPR149,ARHGEF26,EPHA3,LGI1,EPHA5,DNAH12,SNTG1,BRINP3,PALLD,PLPPR1,FRMPD4,SYNE1,DOCK10,LZTS1
GO:0036477	somatodendritic compartment	5.95165164990348e-06	-12.0318417887081	844	38	0.0926829268292683	410	19868	4133,4651,2044,2042,9211,6507,2913,22866,8633,285220,6014,5173,6860,306,79953,3356,11178,4842,339479,9758,23345,55619,23245,23426,10590,5028,4856,1131,3350,627,51617,8470,4129,658,2895,203228,6622,2043	MAP2,MYO10,EPHA5,EPHA3,LGI1,SLC1A3,GRM3,CNKSR2,UNC5C,EPHA6,RIT2,PDYN,SYT4,ANXA3,SYNDIG1,HTR2A,LZTS1,NOS1,BRINP3,FRMPD4,SYNE1,DOCK10,ASTN2,GRIP1,SCGN,P2RY1,CCN3,CHRM3,HTR1A,BDNF,NSG2,SORBS2,MAOB,BMPR1B,GRID2,C9orf72,SNCA,EPHA4
GO:0120025	plasma membrane bounded cell projection	1.88945505504469e-05	-10.8766370081381	2293	76	0.185365853658537	410	19868	23329,1006,27152,389207,29119,2895,658,203228,8470,6753,4810,51617,23284,10395,30845,3350,216,627,4856,200728,3685,4747,23426,10590,5028,9847,4897,4842,1496,5874,3356,85462,6860,6014,306,3983,6507,117531,8829,4133,4651,2043,347730,22858,6622,121441,374462,4129,4308,817,483,301,53942,1770,284,1131,201625,54212,339479,54886,23022,9758,23345,55619,11178,285220,5173,79953,1272,2913,8633,344758,26084,2044,2042,9211	TBC1D30,CDH8,INTU,GRXCR1,CTNNA3,GRID2,BMPR1B,C9orf72,SORBS2,SSTR3,NHS,NSG2,ADGRL3,DLC1,EHD3,HTR1A,ALDH1A1,BDNF,CCN3,TMEM17,ITGAV,NEFL,GRIP1,SCGN,P2RY1,C2CD5,NRCAM,NOS1,CTNNA2,RAB27B,HTR2A,FHDC1,SYT4,RIT2,ANXA3,ABLIM1,SLC1A3,TMC1,NRP1,MAP2,MYO10,EPHA4,LRRTM1,CILK1,SNCA,NEDD1,PTPRQ,MAOB,TRPM1,CAMK2D,ATP1B3,ANXA1,CNTN5,DNAH9,ANGPT1,CHRM3,DNAH12,SNTG1,BRINP3,PLPPR1,PALLD,FRMPD4,SYNE1,DOCK10,LZTS1,EPHA6,PDYN,SYNDIG1,CNTN1,GRM3,UNC5C,GPR149,ARHGEF26,EPHA5,EPHA3,LGI1
