TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr8q24.21	human chr8q24.21	4.9513384939321e-11	-23.7287780800916	58	8	0.0113314447592068	706	193383	101927774,728724,100750225,106144608,103021164,137196,100302281,101805488	LINC00824,LINC00977,PCAT1,LINC00976,CASC21,CCDC26,MIR1208,CCAT2
human chr4q21.21	human chr4q21.21	1.06759039210186e-06	-13.7501064189865	49	5	0.00708215297450425	706	193383	109623453,153020,56978,84779,306	SNORD161,RASGEF1B,PRDM8,NAA11,ANXA3
human chr18q12.3	human chr18q12.3	1.58737256943109e-06	-13.353430380626	53	5	0.00708215297450425	706	193383	100126323,6860,101927900,101927921,6014	MIR924,SYT4,LINC01477,LINC01478,RIT2
human chr4p15.1	human chr4p15.1	1.74408599620159e-06	-13.2592799239446	54	5	0.00708215297450425	706	193383	5099,101927363,102723778,101928622,105374394	PCDH7,LINC02353,LINC02497,LOC101928622,LINC02484
human chr8p12	human chr8p12	4.2043262529198e-06	-12.379396502604	113	6	0.0084985835694051	706	193383	137970,78986,2936,103689844,7486,3084	UNC5D,DUSP26,GSR,LINC01288,WRN,NRG1
human chr7q21.11	human chr7q21.11	5.51145528457369e-06	-12.1086818526897	68	5	0.00708215297450425	706	193383	399670,105369146,105375380,9723,10512	RPL13AP17,LOC105369146,LINC00972,SEMA3E,SEMA3C
human chr8q21.3	human chr8q21.3	7.82298318174263e-06	-11.7584445951112	73	5	0.00708215297450425	706	193383	168975,4325,11059,862,100127983	CNBD1,MMP16,WWP1,RUNX1T1,C8orf88
human chr3q25.2	human chr3q25.2	9.45517107375187e-06	-11.5689487625483	36	4	0.0056657223796034	706	193383	26084,5028,100507537,344758	ARHGEF26,P2RY1,STRIT1,GPR149
human chr5q23.2	human chr5q23.2	1.08310994157877e-05	-11.4330889863339	78	5	0.00708215297450425	706	193383	103724389,401207,101927460,102546228,101927421	LINC01170,C5orf63,LINC02240,LINC02039,LOC101927421
human chr6q15	human chr6q15	1.55558415334967e-05	-11.071074328564	84	5	0.00708215297450425	706	193383	84694,81833,6885,101929083,100616174	GJA10,SPACA1,MAP3K7,CASC6,MIR4643
human chr3q28	human chr3q28	3.8408284353079e-05	-10.1672373832773	51	4	0.0056657223796034	706	193383	100873917,100873986,100874027,407020	LPP-AS1,FGF12-AS1,TPRG1-AS2,MIR28
human chr5p15.32	human chr5p15.32	5.27344967559931e-05	-9.85024072916559	20	3	0.00424929178470255	706	193383	23379,101929153,105374631	ICE1,LINC02114,LINC02121
human chr4q22.3	human chr4q22.3	5.27344967559931e-05	-9.85024072916559	20	3	0.00424929178470255	706	193383	8633,658,101410545	UNC5C,BMPR1B,STPG2-AS1
human chr12q21.31	human chr12q21.31	6.39016453104092e-05	-9.65816544870555	58	4	0.0056657223796034	706	193383	101928449,79611,374462,55117	LINC02426,ACSS3,PTPRQ,SLC6A15
human chr14q22.1	human chr14q22.1	8.84297885231327e-05	-9.33330167084016	63	4	0.0056657223796034	706	193383	101927620,54331,102723604,57544	DDHD1-DT,GNG2,LOC102723604,TXNDC16
human chr5q22.1	human chr5q22.1	9.26132922803296e-05	-9.28707788146981	24	3	0.00424929178470255	706	193383	91137,100302159,100505678	SLC25A46,MIR548F3,STARD4-AS1
human chr9p24.2	human chr9p24.2	0.000118324281892989	-9.04208155112772	26	3	0.00424929178470255	706	193383	7436,9933,5991	VLDLR,PUM3,RFX3
human chr9q21.13	human chr9q21.13	0.000156986437989186	-8.75935113858161	73	4	0.0056657223796034	706	193383	216,2650,301,117531	ALDH1A1,GCNT1,ANXA1,TMC1
human chr12p12.3	human chr12p12.3	0.000165479110740425	-8.70666559020455	74	4	0.0056657223796034	706	193383	79785,728622,54477,93661	RERGL,SKP1P2,PLEKHA5,CAPZA3
human chr4q22.1	human chr4q22.1	0.000165479110740425	-8.70666559020455	74	4	0.0056657223796034	706	193383	285513,6622,401145,101929194	GPRIN3,SNCA,CCSER1,LNCPRESS2
human chr2p16.1	human chr2p16.1	0.000212991811115768	-8.45425683845977	79	4	0.0056657223796034	706	193383	101927285,400954,400955,7444	LINC01793,EML6,LINC01122,VRK2
human chr12p11.22	human chr12p11.22	0.000316227916269927	-8.05904735033729	36	3	0.00424929178470255	706	193383	55711,83857,729291	FAR2,TMTC1,LOC729291
human chr9q31.1	human chr9q31.1	0.000366001867492708	-7.91287212213683	91	4	0.0056657223796034	706	193383	55335,105376194,19,54886	NIPSNAP3B,LOC105376194,ABCA1,PLPPR1
human chr5p14.3	human chr5p14.3	0.000371604910653331	-7.89767933622135	38	3	0.00424929178470255	706	193383	1016,728411,102725105	CDH18,GUSBP1,CDH18-AS1
human chr8q24.12	human chr8q24.12	0.000465766251770038	-7.67182665532852	41	3	0.00424929178470255	706	193383	10584,552860,4856	COLEC10,SAMD12-AS1,CCN3
human chr1q31.3	human chr1q31.3	0.000465766251770038	-7.67182665532852	41	3	0.00424929178470255	706	193383	140609,105371673,127124	NEK7,LINC01724,ATP6V1G3
human chr5q14.3	human chr5q14.3	0.000503775105057857	-7.59338060960203	99	4	0.0056657223796034	706	193383	57561,100500825,111082994,101929495	ARRDC3,MIR3660,LINC02488,LINC01339
human chr12q12	human chr12q12	0.000503775105057857	-7.59338060960203	99	4	0.0056657223796034	706	193383	80070,144165,4753,1272	ADAMTS20,PRICKLE1,NELL2,CNTN1
human chr8q23.1	human chr8q23.1	0.000536298036764586	-7.53082051268583	43	3	0.00424929178470255	706	193383	157753,55074,284	TMEM74,OXR1,ANGPT1
human chr21q22.12	human chr21q22.12	0.000536298036764586	-7.53082051268583	43	3	0.00424929178470255	706	193383	54036,101928269,100506403	PPP1R2P2,LOC101928269,LOC100506403
human chr2p24.3	human chr2p24.3	0.000573981471211394	-7.46291344228525	44	3	0.00424929178470255	706	193383	100506474,100506457,100499171	LOC100506474,MIR3681HG,LINC00276
human chr3q13.13	human chr3q13.13	0.000654329975107355	-7.33189878465536	46	3	0.00424929178470255	706	193383	11148,100616129,100506555	HHLA2,MIR4445,NECTIN3-AS1
human chr9q33.1	human chr9q33.1	0.000787734948059052	-7.14634888501937	49	3	0.00424929178470255	706	193383	5069,50514,23245	PAPPA,DELEC1,ASTN2
human chr12q14.3	human chr12q14.3	0.000835750046794921	-7.08718097667254	50	3	0.00424929178470255	706	193383	23329,103625681,23426	TBC1D30,LLPH-DT,GRIP1
human chr4q12	human chr4q12	0.00103500327810482	-6.87335068501878	120	4	0.0056657223796034	706	193383	255130,3791,84525,101928851	IGFBP7-AS1,KDR,HOPX,LINC02380
human chr18p11.22	human chr18p11.22	0.00116295534874308	-6.75679079935283	56	3	0.00424929178470255	706	193383	10928,23255,84203	RALBP1,MTCL1,TXNDC2
human chr2q36.1	human chr2q36.1	0.00122424915494699	-6.70542755764389	57	3	0.00424929178470255	706	193383	2043,130367,5270	EPHA4,SGPP2,SERPINE2
human chr8q24.22	human chr8q24.22	0.00135285456618282	-6.60553842545799	59	3	0.00424929178470255	706	193383	105375773,101927822,101927845	LINC03024,LOC101927822,LOC101927845
human chr10p12.31	human chr10p12.31	0.00135285456618282	-6.60553842545799	59	3	0.00424929178470255	706	193383	221079,64215,10529	ARL5B,DNAJC1,NEBL
human chr10q23.1	human chr10q23.1	0.00148964311540198	-6.50921870757868	61	3	0.00424929178470255	706	193383	27069,101929590,105378397	GHITM,NRG3-AS1,LINC02650
human chr7p21.1	human chr7p21.1	0.00156116455914054	-6.46232322395281	62	3	0.00424929178470255	706	193383	222894,101927811,9734	FERD3L,ITGB8-AS1,HDAC9
human chr9q31.3	human chr9q31.3	0.00163480129664143	-6.41623401312458	63	3	0.00424929178470255	706	193383	100616114,4593,102465800	MIR4668,MUSK,MIR7702
human chr3q26.1	human chr3q26.1	0.00171057579933653	-6.37092524038842	64	3	0.00424929178470255	706	193383	131149,101243545,590	OTOL1,LINC02067,BCHE
human chr14q12	human chr14q12	0.0019702313511197	-6.22960430601084	143	4	0.0056657223796034	706	193383	103695363,1511,4857,102724890	FOXG1-AS1,CTSG,NOVA1,LINC02293
