TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
284069	FAM171A2 (family with sequence similarity 171 member A2)	1.07882505509908e-05	-11.4370529279851	101	11	0.0255813953488372	430	20077	2043,54331,2042,200728,2044,2697,81833,157753,7534,169355,7048	EPHA4,GNG2,EPHA3,TMEM17,EPHA5,GJA1,SPACA1,TMEM74,YWHAZ,IDO2,TGFBR2
221061	FAM171A1 (family with sequence similarity 171 member A1)	9.33986913281496e-05	-9.27863322430355	86	9	0.0209302325581395	430	20077	2044,200728,2697,399,2043,2042,644943,7534,157753	EPHA5,TMEM17,GJA1,RHOH,EPHA4,EPHA3,RASSF10,YWHAZ,TMEM74
54741	LEPROT (leptin receptor overlapping transcript)	0.000127259992595594	-8.96927837834292	13	4	0.00930232558139535	430	20077	56913,2702,6541,54886	C1GALT1,GJA5,SLC7A1,PLPPR1
24140	FTSJ1 (FtsJ RNA 2'-O-methyltransferase 1)	0.0001356367231984	-8.90553039907591	71	8	0.0186046511627907	430	20077	85479,2042,2043,399,2044,200728,1131,8829	DNAJC5B,EPHA3,EPHA4,RHOH,EPHA5,TMEM17,CHRM3,NRP1
79870	BAALC (BAALC binder of MAP3K1 and KLF4)	0.000175157888245339	-8.64982277225048	14	4	0.00930232558139535	430	20077	84779,483,9314,6310	NAA11,ATP1B3,KLF4,ATXN1
79630	C1orf54 (chromosome 1 open reading frame 54)	0.000249890640437273	-8.29448717405696	166	12	0.027906976744186	430	20077	627,57544,3912,10512,9215,590,64374,5362,339479,2650,5270,3685	BDNF,TXNDC16,LAMB1,SEMA3C,LARGE1,BCHE,SIL1,PLXNA2,BRINP3,GCNT1,SERPINE2,ITGAV
2215	FCGR3B (Fc gamma receptor IIIb)	0.000254475873296642	-8.27630452687366	42	6	0.013953488372093	430	20077	5627,22858,84230,3685,27069,64374	PROS1,CILK1,LRRC8C,ITGAV,GHITM,SIL1
1010	CDH12 (cadherin 12)	0.000307823951197074	-8.08598252543132	16	4	0.00930232558139535	430	20077	1006,1496,1016,29119	CDH8,CTNNA2,CDH18,CTNNA3
3728	JUP (junction plakoglobin)	0.000335776888982622	-7.99906363944563	453	22	0.0511627906976744	430	20077	10928,1894,55294,1825,7534,5521,6622,2697,399,1496,9910,128553,29119,1006,1244,5139,2043,2731,1213,688,2044,200728	RALBP1,ECT2,FBXW7,DSC3,YWHAZ,PPP2R2B,SNCA,GJA1,RHOH,CTNNA2,RABGAP1L,TSHZ2,CTNNA3,CDH8,ABCC2,PDE3A,EPHA4,GLDC,CLTC,KLF5,EPHA5,TMEM17
8502	PKP4 (plakophilin 4)	0.000353809678218377	-7.94675142155796	148	11	0.0255813953488372	430	20077	2044,200728,2697,399,2043,2731,1213,9958,29119,1825,1006	EPHA5,TMEM17,GJA1,RHOH,EPHA4,GLDC,CLTC,USP15,CTNNA3,DSC3,CDH8
56704	JPH1 (junctophilin 1)	0.000389500891076848	-7.85064440491065	226	14	0.0325581395348837	430	20077	285220,100507537,91137,7852,64215,399,2697,79139,85479,5139,2042,4593,200728,1131	EPHA6,STRIT1,SLC25A46,CXCR4,DNAJC1,RHOH,GJA1,DERL1,DNAJC5B,PDE3A,EPHA3,MUSK,TMEM17,CHRM3
68349	Ndufs3 (NADH:ubiquinone oxidoreductase core subunit S3)	0.000457667150638107	-7.68936838338914	2	2	0.00465116279069767	430	20077	6622,3001	SNCA,GZMA
1969	EPHA2 (EPH receptor A2)	0.000591434149038233	-7.43296020950372	350	18	0.0418604651162791	430	20077	85479,2042,1213,2043,3685,200728,57561,2044,221061,285220,78986,8835,11072,301,1030,5521,399,2697	DNAJC5B,EPHA3,CLTC,EPHA4,ITGAV,TMEM17,ARRDC3,EPHA5,FAM171A1,EPHA6,DUSP26,SOCS2,DUSP14,ANXA1,CDKN2B,PPP2R2B,RHOH,GJA1
57120	GOPC (golgi associated PDZ and coiled-coil motif containing)	0.000599095192853526	-7.4200900528533	292	16	0.0372093023255814	430	20077	10928,55294,7048,19,7852,55022,2697,6753,399670,2895,6197,2043,2042,2044,8829,200728	RALBP1,FBXW7,TGFBR2,ABCA1,CXCR4,PID1,GJA1,SSTR3,RPL13AP17,GRID2,RPS6KA3,EPHA4,EPHA3,EPHA5,NRP1,TMEM17
64746	ACBD3 (acyl-CoA binding domain containing 3)	0.000707260072528526	-7.25411210606213	240	14	0.0325581395348837	430	20077	2697,399,64215,91137,9958,8835,2044,8829,200728,2042,2043,4593,79139,463	GJA1,RHOH,DNAJC1,SLC25A46,USP15,SOCS2,EPHA5,NRP1,TMEM17,EPHA3,EPHA4,MUSK,DERL1,ZFHX3
55914	ERBIN (erbb2 interacting protein)	0.000736582445379217	-7.213489386196	241	14	0.0325581395348837	430	20077	7534,3912,19,1894,11059,200728,2044,399,2697,4593,2043,1511,1213,2042	YWHAZ,LAMB1,ABCA1,ECT2,WWP1,TMEM17,EPHA5,RHOH,GJA1,MUSK,EPHA4,CTSG,CLTC,EPHA3
10254	STAM2 (signal transducing adaptor molecule 2)	0.000791539403034897	-7.14153089714714	138	10	0.0232558139534884	430	20077	57561,200728,8829,2044,2697,9413,2043,2042,6310,285220	ARRDC3,TMEM17,NRP1,EPHA5,GJA1,ENTREP1,EPHA4,EPHA3,ATXN1,EPHA6
6013	RLN1 (relaxin 1)	0.000803696416538489	-7.12628895146092	92	8	0.0186046511627907	430	20077	9215,590,5362,2650,56034,285220,5627,53353	LARGE1,BCHE,PLXNA2,GCNT1,PDGFC,EPHA6,PROS1,LRP1B
89795	NAV3 (neuron navigator 3)	0.000929987595021631	-6.98033931059235	21	4	0.00930232558139535	430	20077	1894,89797,7204,100750225	ECT2,NAV2,TRIO,PCAT1
56104	PCDHGB1 (protocadherin gamma subfamily B, 1)	0.000950280713850486	-6.95875312875408	73	7	0.0162790697674419	430	20077	140609,55711,57159,57526,221061,5099,1272	NEK7,FAR2,TRIM54,PCDH19,FAM171A1,PCDH7,CNTN1
26190	FBXW2 (F-box and WD repeat domain containing 2)	0.000960202826321317	-6.94836601840028	36	5	0.0116279069767442	430	20077	92140,4488,57159,6885,55294	MTDH,MSX2,TRIM54,MAP3K7,FBXW7
25865	PRKD2 (protein kinase D2)	0.00104996321605747	-6.85900014775257	250	14	0.0325581395348837	430	20077	5521,117584,23426,3094,3454,80003,308,5915,800,7534,6508,4651,55776,1244	PPP2R2B,RFFL,GRIP1,HINT1,IFNAR1,PCNX2,ANXA5,RARB,CALD1,YWHAZ,SLC4A3,MYO10,SAYSD1,ABCC2
55327	LIN7C (lin-7 homolog C, crumbs cell polarity complex component)	0.00113764277846736	-6.77879689548435	97	8	0.0186046511627907	430	20077	9910,10928,19,3983,26084,2043,200728,2044	RABGAP1L,RALBP1,ABCA1,ABLIM1,ARHGEF26,EPHA4,TMEM17,EPHA5
11949	Atp5f1c (ATP synthase F1 subunit gamma)	0.00135348647895712	-6.60507143864794	3	2	0.00465116279069767	430	20077	7534,6622	YWHAZ,SNCA
20128	Trim30a (tripartite motif-containing 30A)	0.00135348647895712	-6.60507143864794	3	2	0.00465116279069767	430	20077	6885,23118	MAP3K7,TAB2
299331	Hsp90aa1 (heat shock protein 90 alpha family class A member 1)	0.00135348647895712	-6.60507143864794	3	2	0.00465116279069767	430	20077	7048,6622	TGFBR2,SNCA
12034	Phb2 (prohibitin 2)	0.00135348647895712	-6.60507143864794	3	2	0.00465116279069767	430	20077	7534,6622	YWHAZ,SNCA
56288	PARD3 (par-3 family cell polarity regulator)	0.00140982953778628	-6.56428647708751	287	15	0.0348837209302326	430	20077	55117,56243,2697,399,1894,57568,644943,7534,54477,2043,2042,2044,221061,200728,7204	SLC6A15,KIAA1217,GJA1,RHOH,ECT2,SIPA1L2,RASSF10,YWHAZ,PLEKHA5,EPHA4,EPHA3,EPHA5,FAM171A1,TMEM17,TRIO
57528	KCTD16 (potassium channel tetramerization domain containing 16)	0.00141629533158385	-6.55971073795507	11	3	0.00697674418604651	430	20077	57528,115207,54331	KCTD16,KCTD12,GNG2
