TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04360	Axon guidance	4.01937728856335e-06	-12.4243835706746	175	15	0.0974025974025974	154	7246	285220,7852,9723,2044,5362,8829,817,658,80031,2043,8633,137970,10512,2042,3983	EPHA6,CXCR4,SEMA3E,EPHA5,PLXNA2,NRP1,CAMK2D,BMPR1B,SEMA6D,EPHA4,UNC5C,UNC5D,SEMA3C,EPHA3,ABLIM1
hsa04360	Axon guidance	4.01937728856335e-06	-12.4243835706746	175	15	0.0974025974025974	154	7246	2043,8633,80031,658,8829,817,5362,2044,9723,7852,285220,3983,2042,10512,137970	EPHA4,UNC5C,SEMA6D,BMPR1B,NRP1,CAMK2D,PLXNA2,EPHA5,SEMA3E,CXCR4,EPHA6,ABLIM1,EPHA3,SEMA3C,UNC5D
ko05030	Cocaine addiction	0.00364733462808491	-5.61375861702287	49	5	0.0324675324675325	154	7246	5173,627,9586,2913,4129	PDYN,BDNF,CREB5,GRM3,MAOB
hsa05030	Cocaine addiction	0.00364733462808491	-5.61375861702287	49	5	0.0324675324675325	154	7246	4129,2913,627,9586,5173	MAOB,GRM3,BDNF,CREB5,PDYN
hsa04080	Neuroactive ligand-receptor interaction	0.0335044669440202	-3.39607650742778	277	11	0.0714285714285714	154	7246	1511,6753,2913,56923,1131,2895,886,3356,3350,5028,3001	CTSG,SSTR3,GRM3,NMUR2,CHRM3,GRID2,CCKAR,HTR2A,HTR1A,P2RY1,GZMA
ko04080	Neuroactive ligand-receptor interaction	0.0335044669440202	-3.39607650742778	277	11	0.0714285714285714	154	7246	6753,1511,2895,886,2913,56923,1131,3350,3356,5028,3001	SSTR3,CTSG,GRID2,CCKAR,GRM3,NMUR2,CHRM3,HTR1A,HTR2A,P2RY1,GZMA
hsa04670	Leukocyte transendothelial migration	0.0341384504639713	-3.37733095034445	114	6	0.038961038961039	154	7246	1496,7294,29119,100132463,7852,399	CTNNA2,TXK,CTNNA3,CLDN24,CXCR4,RHOH
ko04670	Leukocyte transendothelial migration	0.0341384504639713	-3.37733095034445	114	6	0.038961038961039	154	7246	29119,7294,1496,7852,399,100132463	CTNNA3,TXK,CTNNA2,CXCR4,RHOH,CLDN24
hsa04911	Insulin secretion	0.0342477972138658	-3.37413303126582	85	5	0.0324675324675325	154	7246	886,483,1131,817,9586	CCKAR,ATP1B3,CHRM3,CAMK2D,CREB5
M00686	Toll-like receptor signaling	0.0393136037007959	-3.23618466985558	15	2	0.012987012987013	154	7246	6885,23118	MAP3K7,TAB2
hsa_M00686	Toll-like receptor signaling	0.0393136037007959	-3.23618466985558	15	2	0.012987012987013	154	7246	6885,23118	MAP3K7,TAB2
