TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0019199	transmembrane receptor protein kinase activity	5.47926337702983e-05	-9.81195479329555	81	9	0.0228426395939086	394	18530	7048,2043,4593,3791,2044,2042,285220,658,8829	TGFBR2,EPHA4,MUSK,KDR,EPHA5,EPHA3,EPHA6,BMPR1B,NRP1
GO:0098772	molecular function regulator activity	8.23474897565359e-05	-9.40456258442167	2096	70	0.177664974619289	394	18530	10395,9723,627,8915,153769,7292,79785,140609,9482,6364,9649,10928,203228,306,8853,56034,308,55619,4856,7204,1293,5521,3486,80031,23637,4842,5874,7048,64374,9413,255324,216,23329,5627,64215,26084,10584,100288485,817,8829,23179,5270,1511,51776,6622,483,1030,301,5581,57568,6694,9910,5173,2913,10512,6197,4325,100507537,55294,57018,3356,399,6014,1804,153020,27430,3084,8835,84525,1894	DLC1,SEMA3E,BDNF,BCL10,SH3RF2,TNFSF4,RERGL,NEK7,STX8,CCL20,RALGPS1,RALBP1,C9orf72,ANXA3,ASAP2,PDGFC,ANXA5,DOCK10,CCN3,TRIO,COL6A3,PPP2R2B,IGFBP3,SEMA6D,RABGAP1,NOS1,RAB27B,TGFBR2,SIL1,ENTREP1,EPGN,ALDH1A1,TBC1D30,PROS1,DNAJC1,ARHGEF26,COLEC10,MTRNR2L7,CAMK2D,NRP1,RGL1,SERPINE2,CTSG,MAP3K20,SNCA,ATP1B3,CDKN2B,ANXA1,PRKCE,SIPA1L2,SPP2,RABGAP1L,PDYN,GRM3,SEMA3C,RPS6KA3,MMP16,STRIT1,FBXW7,CCNL1,HTR2A,RHOH,RIT2,DPP6,RASGEF1B,MAT2B,NRG1,SOCS2,HOPX,ECT2
GO:0004859	phospholipase inhibitor activity	8.7041351332359e-05	-9.34912724955943	12	4	0.0101522842639594	394	18530	6622,308,301,306	SNCA,ANXA5,ANXA1,ANXA3
GO:0008013	beta-catenin binding	9.46904987989716e-05	-9.2648968922779	107	10	0.0253807106598985	394	18530	1004,1496,29119,1016,9314,1006,1009,2697,51339,23426	CDH6,CTNNA2,CTNNA3,CDH18,KLF4,CDH8,CDH11,GJA1,DACT1,GRIP1
GO:0005004	GPI-linked ephrin receptor activity	0.000181921140498677	-8.61193725874975	6	3	0.00761421319796954	394	18530	2044,2043,2042	EPHA5,EPHA4,EPHA3
GO:0005005	transmembrane-ephrin receptor activity	0.000228171137896731	-8.38541460576251	15	4	0.0101522842639594	394	18530	285220,2042,2044,2043	EPHA6,EPHA3,EPHA5,EPHA4
GO:0055102	lipase inhibitor activity	0.00029914310340205	-8.11458849237342	16	4	0.0101522842639594	394	18530	308,301,6622,306	ANXA5,ANXA1,SNCA,ANXA3
GO:0004714	transmembrane receptor protein tyrosine kinase activity	0.000334838034173634	-8.00186362313209	62	7	0.0177664974619289	394	18530	285220,2042,8829,2044,4593,2043,3791	EPHA6,EPHA3,NRP1,EPHA5,MUSK,EPHA4,KDR
GO:0005003	ephrin receptor activity	0.000384653172450427	-7.86316848046452	17	4	0.0101522842639594	394	18530	2044,2043,2042,285220	EPHA5,EPHA4,EPHA3,EPHA6
GO:0005509	calcium ion binding	0.000412177637584547	-7.79405614235137	691	29	0.0736040609137056	394	18530	5099,301,308,5954,11240,6622,306,10165,6860,57526,131149,64123,10590,5627,7436,9847,158158,7447,5475,4753,5358,30845,23245,1825,6281,53353,23284,84698,5121	PCDH7,ANXA1,ANXA5,RCN1,PADI2,SNCA,ANXA3,SLC25A13,SYT4,PCDH19,OTOL1,ADGRL4,SCGN,PROS1,VLDLR,C2CD5,RASEF,VSNL1,PPEF1,NELL2,PLS3,EHD3,ASTN2,DSC3,S100A10,LRP1B,ADGRL3,CAPS2,PCP4
GO:0030234	enzyme regulator activity	0.000577588211469995	-7.45664938009879	1313	46	0.116751269035533	394	18530	23637,7048,255324,9413,26084,216,23329,5627,10395,8915,153769,203228,306,8853,10928,9649,3486,5521,55619,308,1293,7204,399,57018,3356,153020,8835,3084,84525,27430,1894,23179,8829,1030,5270,51776,6622,57568,301,5581,6197,4325,100507537,55294,6694,9910	RABGAP1,TGFBR2,EPGN,ENTREP1,ARHGEF26,ALDH1A1,TBC1D30,PROS1,DLC1,BCL10,SH3RF2,C9orf72,ANXA3,ASAP2,RALBP1,RALGPS1,IGFBP3,PPP2R2B,DOCK10,ANXA5,COL6A3,TRIO,RHOH,CCNL1,HTR2A,RASGEF1B,SOCS2,NRG1,HOPX,MAT2B,ECT2,RGL1,NRP1,CDKN2B,SERPINE2,MAP3K20,SNCA,SIPA1L2,ANXA1,PRKCE,RPS6KA3,MMP16,STRIT1,FBXW7,SPP2,RABGAP1L
GO:0097110	scaffold protein binding	0.000705893527472649	-7.2560461427894	70	7	0.0177664974619289	394	18530	2913,5028,6885,4842,9332,2697,2895	GRM3,P2RY1,MAP3K7,NOS1,CD163,GJA1,GRID2
GO:0022829	wide pore channel activity	0.000813345700810221	-7.11435432254654	35	5	0.0126903553299492	394	18530	219972,84694,2697,100126572,2702	MPEG1,GJA10,GJA1,GJE1,GJA5
GO:0030215	semaphorin receptor binding	0.00129389768997632	-6.65009615096252	23	4	0.0101522842639594	394	18530	9723,6014,10512,80031	SEMA3E,RIT2,SEMA3C,SEMA6D
GO:0008269	JAK pathway signal transduction adaptor activity	0.00133386964074494	-6.61967105684468	3	2	0.0050761421319797	394	18530	3454,8835	IFNAR1,SOCS2
GO:0070401	NADP+ binding	0.00133386964074494	-6.61967105684468	3	2	0.0050761421319797	394	18530	10873,2762	ME3,GMDS
GO:0004699	diacylglycerol-dependent, calcium-independent serine/threonine kinase activity	0.00133386964074494	-6.61967105684468	3	2	0.0050761421319797	394	18530	5581,5583	PRKCE,PRKCH
