TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF07679	I-set	6.99769905406656e-06	-11.8699291695067	132	13	0.0330788804071247	393	17869	4593,1272,10512,5067,137970,4897,8633,221935,3084,53942,7204,3791,23022	MUSK,CNTN1,SEMA3C,CNTN3,UNC5D,NRCAM,UNC5C,SDK1,NRG1,CNTN5,TRIO,KDR,PALLD
PF01049	CADH_Y-type_LIR	9.70077579146755e-05	-9.24071960415719	22	5	0.0127226463104326	393	17869	1006,1016,1004,1009,1825	CDH8,CDH18,CDH6,CDH11,DSC3
PF07714	PK_Tyr_Ser-Thr	0.000141752472941988	-8.86142816970973	130	11	0.0279898218829517	393	17869	3791,2042,7294,2044,285220,658,4593,7048,2043,6885,51776	KDR,EPHA3,TXK,EPHA5,EPHA6,BMPR1B,MUSK,TGFBR2,EPHA4,MAP3K7,MAP3K20
PF14575	EphA2_TM	0.000193652332225493	-8.54944610856716	14	4	0.0101781170483461	393	17869	2043,285220,2044,2042	EPHA4,EPHA6,EPHA5,EPHA3
PF01404	Ephrin_lbd	0.000193652332225493	-8.54944610856716	14	4	0.0101781170483461	393	17869	2042,285220,2043,2044	EPHA3,EPHA6,EPHA4,EPHA5
PF00041	fn3	0.000211238395626631	-8.46252322518075	136	11	0.0279898218829517	393	17869	2044,374462,5067,2042,162282,1272,4897,285220,221935,53942,2043	EPHA5,PTPRQ,CNTN3,EPHA3,ANKFN1,CNTN1,NRCAM,EPHA6,SDK1,CNTN5,EPHA4
PF21549	PRDM2_PR	0.00043696803751905	-7.73565050623227	17	4	0.0101781170483461	393	17869	56979,63978,639,56978	PRDM9,PRDM14,PRDM1,PRDM8
PF00270	DEAD	0.000859445770055513	-7.05922282988991	70	7	0.0178117048346056	393	17869	8886,7486,168400,91351,1662,64848,9704	DDX18,WRN,DDX53,DDX60L,DDX10,YTHDC2,DHX34
PF07545	Vg_Tdu	0.00142639879074668	-6.55260233918163	3	2	0.00508905852417303	393	17869	245806,389136	VGLL2,VGLL3
PF01823	MACPF	0.00152748265785642	-6.48413422026846	11	3	0.00763358778625954	393	17869	23245,219972,339479	ASTN2,MPEG1,BRINP3
PF01391	Collagen	0.00163074134458665	-6.41872055492953	78	7	0.0178117048346056	393	17869	1295,10584,131149,136227,84570,1293,256076	COL8A1,COLEC10,OTOL1,COL26A1,COL25A1,COL6A3,COL6A5
PF00093	VWC	0.00234785547799684	-6.0542529300193	26	4	0.0101781170483461	393	17869	375567,168667,4856,4753	VWC2,BMPER,CCN3,NELL2
PF00191	Annexin	0.00256243654635293	-5.96679669722306	13	3	0.00763358778625954	393	17869	306,308,301	ANXA3,ANXA5,ANXA1
PF13959	DUF4217	0.00281125260944378	-5.87412512647641	4	2	0.00508905852417303	393	17869	1662,8886	DDX10,DDX18
PF07699	Ephrin_rec_like	0.00320846860472844	-5.74196152585245	14	3	0.00763358778625954	393	17869	2042,2043,285220	EPHA3,EPHA4,EPHA6
PF01403	Sema	0.00401659448473373	-5.51732087848077	30	4	0.0101781170483461	393	17869	80031,9723,5362,10512	SEMA6D,SEMA3E,PLXNA2,SEMA3C
PF21477	FERM_C_FAK1	0.0046173118035538	-5.37794260393776	5	2	0.00508905852417303	393	17869	9758,84443	FRMPD4,FRMPD3
PF01044	Vinculin	0.0046173118035538	-5.37794260393776	5	2	0.00508905852417303	393	17869	1496,29119	CTNNA2,CTNNA3
PF17217	UPA	0.0046173118035538	-5.37794260393776	5	2	0.00508905852417303	393	17869	137970,8633	UNC5D,UNC5C
PF13499	EF-hand_7	0.00588454943936199	-5.13542510205691	98	7	0.0178117048346056	393	17869	10590,7447,5954,5475,5358,158158,84698	SCGN,VSNL1,RCN1,PPEF1,PLS3,RASEF,CAPS2
PF02437	Ski_Sno	0.00682547293052695	-4.98709364646172	6	2	0.00508905852417303	393	17869	117154,1602	DACH2,DACH1
PF12473	DUF3694	0.00682547293052695	-4.98709364646172	6	2	0.00508905852417303	393	17869	23637,9910	RABGAP1,RABGAP1L
