TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS51550	EPH_LBD	0.00028856778814754	-8.15058053203422	14	4	0.0133779264214047	299	12232	2042,2043,2044,285220	EPHA3,EPHA4,EPHA5,EPHA6
PS00791	RECEPTOR_TYR_KIN_V_2	0.00028856778814754	-8.15058053203422	14	4	0.0133779264214047	299	12232	285220,2043,2042,2044	EPHA6,EPHA4,EPHA3,EPHA5
PS00790	RECEPTOR_TYR_KIN_V_1	0.00028856778814754	-8.15058053203422	14	4	0.0133779264214047	299	12232	285220,2044,2043,2042	EPHA6,EPHA5,EPHA4,EPHA3
PS50853	FN3	0.000877950869744972	-7.03791992290509	192	13	0.0434782608695652	299	12232	1272,2043,53942,5067,221935,2044,4897,2042,162282,3454,374462,285220,1293	CNTN1,EPHA4,CNTN5,CNTN3,SDK1,EPHA5,NRCAM,EPHA3,ANKFN1,IFNAR1,PTPRQ,EPHA6,COL6A3
PS50105	SAM_DOMAIN	0.00233079535108143	-6.06154571725654	75	7	0.0234113712374582	299	12232	285220,2042,2043,219285,2044,22866,51776	EPHA6,EPHA3,EPHA4,SAMD9L,EPHA5,CNKSR2,MAP3K20
PS00107	PROTEIN_KINASE_ATP	0.00240040717897794	-6.03211689811104	378	19	0.0635451505016722	299	12232	7294,5581,2042,54861,140609,2044,5583,817,6197,7048,3791,285220,1195,658,6885,122011,4593,22858,2043	TXK,PRKCE,EPHA3,SNRK,NEK7,EPHA5,PRKCH,CAMK2D,RPS6KA3,TGFBR2,KDR,EPHA6,CLK1,BMPR1B,MAP3K7,CSNK1A1L,MUSK,CILK1,EPHA4
PS00223	ANNEXIN_1	0.00344736111994696	-5.6701462333876	13	3	0.0100334448160535	299	12232	306,301,308	ANXA3,ANXA1,ANXA5
PS51897	ANNEXIN_2	0.00344736111994696	-5.6701462333876	13	3	0.0100334448160535	299	12232	308,301,306	ANXA5,ANXA1,ANXA3
PS50011	PROTEIN_KINASE_DOM	0.00360040483800246	-5.62670898484198	481	22	0.0735785953177258	299	12232	658,6885,51776,122011,22858,2043,4593,3791,7048,817,5583,6197,285220,7444,1195,7294,7204,2042,5581,2044,54861,140609	BMPR1B,MAP3K7,MAP3K20,CSNK1A1L,CILK1,EPHA4,MUSK,KDR,TGFBR2,CAMK2D,PRKCH,RPS6KA3,EPHA6,VRK2,CLK1,TXK,TRIO,EPHA3,PRKCE,EPHA5,SNRK,NEK7
PS51004	SEMA	0.0065435607213003	-5.02927380887547	31	4	0.0133779264214047	299	12232	80031,9723,5362,10512	SEMA6D,SEMA3E,PLXNA2,SEMA3C
