TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-422475	Axon guidance	1.4369113344337e-06	-13.4530146546265	551	29	0.140096618357488	207	10391	3084,2042,8633,4747,2044,6197,9723,256076,3912,4897,2043,817,284,1293,220164,1272,3685,5362,137970,80031,3983,8829,4651,8911,285220,7204,3791,22866,1213	NRG1,EPHA3,UNC5C,NEFL,EPHA5,RPS6KA3,SEMA3E,COL6A5,LAMB1,NRCAM,EPHA4,CAMK2D,ANGPT1,COL6A3,DOK6,CNTN1,ITGAV,PLXNA2,UNC5D,SEMA6D,ABLIM1,NRP1,MYO10,CACNA1I,EPHA6,TRIO,KDR,CNKSR2,CLTC
R-HSA-3928663	EPHA-mediated growth cone collapse	0.000519597472117192	-7.56245613823511	34	5	0.0241545893719807	207	10391	2043,2042,2044,3791,285220	EPHA4,EPHA3,EPHA5,KDR,EPHA6
R-HSA-1266738	Developmental Biology	0.000655756376239334	-7.3297212156819	1078	37	0.178743961352657	207	10391	2043,1496,5915,4897,9314,220164,1272,284,1293,817,4651,8829,8911,3983,137970,10891,5362,80031,3685,7204,3791,22866,1213,285220,6197,2042,9211,4747,8633,2044,1825,3084,63978,688,3912,9723,256076	EPHA4,CTNNA2,RARB,NRCAM,KLF4,DOK6,CNTN1,ANGPT1,COL6A3,CAMK2D,MYO10,NRP1,CACNA1I,ABLIM1,UNC5D,PPARGC1A,PLXNA2,SEMA6D,ITGAV,TRIO,KDR,CNKSR2,CLTC,EPHA6,RPS6KA3,EPHA3,LGI1,NEFL,UNC5C,EPHA5,DSC3,NRG1,PRDM14,KLF5,LAMB1,SEMA3E,COL6A5
R-HSA-373752	Netrin-1 signaling	0.00139632071437571	-6.57391456293623	42	5	0.0241545893719807	207	10391	7204,137970,3983,8633,4651	TRIO,UNC5D,ABLIM1,UNC5C,MYO10
R-HSA-190828	Gap junction trafficking	0.00215257707654469	-6.14108951438492	28	4	0.0193236714975845	207	10391	1213,2702,84694,2697	CLTC,GJA5,GJA10,GJA1
R-HSA-194306	Neurophilin interactions with VEGF and VEGFR	0.00230793247646865	-6.07140318706033	4	2	0.00966183574879227	207	10391	8829,3791	NRP1,KDR
R-HSA-2408550	Metabolism of ingested H2SeO4 and H2SeO3 into H2Se	0.00230793247646865	-6.07140318706033	4	2	0.00966183574879227	207	10391	9060,2936	PAPSS2,GSR
R-HSA-8948216	Collagen chain trimerization	0.00232348557681293	-6.06468681698468	47	5	0.0241545893719807	207	10391	1293,84570,136227,256076,1295	COL6A3,COL25A1,COL26A1,COL6A5,COL8A1
R-HSA-3928665	EPH-ephrin mediated repulsion of cells	0.00255237232289411	-5.97073202959019	48	5	0.0241545893719807	207	10391	2043,2044,2042,1213,285220	EPHA4,EPHA5,EPHA3,CLTC,EPHA6
R-HSA-157858	Gap junction trafficking and regulation	0.00279308253223985	-5.88060944278155	30	4	0.0193236714975845	207	10391	1213,2697,84694,2702	CLTC,GJA1,GJA10,GJA5
R-HSA-418990	Adherens junctions interactions	0.00315753341181423	-5.75796412206506	31	4	0.0193236714975845	207	10391	1004,1016,1009,1006	CDH6,CDH18,CDH11,CDH8
R-HSA-373760	L1CAM interactions	0.00420646482487882	-5.4711326930959	102	7	0.0338164251207729	207	10391	1272,6197,1213,8829,3912,3685,4897	CNTN1,RPS6KA3,CLTC,NRP1,LAMB1,ITGAV,NRCAM
R-HSA-416476	G alpha (q) signalling events	0.00506147535360602	-5.28609726632268	192	10	0.0483091787439614	207	10391	1131,301,54331,3356,56923,886,5581,5583,7204,5028	CHRM3,ANXA1,GNG2,HTR2A,NMUR2,CCKAR,PRKCE,PRKCH,TRIO,P2RY1
R-HSA-190861	Gap junction assembly	0.0059661342075916	-5.1216560977367	19	3	0.0144927536231884	207	10391	2697,2702,84694	GJA1,GJA5,GJA10
R-HSA-416700	Other semaphorin interactions	0.0059661342075916	-5.1216560977367	19	3	0.0144927536231884	207	10391	9723,80031,5362	SEMA3E,SEMA6D,PLXNA2
R-HSA-421270	Cell-cell junction organization	0.00771132146975531	-4.86506570923824	62	5	0.0241545893719807	207	10391	101928583,1006,1004,1009,1016	SLC7A14-AS1,CDH8,CDH6,CDH11,CDH18
R-HSA-447043	Neurofascin interactions	0.00776464174993184	-4.85817495996457	7	2	0.00966183574879227	207	10391	1272,4897	CNTN1,NRCAM
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	0.00795308923923662	-4.83419484224316	21	3	0.0144927536231884	207	10391	1511,3486,5069	CTSG,IGFBP3,PAPPA
R-HSA-5365859	RA biosynthesis pathway	0.0102859226452843	-4.57697905204615	23	3	0.0144927536231884	207	10391	57665,216,195814	RDH14,ALDH1A1,SDR16C5
R-HSA-5362517	Signaling by Retinoic Acid	0.0102901072200708	-4.57657230935852	43	4	0.0193236714975845	207	10391	5915,57665,216,195814	RARB,RDH14,ALDH1A1,SDR16C5
R-HSA-2682334	EPH-Ephrin signaling	0.0116410428062677	-4.4532182525243	95	6	0.0289855072463768	207	10391	285220,1213,3791,2042,2044,2043	EPHA6,CLTC,KDR,EPHA3,EPHA5,EPHA4
