TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00615	EPH_lbd	0.00039575710989955	-7.8347098937308	14	4	0.0154440154440154	259	9743	2043,2044,2042,285220	EPHA4,EPHA5,EPHA3,EPHA6
SM00060	FN3	0.00205539367359785	-6.18728788072012	149	11	0.0424710424710425	259	9743	2044,1272,4897,5067,285220,162282,374462,53942,2042,221935,2043	EPHA5,CNTN1,NRCAM,CNTN3,EPHA6,ANKFN1,PTPRQ,CNTN5,EPHA3,SDK1,EPHA4
SM00457	MACPF	0.00341910567563427	-5.67837626045683	12	3	0.0115830115830116	259	9743	339479,23245,219972	BRINP3,ASTN2,MPEG1
SM01411	Ephrin_rec_like	0.00397412435968938	-5.52795084201315	25	4	0.0154440154440154	259	9743	2043,2042,2044,285220	EPHA4,EPHA3,EPHA5,EPHA6
SM01178	DUF4217	0.0040769298126407	-5.50241107073576	4	2	0.00772200772200772	259	9743	8886,1662	DDX18,DDX10
SM00335	ANX	0.00435823163468627	-5.43568889226912	13	3	0.0115830115830116	259	9743	301,308,306	ANXA1,ANXA5,ANXA3
SM00219	TyrKc	0.00526986138259136	-5.24575121988839	80	7	0.027027027027027	259	9743	7294,285220,4593,2043,2042,3791,2044	TXK,EPHA6,MUSK,EPHA4,EPHA3,KDR,EPHA5
SM00630	Sema	0.00872850751923137	-4.74116088374236	31	4	0.0154440154440154	259	9743	5362,10512,9723,80031	PLXNA2,SEMA3C,SEMA3E,SEMA6D
SM00408	IGc2	0.0125431528612811	-4.37858035103458	242	13	0.0501930501930502	259	9743	53942,8633,4593,137970,221935,3084,4897,1272,7204,145581,3791,5067,23022	CNTN5,UNC5C,MUSK,UNC5D,SDK1,NRG1,NRCAM,CNTN1,TRIO,LRFN5,KDR,CNTN3,PALLD
SM00214	VWC	0.0147390082606915	-4.21725767666282	36	4	0.0154440154440154	259	9743	4856,168667,375567,4753	CCN3,BMPER,VWC2,NELL2
SM01089	Connexin_CCC	0.0151480021163523	-4.18988662923093	20	3	0.0115830115830116	259	9743	84694,2697,2702	GJA10,GJA1,GJA5
SM00037	CNX	0.0151480021163523	-4.18988662923093	20	3	0.0115830115830116	259	9743	2702,84694,2697	GJA5,GJA10,GJA1
SM00218	ZU5	0.0224021289518221	-3.79859928214534	9	2	0.00772200772200772	259	9743	137970,8633	UNC5D,UNC5C
SM00454	SAM	0.0228831952699005	-3.77735246881643	83	6	0.0231660231660232	259	9743	285220,22866,2043,51776,2042,2044	EPHA6,CNKSR2,EPHA4,MAP3K20,EPHA3,EPHA5
SM00490	HELICc	0.0237549657476041	-3.73996368624687	107	7	0.027027027027027	259	9743	64848,1662,7486,91351,8886,168400,9704	YTHDC2,DDX10,WRN,DDX60L,DDX18,DDX53,DHX34
SM00220	S_TKc	0.0238995175527171	-3.7338970063272	349	16	0.0617760617760618	259	9743	6885,5581,51776,22858,54861,7048,140609,7444,122011,7204,1195,817,6197,2043,5583,658	MAP3K7,PRKCE,MAP3K20,CILK1,SNRK,TGFBR2,NEK7,VRK2,CSNK1A1L,TRIO,CLK1,CAMK2D,RPS6KA3,EPHA4,PRKCH,BMPR1B
SM00423	PSI	0.0247627443010182	-3.69841500124063	42	4	0.0154440154440154	259	9743	9723,80031,10512,5362	SEMA3E,SEMA6D,SEMA3C,PLXNA2
SM00487	DEXDc	0.025973727624594	-3.65066972781284	109	7	0.027027027027027	259	9743	7486,1662,64848,9704,8886,91351,168400	WRN,DDX10,YTHDC2,DHX34,DDX18,DDX60L,DDX53
SM00209	TSP1	0.0272762996500615	-3.60173709853346	64	5	0.0193050193050193	259	9743	8633,80731,80070,137970,4856	UNC5C,THSD7B,ADAMTS20,UNC5D,CCN3
SM00386	HAT	0.0275176670263616	-3.59292704326189	10	2	0.00772200772200772	259	9743	196441,83857	ZFC3H1,TMTC1
SM00112	CA	0.0308277106499927	-3.47934129705852	113	7	0.027027027027027	259	9743	1825,1004,1006,1016,5099,57526,1009	DSC3,CDH6,CDH8,CDH18,PCDH7,PCDH19,CDH11
SM00132	LIM	0.0401873845375659	-3.21420215008165	71	5	0.0193050193050193	259	9743	3670,144165,8796,3983,10529	ISL1,PRICKLE1,SCEL,ABLIM1,NEBL
SM00147	RasGEF	0.0444632708424086	-3.11309180494677	30	3	0.0115830115830116	259	9743	153020,9649,23179	RASGEF1B,RALGPS1,RGL1
SM00135	LY	0.0519114300658817	-2.95821628057464	14	2	0.00772200772200772	259	9743	53353,7436	LRP1B,VLDLR
SM00535	RIBOc	0.0524623661603848	-2.94765920147393	2	1	0.00386100386100386	259	9743	29102	DROSHA
SM00993	YL1_C	0.0524623661603848	-2.94765920147393	2	1	0.00386100386100386	259	9743	125476	INO80C
SM00956	RQC	0.0524623661603848	-2.94765920147393	2	1	0.00386100386100386	259	9743	7486	WRN
SM00352	POU	0.0661331095468529	-2.71608575667335	16	2	0.00772200772200772	259	9743	5456,5449	POU3F4,POU1F1
SM00722	CASH	0.0776561088119073	-2.55546506136907	3	1	0.00386100386100386	259	9743	81626	SHCBP1L
SM00711	TDU	0.0776561088119073	-2.55546506136907	3	1	0.00386100386100386	259	9743	389136	VGLL3
SM01274	malic	0.0776561088119073	-2.55546506136907	3	1	0.00386100386100386	259	9743	10873	ME3
SM00919	Malic_M	0.0776561088119073	-2.55546506136907	3	1	0.00386100386100386	259	9743	10873	ME3
SM00299	CLH	0.0776561088119073	-2.55546506136907	3	1	0.00386100386100386	259	9743	1213	CLTC
SM00341	HRDC	0.0776561088119073	-2.55546506136907	3	1	0.00386100386100386	259	9743	7486	WRN
SM00459	Sorb	0.0776561088119073	-2.55546506136907	3	1	0.00386100386100386	259	9743	8470	SORBS2
SM01138	DP	0.0776561088119073	-2.55546506136907	3	1	0.00386100386100386	259	9743	7029	TFDP2
SM00536	AXH	0.0776561088119073	-2.55546506136907	3	1	0.00386100386100386	259	9743	6310	ATXN1
SM00054	EFh	0.0795145478288562	-2.53181528250482	140	7	0.027027027027027	259	9743	158158,84698,5358,5954,7447,5475,10590	RASEF,CAPS2,PLS3,RCN1,VSNL1,PPEF1,SCGN
SM01381	7TM_GPCR_Srsx	0.0804084711493422	-2.52063574579345	113	6	0.0231660231660232	259	9743	56923,3356,1131,3350,886,6753	NMUR2,HTR2A,CHRM3,HTR1A,CCKAR,SSTR3
SM00121	IB	0.0814733880252982	-2.50747883935392	18	2	0.00772200772200772	259	9743	4856,3486	CCN3,IGFBP3
SM00847	HA2	0.0814733880252982	-2.50747883935392	18	2	0.00772200772200772	259	9743	64848,9704	YTHDC2,DHX34
