TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP98	Prostaglandin Synthesis and Regulation	0.000590406415387407	-7.43469941856597	30	5	0.0396825396825397	126	5358	306,6281,308,301,3248	ANXA3,S100A10,ANXA5,ANXA1,HPGD
WP2858	Ectoderm Differentiation	0.00193297528433855	-6.24869486500502	144	10	0.0793650793650794	126	5358	170302,101928583,151613,1496,5362,56913,1004,8835,6622,1006	ARX,SLC7A14-AS1,TTC14,CTNNA2,PLXNA2,C1GALT1,CDH6,SOCS2,SNCA,CDH8
WP2431	Spinal Cord Injury	0.00696063986715323	-4.96748387392576	120	8	0.0634920634920635	126	5358	627,2697,5362,4842,2043,50507,301,5173	BDNF,GJA1,PLXNA2,NOS1,EPHA4,NOX4,ANXA1,PDYN
WP536	Calcium Regulation in the Cardiac Cell	0.00879080015729304	-4.7340495410193	151	9	0.0714285714285714	126	5358	7534,483,5581,2697,1131,54331,817,2702,5583	YWHAZ,ATP1B3,PRKCE,GJA1,CHRM3,GNG2,CAMK2D,GJA5,PRKCH
WP289	Myometrial Relaxation and Contraction Pathways	0.0116505579882026	-4.45240120413435	158	9	0.0714285714285714	126	5358	5583,817,54331,7534,800,4842,2697,3486,5581	PRKCH,CAMK2D,GNG2,YWHAZ,CALD1,NOS1,GJA1,IGFBP3,PRKCE
WP706	Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	0.0135706035016388	-4.29984933290107	162	9	0.0714285714285714	126	5358	627,7534,2697,3350,6507,9734,3356,4133,10891	BDNF,YWHAZ,GJA1,HTR1A,SLC1A3,HDAC9,HTR2A,MAP2,PPARGC1A
WP716	Vitamin A and Carotenoid Metabolism	0.0191609141800993	-3.95488279462883	44	4	0.0317460317460317	126	5358	5948,195814,216,5915	RBP2,SDR16C5,ALDH1A1,RARB
WP3301	MFAP5-mediated ovarian cancer cell motility and invasiveness	0.0310391869729681	-3.47250477689134	12	2	0.0158730158730159	126	5358	3685,9586	ITGAV,CREB5
WP2406	Cardiac Progenitor Differentiation	0.035205279820112	-3.34655921273665	53	4	0.0317460317460317	126	5358	7852,3670,3791,3084	CXCR4,ISL1,KDR,NRG1
WP1991	SRF and miRs in Smooth Muscle Differentiation and Proliferation	0.0361269918687387	-3.32071499583462	13	2	0.0158730158730159	126	5358	817,9314	CAMK2D,KLF4
WP229	Irinotecan Pathway	0.0415109111339024	-3.18179896741338	14	2	0.0158730158730159	126	5358	1244,590	ABCC2,BCHE
WP2795	Cardiac Hypertrophic Response	0.0442393740070722	-3.11814007179873	57	4	0.0317460317460317	126	5358	3084,817,9734,6885	NRG1,CAMK2D,HDAC9,MAP3K7
WP58	Monoamine GPCRs	0.0447480644859942	-3.10670708690628	34	3	0.0238095238095238	126	5358	3350,3356,1131	HTR1A,HTR2A,CHRM3
WP299	Nuclear Receptors in Lipid Metabolism and Toxicity	0.0481288300578464	-3.03387390392337	35	3	0.0238095238095238	126	5358	19,5915,1244	ABCA1,RARB,ABCC2
WP2884	NRF2 pathway	0.0538166240504966	-2.92217286232308	145	7	0.0555555555555556	126	5358	7048,2936,64116,1244,55117,2042,3084	TGFBR2,GSR,SLC39A8,ABCC2,SLC6A15,EPHA3,NRG1
WP2447	Amyotrophic lateral sclerosis (ALS)	0.0589964048104166	-2.83027877234972	38	3	0.0238095238095238	126	5358	4747,4842,79139	NEFL,NOS1,DERL1
WP692	Sulfation Biotransformation Reaction	0.0656865898123802	-2.7228604867701	18	2	0.0158730158730159	126	5358	9060,2936	PAPSS2,GSR
WP2011	SREBF and miR33 in cholesterol and lipid homeostasis	0.0723152940714405	-2.62671963593024	19	2	0.0158730158730159	126	5358	19,10891	ABCA1,PPARGC1A
WP733	Serotonin Receptor 2 and STAT3 Signaling	0.0908231124078213	-2.39884148382883	4	1	0.00793650793650794	126	5358	3356	HTR2A
WP2064	Neural Crest Differentiation	0.0913555347104545	-2.39299641003012	102	5	0.0396825396825397	126	5358	4488,1004,2113,3670,9734	MSX2,CDH6,ETS1,ISL1,HDAC9
WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy	0.102945563593796	-2.2735549392606	76	4	0.0317460317460317	126	5358	1496,3685,29119,2697	CTNNA2,ITGAV,CTNNA3,GJA1
WP382	MAPK Signaling Pathway	0.104558700918465	-2.25800663401205	170	7	0.0555555555555556	126	5358	6885,23118,5583,51776,627,6197,7048	MAP3K7,TAB2,PRKCH,MAP3K20,BDNF,RPS6KA3,TGFBR2
WP334	GPCRs, Class B Secretin-like	0.108289201913219	-2.22294983527187	24	2	0.0158730158730159	126	5358	23284,64123	ADGRL3,ADGRL4
WP1539	Angiogenesis	0.108289201913219	-2.22294983527187	24	2	0.0158730158730159	126	5358	3791,284	KDR,ANGPT1
WP262	EBV LMP1 signaling	0.108289201913219	-2.22294983527187	24	2	0.0158730158730159	126	5358	6885,6364	MAP3K7,CCL20
WP1528	Physiological and Pathological Hypertrophy  of the Heart	0.115964666969073	-2.15446972936848	25	2	0.0158730158730159	126	5358	817,5581	CAMK2D,PRKCE
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	0.1331457112781	-2.01631117694353	54	3	0.0238095238095238	126	5358	308,2113,3084	ANXA5,ETS1,NRG1
WP2018	RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway	0.138544070664267	-1.97656680422754	55	3	0.0238095238095238	126	5358	23118,9060,6885	TAB2,PAPSS2,MAP3K7
WP2805	RNA interference	0.153524960596521	-1.87389211542509	7	1	0.00793650793650794	126	5358	29102	DROSHA
WP3851	TLR4 Signaling and Tolerance	0.156148438051369	-1.85694819817616	30	2	0.0158730158730159	126	5358	6885,23118	MAP3K7,TAB2
WP455	GPCRs, Class A Rhodopsin-like	0.162319939105239	-1.81818595861719	262	9	0.0714285714285714	126	5358	1131,3356,56923,6753,5028,23637,7852,3350,886	CHRM3,HTR2A,NMUR2,SSTR3,P2RY1,RABGAP1,CXCR4,HTR1A,CCKAR
WP408	Oxidative Stress	0.16447915263802	-1.80497144849162	31	2	0.0158730158730159	126	5358	50507,2936	NOX4,GSR
WP2875	Constitutive Androstane Receptor Pathway	0.172887174337859	-1.75511606869813	32	2	0.0158730158730159	126	5358	1244,10891	ABCC2,PPARGC1A
WP1589	Folate-Alcohol and Cancer Pathway	0.173456908825257	-1.75182607456225	8	1	0.00793650793650794	126	5358	216	ALDH1A1
WP1604	Codeine and Morphine Metabolism	0.173456908825257	-1.75182607456225	8	1	0.00793650793650794	126	5358	1244	ABCC2
WP2338	miRNA Biogenesis	0.173456908825257	-1.75182607456225	8	1	0.00793650793650794	126	5358	29102	DROSHA
WP1995	Effects of Nitric Oxide	0.173456908825257	-1.75182607456225	8	1	0.00793650793650794	126	5358	4842	NOS1
WP3407	FTO Obesity Variant Mechanism	0.173456908825257	-1.75182607456225	8	1	0.00793650793650794	126	5358	10891	PPARGC1A
WP288	NLR Proteins	0.19292315732846	-1.64546331791663	9	1	0.00793650793650794	126	5358	6885	MAP3K7
WP3300	Dual hijack model of Vif in HIV infection	0.19292315732846	-1.64546331791663	9	1	0.00793650793650794	126	5358	100506403	LOC100506403
WP2942	DDX1 as a regulatory component of the Drosha microprocessor	0.19292315732846	-1.64546331791663	9	1	0.00793650793650794	126	5358	29102	DROSHA
WP366	TGF-beta Signaling Pathway	0.202791445591679	-1.59557718965537	133	5	0.0396825396825397	126	5358	1030,6885,2113,11059,7048	CDKN2B,MAP3K7,ETS1,WWP1,TGFBR2
WP2012	miRs in Muscle Cell Differentiation	0.207134271548098	-1.57438804118065	36	2	0.0158730158730159	126	5358	5583,5581	PRKCH,PRKCE
WP704	Methylation Pathways	0.211934501910472	-1.5514780052985	10	1	0.00793650793650794	126	5358	27430	MAT2B
WP2333	Trans-sulfuration pathway	0.211934501910472	-1.5514780052985	10	1	0.00793650793650794	126	5358	27430	MAT2B
WP3298	Melatonin metabolism and effects	0.215813100141419	-1.53334252298937	37	2	0.0158730158730159	126	5358	406,4133	BMAL1,MAP2
WP3614	Photodynamic therapy-induced HIF-1 survival signaling	0.215813100141419	-1.53334252298937	37	2	0.0158730158730159	126	5358	284,3486	ANGPT1,IGFBP3
