TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0048731	system development	4.9584951361353e-10	-21.4247486352114	3545	80	0.363636363636364	220	18905	339479,127933,10512,4009,2201,9678,1272,7048,81792,5789,4133,26047,2650,282996,2263,92,265,1003,164781,166378,9211,5101,7227,5087,26280,1131,221981,7291,2042,256987,3084,6092,6262,140767,8323,10690,54360,170302,7345,1826,4915,3642,11096,2259,25925,4857,26281,8633,23414,79633,2250,590,2173,5080,3973,5175,2596,2202,10451,222894,89795,7763,10842,91137,4897,23284,6444,1946,57110,51741,1833,6445,9353,23544,92737,130399,2043,79192,57698,5803	BRINP3,UHMK1,SEMA3C,LMX1A,FBN2,PHF14,CNTN1,TGFBR2,ADAMTS12,PTPRD,MAP2,CNTNAP2,GCNT1,RBM20,FGFR2,ACVR2A,AMELX,CDH5,DAW1,AFG2A,LGI1,PCDH9,TRPS1,PBX1,IL1RAPL2,CHRM3,THSD7A,TWIST1,EPHA3,SERINC5,NRG1,ROBO2,RYR2,NRSN1,FZD6,FUT9,CYTL1,ARX,UCHL1,DSCAM,NTRK2,INSM1,ADAMTS5,FGF14,ZNF521,NOVA1,FGF20,UNC5C,ZFPM2,FAT4,FGF5,BCHE,FABP7,PAX6,LHCGR,PECAM1,GAP43,EFEMP1,VAV3,FERD3L,NAV3,ZFAND5,PPP1R17,SLC25A46,NRCAM,ADGRL3,SGCD,EFNA5,PLAAT1,WWOX,EPYC,SGCG,SLIT2,SEZ6L,DNER,ACVR1C,EPHA4,IRX1,SHTN1,PTPRZ1
GO:0007275	multicellular organism development	1.52539380685031e-09	-20.3010132262235	3972	85	0.386363636363636	220	18905	5175,3973,5080,2173,2596,2202,222894,89795,10451,91137,10842,7763,1946,23284,6444,4897,51741,57110,1833,79192,2043,130399,23544,92737,6445,9353,5803,57698,55788,9508,170302,54360,8323,10690,4915,1826,7345,11096,3642,25925,2259,4857,79633,23414,8633,26281,2250,590,23671,5101,7227,10742,1131,26280,5087,256987,2042,7291,221981,121227,6092,6262,140767,3084,339479,10512,127933,2201,4009,81792,5789,7048,1272,9678,4133,2650,26047,265,282996,92,2263,9211,166378,164781,1003	PECAM1,LHCGR,PAX6,FABP7,GAP43,EFEMP1,FERD3L,NAV3,VAV3,SLC25A46,PPP1R17,ZFAND5,EFNA5,ADGRL3,SGCD,NRCAM,WWOX,PLAAT1,EPYC,IRX1,EPHA4,ACVR1C,SEZ6L,DNER,SGCG,SLIT2,PTPRZ1,SHTN1,LMBRD1,ADAMTS3,ARX,CYTL1,FZD6,FUT9,NTRK2,DSCAM,UCHL1,ADAMTS5,INSM1,ZNF521,FGF14,NOVA1,FAT4,ZFPM2,UNC5C,FGF20,FGF5,BCHE,TMEFF2,PCDH9,TRPS1,RAI2,CHRM3,IL1RAPL2,PBX1,SERINC5,EPHA3,TWIST1,THSD7A,LRIG3,ROBO2,RYR2,NRSN1,NRG1,BRINP3,SEMA3C,UHMK1,FBN2,LMX1A,ADAMTS12,PTPRD,TGFBR2,CNTN1,PHF14,MAP2,GCNT1,CNTNAP2,AMELX,RBM20,ACVR2A,FGFR2,LGI1,AFG2A,DAW1,CDH5
GO:0007409	axonogenesis	1.14488508449008e-08	-18.2853764748736	366	20	0.0909090909090909	220	18905	2043,2263,9353,9211,6092,5803,57698,1946,2042,4897,8633,4009,91137,1272,170302,5080,10512,1826,7345,2596	EPHA4,FGFR2,SLIT2,LGI1,ROBO2,PTPRZ1,SHTN1,EFNA5,EPHA3,NRCAM,UNC5C,LMX1A,SLC25A46,CNTN1,ARX,PAX6,SEMA3C,DSCAM,UCHL1,GAP43
GO:0048856	anatomical structure development	1.18727223235325e-08	-18.2490223097566	5236	100	0.454545454545455	220	18905	3642,11096,51205,25925,54360,10690,8323,7345,4915,1826,2250,54829,590,4857,8633,10451,7763,10842,91137,2173,3174,5080,3973,5175,6445,9353,23544,130399,79192,2043,55788,5803,10563,151354,57110,4009,5789,81792,127933,2263,265,164781,166378,26047,57181,5087,1131,10404,3084,6092,6262,140767,221981,7291,23254,121227,2259,170302,7402,26281,23414,79633,135935,222894,89795,6760,2596,2202,92737,9508,57698,4897,23284,6444,1946,1833,51741,2201,9678,7048,1272,339479,10512,282996,92,1003,9211,5341,4133,83893,2650,26280,5101,23671,10742,7227,2042,256987,9043,84466	INSM1,ADAMTS5,ACP6,ZNF521,CYTL1,FUT9,FZD6,UCHL1,NTRK2,DSCAM,FGF5,ASPN,BCHE,NOVA1,UNC5C,VAV3,ZFAND5,PPP1R17,SLC25A46,FABP7,HNF4G,PAX6,LHCGR,PECAM1,SGCG,SLIT2,SEZ6L,ACVR1C,IRX1,EPHA4,LMBRD1,PTPRZ1,CXCL13,LRATD1,PLAAT1,LMX1A,PTPRD,ADAMTS12,UHMK1,FGFR2,AMELX,DAW1,AFG2A,CNTNAP2,SLC39A10,PBX1,CHRM3,CPQ,NRG1,ROBO2,RYR2,NRSN1,THSD7A,TWIST1,KAZN,LRIG3,FGF14,ARX,UTRN,FGF20,ZFPM2,FAT4,NOBOX,FERD3L,NAV3,SS18,GAP43,EFEMP1,DNER,ADAMTS3,SHTN1,NRCAM,ADGRL3,SGCD,EFNA5,EPYC,WWOX,FBN2,PHF14,TGFBR2,CNTN1,BRINP3,SEMA3C,RBM20,ACVR2A,CDH5,LGI1,PLEK,MAP2,SPATA16,GCNT1,IL1RAPL2,PCDH9,TMEFF2,RAI2,TRPS1,EPHA3,SERINC5,SPAG9,MEGF10
GO:0007399	nervous system development	2.19415133657992e-08	-17.6348854070033	2193	55	0.25	220	18905	5803,57698,79192,2043,130399,23544,92737,9353,1946,23284,4897,91137,10842,89795,222894,2596,5080,2173,590,2250,79633,8633,26281,4857,25925,2259,3642,4915,1826,7345,170302,8323,10690,6092,140767,3084,2042,256987,7291,1131,26280,5087,5101,9211,166378,2263,26047,4133,5789,1272,7048,4009,10512,127933,339479	PTPRZ1,SHTN1,IRX1,EPHA4,ACVR1C,SEZ6L,DNER,SLIT2,EFNA5,ADGRL3,NRCAM,SLC25A46,PPP1R17,NAV3,FERD3L,GAP43,PAX6,FABP7,BCHE,FGF5,FAT4,UNC5C,FGF20,NOVA1,ZNF521,FGF14,INSM1,NTRK2,DSCAM,UCHL1,ARX,FZD6,FUT9,ROBO2,NRSN1,NRG1,EPHA3,SERINC5,TWIST1,CHRM3,IL1RAPL2,PBX1,PCDH9,LGI1,AFG2A,FGFR2,CNTNAP2,MAP2,PTPRD,CNTN1,TGFBR2,LMX1A,SEMA3C,UHMK1,BRINP3
GO:0048667	cell morphogenesis involved in neuron differentiation	5.66553584590347e-08	-16.6862792650836	443	21	0.0954545454545455	220	18905	91137,1272,4009,1826,2596,7345,10512,5080,170302,5803,9211,6092,57698,2263,9353,2043,8633,4133,4897,2042,1946	SLC25A46,CNTN1,LMX1A,DSCAM,GAP43,UCHL1,SEMA3C,PAX6,ARX,PTPRZ1,LGI1,ROBO2,SHTN1,FGFR2,SLIT2,EPHA4,UNC5C,MAP2,NRCAM,EPHA3,EFNA5
GO:0097485	neuron projection guidance	6.00428102414477e-08	-16.6282080251232	224	15	0.0681818181818182	220	18905	6092,9211,9353,2043,8633,4897,2042,1946,1272,4009,2596,1826,10512,5080,170302	ROBO2,LGI1,SLIT2,EPHA4,UNC5C,NRCAM,EPHA3,EFNA5,CNTN1,LMX1A,GAP43,DSCAM,SEMA3C,PAX6,ARX
GO:0007411	axon guidance	6.00428102414477e-08	-16.6282080251232	224	15	0.0681818181818182	220	18905	8633,4897,2042,1946,9211,6092,9353,2043,1826,2596,10512,5080,170302,1272,4009	UNC5C,NRCAM,EPHA3,EFNA5,LGI1,ROBO2,SLIT2,EPHA4,DSCAM,GAP43,SEMA3C,PAX6,ARX,CNTN1,LMX1A
GO:0048812	neuron projection morphogenesis	6.06890183845589e-08	-16.6175030714829	486	22	0.1	220	18905	1272,4009,1826,7345,10512,170302,9211,2263,26047,8633,4133,91137,2596,5080,5803,6092,57698,9353,2043,4897,2042,1946	CNTN1,LMX1A,DSCAM,UCHL1,SEMA3C,ARX,LGI1,FGFR2,CNTNAP2,UNC5C,MAP2,SLC25A46,GAP43,PAX6,PTPRZ1,ROBO2,SHTN1,SLIT2,EPHA4,NRCAM,EPHA3,EFNA5
GO:0048699	generation of neurons	6.33406600475884e-08	-16.5747383751831	1159	36	0.163636363636364	220	18905	5087,91137,5080,2596,92737,9353,2043,79192,5803,6092,57698,7291,4897,1946,2042,23284,3642,4009,5789,1272,25925,10690,339479,170302,4915,1826,7345,10512,127933,2263,590,9211,4133,26281,26047,8633	PBX1,SLC25A46,PAX6,GAP43,DNER,SLIT2,EPHA4,IRX1,PTPRZ1,ROBO2,SHTN1,TWIST1,NRCAM,EFNA5,EPHA3,ADGRL3,INSM1,LMX1A,PTPRD,CNTN1,ZNF521,FUT9,BRINP3,ARX,NTRK2,DSCAM,UCHL1,SEMA3C,UHMK1,FGFR2,BCHE,LGI1,MAP2,FGF20,CNTNAP2,UNC5C
GO:0120039	plasma membrane bounded cell projection morphogenesis	7.2594869825079e-08	-16.4383715811789	491	22	0.1	220	18905	2043,9353,5803,6092,57698,2042,1946,4897,91137,5080,2596,2263,9211,4133,8633,26047,4009,1272,170302,10512,1826,7345	EPHA4,SLIT2,PTPRZ1,ROBO2,SHTN1,EPHA3,EFNA5,NRCAM,SLC25A46,PAX6,GAP43,FGFR2,LGI1,MAP2,UNC5C,CNTNAP2,LMX1A,CNTN1,ARX,SEMA3C,DSCAM,UCHL1
GO:0022008	neurogenesis	8.36675952662316e-08	-16.2964140877447	1335	39	0.177272727272727	220	18905	2263,2250,9211,590,4133,79633,26047,8633,26281,4009,3642,5789,1272,25925,170302,339479,10690,10512,127933,1826,4915,7345,2043,79192,92737,9353,5803,6092,57698,2042,1946,23284,4897,7291,89795,5087,91137,5080,2596	FGFR2,FGF5,LGI1,BCHE,MAP2,FAT4,CNTNAP2,UNC5C,FGF20,LMX1A,INSM1,PTPRD,CNTN1,ZNF521,ARX,BRINP3,FUT9,SEMA3C,UHMK1,DSCAM,NTRK2,UCHL1,EPHA4,IRX1,DNER,SLIT2,PTPRZ1,ROBO2,SHTN1,EPHA3,EFNA5,ADGRL3,NRCAM,TWIST1,NAV3,PBX1,SLC25A46,PAX6,GAP43
GO:0048858	cell projection morphogenesis	8.66291967507056e-08	-16.2616289332713	496	22	0.1	220	18905	4133,26047,8633,2263,9211,170302,10512,1826,7345,4009,1272,1946,2042,4897,2043,9353,5803,6092,57698,5080,2596,91137	MAP2,CNTNAP2,UNC5C,FGFR2,LGI1,ARX,SEMA3C,DSCAM,UCHL1,LMX1A,CNTN1,EFNA5,EPHA3,NRCAM,EPHA4,SLIT2,PTPRZ1,ROBO2,SHTN1,PAX6,GAP43,SLC25A46
GO:0061564	axon development	1.15097766669384e-07	-15.9774839248005	421	20	0.0909090909090909	220	18905	91137,1272,4009,1826,7345,2596,10512,5080,170302,6092,5803,9211,57698,2263,9353,2043,8633,4897,1946,2042	SLC25A46,CNTN1,LMX1A,DSCAM,UCHL1,GAP43,SEMA3C,PAX6,ARX,ROBO2,PTPRZ1,LGI1,SHTN1,FGFR2,SLIT2,EPHA4,UNC5C,NRCAM,EFNA5,EPHA3
GO:0032502	developmental process	1.97520109388841e-07	-15.4374254380982	5746	103	0.468181818181818	220	18905	2259,7402,170302,26281,79633,23414,6760,6857,135935,170712,222894,89795,2202,2596,9508,57698,92737,10863,51741,1833,4897,1946,23284,6444,9678,7048,1272,2201,10512,339479,1003,9211,92,282996,83893,2650,5341,4133,26280,10742,7227,23671,5101,9043,84466,256987,2042,51205,25925,3642,11096,1826,4915,7345,54360,10690,8323,590,2250,54829,8633,4857,7763,91137,10842,10451,5080,2173,3174,3973,5175,5803,55788,23544,9353,6445,79192,2043,130399,57110,151354,10563,5789,81792,4009,127933,164781,166378,2263,265,26047,10404,57181,1131,5087,3084,140767,6092,6262,121227,23254,7291,221981	FGF14,UTRN,ARX,FGF20,FAT4,ZFPM2,SS18,SYT1,NOBOX,COX7B2,FERD3L,NAV3,EFEMP1,GAP43,ADAMTS3,SHTN1,DNER,ADAM28,WWOX,EPYC,NRCAM,EFNA5,ADGRL3,SGCD,PHF14,TGFBR2,CNTN1,FBN2,SEMA3C,BRINP3,CDH5,LGI1,ACVR2A,RBM20,SPATA16,GCNT1,PLEK,MAP2,IL1RAPL2,RAI2,TRPS1,TMEFF2,PCDH9,SPAG9,MEGF10,SERINC5,EPHA3,ACP6,ZNF521,INSM1,ADAMTS5,DSCAM,NTRK2,UCHL1,CYTL1,FUT9,FZD6,BCHE,FGF5,ASPN,UNC5C,NOVA1,ZFAND5,SLC25A46,PPP1R17,VAV3,PAX6,FABP7,HNF4G,LHCGR,PECAM1,PTPRZ1,LMBRD1,SEZ6L,SLIT2,SGCG,IRX1,EPHA4,ACVR1C,PLAAT1,LRATD1,CXCL13,PTPRD,ADAMTS12,LMX1A,UHMK1,DAW1,AFG2A,FGFR2,AMELX,CNTNAP2,CPQ,SLC39A10,CHRM3,PBX1,NRG1,NRSN1,ROBO2,RYR2,LRIG3,KAZN,TWIST1,THSD7A
GO:0000902	cell morphogenesis	4.88907360860834e-07	-14.5310928115111	688	25	0.113636363636364	220	18905	4133,26047,8633,2263,9211,1003,170302,10512,1826,7345,4009,1272,1946,2042,4897,151354,2043,9353,5803,6092,57698,5080,2596,91137,6760	MAP2,CNTNAP2,UNC5C,FGFR2,LGI1,CDH5,ARX,SEMA3C,DSCAM,UCHL1,LMX1A,CNTN1,EFNA5,EPHA3,NRCAM,LRATD1,EPHA4,SLIT2,PTPRZ1,ROBO2,SHTN1,PAX6,GAP43,SLC25A46,SS18
GO:0009653	anatomical structure morphogenesis	6.73442597576695e-07	-14.2108630747555	2238	52	0.236363636363636	220	18905	23671,5087,2042,221981,7291,121227,6262,6092,3084,10512,4009,2201,7048,1272,4133,26047,2650,265,92,282996,2263,9211,1003,5080,2596,2202,10451,91137,7763,6760,6444,1946,4897,10563,151354,51741,2043,79192,9353,57698,55788,5803,170302,8323,7345,4915,1826,11096,23414,8633,26281,2250	TMEFF2,PBX1,EPHA3,THSD7A,TWIST1,LRIG3,RYR2,ROBO2,NRG1,SEMA3C,LMX1A,FBN2,TGFBR2,CNTN1,MAP2,CNTNAP2,GCNT1,AMELX,ACVR2A,RBM20,FGFR2,LGI1,CDH5,PAX6,GAP43,EFEMP1,VAV3,SLC25A46,ZFAND5,SS18,SGCD,EFNA5,NRCAM,CXCL13,LRATD1,WWOX,EPHA4,IRX1,SLIT2,SHTN1,LMBRD1,PTPRZ1,ARX,FZD6,UCHL1,NTRK2,DSCAM,ADAMTS5,ZFPM2,UNC5C,FGF20,FGF5
GO:0008038	neuron recognition	9.56286568965741e-07	-13.8602082104812	46	7	0.0318181818181818	220	18905	1826,2596,26047,4897,2042,6092,2043	DSCAM,GAP43,CNTNAP2,NRCAM,EPHA3,ROBO2,EPHA4
GO:0030182	neuron differentiation	1.10017329432418e-06	-13.7200428502734	1082	32	0.145454545454545	220	18905	26281,26047,8633,4133,9211,2263,7345,1826,4915,10512,127933,339479,10690,170302,25925,1272,5789,3642,4009,4897,1946,2042,57698,5803,6092,9353,79192,2043,2596,5080,91137,5087	FGF20,CNTNAP2,UNC5C,MAP2,LGI1,FGFR2,UCHL1,DSCAM,NTRK2,SEMA3C,UHMK1,BRINP3,FUT9,ARX,ZNF521,CNTN1,PTPRD,INSM1,LMX1A,NRCAM,EFNA5,EPHA3,SHTN1,PTPRZ1,ROBO2,SLIT2,IRX1,EPHA4,GAP43,PAX6,SLC25A46,PBX1
GO:0007155	cell adhesion	1.83358581301574e-06	-13.2092370476856	946	29	0.131818181818182	220	18905	8573,5101,5175,10085,10446,84466,4897,2042,1946,23284,5581,6092,5796,10666,2043,1826,10225,5789,81792,1272,7048,2650,79633,26047,145581,5341,1003,29091,265	CASK,PCDH9,PECAM1,EDIL3,LRRN2,MEGF10,NRCAM,EPHA3,EFNA5,ADGRL3,PRKCE,ROBO2,PTPRK,CD226,EPHA4,DSCAM,CD96,PTPRD,ADAMTS12,CNTN1,TGFBR2,GCNT1,FAT4,CNTNAP2,LRFN5,PLEK,CDH5,STXBP6,AMELX
GO:0032501	multicellular organismal process	2.29699953861778e-06	-12.9839068351203	6260	106	0.481818181818182	220	18905	2259,7402,170302,10888,79633,23414,26281,6760,222894,89795,5413,2202,2596,57698,9508,10666,92737,1833,51741,1946,23284,6444,4897,7048,1272,9678,2201,10512,339479,9211,1003,92,282996,2650,23428,5341,4133,26280,7227,10742,23671,5101,5581,84466,2042,256987,25925,11096,3642,1826,4915,7345,54360,10690,8323,590,54829,2250,8633,4857,91137,10842,7763,144125,10451,221037,3973,5175,5080,2173,5803,55788,79192,2043,130399,23544,7486,9353,6445,8935,57110,10563,2834,5789,81792,4009,127933,119774,166378,164781,265,2263,26047,1131,5087,140767,6262,6092,3084,55024,121227,23254,64784,2059,7291,221981	FGF14,UTRN,ARX,GPR83,FAT4,ZFPM2,FGF20,SS18,FERD3L,NAV3,SEPTIN5,EFEMP1,GAP43,SHTN1,ADAMTS3,CD226,DNER,EPYC,WWOX,EFNA5,ADGRL3,SGCD,NRCAM,TGFBR2,CNTN1,PHF14,FBN2,SEMA3C,BRINP3,LGI1,CDH5,ACVR2A,RBM20,GCNT1,SLC7A8,PLEK,MAP2,IL1RAPL2,TRPS1,RAI2,TMEFF2,PCDH9,PRKCE,MEGF10,EPHA3,SERINC5,ZNF521,ADAMTS5,INSM1,DSCAM,NTRK2,UCHL1,CYTL1,FUT9,FZD6,BCHE,ASPN,FGF5,UNC5C,NOVA1,SLC25A46,PPP1R17,ZFAND5,OR2AG1,VAV3,JMJD1C,LHCGR,PECAM1,PAX6,FABP7,PTPRZ1,LMBRD1,IRX1,EPHA4,ACVR1C,SEZ6L,WRN,SLIT2,SGCG,SKAP2,PLAAT1,CXCL13,PRLHR,PTPRD,ADAMTS12,LMX1A,UHMK1,OR52K2,AFG2A,DAW1,AMELX,FGFR2,CNTNAP2,CHRM3,PBX1,NRSN1,RYR2,ROBO2,NRG1,BANK1,LRIG3,KAZN,CRTC3,EPS8,TWIST1,THSD7A
GO:0008037	cell recognition	4.70042322148409e-06	-12.267858006178	137	10	0.0454545454545455	220	18905	2042,5175,4897,26047,84466,2596,1826,10666,2043,6092	EPHA3,PECAM1,NRCAM,CNTNAP2,MEGF10,GAP43,DSCAM,CD226,EPHA4,ROBO2
GO:0031175	neuron projection development	6.67278076252794e-06	-11.9174738789916	694	23	0.104545454545455	220	18905	1946,2042,4897,2043,9353,6092,5803,57698,5080,2596,91137,4133,26047,8633,2263,9211,170302,127933,10512,1826,7345,4009,1272	EFNA5,EPHA3,NRCAM,EPHA4,SLIT2,ROBO2,PTPRZ1,SHTN1,PAX6,GAP43,SLC25A46,MAP2,CNTNAP2,UNC5C,FGFR2,LGI1,ARX,UHMK1,SEMA3C,DSCAM,UCHL1,LMX1A,CNTN1
GO:0048666	neuron development	8.39035576329054e-06	-11.6884276351314	860	26	0.118181818181818	220	18905	9211,2263,26047,8633,4133,1272,4009,3642,10512,127933,7345,1826,4915,170302,57698,6092,5803,2043,9353,2042,1946,4897,91137,5087,2596,5080	LGI1,FGFR2,CNTNAP2,UNC5C,MAP2,CNTN1,LMX1A,INSM1,SEMA3C,UHMK1,UCHL1,DSCAM,NTRK2,ARX,SHTN1,ROBO2,PTPRZ1,EPHA4,SLIT2,EPHA3,EFNA5,NRCAM,SLC25A46,PBX1,GAP43,PAX6
GO:0003148	outflow tract septum morphogenesis	1.09903168299569e-05	-11.4184959610328	26	5	0.0227272727272727	220	18905	2263,6092,10512,23414,7048	FGFR2,ROBO2,SEMA3C,ZFPM2,TGFBR2
