TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0030424	axon	4.43364472399413e-05	-10.0237034823823	650	20	0.0900900900900901	222	19868	2596,1826,57698,9211,26047,2043,1272,5101,8492,127933,23284,8633,6857,4915,7345,4133,140767,6092,2059,4897	GAP43,DSCAM,SHTN1,LGI1,CNTNAP2,EPHA4,CNTN1,PCDH9,PRSS12,UHMK1,ADGRL3,UNC5C,SYT1,NTRK2,UCHL1,MAP2,NRSN1,ROBO2,EPS8,NRCAM
GO:0098858	actin-based cell projection	5.61711502899028e-05	-9.78710727290605	229	11	0.0495495495495495	222	19868	2043,6555,2596,57698,7402,23428,2059,51741,8633,4133,10788	EPHA4,SLC10A2,GAP43,SHTN1,UTRN,SLC7A8,EPS8,WWOX,UNC5C,MAP2,IQGAP2
GO:0030426	growth cone	0.000102420986806429	-9.18641891707657	165	9	0.0405405405405405	222	19868	1826,2596,8633,140767,4133,57698,2043,5101,2059	DSCAM,GAP43,UNC5C,NRSN1,MAP2,SHTN1,EPHA4,PCDH9,EPS8
GO:0030427	site of polarized growth	0.000128563918864261	-8.95908435423467	170	9	0.0405405405405405	222	19868	1826,2596,8633,4133,140767,57698,2043,5101,2059	DSCAM,GAP43,UNC5C,MAP2,NRSN1,SHTN1,EPHA4,PCDH9,EPS8
GO:0030175	filopodium	0.000188961610871601	-8.57396668061718	106	7	0.0315315315315315	222	19868	2596,8633,10788,4133,57698,2043,7402	GAP43,UNC5C,IQGAP2,MAP2,SHTN1,EPHA4,UTRN
GO:0150034	distal axon	0.000263638009853495	-8.2409335705357	273	11	0.0495495495495495	222	19868	2059,8633,4915,4133,140767,2043,8492,5101,2596,1826,57698	EPS8,UNC5C,NTRK2,MAP2,NRSN1,EPHA4,PRSS12,PCDH9,GAP43,DSCAM,SHTN1
GO:0071944	cell periphery	0.000356651455483746	-7.93875156826231	6404	96	0.432432432432432	222	19868	10788,23239,10888,84466,129401,6445,8573,144125,23352,116135,23254,5341,130399,26280,2042,80731,4589,51305,3084,64762,10225,57181,5581,10451,4897,9628,1131,8323,265,2263,5101,10512,121227,2201,57709,6262,6444,2834,1826,1003,22979,10085,7006,8492,4915,256987,7345,1946,10666,8935,5175,145581,1833,10446,119774,10142,92,26047,221981,5803,83698,153020,7402,8490,137902,6555,7048,6857,11096,54829,92737,2202,22895,100130733,2596,1272,2043,3973,5796,590,51741,23002,8633,81792,23167,6092,10863,2059,9508,23428,79633,26960,5789,5413,23284,55788	IQGAP2,PHLPP1,GPR83,MEGF10,NUP35,SGCG,CASK,OR2AG1,UBR4,LRRC3B,KAZN,PLEK,ACVR1C,IL1RAPL2,EPHA3,THSD7B,MUC7,KCNK9,NRG1,GAREM1,CD96,SLC39A10,PRKCE,VAV3,NRCAM,RGS6,CHRM3,FZD6,AMELX,FGFR2,PCDH9,SEMA3C,LRIG3,FBN2,SLC7A14,RYR2,SGCD,PRLHR,DSCAM,CDH5,EFR3B,EDIL3,TEC,PRSS12,NTRK2,SERINC5,UCHL1,EFNA5,CD226,SKAP2,PECAM1,LRFN5,EPYC,LRRN2,OR52K2,AKAP9,ACVR2A,CNTNAP2,THSD7A,PTPRZ1,CALN1,RASGEF1B,UTRN,RGS5,PXDNL,SLC10A2,TGFBR2,SYT1,ADAMTS5,ASPN,DNER,EFEMP1,RPH3A,LRRC70,GAP43,CNTN1,EPHA4,LHCGR,PTPRK,BCHE,WWOX,DAAM1,UNC5C,ADAMTS12,EFR3A,ROBO2,ADAM28,EPS8,ADAMTS3,SLC7A8,FAT4,NBEA,PTPRD,SEPTIN5,ADGRL3,LMBRD1
GO:0044307	dendritic branch	0.000370136451405344	-7.90163883272942	3	2	0.00900900900900901	222	19868	4133,10142	MAP2,AKAP9
GO:0043005	neuron projection	0.000451638662961941	-7.70262811606298	1335	29	0.130630630630631	222	19868	2043,10142,1272,26047,5101,1131,2596,1070,9211,4897,22895,9628,4915,6857,7345,92737,140767,4133,127933,23284,8492,1826,2042,57698,6092,339479,2834,2059,8633	EPHA4,AKAP9,CNTN1,CNTNAP2,PCDH9,CHRM3,GAP43,CETN3,LGI1,NRCAM,RPH3A,RGS6,NTRK2,SYT1,UCHL1,DNER,NRSN1,MAP2,UHMK1,ADGRL3,PRSS12,DSCAM,EPHA3,SHTN1,ROBO2,BRINP3,PRLHR,EPS8,UNC5C
GO:0031012	extracellular matrix	0.00059777360935116	-7.42229845537336	561	16	0.0720720720720721	222	19868	10085,10446,1833,116135,5803,2263,8573,265,81792,2201,54829,1946,121227,11096,9508,2202	EDIL3,LRRN2,EPYC,LRRC3B,PTPRZ1,FGFR2,CASK,AMELX,ADAMTS12,FBN2,ASPN,EFNA5,LRIG3,ADAMTS5,ADAMTS3,EFEMP1
GO:0030312	external encapsulating structure	0.000609284708282338	-7.40322489821443	562	16	0.0720720720720721	222	19868	11096,121227,2201,1946,54829,81792,2202,9508,1833,10446,10085,265,8573,2263,5803,116135	ADAMTS5,LRIG3,FBN2,EFNA5,ASPN,ADAMTS12,EFEMP1,ADAMTS3,EPYC,LRRN2,EDIL3,AMELX,CASK,FGFR2,PTPRZ1,LRRC3B
GO:0042995	cell projection	0.000640437233974106	-7.35335943678593	2406	44	0.198198198198198	222	19868	89846,10888,10788,140767,7345,4915,221981,10142,8573,26047,84466,339479,7402,5341,127933,6555,728597,57698,2042,4897,9628,22895,4133,54829,92737,6857,5101,1272,2043,1070,9211,1131,2596,2059,2834,23428,6092,164781,51741,23002,8633,23284,8492,1826	FGD3,GPR83,IQGAP2,NRSN1,UCHL1,NTRK2,THSD7A,AKAP9,CASK,CNTNAP2,MEGF10,BRINP3,UTRN,PLEK,UHMK1,SLC10A2,DCDC2C,SHTN1,EPHA3,NRCAM,RGS6,RPH3A,MAP2,ASPN,DNER,SYT1,PCDH9,CNTN1,EPHA4,CETN3,LGI1,CHRM3,GAP43,EPS8,PRLHR,SLC7A8,ROBO2,DAW1,WWOX,DAAM1,UNC5C,ADGRL3,PRSS12,DSCAM
GO:0044304	main axon	0.000979763581729496	-6.92819925853663	68	5	0.0225225225225225	222	19868	9211,4897,4133,26047,6092	LGI1,NRCAM,MAP2,CNTNAP2,ROBO2
GO:0016010	dystrophin-associated glycoprotein complex	0.00099213776665444	-6.91564858264617	18	3	0.0135135135135135	222	19868	7402,6444,6445	UTRN,SGCD,SGCG
GO:0036477	somatodendritic compartment	0.00130447343455115	-6.64195581806311	844	20	0.0900900900900901	222	19868	23544,339479,22895,4915,8633,92737,7345,4133,140767,10142,2043,26047,127933,8492,1826,1131,2596,2042,57698,9211	SEZ6L,BRINP3,RPH3A,NTRK2,UNC5C,DNER,UCHL1,MAP2,NRSN1,AKAP9,EPHA4,CNTNAP2,UHMK1,PRSS12,DSCAM,CHRM3,GAP43,EPHA3,SHTN1,LGI1
GO:0120025	plasma membrane bounded cell projection	0.00155841605172441	-6.46408532499788	2293	41	0.184684684684685	222	19868	6857,4915,92737,7345,140767,4133,10788,10888,22895,9628,4897,89846,2596,1131,9211,1070,26047,8573,10142,2043,1272,5101,8633,23002,51741,5341,7402,164781,6092,23428,2059,2834,339479,2042,1826,57698,728597,6555,8492,127933,23284	SYT1,NTRK2,DNER,UCHL1,NRSN1,MAP2,IQGAP2,GPR83,RPH3A,RGS6,NRCAM,FGD3,GAP43,CHRM3,LGI1,CETN3,CNTNAP2,CASK,AKAP9,EPHA4,CNTN1,PCDH9,UNC5C,DAAM1,WWOX,PLEK,UTRN,DAW1,ROBO2,SLC7A8,EPS8,PRLHR,BRINP3,EPHA3,DSCAM,SHTN1,DCDC2C,SLC10A2,PRSS12,UHMK1,ADGRL3
GO:0043194	axon initial segment	0.00157763719778866	-6.45182699567388	21	3	0.0135135135135135	222	19868	4897,4133,9211	NRCAM,MAP2,LGI1
GO:0030425	dendrite	0.00172302513569421	-6.36367373321181	621	16	0.0720720720720721	222	19868	10142,2043,26047,127933,8492,1826,2596,1131,2042,9211,339479,22895,4915,8633,92737,4133	AKAP9,EPHA4,CNTNAP2,UHMK1,PRSS12,DSCAM,GAP43,CHRM3,EPHA3,LGI1,BRINP3,RPH3A,NTRK2,UNC5C,DNER,MAP2
GO:0097447	dendritic tree	0.00177991966360132	-6.33118704850491	623	16	0.0720720720720721	222	19868	339479,22895,4915,8633,4133,92737,10142,2043,26047,127933,8492,1826,2042,1131,2596,9211	BRINP3,RPH3A,NTRK2,UNC5C,MAP2,DNER,AKAP9,EPHA4,CNTNAP2,UHMK1,PRSS12,DSCAM,EPHA3,CHRM3,GAP43,LGI1
GO:0016012	sarcoglycan complex	0.00181006663165135	-6.31439162131494	6	2	0.00900900900900901	222	19868	6444,6445	SGCD,SGCG
GO:0048179	activin receptor complex	0.00181006663165135	-6.31439162131494	6	2	0.00900900900900901	222	19868	92,130399	ACVR2A,ACVR1C
GO:0097060	synaptic membrane	0.00188451420239407	-6.27408520885987	400	12	0.0540540540540541	222	19868	8573,7402,26047,1272,10142,2043,22895,4897,145581,1131,6857,5789	CASK,UTRN,CNTNAP2,CNTN1,AKAP9,EPHA4,RPH3A,NRCAM,LRFN5,CHRM3,SYT1,PTPRD
GO:0090665	glycoprotein complex	0.00206648782736006	-6.18190481449194	23	3	0.0135135135135135	222	19868	7402,6445,6444	UTRN,SGCG,SGCD
GO:0016011	dystroglycan complex	0.00251545151740378	-5.98530296176116	7	2	0.00900900900900901	222	19868	6445,6444	SGCG,SGCD
GO:0043025	neuronal cell body	0.0036481976139078	-5.61352203775811	491	13	0.0585585585585586	222	19868	57698,1826,2596,10142,2043,26047,140767,4133,7345,92737,8633,339479,23544	SHTN1,DSCAM,GAP43,AKAP9,EPHA4,CNTNAP2,NRSN1,MAP2,UCHL1,DNER,UNC5C,BRINP3,SEZ6L
GO:0005886	plasma membrane	0.00395234501668636	-5.53344620111399	5920	85	0.382882882882883	222	19868	7402,130399,26280,5341,153020,23254,83698,8490,137902,51305,7048,6555,2042,80731,4589,10888,5175,10666,8935,256987,4915,23239,10788,7345,1946,92,8573,144125,26047,10142,5803,23352,221981,145581,84466,129401,6445,119774,6092,57709,10863,2834,6444,2059,79633,23428,6262,121227,8633,51741,23002,23167,7006,8492,55788,23284,1826,26960,5413,22979,1003,5789,10451,5581,9628,22895,4897,64762,10225,6857,3084,57181,92737,3973,1272,2043,590,5101,10512,5796,2263,2596,1131,100130733,8323	UTRN,ACVR1C,IL1RAPL2,PLEK,RASGEF1B,KAZN,CALN1,RGS5,PXDNL,KCNK9,TGFBR2,SLC10A2,EPHA3,THSD7B,MUC7,GPR83,PECAM1,CD226,SKAP2,SERINC5,NTRK2,PHLPP1,IQGAP2,UCHL1,EFNA5,ACVR2A,CASK,OR2AG1,CNTNAP2,AKAP9,PTPRZ1,UBR4,THSD7A,LRFN5,MEGF10,NUP35,SGCG,OR52K2,ROBO2,SLC7A14,ADAM28,PRLHR,SGCD,EPS8,FAT4,SLC7A8,RYR2,LRIG3,UNC5C,WWOX,DAAM1,EFR3A,TEC,PRSS12,LMBRD1,ADGRL3,DSCAM,NBEA,SEPTIN5,EFR3B,CDH5,PTPRD,VAV3,PRKCE,RGS6,RPH3A,NRCAM,GAREM1,CD96,SYT1,NRG1,SLC39A10,DNER,LHCGR,CNTN1,EPHA4,BCHE,PCDH9,SEMA3C,PTPRK,FGFR2,GAP43,CHRM3,LRRC70,FZD6
GO:0005641	nuclear envelope lumen	0.00639678598472086	-5.05195960464345	11	2	0.00900900900900901	222	19868	590,57110	BCHE,PLAAT1
GO:0044615	nuclear pore nuclear basket	0.0076199298909224	-4.87698810999226	12	2	0.00900900900900901	222	19868	129401,1070	NUP35,CETN3
GO:0045202	synapse	0.00767850227264769	-4.86933076742309	1474	27	0.121621621621622	222	19868	8492,51305,23284,5413,5789,1826,2059,7402,26280,8633,5803,2263,26047,8573,10142,2043,1272,9211,1131,2596,145581,22895,4897,5581,1946,6857,4915	PRSS12,KCNK9,ADGRL3,SEPTIN5,PTPRD,DSCAM,EPS8,UTRN,IL1RAPL2,UNC5C,PTPRZ1,FGFR2,CNTNAP2,CASK,AKAP9,EPHA4,CNTN1,LGI1,CHRM3,GAP43,LRFN5,RPH3A,NRCAM,PRKCE,EFNA5,SYT1,NTRK2
GO:0062023	collagen-containing extracellular matrix	0.00911140045056637	-4.69822885278886	429	11	0.0495495495495495	222	19868	10085,1946,54829,2201,11096,5803,9508,2263,2202,8573,265	EDIL3,EFNA5,ASPN,FBN2,ADAMTS5,PTPRZ1,ADAMTS3,FGFR2,EFEMP1,CASK,AMELX
GO:0044297	cell body	0.0102525953632514	-4.58022439927812	558	13	0.0585585585585586	222	19868	23544,339479,8633,7345,92737,4133,140767,26047,2043,10142,2596,1826,57698	SEZ6L,BRINP3,UNC5C,UCHL1,DNER,MAP2,NRSN1,CNTNAP2,EPHA4,AKAP9,GAP43,DSCAM,SHTN1
GO:0042406	extrinsic component of endoplasmic reticulum membrane	0.0111737467288693	-4.49418829431363	1	1	0.0045045045045045	222	19868	9694	EMC2
GO:0150014	apical distal dendrite	0.0111737467288693	-4.49418829431363	1	1	0.0045045045045045	222	19868	4133	MAP2
GO:0030673	axolemma	0.0118587151723037	-4.43469222413902	15	2	0.00900900900900901	222	19868	26047,6092	CNTNAP2,ROBO2
GO:0045211	postsynaptic membrane	0.0137052699878011	-4.28997484947242	280	8	0.036036036036036	222	19868	145581,1131,7402,1272,10142,2043,22895,4897	LRFN5,CHRM3,UTRN,CNTN1,AKAP9,EPHA4,RPH3A,NRCAM
GO:0009986	cell surface	0.0137112434938747	-4.28953908974885	909	18	0.0810810810810811	222	19868	6092,4897,10666,5175,8633,1946,10788,131368,2043,265,26047,92,2263,5796,7048,145581,1003,8323	ROBO2,NRCAM,CD226,PECAM1,UNC5C,EFNA5,IQGAP2,ZPLD1,EPHA4,AMELX,CNTNAP2,ACVR2A,FGFR2,PTPRK,TGFBR2,LRFN5,CDH5,FZD6
GO:0044306	neuron projection terminus	0.0145463444658325	-4.23041555639224	128	5	0.0225225225225225	222	19868	7345,8492,4915,2043,6857	UCHL1,PRSS12,NTRK2,EPHA4,SYT1
GO:0031527	filopodium membrane	0.0169047024102322	-4.08016344663105	18	2	0.00900900900900901	222	19868	2596,7402	GAP43,UTRN
GO:0098978	glutamatergic synapse	0.0178505204640479	-4.02572261353183	412	10	0.045045045045045	222	19868	145581,6857,9211,5789,26280,10142,2043,2059,23284,4897	LRFN5,SYT1,LGI1,PTPRD,IL1RAPL2,AKAP9,EPHA4,EPS8,ADGRL3,NRCAM
GO:0098984	neuron to neuron synapse	0.021950763515537	-3.81895335575899	365	9	0.0405405405405405	222	19868	4897,2059,2043,10142,5789,4915,6857,2596,145581	NRCAM,EPS8,EPHA4,AKAP9,PTPRD,NTRK2,SYT1,GAP43,LRFN5
GO:0150001	primary dendrite	0.0222231969841604	-3.80661862644511	2	1	0.0045045045045045	222	19868	4133	MAP2
