TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	1.05634409491613e-20	-45.9968878802151	2125	75	0.38860103626943	193	16984	254827,51050,81792,10225,131368,6262,5581,6445,1833,4009,119587,6444,282996,8715,23671,1826,3084,1946,7402,6857,2042,23414,5789,5101,2596,114825,92,2762,11096,10512,267012,8573,2201,64784,2259,83734,1272,23428,5080,23352,114793,9353,4133,84466,51305,92737,130399,10788,83893,26280,11278,80731,25925,26297,221981,26047,7486,2059,10451,590,8633,4857,1519,26960,55137,23239,28998,9508,10085,344148,4915,8935,6092,23254,29091	NAALADL2,PI15,ADAMTS12,CD96,ZPLD1,RYR2,PRKCE,SGCG,EPYC,LMX1A,CPXM2,SGCD,RBM20,NOL4,TMEFF2,DSCAM,NRG1,EFNA5,UTRN,SYT1,EPHA3,ZFPM2,PTPRD,PCDH9,GAP43,PWWP2A,ACVR2A,GMDS,ADAMTS5,SEMA3C,DAOA,CASK,FBN2,CRTC3,FGF14,ATG10,CNTN1,SLC7A8,PAX6,UBR4,FMNL2,SLIT2,MAP2,MEGF10,KCNK9,DNER,ACVR1C,IQGAP2,SPATA16,IL1RAPL2,KLF12,THSD7B,ZNF521,SERGEF,THSD7A,CNTNAP2,WRN,EPS8,VAV3,BCHE,UNC5C,NOVA1,CTSO,NBEA,FIGN,PHLPP1,MRPL13,ADAMTS3,EDIL3,NCKAP5,NTRK2,SKAP2,ROBO2,KAZN,STXBP6
Burkitt_lymphoma	Burkitt_lymphoma	1.05634409491613e-20	-45.9968878802151	2125	75	0.38860103626943	193	16984	55137,26960,28998,9508,23239,344148,10085,29091,8935,4915,6092,23254,26047,221981,10451,7486,2059,8633,590,4857,1519,130399,10788,83893,51305,92737,26280,11278,80731,26297,25925,8573,267012,64784,2259,2201,23428,1272,5080,23352,114793,83734,84466,4133,9353,2596,5101,114825,2762,92,11096,10512,1826,6857,7402,3084,1946,23414,2042,5789,119587,6444,4009,282996,23671,8715,81792,10225,254827,51050,131368,5581,6262,6445,1833	FIGN,NBEA,MRPL13,ADAMTS3,PHLPP1,NCKAP5,EDIL3,STXBP6,SKAP2,NTRK2,ROBO2,KAZN,CNTNAP2,THSD7A,VAV3,WRN,EPS8,UNC5C,BCHE,NOVA1,CTSO,ACVR1C,IQGAP2,SPATA16,KCNK9,DNER,IL1RAPL2,KLF12,THSD7B,SERGEF,ZNF521,CASK,DAOA,CRTC3,FGF14,FBN2,SLC7A8,CNTN1,PAX6,UBR4,FMNL2,ATG10,MEGF10,MAP2,SLIT2,GAP43,PCDH9,PWWP2A,GMDS,ACVR2A,ADAMTS5,SEMA3C,DSCAM,SYT1,UTRN,NRG1,EFNA5,ZFPM2,EPHA3,PTPRD,CPXM2,SGCD,LMX1A,RBM20,TMEFF2,NOL4,ADAMTS12,CD96,NAALADL2,PI15,ZPLD1,PRKCE,RYR2,SGCG,EPYC
central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	3.11153638738642e-13	-28.79848958948	7233	132	0.683937823834197	193	16984	23239,83698,153020,6092,8935,10563,10085,313,10451,221981,1519,51741,175,8633,590,11278,83893,22895,130399,92737,51305,64798,9678,152559,2201,10446,267012,84466,2650,4133,9353,5080,1272,83734,728597,11096,10666,2762,6857,1946,1826,23414,221458,2042,282996,23167,170302,79633,119587,2834,6942,55024,9628,64328,5803,10659,23671,4589,10225,6445,5581,3973,22979,6262,9508,28998,6760,91137,6555,55137,10142,29091,23254,4915,344148,2043,7486,2187,26047,23544,4857,79668,3174,26280,9211,80731,5341,10788,173,26297,25925,2263,26281,2259,64784,1003,89846,8573,10863,135152,55788,23352,114793,80309,5796,114825,89795,2596,8490,5101,10512,92,7402,23002,3084,221037,5789,10888,60468,6444,4009,121227,8715,131368,81792,51050,254827,57181,7227,1833,137902,10526	PHLPP1,CALN1,RASGEF1B,ROBO2,SKAP2,CXCL13,EDIL3,AOAH,VAV3,THSD7A,CTSO,WWOX,AGA,UNC5C,BCHE,KLF12,SPATA16,RPH3A,ACVR1C,DNER,KCNK9,DEPTOR,PHF14,PAQR3,FBN2,LRRN2,DAOA,MEGF10,GCNT1,MAP2,SLIT2,PAX6,CNTN1,ATG10,DCDC2C,ADAMTS5,CD226,GMDS,SYT1,EFNA5,DSCAM,ZFPM2,KIF6,EPHA3,RBM20,EFR3A,ARX,FAT4,CPXM2,PRLHR,TCF20,BANK1,RGS6,XPO4,PTPRZ1,CELF2,TMEFF2,MUC7,CD96,SGCG,PRKCE,LHCGR,EFR3B,RYR2,ADAMTS3,MRPL13,SS18,SLC25A46,SLC10A2,FIGN,AKAP9,STXBP6,KAZN,NTRK2,NCKAP5,EPHA4,WRN,FANCB,CNTNAP2,SEZ6L,NOVA1,PARP8,HNF4G,IL1RAPL2,LGI1,THSD7B,PLEK,IQGAP2,AFM,SERGEF,ZNF521,FGFR2,FGF20,FGF14,CRTC3,CDH5,FGD3,CASK,ADAM28,B3GAT2,LMBRD1,UBR4,FMNL2,SPHKAP,PTPRK,PWWP2A,NAV3,GAP43,RGS5,PCDH9,SEMA3C,ACVR2A,UTRN,DAAM1,NRG1,JMJD1C,PTPRD,GPR83,BACH2,SGCD,LMX1A,LRIG3,NOL4,ZPLD1,ADAMTS12,PI15,NAALADL2,SLC39A10,TRPS1,EPYC,PXDNL,IPO8
diffuse_large_B_cell_lymphoma	diffuse_large_B_cell_lymphoma	6.78473171367046e-13	-28.0189314575125	4162	93	0.481865284974093	193	16984	221981,10451,590,8633,1519,140767,23239,10085,10563,8935,6092,267012,2201,2202,83734,1272,9353,4133,84466,92737,22895,83893,11278,64798,1131,1826,1946,6857,2042,23414,221458,2250,10666,2762,11096,10225,6262,3973,5581,6445,55024,119587,79633,170302,8323,23671,64328,23544,26047,54829,2059,4857,25996,10142,55137,9508,2043,344148,4915,23254,29091,8573,89846,64784,219972,2259,5796,114793,135152,26280,9211,80731,26281,25925,26297,3084,23002,7402,5789,5101,8490,89795,10512,254827,81792,131368,1833,7227,4009,6444,8715,100130480,121227	THSD7A,VAV3,BCHE,UNC5C,CTSO,NRSN1,PHLPP1,EDIL3,CXCL13,SKAP2,ROBO2,DAOA,FBN2,EFEMP1,ATG10,CNTN1,SLIT2,MAP2,MEGF10,DNER,RPH3A,SPATA16,KLF12,DEPTOR,CHRM3,DSCAM,EFNA5,SYT1,EPHA3,ZFPM2,KIF6,FGF5,CD226,GMDS,ADAMTS5,CD96,RYR2,LHCGR,PRKCE,SGCG,BANK1,CPXM2,FAT4,ARX,FZD6,TMEFF2,XPO4,SEZ6L,CNTNAP2,ASPN,EPS8,NOVA1,REXO2,AKAP9,FIGN,ADAMTS3,EPHA4,NCKAP5,NTRK2,KAZN,STXBP6,CASK,FGD3,CRTC3,MPEG1,FGF14,PTPRK,FMNL2,B3GAT2,IL1RAPL2,LGI1,THSD7B,FGF20,ZNF521,SERGEF,NRG1,DAAM1,UTRN,PTPRD,PCDH9,RGS5,NAV3,SEMA3C,NAALADL2,ADAMTS12,ZPLD1,EPYC,TRPS1,LMX1A,SGCD,NOL4,LINC01387,LRIG3
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	9.13136725590524e-13	-27.7218907713213	3616	85	0.440414507772021	193	16984	8633,590,25996,4857,1519,54829,26047,221981,23544,10451,2059,10563,344148,2043,10085,29091,23254,6092,8935,140767,55137,10142,9508,23239,114793,1272,83734,135152,84466,9353,89846,8573,267012,2259,2202,64784,219972,2201,26297,64798,25925,83893,22895,92737,26280,9211,11278,80731,23414,2042,1826,23002,6857,7402,1946,3084,11096,10666,2762,10512,89795,8490,5101,2250,5581,3973,6262,6445,1833,10225,81792,254827,131368,23671,8715,64328,121227,100130480,119587,6444,55024,4009,8323,170302,79633	UNC5C,BCHE,REXO2,NOVA1,CTSO,ASPN,CNTNAP2,THSD7A,SEZ6L,VAV3,EPS8,CXCL13,NCKAP5,EPHA4,EDIL3,STXBP6,KAZN,ROBO2,SKAP2,NRSN1,FIGN,AKAP9,ADAMTS3,PHLPP1,FMNL2,CNTN1,ATG10,B3GAT2,MEGF10,SLIT2,FGD3,CASK,DAOA,FGF14,EFEMP1,CRTC3,MPEG1,FBN2,SERGEF,DEPTOR,ZNF521,SPATA16,RPH3A,DNER,IL1RAPL2,LGI1,KLF12,THSD7B,ZFPM2,EPHA3,DSCAM,DAAM1,SYT1,UTRN,EFNA5,NRG1,ADAMTS5,CD226,GMDS,SEMA3C,NAV3,RGS5,PCDH9,FGF5,PRKCE,LHCGR,RYR2,SGCG,EPYC,CD96,ADAMTS12,NAALADL2,ZPLD1,TMEFF2,NOL4,XPO4,LRIG3,LINC01387,CPXM2,SGCD,BANK1,LMX1A,FZD6,ARX,FAT4
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm	9.83233890077795e-13	-27.6479293680932	7328	132	0.683937823834197	193	16984	8633,590,1519,221981,10451,8492,10563,313,10085,8935,6092,140767,23239,83698,5080,1272,83734,84466,4133,9353,267012,2202,2201,9678,145581,64798,22895,130399,862,83893,92737,51305,11278,221458,7048,23414,2042,1826,1131,6857,1946,10666,2762,11096,728597,2250,3973,5581,22979,6262,11222,6445,10225,23671,4589,5803,64328,119587,55024,6942,23167,8323,282996,79633,79668,4857,25996,26047,23544,2187,7486,2059,344148,2043,79192,29091,85481,4915,56521,23254,55137,26960,10142,6760,28998,9508,91137,23428,80309,114793,135152,55788,8573,57709,10863,100113404,64784,2259,1003,26281,26297,25925,10788,9211,26280,80731,5341,5789,221037,23002,7402,3084,92,10512,8490,2596,89795,5101,27235,10526,1833,137902,81792,57181,51050,254827,131368,8715,121227,100130480,6444,4009	UNC5C,BCHE,CTSO,THSD7A,VAV3,PRSS12,CXCL13,AOAH,EDIL3,SKAP2,ROBO2,NRSN1,PHLPP1,CALN1,PAX6,CNTN1,ATG10,MEGF10,MAP2,SLIT2,DAOA,EFEMP1,FBN2,PHF14,LRFN5,DEPTOR,RPH3A,ACVR1C,RUNX1T1,SPATA16,DNER,KCNK9,KLF12,KIF6,TGFBR2,ZFPM2,EPHA3,DSCAM,CHRM3,SYT1,EFNA5,CD226,GMDS,ADAMTS5,DCDC2C,FGF5,LHCGR,PRKCE,EFR3B,RYR2,MRPL3,SGCG,CD96,TMEFF2,MUC7,PTPRZ1,XPO4,CPXM2,BANK1,TCF20,EFR3A,FZD6,RBM20,FAT4,PARP8,NOVA1,REXO2,CNTNAP2,SEZ6L,FANCB,WRN,EPS8,NCKAP5,EPHA4,IRX1,STXBP6,PSKH2,NTRK2,DNAJC12,KAZN,FIGN,NBEA,AKAP9,SS18,MRPL13,ADAMTS3,SLC25A46,SLC7A8,SPHKAP,FMNL2,B3GAT2,LMBRD1,CASK,SLC7A14,ADAM28,LINC00583,CRTC3,FGF14,CDH5,FGF20,SERGEF,ZNF521,IQGAP2,LGI1,IL1RAPL2,THSD7B,PLEK,PTPRD,JMJD1C,DAAM1,UTRN,NRG1,ACVR2A,SEMA3C,RGS5,GAP43,NAV3,PCDH9,COQ2,IPO8,EPYC,PXDNL,ADAMTS12,SLC39A10,PI15,NAALADL2,ZPLD1,NOL4,LRIG3,LINC01387,SGCD,LMX1A
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	1.58395025685428e-12	-27.1710992265305	3513	83	0.430051813471503	193	16984	2263,25925,145581,26280,80731,92737,173,10788,83893,9353,4133,84466,135152,5796,80309,114793,23352,4897,1003,2201,10742,219972,152559,2202,89846,4915,8935,6092,23254,313,10085,2043,79192,344148,10690,23239,9508,26960,55137,140767,4857,1519,3174,8633,2187,10451,23544,221981,7692,26047,5803,121227,8715,23671,79633,60468,127933,23167,135935,119587,137902,11222,6445,6262,57600,254827,81792,10512,2762,92,11096,5968,5101,5789,2042,23414,221458,3084,1946,6857,7402,1131,1826	FGFR2,ZNF521,LRFN5,IL1RAPL2,THSD7B,DNER,AFM,IQGAP2,SPATA16,SLIT2,MAP2,MEGF10,B3GAT2,PTPRK,SPHKAP,FMNL2,UBR4,NRCAM,CDH5,FBN2,RAI2,MPEG1,PAQR3,EFEMP1,FGD3,NTRK2,SKAP2,ROBO2,KAZN,AOAH,EDIL3,EPHA4,IRX1,NCKAP5,FUT9,PHLPP1,ADAMTS3,NBEA,FIGN,NRSN1,NOVA1,CTSO,HNF4G,UNC5C,FANCB,VAV3,SEZ6L,THSD7A,ZNF133,CNTNAP2,PTPRZ1,LRIG3,NOL4,TMEFF2,FAT4,BACH2,UHMK1,EFR3A,NOBOX,CPXM2,PXDNL,MRPL3,SGCG,RYR2,FNIP2,NAALADL2,ADAMTS12,SEMA3C,GMDS,ACVR2A,ADAMTS5,REG1B,PCDH9,PTPRD,EPHA3,ZFPM2,KIF6,NRG1,EFNA5,SYT1,UTRN,CHRM3,DSCAM
chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	1.58395025685428e-12	-27.1710992265305	3513	83	0.430051813471503	193	16984	26047,7692,221981,23544,10451,2187,8633,3174,1519,4857,140767,55137,26960,9508,23239,10690,344148,79192,313,10085,2043,6092,23254,8935,4915,89846,219972,152559,2202,10742,2201,1003,23352,114793,4897,80309,5796,135152,84466,4133,9353,10788,83893,173,92737,80731,26280,145581,25925,2263,1826,1131,7402,6857,1946,3084,221458,23414,2042,5789,5101,5968,11096,2762,92,10512,81792,254827,57600,6262,6445,11222,137902,119587,127933,135935,23167,60468,79633,23671,8715,121227,5803	CNTNAP2,ZNF133,THSD7A,SEZ6L,VAV3,FANCB,UNC5C,HNF4G,CTSO,NOVA1,NRSN1,FIGN,NBEA,ADAMTS3,PHLPP1,FUT9,NCKAP5,IRX1,AOAH,EDIL3,EPHA4,ROBO2,KAZN,SKAP2,NTRK2,FGD3,MPEG1,PAQR3,EFEMP1,RAI2,FBN2,CDH5,UBR4,FMNL2,NRCAM,SPHKAP,PTPRK,B3GAT2,MEGF10,MAP2,SLIT2,IQGAP2,SPATA16,AFM,DNER,THSD7B,IL1RAPL2,LRFN5,ZNF521,FGFR2,DSCAM,CHRM3,UTRN,SYT1,EFNA5,NRG1,KIF6,ZFPM2,EPHA3,PTPRD,PCDH9,REG1B,ADAMTS5,GMDS,ACVR2A,SEMA3C,ADAMTS12,NAALADL2,FNIP2,RYR2,SGCG,MRPL3,PXDNL,CPXM2,UHMK1,NOBOX,EFR3A,BACH2,FAT4,TMEFF2,NOL4,LRIG3,PTPRZ1
central_nervous_system-brainstem-glioma-astrocytoma_Grade_IV	central_nervous_system-brainstem-glioma-astrocytoma_Grade_IV	1.92510957062574e-12	-26.9760382300031	2542	68	0.352331606217617	193	16984	2259,1003,8573,9353,114793,23352,5796,80731,11278,26280,83893,10788,92737,173,26297,25925,145581,10451,2059,26047,23544,221981,51205,8633,79668,9508,23239,55137,26960,29091,23254,6092,344148,8492,2043,10085,10225,81792,57181,254827,51050,3973,5581,6262,8323,23167,282996,60468,6444,4009,55024,5803,23671,8715,7402,6857,3084,1946,1826,7048,221458,23414,2042,5101,10512,2762,10666,11096	FGF14,CDH5,CASK,SLIT2,FMNL2,UBR4,PTPRK,THSD7B,KLF12,IL1RAPL2,SPATA16,IQGAP2,DNER,AFM,SERGEF,ZNF521,LRFN5,VAV3,EPS8,CNTNAP2,SEZ6L,THSD7A,ACP6,UNC5C,PARP8,ADAMTS3,PHLPP1,FIGN,NBEA,STXBP6,KAZN,ROBO2,NCKAP5,PRSS12,EPHA4,EDIL3,CD96,ADAMTS12,SLC39A10,NAALADL2,PI15,LHCGR,PRKCE,RYR2,FZD6,EFR3A,RBM20,BACH2,SGCD,LMX1A,BANK1,PTPRZ1,TMEFF2,NOL4,UTRN,SYT1,NRG1,EFNA5,DSCAM,TGFBR2,KIF6,ZFPM2,EPHA3,PCDH9,SEMA3C,GMDS,CD226,ADAMTS5
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-mantle_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-mantle_cell_lymphoma	7.76262173423212e-12	-25.5817009864432	2746	70	0.362694300518135	193	16984	4857,590,8633,221981,23544,7692,26047,56521,6092,23254,4915,29091,10085,8492,344148,2173,23239,9508,26960,55137,9353,55788,4133,84466,83734,114793,1272,2201,2259,2202,267012,25925,64798,5341,80731,11278,26280,92737,10788,22895,10888,2042,23414,1946,3084,6857,7402,221037,1826,10512,11096,2762,5101,89795,3642,7227,6445,6262,5581,3973,254827,81792,121227,8715,23671,152573,79633,282996,6942,119587	NOVA1,BCHE,UNC5C,THSD7A,SEZ6L,ZNF133,CNTNAP2,DNAJC12,ROBO2,KAZN,NTRK2,STXBP6,EDIL3,PRSS12,NCKAP5,FABP7,PHLPP1,ADAMTS3,NBEA,FIGN,SLIT2,LMBRD1,MAP2,MEGF10,ATG10,FMNL2,CNTN1,FBN2,FGF14,EFEMP1,DAOA,ZNF521,DEPTOR,PLEK,THSD7B,KLF12,IL1RAPL2,DNER,IQGAP2,RPH3A,GPR83,EPHA3,ZFPM2,EFNA5,NRG1,SYT1,UTRN,JMJD1C,DSCAM,SEMA3C,ADAMTS5,GMDS,PCDH9,NAV3,INSM1,TRPS1,SGCG,RYR2,PRKCE,LHCGR,NAALADL2,ADAMTS12,LRIG3,NOL4,TMEFF2,SHISA3,FAT4,RBM20,TCF20,CPXM2
