TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.60.40.10	Immunoglobulins	7.96550882726923e-05	-9.43780464075232	726	22	0.123595505617978	178	14531	145581,1272,10666,3084,121227,26280,10225,137902,4915,1826,5803,10446,5175,6092,2043,2042,5796,10512,8633,5789,2263,4897	LRFN5,CNTN1,CD226,NRG1,LRIG3,IL1RAPL2,CD96,PXDNL,NTRK2,DSCAM,PTPRZ1,LRRN2,PECAM1,ROBO2,EPHA4,EPHA3,PTPRK,SEMA3C,UNC5C,PTPRD,FGFR2,NRCAM
3.40.1620.60	-	0.000110692852933488	-9.10875128281372	21	4	0.0224719101123595	178	14531	81792,11096,10863,9508	ADAMTS12,ADAMTS5,ADAM28,ADAMTS3
2.20.100.10	Thrombospondin type-1 (TSP1) repeat	0.000118299882486258	-9.04228778033412	63	6	0.0337078651685393	178	14531	81792,11096,80731,9508,221981,8633	ADAMTS12,ADAMTS5,THSD7B,ADAMTS3,THSD7A,UNC5C
3.80.10.10	Ribonuclease Inhibitor	0.000155038214031831	-8.7718389292907	319	13	0.0730337078651685	178	14531	10446,4915,23239,9353,145581,54829,1833,100130733,121227,3973,137902,9211,116135	LRRN2,NTRK2,PHLPP1,SLIT2,LRFN5,ASPN,EPYC,LRRC70,LRIG3,LHCGR,PXDNL,LGI1,LRRC3B
2.10.25.10	Laminin	0.00188927424708197	-6.27156251990895	226	9	0.050561797752809	178	14531	3084,9353,79633,10085,23671,2201,92737,2202,26047	NRG1,SLIT2,FAT4,EDIL3,TMEFF2,FBN2,DNER,EFEMP1,CNTNAP2
2.80.10.50	-	0.00282835992028904	-5.86805826878819	79	5	0.0280898876404494	178	14531	6262,26281,2259,117248,2250	RYR2,FGF20,FGF14,GALNT15,FGF5
2.60.120.830	-	0.00381939452502562	-5.56766337022851	26	3	0.0168539325842697	178	14531	9508,11096,81792	ADAMTS3,ADAMTS5,ADAMTS12
3.90.1720.10	endopeptidase domain like (from Nostoc punctiforme)	0.00398026945154564	-5.52640576058405	8	2	0.0112359550561798	178	14531	57110,151354	PLAAT1,LRATD1
2.60.120.260	Galactose-binding domain-like	0.00678430991037332	-4.99314269899271	97	5	0.0280898876404494	178	14531	2043,26047,10085,2042,119587	EPHA4,CNTNAP2,EDIL3,EPHA3,CPXM2
1.10.510.10	Transferase(Phosphotransferase) domain 1	0.00748586799891012	-4.89473830271573	491	13	0.0730337078651685	178	14531	5581,2263,8573,127933,85481,375449,7006,2042,92,2043,4915,7048,130399	PRKCE,FGFR2,CASK,UHMK1,PSKH2,MAST4,TEC,EPHA3,ACVR2A,EPHA4,NTRK2,TGFBR2,ACVR1C
2.10.60.10	CD59	0.00752864716661866	-4.88903991245856	33	3	0.0168539325842697	178	14531	7048,92,130399	TGFBR2,ACVR2A,ACVR1C
1.10.8.460	ppGaNTase-T1 linker domain-like	0.0122496731129419	-4.40225602700525	1	1	0.00561797752808989	178	14531	117248	GALNT15
2.60.40.1770	ephrin a2 ectodomain	0.0123265718260569	-4.39599803565892	14	2	0.0112359550561798	178	14531	2043,2042	EPHA4,EPHA3
1.10.150.50	Transcription Factor, Ets-1	0.0135657448186081	-4.30020742699871	115	5	0.0280898876404494	178	14531	64762,2042,2043,2059,23254	GAREM1,EPHA3,EPHA4,EPS8,KAZN
1.20.58.2220	Formin, FH2 domain	0.0141094516690277	-4.26091037503286	15	2	0.0112359550561798	178	14531	114793,23002	FMNL2,DAAM1
1.10.418.10	Calponin-like domain	0.0160490161411838	-4.13210773089973	79	4	0.0224719101123595	178	14531	10451,10788,89795,7402	VAV3,IQGAP2,NAV3,UTRN
2.60.120.200	-	0.0165804269074246	-4.09953238126964	121	5	0.0280898876404494	178	14531	26960,79633,5796,26047,9353	NBEA,FAT4,PTPRK,CNTNAP2,SLIT2
3.40.390.10	Collagenase (Catalytic Domain)	0.01890842757763	-3.96814755272369	83	4	0.0224719101123595	178	14531	9508,81792,11096,10863	ADAMTS3,ADAMTS12,ADAMTS5,ADAM28
