TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
55016	MARCHF1 (membrane associated ring-CH-type finger 1)	0.000117427780775021	-9.04968704504551	69	6	0.0269058295964126	223	20077	7048,2263,23284,2042,92,91137	TGFBR2,FGFR2,ADGRL3,EPHA3,ACVR2A,SLC25A46
56547	MMP26 (matrix metallopeptidase 26)	0.000132212483596577	-8.93110020537873	24	4	0.0179372197309417	223	20077	2043,23284,5796,23167	EPHA4,ADGRL3,PTPRK,EFR3A
375519	GJB7 (gap junction protein beta 7)	0.000357879904403759	-7.93531309040306	55	5	0.0224215246636771	223	20077	2596,1946,1272,22979,23167	GAP43,EFNA5,CNTN1,EFR3B,EFR3A
9235	IL32 (interleukin 32)	0.000368371019236819	-7.90641992324422	31	4	0.0179372197309417	223	20077	23414,5581,2263,5789	ZFPM2,PRKCE,FGFR2,PTPRD
89765	RSPH1 (radial spoke head component 1)	0.000631627547435535	-7.36721066121482	130	7	0.031390134529148	223	20077	8573,5080,5789,4897,23544,92737,10085	CASK,PAX6,PTPRD,NRCAM,SEZ6L,DNER,EDIL3
116870	Mta1 (metastasis associated 1)	0.000733976387855066	-7.21703369900198	37	4	0.0179372197309417	223	20077	114825,6942,9678,7227	PWWP2A,TCF20,PHF14,TRPS1
100130958	SYCE1L (synaptonemal complex central element protein 1 like)	0.000813246453252453	-7.11447635382235	38	4	0.0179372197309417	223	20077	8715,80309,83698,23428	NOL4,SPHKAP,CALN1,SLC7A8
6900	CNTN2 (contactin 2)	0.000819434520090396	-7.10689606524194	17	3	0.0134529147982063	223	20077	4897,1272,26047	NRCAM,CNTN1,CNTNAP2
2534	FYN (FYN proto-oncogene, Src family tyrosine kinase)	0.000825289709544735	-7.09977607018839	417	13	0.0582959641255605	223	20077	2042,10142,8935,5803,2043,4915,5789,5581,1272,4133,10666,2263,5175	EPHA3,AKAP9,SKAP2,PTPRZ1,EPHA4,NTRK2,PTPRD,PRKCE,CNTN1,MAP2,CD226,FGFR2,PECAM1
57498	KIDINS220 (kinase D interacting substrate 220)	0.000866359092742244	-7.05121107860195	178	8	0.0358744394618834	223	20077	5413,23239,4915,2042,2263,1003,7402,10666	SEPTIN5,PHLPP1,NTRK2,EPHA3,FGFR2,CDH5,UTRN,CD226
55156	ARMC1 (armadillo repeat containing 1)	0.000892107777895856	-7.02192360544578	67	5	0.0224215246636771	223	20077	2059,6857,1272,4133,91137	EPS8,SYT1,CNTN1,MAP2,SLC25A46
84000	TMPRSS13 (transmembrane serine protease 13)	0.000974074109472576	-6.93402316946208	102	6	0.0269058295964126	223	20077	8935,1070,2650,121227,1946,5796	SKAP2,CETN3,GCNT1,LRIG3,EFNA5,PTPRK
399694	SHC4 (SHC adaptor protein 4)	0.00155108407984332	-6.46880118617109	21	3	0.0134529147982063	223	20077	4915,64762,26960	NTRK2,GAREM1,NBEA
27352	SGSM3 (small G protein signaling modulator 3)	0.00155108407984332	-6.46880118617109	21	3	0.0134529147982063	223	20077	1131,1826,10666	CHRM3,DSCAM,CD226
5576	PRKAR2A (protein kinase cAMP-dependent type II regulatory subunit alpha)	0.00165672844138805	-6.4029104396727	197	8	0.0358744394618834	223	20077	26960,4133,862,9043,64798,6262,91137,10142	NBEA,MAP2,RUNX1T1,SPAG9,DEPTOR,RYR2,SLC25A46,AKAP9
90273	CEACAM21 (CEA cell adhesion molecule 21)	0.00197687631345327	-6.22623729949572	80	5	0.0224215246636771	223	20077	2042,1272,5101,79633,2043	EPHA3,CNTN1,PCDH9,FAT4,EPHA4
4052	LTBP1 (latent transforming growth factor beta binding protein 1)	0.00197687631345327	-6.22623729949572	80	5	0.0224215246636771	223	20077	140767,1003,2201,590,2202	NRSN1,CDH5,FBN2,BCHE,EFEMP1
8573	CASK (calcium/calmodulin dependent serine protein kinase)	0.00206156366543089	-6.18429052323288	204	8	0.0358744394618834	223	20077	7402,2043,80117,10142,22895,8573,2059,26047	UTRN,EPHA4,ARL14,AKAP9,RPH3A,CASK,EPS8,CNTNAP2
57504	MTA3 (metastasis associated 1 family member 3)	0.00234223890442095	-6.0566480102897	163	7	0.031390134529148	223	20077	2263,6942,1826,7227,23414,11278,114825	FGFR2,TCF20,DSCAM,TRPS1,ZFPM2,KLF12,PWWP2A
6259	RYK (receptor like tyrosine kinase)	0.00239562119209021	-6.03411271135737	209	8	0.0358744394618834	223	20077	5101,5789,5796,1272,1003,79633,2263,2043	PCDH9,PTPRD,PTPRK,CNTN1,CDH5,FAT4,FGFR2,EPHA4
8828	NRP2 (neuropilin 2)	0.0024605231643988	-6.0073812831938	51	4	0.0179372197309417	223	20077	140767,339479,7048,10512	NRSN1,BRINP3,TGFBR2,SEMA3C
57633	LRRN1 (leucine rich repeat neuronal 1)	0.0024861889649839	-5.99700427712351	7	2	0.00896860986547085	223	20077	27069,5789	GHITM,PTPRD
10894	LYVE1 (lymphatic vessel endothelial hyaluronan receptor 1)	0.00291087189745932	-5.83930262155614	26	3	0.0134529147982063	223	20077	221981,140767,80731	THSD7A,NRSN1,THSD7B
6091	ROBO1 (roundabout guidance receptor 1)	0.00299965102822159	-5.80925932100632	88	5	0.0224215246636771	223	20077	1826,23239,80117,9353,6092	DSCAM,PHLPP1,ARL14,SLIT2,ROBO2
5291	PIK3CB (phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta)	0.00299965102822159	-5.80925932100632	88	5	0.0224215246636771	223	20077	1131,5581,7048,4915,1003	CHRM3,PRKCE,TGFBR2,NTRK2,CDH5
5577	PRKAR2B (protein kinase cAMP-dependent type II regulatory subunit beta)	0.0030939577731896	-5.77830417489156	128	6	0.0269058295964126	223	20077	4133,26960,23366,91137,10142,6262	MAP2,NBEA,MATCAP2,SLC25A46,AKAP9,RYR2
3362	HTR6 (5-hydroxytryptamine receptor 6)	0.00346383061391053	-5.66538018846411	56	4	0.0179372197309417	223	20077	79668,10526,64328,4857	PARP8,IPO8,XPO4,NOVA1
338567	KCNK18 (potassium two pore domain channel subfamily K member 18)	0.00360839082282425	-5.62449336146619	28	3	0.0134529147982063	223	20077	5789,7048,92	PTPRD,TGFBR2,ACVR2A
100506658	OCLN (occludin)	0.00371779633028345	-5.59462417055841	495	13	0.0582959641255605	223	20077	80117,23167,2202,2043,7048,10788,26960,22979,7402,8573,4915,6092,57181	ARL14,EFR3A,EFEMP1,EPHA4,TGFBR2,IQGAP2,NBEA,EFR3B,UTRN,CASK,NTRK2,ROBO2,SLC39A10
2902	GRIN1 (glutamate ionotropic receptor NMDA type subunit 1)	0.0041684389609738	-5.48021366314422	95	5	0.0224215246636771	223	20077	5581,4915,5796,10142,4133	PRKCE,NTRK2,PTPRK,AKAP9,MAP2
285203	EOGT (EGF domain specific O-linked N-acetylglucosamine transferase)	0.00444320791315238	-5.41637866045537	60	4	0.0179372197309417	223	20077	57709,5796,9211,51050	SLC7A14,PTPRK,LGI1,PI15
5106	PCK2 (phosphoenolpyruvate carboxykinase 2, mitochondrial)	0.00455475132352988	-5.39158434393619	97	5	0.0224215246636771	223	20077	9694,129401,27235,5581,2596	EMC2,NUP35,COQ2,PRKCE,GAP43
2697	GJA1 (gap junction protein alpha 1)	0.00492043803967775	-5.31435771998625	572	14	0.062780269058296	223	20077	6092,57181,5581,121227,8573,5101,2043,26960,8633,22979,7402,51741,2042,23167	ROBO2,SLC39A10,PRKCE,LRIG3,CASK,PCDH9,EPHA4,NBEA,UNC5C,EFR3B,UTRN,WWOX,EPHA3,EFR3A
1068	CETN1 (centrin 1)	0.00499632724567466	-5.29905218732778	62	4	0.0179372197309417	223	20077	7291,83698,7763,1070	TWIST1,CALN1,ZFAND5,CETN3
51280	GOLM1 (golgi membrane protein 1)	0.00513845227657558	-5.27100335836553	142	6	0.0269058295964126	223	20077	117248,221981,57709,140767,6857,10690	GALNT15,THSD7A,SLC7A14,NRSN1,SYT1,FUT9
2264	FGFR4 (fibroblast growth factor receptor 4)	0.00515268468488181	-5.26823740209981	456	12	0.0538116591928251	223	20077	5413,23352,57181,51050,81792,2250,140767,7402,22979,2043,7048,26960	SEPTIN5,UBR4,SLC39A10,PI15,ADAMTS12,FGF5,NRSN1,UTRN,EFR3B,EPHA4,TGFBR2,NBEA
284069	FAM171A2 (family with sequence similarity 171 member A2)	0.00540268333254189	-5.22085953539882	101	5	0.0224215246636771	223	20077	2043,7048,4915,140767,2042	EPHA4,TGFBR2,NTRK2,NRSN1,EPHA3
9308	CD83 (CD83 molecule)	0.00559383136854575	-5.1860908297147	64	4	0.0179372197309417	223	20077	9043,5789,2263,92	SPAG9,PTPRD,FGFR2,ACVR2A
84957	RELT (RELT TNF receptor)	0.00559383136854575	-5.1860908297147	64	4	0.0179372197309417	223	20077	140767,92,5789,7048	NRSN1,ACVR2A,PTPRD,TGFBR2
9394	HS6ST1 (heparan sulfate 6-O-sulfotransferase 1)	0.00577002815028976	-5.15507831974097	33	3	0.0134529147982063	223	20077	10404,140767,3084	CPQ,NRSN1,NRG1
26232	FBXO2 (F-box protein 2)	0.00579005735088995	-5.15161308228395	405	11	0.0493273542600897	223	20077	5796,10085,1272,2263,9353,5101,175,121227,10512,590,2201	PTPRK,EDIL3,CNTN1,FGFR2,SLIT2,PCDH9,AGA,LRIG3,SEMA3C,BCHE,FBN2
6328	SCN3A (sodium voltage-gated channel alpha subunit 3)	0.00632347079828152	-5.06348704462256	11	2	0.00896860986547085	223	20077	1272,7345	CNTN1,UCHL1
776	CACNA1D (calcium voltage-gated channel subunit alpha1 D)	0.00632347079828152	-5.06348704462256	11	2	0.00896860986547085	223	20077	6262,2263	RYR2,FGFR2
140722	Caskin1 (CASK interacting protein 1)	0.00632347079828152	-5.06348704462256	11	2	0.00896860986547085	223	20077	8573,6857	CASK,SYT1
