TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR013098	Ig_I-set	3.51111589952027e-11	-24.0725021158914	132	15	0.0697674418604651	215	18605	3084,2263,26280,6092,137902,5789,1826,8633,1272,121227,10446,4897,5796,10512,4915	NRG1,FGFR2,IL1RAPL2,ROBO2,PXDNL,PTPRD,DSCAM,UNC5C,CNTN1,LRIG3,LRRN2,NRCAM,PTPRK,SEMA3C,NTRK2
IPR003598	Ig_sub2	1.49911520621472e-07	-15.713220579411	242	15	0.0697674418604651	215	18605	145581,4915,10446,4897,137902,5789,1826,10666,8633,1272,121227,3084,2263,5175,6092	LRFN5,NTRK2,LRRN2,NRCAM,PXDNL,PTPRD,DSCAM,CD226,UNC5C,CNTN1,LRIG3,NRG1,FGFR2,PECAM1,ROBO2
IPR003599	Ig_sub	2.07581556154703e-07	-15.3877415327869	399	19	0.0883720930232558	215	18605	10225,6092,3084,26280,5175,2263,10666,8633,1272,121227,5789,137902,1826,10512,5796,4897,10446,4915,145581	CD96,ROBO2,NRG1,IL1RAPL2,PECAM1,FGFR2,CD226,UNC5C,CNTN1,LRIG3,PTPRD,PXDNL,DSCAM,SEMA3C,PTPRK,NRCAM,LRRN2,NTRK2,LRFN5
IPR007110	Ig-like_dom	8.26128242003841e-07	-14.0065158188133	437	19	0.0883720930232558	215	18605	4915,145581,5796,10512,10446,4897,121227,1272,8633,10666,1826,137902,5789,6092,10225,2263,5175,26280,3084	NTRK2,LRFN5,PTPRK,SEMA3C,LRRN2,NRCAM,LRIG3,CNTN1,UNC5C,CD226,DSCAM,PXDNL,PTPRD,ROBO2,CD96,FGFR2,PECAM1,IL1RAPL2,NRG1
IPR013032	EGF-like_CS	1.56600542163457e-06	-13.3669824983106	32	6	0.027906976744186	215	18605	92737,9353,79633,10085,2201,84466	DNER,SLIT2,FAT4,EDIL3,FBN2,MEGF10
IPR036179	Ig-like_dom_sf	4.18057228244844e-06	-12.3850624111222	488	19	0.0883720930232558	215	18605	10512,5796,4897,10446,4915,145581,10225,6092,5175,26280,2263,3084,1272,121227,8633,10666,1826,5789,137902	SEMA3C,PTPRK,NRCAM,LRRN2,NTRK2,LRFN5,CD96,ROBO2,PECAM1,IL1RAPL2,FGFR2,NRG1,CNTN1,LRIG3,UNC5C,CD226,DSCAM,PTPRD,PXDNL
IPR003591	Leu-rich_rpt_typical-subtyp	6.22145696373021e-06	-11.9875064401009	175	11	0.0511627906976744	215	18605	137902,121227,9353,145581,9211,54829,23239,100130733,1833,116135,10446	PXDNL,LRIG3,SLIT2,LRFN5,LGI1,ASPN,PHLPP1,LRRC70,EPYC,LRRC3B,LRRN2
IPR013783	Ig-like_fold	3.73223934115965e-05	-10.195917051898	726	22	0.102325581395349	215	18605	10225,6092,3084,5175,26280,2263,8633,10666,1272,121227,5789,137902,1826,2043,5803,10512,5796,4897,10446,4915,2042,145581	CD96,ROBO2,NRG1,PECAM1,IL1RAPL2,FGFR2,UNC5C,CD226,CNTN1,LRIG3,PTPRD,PXDNL,DSCAM,EPHA4,PTPRZ1,SEMA3C,PTPRK,NRCAM,LRRN2,NTRK2,EPHA3,LRFN5
IPR001611	Leu-rich_rpt	4.33433511799303e-05	-10.0463572418197	255	12	0.0558139534883721	215	18605	1833,4915,100130733,54829,23239,145581,9211,116135,10446,121227,137902,9353	EPYC,NTRK2,LRRC70,ASPN,PHLPP1,LRFN5,LGI1,LRRC3B,LRRN2,LRIG3,PXDNL,SLIT2
IPR000483	Cys-rich_flank_reg_C	4.9247616713508e-05	-9.91864958312099	83	7	0.0325581395348837	215	18605	137902,9211,100130733,4915,121227,10446,9353	PXDNL,LGI1,LRRC70,NTRK2,LRIG3,LRRN2,SLIT2
IPR000742	EGF-like_dom	8.45256319642325e-05	-9.37845573274365	232	11	0.0511627906976744	215	18605	26047,10863,84466,10085,2201,2202,23671,92737,9353,79633,3084	CNTNAP2,ADAM28,MEGF10,EDIL3,FBN2,EFEMP1,TMEFF2,DNER,SLIT2,FAT4,NRG1
IPR036383	TSP1_rpt_sf	8.71592585818018e-05	-9.34777355432833	63	6	0.027906976744186	215	18605	81792,11096,80731,8633,9508,221981	ADAMTS12,ADAMTS5,THSD7B,UNC5C,ADAMTS3,THSD7A
