TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa04810	Regulation of actin cytoskeleton	0.00282115825023055	-5.87060775132526	212	8	0.0963855421686747	83	7246	2250,10451,89846,2263,26281,1131,10788,2259	FGF5,VAV3,FGD3,FGFR2,FGF20,CHRM3,IQGAP2,FGF14
ko04810	Regulation of actin cytoskeleton	0.00282115825023055	-5.87060775132526	212	8	0.0963855421686747	83	7246	2259,1131,10788,10451,26281,89846,2263,2250	FGF14,CHRM3,IQGAP2,VAV3,FGF20,FGD3,FGFR2,FGF5
ko04360	Axon guidance	0.00377043801228638	-5.58056410064067	175	7	0.0843373493975904	83	7246	8633,2042,1946,9353,10512,2043,6092	UNC5C,EPHA3,EFNA5,SLIT2,SEMA3C,EPHA4,ROBO2
hsa04360	Axon guidance	0.00377043801228638	-5.58056410064067	175	7	0.0843373493975904	83	7246	9353,10512,2043,6092,8633,2042,1946	SLIT2,SEMA3C,EPHA4,ROBO2,UNC5C,EPHA3,EFNA5
hsa04550	Signaling pathways regulating pluripotency of stem cells	0.00503471080010074	-5.29139919237568	139	6	0.072289156626506	83	7246	8323,84333,2263,130399,92,5080	FZD6,PCGF5,FGFR2,ACVR1C,ACVR2A,PAX6
ko04550	Signaling pathways regulating pluripotency of stem cells	0.00503471080010074	-5.29139919237568	139	6	0.072289156626506	83	7246	2263,84333,8323,5080,92,130399	FGFR2,PCGF5,FZD6,PAX6,ACVR2A,ACVR1C
ko04514	Cell adhesion molecules (CAMs)	0.00597201772447877	-5.12067043137946	144	6	0.072289156626506	83	7246	26047,1003,5175,1272,10666,4897	CNTNAP2,CDH5,PECAM1,CNTN1,CD226,NRCAM
hsa04514	Cell adhesion molecules (CAMs)	0.00597201772447877	-5.12067043137946	144	6	0.072289156626506	83	7246	1272,5175,1003,26047,4897,10666	CNTN1,PECAM1,CDH5,CNTNAP2,NRCAM,CD226
ko00515	Mannose type O-glycan biosynthesis	0.0280682581329849	-3.57311594493405	23	2	0.0240963855421687	83	7246	10690,135152	FUT9,B3GAT2
hsa00515	Mannose type O-glycan biosynthesis	0.0280682581329849	-3.57311594493405	23	2	0.0240963855421687	83	7246	135152,10690	B3GAT2,FUT9
ko04950	Maturity onset diabetes of the young	0.0352706651061532	-3.34470367735164	26	2	0.0240963855421687	83	7246	5080,3174	PAX6,HNF4G
hsa04950	Maturity onset diabetes of the young	0.0352706651061532	-3.34470367735164	26	2	0.0240963855421687	83	7246	3174,5080	HNF4G,PAX6
M00056	O-glycan biosynthesis, mucin type core	0.0378141986220882	-3.27507062196301	27	2	0.0240963855421687	83	7246	2650,117248	GCNT1,GALNT15
hsa_M00056	O-glycan biosynthesis, mucin type core	0.0378141986220882	-3.27507062196301	27	2	0.0240963855421687	83	7246	2650,117248	GCNT1,GALNT15
ko05218	Melanoma	0.044239151386917	-3.11814510398375	69	3	0.036144578313253	83	7246	2250,26281,2259	FGF5,FGF20,FGF14
