TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0019199	transmembrane receptor protein kinase activity	3.38798125403888e-06	-12.5952763142362	81	8	0.0386473429951691	207	18530	2263,4915,2202,7048,2042,92,130399,2043	FGFR2,NTRK2,EFEMP1,TGFBR2,EPHA3,ACVR2A,ACVR1C,EPHA4
GO:0017002	activin receptor activity	0.000109833365909874	-9.1165461960901	9	3	0.0144927536231884	207	18530	130399,7048,92	ACVR1C,TGFBR2,ACVR2A
GO:0005102	signaling receptor binding	0.000160591086449772	-8.73664925954996	1516	33	0.159420289855072	207	18530	265,10512,5803,2202,444882,6857,84466,55788,7402,2259,55024,92737,9211,5789,1826,2201,7345,54360,2043,10563,10451,1003,1946,10666,10085,2250,9353,8573,11096,26281,7048,3084,10142	AMELX,SEMA3C,PTPRZ1,EFEMP1,IGFL4,SYT1,MEGF10,LMBRD1,UTRN,FGF14,BANK1,DNER,LGI1,PTPRD,DSCAM,FBN2,UCHL1,CYTL1,EPHA4,CXCL13,VAV3,CDH5,EFNA5,CD226,EDIL3,FGF5,SLIT2,CASK,ADAMTS5,FGF20,TGFBR2,NRG1,AKAP9
GO:0004714	transmembrane receptor protein tyrosine kinase activity	0.000639752457846665	-7.3544292410456	62	5	0.0241545893719807	207	18530	2042,2263,4915,2043,2202	EPHA3,FGFR2,NTRK2,EPHA4,EFEMP1
GO:0019198	transmembrane receptor protein phosphatase activity	0.000832328868875911	-7.09128292015245	17	3	0.0144927536231884	207	18530	5796,5803,5789	PTPRK,PTPRZ1,PTPRD
GO:0005001	transmembrane receptor protein tyrosine phosphatase activity	0.000832328868875911	-7.09128292015245	17	3	0.0144927536231884	207	18530	5789,5796,5803	PTPRD,PTPRK,PTPRZ1
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	0.00116670632824128	-6.75357060409734	19	3	0.0144927536231884	207	18530	7048,130399,92	TGFBR2,ACVR1C,ACVR2A
GO:0005004	GPI-linked ephrin receptor activity	0.00180866171043523	-6.31516809368529	6	2	0.00966183574879227	207	18530	2043,2042	EPHA4,EPHA3
GO:1990935	splicing factor binding	0.00180866171043523	-6.31516809368529	6	2	0.00966183574879227	207	18530	127933,282996	UHMK1,RBM20
GO:0098632	cell-cell adhesion mediator activity	0.00269338921969994	-5.91695494544393	52	4	0.0193236714975845	207	18530	4897,1826,1272,29091	NRCAM,DSCAM,CNTN1,STXBP6
