TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF07679	I-set	3.57297603798446e-11	-24.0550371503292	132	15	0.072463768115942	207	17869	137902,10446,8633,1826,4915,10512,6092,5789,4897,5796,1272,3084,2263,121227,26280	PXDNL,LRRN2,UNC5C,DSCAM,NTRK2,SEMA3C,ROBO2,PTPRD,NRCAM,PTPRK,CNTN1,NRG1,FGFR2,LRIG3,IL1RAPL2
PF13855	LRR_8	8.43449466295165e-07	-13.9857658463043	173	12	0.0579710144927536	207	17869	9211,121227,4915,23239,54829,1833,10446,9353,137902,100130733,145581,116135	LGI1,LRIG3,NTRK2,PHLPP1,ASPN,EPYC,LRRN2,SLIT2,PXDNL,LRRC70,LRFN5,LRRC3B
PF12661	hEGF	1.58428686920108e-06	-13.3553761766758	32	6	0.0289855072463768	207	17869	9353,2201,10085,79633,84466,92737	SLIT2,FBN2,EDIL3,FAT4,MEGF10,DNER
PF13927	Ig_3	5.78870595525336e-06	-12.0596017878604	141	10	0.0483091787439614	207	17869	1826,4897,137902,5789,145581,6092,121227,5175,2263,1272	DSCAM,NRCAM,PXDNL,PTPRD,LRFN5,ROBO2,LRIG3,PECAM1,FGFR2,CNTN1
PF19030	TSP1_ADAMTS	1.07251499910332e-05	-11.4429191080701	26	5	0.0241545893719807	207	17869	81792,11096,221981,9508,80731	ADAMTS12,ADAMTS5,THSD7A,ADAMTS3,THSD7B
PF01462	LRRNT	1.30392499361338e-05	-11.2475465233553	27	5	0.0241545893719807	207	17869	116135,54829,4915,9353,1833	LRRC3B,ASPN,NTRK2,SLIT2,EPYC
PF00090	TSP_1	2.93537859354373e-05	-10.4360890273195	52	6	0.0289855072463768	207	17869	80731,9508,221981,8633,11096,81792	THSD7B,ADAMTS3,THSD7A,UNC5C,ADAMTS5,ADAMTS12
PF00041	fn3	2.96995148250729e-05	-10.4243798481452	136	9	0.0434782608695652	207	17869	1272,2042,5789,6092,5803,1826,2043,5796,4897	CNTN1,EPHA3,PTPRD,ROBO2,PTPRZ1,DSCAM,EPHA4,PTPRK,NRCAM
PF21052	EFR3_ARM	0.000133555375644861	-8.92099436729131	2	2	0.00966183574879227	207	17869	23167,22979	EFR3A,EFR3B
PF04790	Sarcoglycan_1	0.000789125786456757	-7.14458482465825	4	2	0.00966183574879227	207	17869	6445,6444	SGCG,SGCD
PF07714	PK_Tyr_Ser-Thr	0.000803222360354909	-7.12687897032702	130	7	0.0338164251207729	207	17869	7006,2043,130399,7048,2042,2263,4915	TEC,EPHA4,ACVR1C,TGFBR2,EPHA3,FGFR2,NTRK2
PF01421	Reprolysin	0.000948503054027059	-6.96062554874509	38	4	0.0193236714975845	207	17869	81792,11096,9508,10863	ADAMTS12,ADAMTS5,ADAMTS3,ADAM28
PF00008	EGF	0.00100140609255408	-6.90635017405051	66	5	0.0241545893719807	207	17869	3084,79633,9353,10085,92737	NRG1,FAT4,SLIT2,EDIL3,DNER
PF17771	ADAMTS_CR_2	0.0012946898863516	-6.64948408250692	19	3	0.0144927536231884	207	17869	81792,11096,9508	ADAMTS12,ADAMTS5,ADAMTS3
PF00610	DEP	0.00174698887936761	-6.34986161340995	21	3	0.0144927536231884	207	17869	5341,9628,64798	PLEK,RGS6,DEPTOR
PF13306	LRR_5	0.00194281845065119	-6.24361555059976	6	2	0.00966183574879227	207	17869	100130733,3973	LRRC70,LHCGR
PF19028	TSP1_spondin	0.00194281845065119	-6.24361555059976	6	2	0.00966183574879227	207	17869	221981,80731	THSD7A,THSD7B
PF00560	LRR_1	0.00195104135020068	-6.23939202320354	46	4	0.0193236714975845	207	17869	116135,121227,9353,1833	LRRC3B,LRIG3,SLIT2,EPYC
PF00167	FGF	0.00200567510945022	-6.21177456195593	22	3	0.0144927536231884	207	17869	26281,2250,2259	FGF20,FGF5,FGF14
PF00754	F5_F8_type_C	0.00200567510945022	-6.21177456195593	22	3	0.0144927536231884	207	17869	26047,119587,10085	CNTNAP2,CPXM2,EDIL3
PF05986	ADAMTS_spacer1	0.00292000950754915	-5.83616840669726	25	3	0.0144927536231884	207	17869	9508,81792,11096	ADAMTS3,ADAMTS12,ADAMTS5
PF19236	ADAMTS_CR_3	0.00292000950754915	-5.83616840669726	25	3	0.0144927536231884	207	17869	9508,11096,81792	ADAMTS3,ADAMTS5,ADAMTS12
PF04970	LRAT	0.0035715552675862	-5.63475412887433	8	2	0.00966183574879227	207	17869	151354,57110	LRATD1,PLAAT1
PF06371	Drf_GBD	0.00455707003239459	-5.39107539872662	9	2	0.00966183574879227	207	17869	114793,23002	FMNL2,DAAM1
PF01064	Activin_recp	0.00455707003239459	-5.39107539872662	9	2	0.00966183574879227	207	17869	92,130399	ACVR2A,ACVR1C
PF06367	Drf_FH3	0.00455707003239459	-5.39107539872662	9	2	0.00966183574879227	207	17869	114793,23002	FMNL2,DAAM1
PF01823	MACPF	0.00685682348023252	-4.98251099401367	11	2	0.00966183574879227	207	17869	219972,339479	MPEG1,BRINP3
PF04389	Peptidase_M28	0.00685682348023252	-4.98251099401367	11	2	0.00966183574879227	207	17869	254827,10404	NAALADL2,CPQ
PF12906	RINGv	0.00685682348023252	-4.98251099401367	11	2	0.00966183574879227	207	17869	115123,441061	MARCHF3,MARCHF11
PF01562	Pep_M12B_propep	0.00703900115866882	-4.95628899974914	34	3	0.0144927536231884	207	17869	9508,10863,81792	ADAMTS3,ADAM28,ADAMTS12
PF07647	SAM_2	0.00891113458649246	-4.72045370705494	37	3	0.0144927536231884	207	17869	2042,2043,23254	EPHA3,EPHA4,KAZN
PF13520	AA_permease_2	0.00957733056757947	-4.64835637221894	13	2	0.00966183574879227	207	17869	57709,23428	SLC7A14,SLC7A8
PF07699	Ephrin_rec_like	0.0110889588656039	-4.50180536249545	14	2	0.00966183574879227	207	17869	2042,2043	EPHA3,EPHA4
PF14575	EphA2_TM	0.0110889588656039	-4.50180536249545	14	2	0.00966183574879227	207	17869	2042,2043	EPHA3,EPHA4
PF01404	Ephrin_lbd	0.0110889588656039	-4.50180536249545	14	2	0.00966183574879227	207	17869	2042,2043	EPHA3,EPHA4
PF06614	Neuromodulin	0.0115843080195587	-4.45810385360608	1	1	0.00483091787439614	207	17869	2596	GAP43
PF20825	Saposin	0.0115843080195587	-4.45810385360608	1	1	0.00483091787439614	207	17869	313	AOAH
PF08144	CPL	0.0115843080195587	-4.45810385360608	1	1	0.00483091787439614	207	17869	9933	PUM3
PF14493	HTH_40	0.0115843080195587	-4.45810385360608	1	1	0.00483091787439614	207	17869	7486	WRN
