TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50835	IG_LIKE	4.79365077488745e-06	-12.2482182708951	435	19	0.117283950617284	162	12232	10512,1826,3084,145581,4897,8633,4915,137902,6092,5796,5789,5175,10666,2263,10225,10446,121227,1272,26280	SEMA3C,DSCAM,NRG1,LRFN5,NRCAM,UNC5C,NTRK2,PXDNL,ROBO2,PTPRK,PTPRD,PECAM1,CD226,FGFR2,CD96,LRRN2,LRIG3,CNTN1,IL1RAPL2
PS50026	EGF_3	5.87471799442299e-05	-9.74226740704137	196	11	0.0679012345679012	162	12232	10085,9353,84466,79633,10863,92737,26047,23671,3084,2202,2201	EDIL3,SLIT2,MEGF10,FAT4,ADAM28,DNER,CNTNAP2,TMEFF2,NRG1,EFEMP1,FBN2
PS01186	EGF_2	0.000123781346602887	-8.99699388271007	213	11	0.0679012345679012	162	12232	10863,2201,2202,2042,79633,84466,3084,23671,9353,10085,92737	ADAM28,FBN2,EFEMP1,EPHA3,FAT4,MEGF10,NRG1,TMEFF2,SLIT2,EDIL3,DNER
PS50092	TSP1	0.000195530003069691	-8.53979672192676	64	6	0.037037037037037	162	12232	81792,80731,11096,9508,8633,221981	ADAMTS12,THSD7B,ADAMTS5,ADAMTS3,UNC5C,THSD7A
PS51450	LRR	0.000278256381790446	-8.1869676326163	196	10	0.0617283950617284	162	12232	1833,9353,100130733,137902,23239,116135,145581,10446,121227,54829	EPYC,SLIT2,LRRC70,PXDNL,PHLPP1,LRRC3B,LRFN5,LRRN2,LRIG3,ASPN
PS50853	FN3	0.00102965519712871	-6.87853129285447	192	9	0.0555555555555556	162	12232	5796,1826,2043,5789,6092,5803,1272,2042,4897	PTPRK,DSCAM,EPHA4,PTPRD,ROBO2,PTPRZ1,CNTN1,EPHA3,NRCAM
PS01286	FA58C_2	0.00112496048274928	-6.79000737038779	16	3	0.0185185185185185	162	12232	119587,10085,26047	CPXM2,EDIL3,CNTNAP2
PS01285	FA58C_1	0.00160767153251682	-6.43296839991436	18	3	0.0185185185185185	162	12232	10085,26047,119587	EDIL3,CNTNAP2,CPXM2
PS01187	EGF_CA	0.00170847220706168	-6.37215575399124	96	6	0.037037037037037	162	12232	2201,79633,2202,10085,9353,92737	FBN2,FAT4,EFEMP1,EDIL3,SLIT2,DNER
PS50215	ADAM_MEPRO	0.00186900699571013	-6.28234800749264	40	4	0.0246913580246914	162	12232	81792,11096,10863,9508	ADAMTS12,ADAMTS5,ADAM28,ADAMTS3
PS00010	ASX_HYDROXYL	0.00210388998045866	-6.16396727613041	100	6	0.037037037037037	162	12232	9353,10085,92737,79633,2201,2202	SLIT2,EDIL3,DNER,FAT4,FBN2,EFEMP1
PS00022	EGF_1	0.00220178651045179	-6.11848619794689	174	8	0.0493827160493827	162	12232	92737,23671,9353,10085,84466,3084,79633,2201	DNER,TMEFF2,SLIT2,EDIL3,MEGF10,NRG1,FAT4,FBN2
PS50022	FA58C_3	0.00220282727105649	-6.1180136204744	20	3	0.0185185185185185	162	12232	10085,26047,119587	EDIL3,CNTNAP2,CPXM2
PS00247	HBGF_FGF	0.00220282727105649	-6.1180136204744	20	3	0.0185185185185185	162	12232	2250,2259,26281	FGF5,FGF14,FGF20
PS50186	DEP	0.0025451618620484	-5.97356103098303	21	3	0.0185185185185185	162	12232	5341,9628,64798	PLEK,RGS6,DEPTOR
PS51231	DAD	0.00463204453206861	-5.37475692475321	8	2	0.0123456790123457	162	12232	114793,23002	FMNL2,DAAM1
PS51934	LRAT	0.00463204453206861	-5.37475692475321	8	2	0.0123456790123457	162	12232	151354,57110	LRATD1,PLAAT1
PS00109	PROTEIN_KINASE_TYR	0.00816376512066849	-4.80804980457721	94	5	0.0308641975308642	162	12232	7006,2263,4915,2043,2042	TEC,FGFR2,NTRK2,EPHA4,EPHA3
PS51292	ZF_RING_CH	0.00886437346870379	-4.72571501666265	11	2	0.0123456790123457	162	12232	115123,441061	MARCHF3,MARCHF11
PS51232	GBD_FH3	0.00886437346870379	-4.72571501666265	11	2	0.0123456790123457	162	12232	114793,23002	FMNL2,DAAM1
