TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00408	IGc2	3.49716161785971e-06	-12.5635588848058	242	15	0.102040816326531	147	9743	121227,1272,10666,5789,8633,137902,2263,3084,10446,4915,6092,4897,145581,5175,1826	LRIG3,CNTN1,CD226,PTPRD,UNC5C,PXDNL,FGFR2,NRG1,LRRN2,NTRK2,ROBO2,NRCAM,LRFN5,PECAM1,DSCAM
SM00409	IG	8.26432564447955e-06	-11.7035624217346	399	19	0.129251700680272	147	9743	10446,3084,1826,145581,5175,10512,4897,4915,5796,10225,6092,137902,5789,8633,1272,121227,10666,2263,26280	LRRN2,NRG1,DSCAM,LRFN5,PECAM1,SEMA3C,NRCAM,NTRK2,PTPRK,CD96,ROBO2,PXDNL,PTPRD,UNC5C,CNTN1,LRIG3,CD226,FGFR2,IL1RAPL2
SM00369	LRR_TYP	6.54680210285906e-05	-9.63394876311658	175	11	0.0748299319727891	147	9743	145581,54829,1833,23239,9211,137902,9353,10446,116135,121227,100130733	LRFN5,ASPN,EPYC,PHLPP1,LGI1,PXDNL,SLIT2,LRRN2,LRRC3B,LRIG3,LRRC70
SM00082	LRRCT	0.000245822100652866	-8.31090245172186	83	7	0.0476190476190476	147	9743	100130733,121227,10446,9353,137902,9211,4915	LRRC70,LRIG3,LRRN2,SLIT2,PXDNL,LGI1,NTRK2
SM00209	TSP1	0.000388616989743368	-7.85291630158712	64	6	0.0408163265306122	147	9743	11096,8633,80731,81792,9508,221981	ADAMTS5,UNC5C,THSD7B,ADAMTS12,ADAMTS3,THSD7A
SM00060	FN3	0.000411881612479923	-7.7947745982569	149	9	0.0612244897959184	147	9743	5789,1272,2042,5803,1826,6092,5796,2043,4897	PTPRD,CNTN1,EPHA3,PTPRZ1,DSCAM,ROBO2,PTPRK,EPHA4,NRCAM
SM00013	LRRNT	0.0012744766706321	-6.66521963903741	54	5	0.0340136054421769	147	9743	4915,116135,1833,54829,9353	NTRK2,LRRC3B,EPYC,ASPN,SLIT2
SM00181	EGF	0.00184894255838564	-6.2931413933736	184	9	0.0612244897959184	147	9743	10085,84466,26047,92737,79633,2201,3084,2202,9353	EDIL3,MEGF10,CNTNAP2,DNER,FAT4,FBN2,NRG1,EFEMP1,SLIT2
SM00231	FA58C	0.0031777842932316	-5.75157108817701	20	3	0.0204081632653061	147	9743	119587,10085,26047	CPXM2,EDIL3,CNTNAP2
SM00049	DEP	0.00366678333555124	-5.60844047657138	21	3	0.0204081632653061	147	9743	5341,64798,9628	PLEK,DEPTOR,RGS6
SM00442	FGF	0.00419925060657712	-5.47284919661825	22	3	0.0204081632653061	147	9743	26281,2259,2250	FGF20,FGF14,FGF5
SM00219	TyrKc	0.00709106767400717	-4.94891936105793	80	5	0.0340136054421769	147	9743	7006,2043,2263,2042,4915	TEC,EPHA4,FGFR2,EPHA3,NTRK2
SM01140	Drf_GBD	0.0075931244192163	-4.88051212284337	9	2	0.0136054421768707	147	9743	23002,114793	DAAM1,FMNL2
SM01139	Drf_FH3	0.0075931244192163	-4.88051212284337	9	2	0.0136054421768707	147	9743	114793,23002	FMNL2,DAAM1
SM00365	LRR_SD22	0.00768467104210976	-4.86852770809841	52	4	0.0272108843537415	147	9743	100130733,121227,10446,9353	LRRC70,LRIG3,LRRN2,SLIT2
SM00179	EGF_CA	0.00990046989891372	-4.61517305843126	121	6	0.0408163265306122	147	9743	92737,79633,10085,9353,2202,2201	DNER,FAT4,EDIL3,SLIT2,EFEMP1,FBN2
SM00457	MACPF	0.01351424906116	-4.30401066415962	12	2	0.0136054421768707	147	9743	219972,339479	MPEG1,BRINP3
SM01188	ELK	0.0150877553116081	-4.19387177063982	1	1	0.00680272108843537	147	9743	10142	AKAP9
SM00033	CH	0.0174098219244384	-4.05072075360367	66	4	0.0272108843537415	147	9743	10451,10788,89795,7402	VAV3,IQGAP2,NAV3,UTRN
SM00194	PTPc	0.0179784226782129	-4.01858298024887	37	3	0.0204081632653061	147	9743	5803,5796,5789	PTPRZ1,PTPRK,PTPRD
SM00615	EPH_lbd	0.0182698717692055	-4.00250192727008	14	2	0.0136054421768707	147	9743	2042,2043	EPHA3,EPHA4
SM00498	FH2	0.0208744166940525	-3.8692309514355	15	2	0.0136054421768707	147	9743	114793,23002	FMNL2,DAAM1
SM00282	LamG	0.0221268279278299	-3.81096447329384	40	3	0.0204081632653061	147	9743	79633,26047,9353	FAT4,CNTNAP2,SLIT2
SM00744	RINGv	0.0265119496257397	-3.63015971835482	17	2	0.0136054421768707	147	9743	441061,115123	MARCHF11,MARCHF3
SM01154	DUF1704	0.0299493956289483	-3.50824613395823	2	1	0.00680272108843537	147	9743	23366	MATCAP2
SM01282	DBB	0.0299493956289483	-3.50824613395823	2	1	0.00680272108843537	147	9743	55024	BANK1
SM00818	Amelogenin	0.0299493956289483	-3.50824613395823	2	1	0.00680272108843537	147	9743	265	AMELX
SM00956	RQC	0.0299493956289483	-3.50824613395823	2	1	0.00680272108843537	147	9743	7486	WRN
SM01313	Sec3-PIP2_bind	0.0299493956289483	-3.50824613395823	2	1	0.00680272108843537	147	9743	29091	STXBP6
SM01073	CDC48_N	0.0445882867945751	-3.1102840823732	3	1	0.00680272108843537	147	9743	166378	AFG2A
SM00341	HRDC	0.0445882867945751	-3.1102840823732	3	1	0.00680272108843537	147	9743	7486	WRN
SM01411	Ephrin_rec_like	0.0540938123174015	-2.91703547458041	25	2	0.0136054421768707	147	9743	2043,2042	EPHA4,EPHA3
SM00103	ALBUMIN	0.0590077448888219	-2.83008657438941	4	1	0.00680272108843537	147	9743	173	AFM
SM00733	Mterf	0.0590077448888219	-2.83008657438941	4	1	0.00680272108843537	147	9743	7978	MTERF1
SM00025	Pumilio	0.0590077448888219	-2.83008657438941	4	1	0.00680272108843537	147	9743	9933	PUM3
SM00608	ACR	0.062075183310785	-2.77940899453894	27	2	0.0136054421768707	147	9743	10863,11096	ADAM28,ADAMTS5
SM00404	PTPc_motif	0.0642826535824176	-2.74446545734669	61	3	0.0204081632653061	147	9743	5789,5803,5796	PTPRD,PTPRZ1,PTPRK
SM00549	TAFH	0.0732110369633121	-2.61440909119344	5	1	0.00680272108843537	147	9743	862	RUNX1T1
SM00474	35EXOc	0.0732110369633121	-2.61440909119344	5	1	0.00680272108843537	147	9743	7486	WRN
SM00548	IRO	0.0872013817538536	-2.43953510239167	6	1	0.00680272108843537	147	9743	79192	IRX1
SM00741	SapB	0.0872013817538536	-2.43953510239167	6	1	0.00680272108843537	147	9743	313	AOAH
SM00315	RGS	0.0974279500512324	-2.3286421479876	35	2	0.0136054421768707	147	9743	8490,9628	RGS5,RGS6
SM00259	ZnF_A20	0.100981950398808	-2.29281348703391	7	1	0.00680272108843537	147	9743	7763	ZFAND5
SM00396	ZnF_UBR1	0.100981950398808	-2.29281348703391	7	1	0.00680272108843537	147	9743	23352	UBR4
SM00467	GS	0.100981950398808	-2.29281348703391	7	1	0.00680272108843537	147	9743	130399	ACVR1C
SM00154	ZnF_AN1	0.114555867127852	-2.16669265246934	8	1	0.00680272108843537	147	9743	7763	ZFAND5
SM00351	PAX	0.114555867127852	-2.16669265246934	8	1	0.00680272108843537	147	9743	5080	PAX6
SM00107	BTK	0.127926209967838	-2.05630166591994	9	1	0.00680272108843537	147	9743	7006	TEC
SM00537	DCX	0.127926209967838	-2.05630166591994	9	1	0.00680272108843537	147	9743	728597	DCDC2C
SM01026	Beach	0.127926209967838	-2.05630166591994	9	1	0.00680272108843537	147	9743	26960	NBEA
SM00274	FOLN	0.127926209967838	-2.05630166591994	9	1	0.00680272108843537	147	9743	9353	SLIT2
SM00218	ZU5	0.127926209967838	-2.05630166591994	9	1	0.00680272108843537	147	9743	8633	UNC5C
