rid	C16_Down_LUT_Down	C16_Down_LUT_NA	C16_NA_LUT_Down	C16_NA_LUT_Up	C16_Up_LUT_NA	C16_Up_LUT_Up	PeakID
	0	0	0	1	1	0	0
AACS	0	0	0	1	0	0	0
ABCA1	0	0	0	1	1	0	0
ABCA9	0	0	0	1	0	0	0
ABCB4	0	0	0	1	0	0	0
ABCB5	0	0	0	1	0	0	0
ABCC11	0	0	0	1	0	0	0
ABCC2	0	0	0	0	1	0	0
ABCG2	0	0	0	1	0	0	0
ABHD10	0	0	0	1	0	0	0
ABHD2	0	0	0	1	0	0	0
ABLIM1	0	0	0	0	1	0	0
ACE2	0	0	0	1	0	0	0
ACER3	0	0	0	1	0	0	0
ACKR3	0	0	0	1	0	0	0
ACO2	0	0	0	1	0	0	0
ACP6	0	0	0	0	0	1	0
ACSS3	0	0	0	0	1	0	0
ACTL7B	0	0	0	1	0	0	0
ACTR3B	0	0	0	1	0	0	0
ACTR3C	0	0	0	0	0	1	0
ACVR1C	0	0	0	0	0	1	0
ACVR2A	0	0	0	1	0	1	0
ADAM12	0	0	0	1	0	0	0
ADAM19	0	0	0	0	1	0	0
ADAM28	0	0	0	0	0	1	0
ADAM29	0	0	0	1	0	0	0
ADAMTS12	0	0	0	0	0	1	0
ADAMTS20	0	0	0	1	1	0	0
ADAMTS3	0	0	0	1	0	1	0
ADAMTS5	0	0	0	0	0	1	0
ADAMTS6	0	0	0	1	0	0	0
ADAMTS9-AS1	0	0	0	0	1	0	0
ADAMTSL1	0	0	0	1	0	0	0
ADARB2-AS1	0	0	1	0	0	0	0
ADCY2	0	0	0	1	0	0	0
ADCY8	0	0	0	1	0	0	0
ADGRL3	0	0	0	1	1	1	0
ADGRL3-AS1	0	0	0	1	0	0	0
ADGRL4	0	0	0	0	1	0	0
ADH7	0	0	0	1	0	0	0
ADRA2B	0	0	0	1	0	0	0
AFF2	0	0	0	1	0	0	0
AFG2A	0	0	0	0	0	1	0
AFM	0	0	0	0	0	1	0
AGA	0	0	0	0	0	1	0
AGBL2	0	0	0	1	0	0	0
AGMO	0	0	0	1	0	0	0
AGPAT3	0	0	0	1	0	0	0
AGR3	0	0	0	1	0	0	0
AGTPBP1	0	0	0	1	0	0	0
AIPL1	0	0	0	1	0	0	0
AK5	0	0	0	1	0	0	0
AKAP12	0	0	0	1	0	0	0
AKAP9	0	0	0	0	0	1	0
AKR1B15	0	0	0	1	0	0	0
ALCAM	0	0	0	1	0	0	0
ALDH1A1	0	0	0	0	1	0	0
ALG10B	0	0	0	1	0	0	0
ALG14	0	0	0	1	0	0	0
ALMS1-IT1	0	0	0	0	1	0	0
ALPK1	0	0	0	1	0	0	0
ALPK2	0	0	0	1	0	0	0
AMELX	0	0	0	0	0	1	0
ANGPT1	0	0	1	1	1	0	0
ANK2	0	0	0	1	0	0	0
ANKFN1	0	0	0	1	1	0	0
ANKRD33B	0	0	0	0	1	0	0
ANKRD44-AS1	0	0	0	1	0	0	0
ANKRD61	0	0	1	0	0	0	0
ANO10	0	0	0	1	0	0	0
ANO6	0	0	0	1	0	0	0
ANP32CP	0	0	0	1	0	0	0
ANXA1	0	0	0	0	1	0	0
ANXA3	0	0	0	0	1	0	0
ANXA5	0	0	0	0	1	0	0
AOAH	0	0	0	0	0	1	0
AOAH-IT1	0	0	0	0	1	0	0
AP2A2	0	0	0	1	0	0	0
APBB2	0	0	0	1	0	0	0
APH1B	0	0	0	1	0	0	0
APOOP5	0	0	0	0	0	1	0
APP	0	0	0	1	0	0	0
ARAP3	0	0	0	1	0	0	0
ARB2A	0	0	0	0	1	0	0
ARHGAP22	0	0	0	1	0	0	0
ARHGAP24	0	0	0	1	0	0	0
ARHGAP26-IT1	0	0	0	0	1	0	0
ARHGAP28-AS1	0	0	0	0	1	0	0
ARHGAP31-AS1	0	0	0	0	0	1	0
ARHGAP6	0	0	0	1	0	0	0
ARHGEF26	0	0	0	0	1	0	0
ARHGEF3-AS1	0	0	0	0	1	0	0
ARHGEF6	0	0	0	1	0	0	0
ARL14	0	0	0	1	0	1	0
ARL4A	0	0	0	1	0	0	0
ARL5B	0	0	0	0	1	0	0
ARRDC3	0	0	0	0	1	0	0
ARSB	0	0	0	1	0	0	0
ARX	0	0	0	0	1	1	0
ASAP1	0	0	0	1	0	0	0
ASAP2	0	0	0	0	1	0	0
ASCC1	0	0	0	1	0	0	0
ASMER1	0	0	0	0	1	0	0
ASPN	0	0	0	0	0	1	0
ASTN2	0	0	0	0	1	0	0
ASXL2	0	0	0	0	1	0	0
ATF7IP	0	0	0	1	0	0	0
ATG10	0	0	0	0	0	1	0
ATOH1	0	0	0	1	0	0	0
ATP1B3	0	0	0	0	1	0	0
ATP5MC3	0	0	0	1	0	0	0
ATP6AP2	0	0	0	1	0	0	0
ATP6V0A4	0	0	0	1	0	0	0
ATP6V1G3	0	0	0	1	1	0	0
ATP8B1	0	0	0	1	0	0	0
ATRN	0	0	0	1	0	0	0
ATXN1	0	0	0	1	1	0	0
AUTS2	0	0	0	1	0	0	0
AVPR1A	0	0	0	1	0	0	0
B3GAT2	0	0	0	0	0	1	0
B3GNT5	0	0	0	0	1	0	0
B3GNTL1	0	0	0	1	0	0	0
BACH2	0	0	0	0	0	1	0
BALR6	0	0	0	0	1	0	0
BANCR	0	0	0	0	1	0	0
BANF2	0	0	0	1	0	0	0
BANK1	0	0	0	1	0	1	0
BBOX1-AS1	0	0	0	0	1	0	0
BBS5	0	0	0	1	0	0	0
BCAR3	0	0	1	1	0	0	0
BCHE	0	0	0	1	1	1	0
BCKDHB	0	0	0	1	0	0	0
BCL10	0	0	0	0	1	0	0
BCL2L13	0	0	1	0	0	0	0
BCL2L14	0	0	0	1	0	0	0
BCYRN1	0	0	0	1	0	0	0
BDNF	0	0	0	0	1	0	0
BEND5	0	0	0	0	1	0	0
BLTP1	0	0	0	1	0	0	0
BMAL1	0	0	0	0	1	0	0
BMP3	0	0	0	1	0	0	0
BMP7-AS1	0	0	0	1	0	0	0
BMPER	0	0	0	1	1	0	0
BMPR1B	0	0	0	1	1	0	0
BNC2-AS1	0	0	0	1	0	0	0
BOC	0	0	0	1	0	0	0
BORCS5	0	0	0	1	0	0	0
BPNT2	0	0	0	1	0	0	0
BRD4	0	0	0	1	0	0	0
BRDTP1	0	0	0	0	0	1	0
BRINP3	0	0	0	1	1	1	0
BRIP1	0	0	0	1	0	0	0
BTBD9-AS1	0	0	0	0	1	0	0
C11orf91	0	0	0	1	0	0	0
C12orf50	0	0	0	1	0	0	0
C12orf75	0	0	0	1	0	0	0
C16orf96	0	0	1	0	0	0	0
C1D	0	0	0	1	0	0	0
C1GALT1	0	0	0	0	1	0	0
C1GALT1C1	0	0	0	1	0	0	0
C1QTNF3	0	0	0	1	0	0	0
C1orf105	0	0	0	0	1	0	0
C1orf220	0	0	0	1	0	0	0
C2CD5	0	0	0	0	1	0	0
C5orf63	0	0	0	0	1	0	0
C5orf67	0	0	0	1	0	0	0
C8orf88	0	0	0	1	1	1	0
C9orf152	0	0	0	1	0	0	0
C9orf72	0	0	0	0	1	0	0
CABLES1	0	0	0	1	0	0	0
CACHD1	0	0	0	1	0	0	0
