PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_NA_LUT_Up)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
NRCAM	chr7	108253501	108254080	+	0	NA	intron (NM_001371144, intron 3 of 31)	intron (NM_001371144, intron 3 of 31)	-10405	NM_001371182	4897		NM_005010	ENSG00000091129	NRCAM	NEDNMS	neuronal cell adhesion molecule	protein-coding
MT1HL1	chr1	236953192	236954013	+	0	NA	Intergenic	Intergenic	50839	NM_001276687	645745		NM_001039954	ENSG00000244020	MT1HL1	MT1P2	metallothionein 1H like 1	protein-coding
KITLG-2	chr12	88448232	88448936	+	0	NA	Intergenic	MamRTE1|LINE|RTE-BovB	131887	NM_000899	4254		NM_000899	ENSG00000049130	KITLG	DCUA|DFNA69|FPH2|FPHH|KL-1|Kitl|MGF|SCF|SF|SHEP7|SLF|WS2F	KIT ligand	protein-coding
MAD2L1-2	chr4	120242748	120243745	+	0	NA	Intergenic	Intergenic	-176398	NM_002358	4085		NM_002358	ENSG00000164109	MAD2L1	HSMAD2|MAD2	mitotic arrest deficient 2 like 1	protein-coding
LINC01148	chr14	86430968	86431411	+	0	NA	Intergenic	Intergenic	-474589	NR_038445	283585		NR_038445	ENSG00000258804	LINC01148	-	long intergenic non-protein coding RNA 1148	ncRNA
LINC01088	chr4	79048781	79049220	+	0	NA	intron (NR_038342, intron 2 of 5)	intron (NR_038342, intron 2 of 5)	77252	NR_038342	100505875		NR_038342	ENSG00000249307	LINC01088	-	long intergenic non-protein coding RNA 1088	ncRNA
LINC01619-2	chr12	92000352	92001363	+	0	NA	intron (NR_132341, intron 1 of 4)	L1MA5A|LINE|L1	140856	NR_046159	256021		NM_001256373	ENSG00000257242	LINC01619	C12orf79	long intergenic non-protein coding RNA 1619	ncRNA
CCDC70	chr13	51885530	51886138	+	0	NA	Intergenic	Intergenic	23865	NM_031290	83446		NM_031290	ENSG00000123171	CCDC70	-	coiled-coil domain containing 70	protein-coding
MAGI2-AS3	chr7	79709555	79710274	+	0	NA	Intergenic	MER58A|DNA|hAT-Charlie	255954	NR_038343	100505881		NR_038343	ENSG00000234456	MAGI2-AS3	-	MAGI2 antisense RNA 3	ncRNA
CPEB2	chr4	15147838	15148050	+	0	NA	intron (NR_125911, intron 2 of 5)	intron (NR_125911, intron 2 of 5)	145463	NM_001177383	132864		NM_182485	ENSG00000137449	CPEB2	CPE-BP2|CPEB-2|hCPEB-2	cytoplasmic polyadenylation element binding protein 2	protein-coding
LINC02240-2	chr5	125370500	125370959	+	0	NA	Intergenic	MamSINE1|SINE|tRNA-RTE	-122532	NR_109887	101927460		NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
LMBRD1	chr6	69338962	69339843	+	0	NA	exon (NM_001704, exon 26 of 32)	exon (NM_001704, exon 26 of 32)	457064	NM_001363722	55788		NM_018368	ENSG00000168216	LMBRD1	C6orf209|LMBD1|MAHCF|NESI	LMBR1 domain containing 1	protein-coding
ENSA	chr1	150609754	150610102	+	0	NA	Intergenic	Intergenic	19205	NM_207047	2029		NM_004436	ENSG00000143420	ENSA	ARPP-19e	endosulfine alpha	protein-coding
SLC35D2	chr9	96350961	96351165	+	0	NA	intron (NR_104627, intron 6 of 12)	intron (NR_104627, intron 6 of 12)	32647	NR_104627	11046		NM_007001	ENSG00000130958	SLC35D2	HFRC1|SQV7L|UGTrel8|hfrc	solute carrier family 35 member D2	protein-coding
GOLGA8EP	chr15	22412131	22412984	+	0	NA	Intergenic	Intergenic	25469	NR_033350	390535		NM_001012423		GOLGA8EP	GOLGA8E	golgin A8 family member E, pseudogene	pseudo
RNF187	chr1	228474563	228475194	+	0	NA	Intergenic	MER21B|LTR|ERVL	-12504	NM_001010858	149603		NM_001010858	ENSG00000168159	RNF187	RACO-1|RACO1	ring finger protein 187	protein-coding
