TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50835	IG_LIKE	4.37232705539121e-06	-12.3402151836338	435	19	0.118012422360248	161	12232	8633,10666,3084,26280,10512,5796,1826,137902,6092,5175,10225,4915,2263,5789,145581,10446,4897,121227,1272	UNC5C,CD226,NRG1,IL1RAPL2,SEMA3C,PTPRK,DSCAM,PXDNL,ROBO2,PECAM1,CD96,NTRK2,FGFR2,PTPRD,LRFN5,LRRN2,NRCAM,LRIG3,CNTN1
PS50026	EGF_3	5.55239219973114e-05	-9.79869660309875	196	11	0.0683229813664596	161	12232	10863,26047,23671,2201,9353,79633,10085,2202,92737,84466,3084	ADAM28,CNTNAP2,TMEFF2,FBN2,SLIT2,FAT4,EDIL3,EFEMP1,DNER,MEGF10,NRG1
PS01186	EGF_2	0.000117136971821558	-9.05216660857107	213	11	0.0683229813664596	161	12232	2201,2042,9353,23671,10863,3084,84466,92737,2202,10085,79633	FBN2,EPHA3,SLIT2,TMEFF2,ADAM28,NRG1,MEGF10,DNER,EFEMP1,EDIL3,FAT4
PS50092	TSP1	0.00018905444426524	-8.57347551949191	64	6	0.0372670807453416	161	12232	11096,81792,8633,80731,221981,9508	ADAMTS5,ADAMTS12,UNC5C,THSD7B,THSD7A,ADAMTS3
PS51450	LRR	0.00026470643106517	-8.23688915335136	196	10	0.062111801242236	161	12232	1833,54829,137902,9353,23239,116135,121227,100130733,145581,10446	EPYC,ASPN,PXDNL,SLIT2,PHLPP1,LRRC3B,LRIG3,LRRC70,LRFN5,LRRN2
PS50853	FN3	0.000985546534045368	-6.92231421376951	192	9	0.0559006211180124	161	12232	1826,6092,2042,1272,5789,5796,5803,2043,4897	DSCAM,ROBO2,EPHA3,CNTN1,PTPRD,PTPRK,PTPRZ1,EPHA4,NRCAM
PS01286	FA58C_2	0.00110501038834183	-6.80790054284228	16	3	0.0186335403726708	161	12232	119587,10085,26047	CPXM2,EDIL3,CNTNAP2
PS01285	FA58C_1	0.00157935323814762	-6.4507398586915	18	3	0.0186335403726708	161	12232	119587,10085,26047	CPXM2,EDIL3,CNTNAP2
PS01187	EGF_CA	0.00165551654381331	-6.40364220778419	96	6	0.0372670807453416	161	12232	92737,2201,9353,79633,10085,2202	DNER,FBN2,SLIT2,FAT4,EDIL3,EFEMP1
PS50215	ADAM_MEPRO	0.00182713751438443	-6.30500473655645	40	4	0.0248447204968944	161	12232	11096,81792,10863,9508	ADAMTS5,ADAMTS12,ADAM28,ADAMTS3
PS00010	ASX_HYDROXYL	0.00203923118655898	-6.19518241149294	100	6	0.0372670807453416	161	12232	2202,10085,79633,9353,2201,92737	EFEMP1,EDIL3,FAT4,SLIT2,FBN2,DNER
PS00022	EGF_1	0.00211819760817089	-6.15718973673536	174	8	0.0496894409937888	161	12232	10085,79633,84466,3084,92737,23671,9353,2201	EDIL3,FAT4,MEGF10,NRG1,DNER,TMEFF2,SLIT2,FBN2
PS50022	FA58C_3	0.00216428831791508	-6.13566369308573	20	3	0.0186335403726708	161	12232	119587,10085,26047	CPXM2,EDIL3,CNTNAP2
PS00247	HBGF_FGF	0.00216428831791508	-6.13566369308573	20	3	0.0186335403726708	161	12232	2259,2250,26281	FGF14,FGF5,FGF20
PS50186	DEP	0.00250078515585781	-5.99115053407211	21	3	0.0186335403726708	161	12232	9628,5341,64798	RGS6,PLEK,DEPTOR
PS51934	LRAT	0.00457636029430055	-5.38685129236153	8	2	0.0124223602484472	161	12232	57110,151354	PLAAT1,LRATD1
PS51231	DAD	0.00457636029430055	-5.38685129236153	8	2	0.0124223602484472	161	12232	23002,114793	DAAM1,FMNL2
PS00109	PROTEIN_KINASE_TYR	0.00795912261182307	-4.83343650984637	94	5	0.031055900621118	161	12232	7006,2043,2263,4915,2042	TEC,EPHA4,FGFR2,NTRK2,EPHA3
PS51232	GBD_FH3	0.00875923310262437	-4.73764692322867	11	2	0.0124223602484472	161	12232	114793,23002	FMNL2,DAAM1
PS51292	ZF_RING_CH	0.00875923310262437	-4.73764692322867	11	2	0.0124223602484472	161	12232	441061,115123	MARCHF11,MARCHF3
PS50025	LAM_G_DOMAIN	0.0107600549119446	-4.53191462092095	35	3	0.0186335403726708	161	12232	9353,79633,26047	SLIT2,FAT4,CNTNAP2
PS50011	PROTEIN_KINASE_DOM	0.0110111372186611	-4.50884804396656	481	13	0.0807453416149068	161	12232	375449,2042,130399,4915,2263,7006,8573,7048,127933,92,85481,2043,5581	MAST4,EPHA3,ACVR1C,NTRK2,FGFR2,TEC,CASK,TGFBR2,UHMK1,ACVR2A,PSKH2,EPHA4,PRKCE
PS50055	TYR_PHOSPHATASE_PTP	0.0125324892170191	-4.37943086922842	37	3	0.0186335403726708	161	12232	5803,5789,5796	PTPRZ1,PTPRD,PTPRK
