PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_Up_LUT_NA)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
LINC00838-2	chr10	34124562	34125212	+	0	NA	intron (NM_019619, intron 23 of 24)	intron (NM_019619, intron 23 of 24)	-352207	NR_038932	100505583		NR_038932	ENSG00000261683	LINC00838	-	long intergenic non-protein coding RNA 838	ncRNA
ICE1	chr5	5351303	5351802	+	0	NA	Intergenic	MER21C|LTR|ERVL	-71125	NM_015325	23379		NM_015325	ENSG00000164151	ICE1	KIAA0947	interactor of little elongation complex ELL subunit 1	protein-coding
LOC100129316	chr9	91001227	91001526	+	0	NA	Intergenic	Intergenic	73756	NR_033912	100129316		NR_033912		LOC100129316	-	uncharacterized LOC100129316	ncRNA
TEX41	chr2	145273933	145274121	+	0	NA	Intergenic	MSTB|LTR|ERVL-MaLR	606060	NR_033870	401014		NR_033870	ENSG00000226674	TEX41	DKFZp686O1327|LINC00953	testis expressed 41	ncRNA
FAM171A1	chr10	15472441	15473499	+	0	NA	Intergenic	Intergenic	-101681	NM_001010924	221061		NM_001010924	ENSG00000148468	FAM171A1	APCN|C10orf38	family with sequence similarity 171 member A1	protein-coding
MTDH	chr8	97568621	97569817	+	0	NA	Intergenic	Intergenic	-74965	NM_001363137	92140		NM_178812	ENSG00000147649	MTDH	3D3|AEG-1|AEG1|LYRIC|LYRIC/3D3	metadherin	protein-coding
LMNTD1	chr12	25469651	25470011	+	0	NA	Intergenic	Intergenic	83452	NM_001145728	160492		NM_152590	ENSG00000152936	LMNTD1	IFLTD1|LMNARS1|PAS1C1	lamin tail domain containing 1	protein-coding
NKAIN3	chr8	62552529	62553069	+	0	NA	intron (NM_001304533, intron 1 of 6)	intron (NM_001304533, intron 1 of 6)	303945	NM_001304533	286183		NM_173688	ENSG00000185942	NKAIN3	FAM77D|NKAIN3-IT1|UG0898H09	sodium/potassium transporting ATPase interacting 3	protein-coding
LOC646736	chr2	225841002	225841809	+	0	NA	Intergenic	MER54A|LTR|ERVL	-301389	NR_046102	646736		NR_046102		LOC646736	-	uncharacterized LOC646736	ncRNA
ST7L	chr1	112571922	112572378	+	0	NA	intron (NM_001308264, intron 10 of 13)	Tigger1|DNA|TcMar-Tigger	46991	NM_138727	54879		NM_017744	ENSG00000007341	ST7L	FAM4B|ST7R|STLR	suppression of tumorigenicity 7 like	protein-coding
PCDH19	chrX	100317099	100317664	+	0	NA	intron (NM_020766, intron 4 of 4)	intron (NM_020766, intron 4 of 4)	92892	NM_001184880	57526		NM_020766	ENSG00000165194	PCDH19	DEE9|EFMR|EIEE9	protocadherin 19	protein-coding
MIR2054-2	chr4	125515113	125515373	+	0	NA	Intergenic	Tigger1|DNA|TcMar-Tigger	7984	NR_031746	100302267		NR_031746	ENSG00000283550	MIR2054	hsa-mir-2054	microRNA 2054	ncRNA
LINC01448	chr7	42662852	42663464	+	0	NA	intron (NR_110833, intron 2 of 2)	L2|LINE|L2	43289	NR_110833	101928795		NR_110833	ENSG00000238284	LINC01448	-	long intergenic non-protein coding RNA 1448	ncRNA
MIR4445	chr3	110016096	110016867	+	0	NA	Intergenic	Intergenic	413653	NR_039647	100616129		NR_039647	ENSG00000265956	MIR4445	-	microRNA 4445	ncRNA
SEMA5A-AS1-2	chr5	9329047	9329612	+	0	NA	intron (NM_003966, intron 4 of 22)	MER58A|DNA|hAT-Charlie	-182004	NR_109935	101929338		NR_109935	ENSG00000251370	SEMA5A-AS1	CTD-2201E9.1	SEMA5A antisense RNA 1	ncRNA
KDM4C-2	chr9	7165043	7165811	+	0	NA	intron (NR_148677, intron 20 of 21)	intron (NR_148677, intron 20 of 21)	407454	NM_001304340	23081		NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
LOC101928254	chr7	125934422	125935130	+	0	NA	Intergenic	Intergenic	-670485	NR_110183	101928254		NR_110182	ENSG00000219445	LOC101928254	-	uncharacterized LOC101928254	ncRNA
LINC02010	chr3	147113475	147113826	+	0	NA	Intergenic	Intergenic	191727	NR_135560	101927866		NR_135560	ENSG00000242671	LINC02010	-	long intergenic non-protein coding RNA 2010	ncRNA
LINC01478	chr18	44087367	44088526	+	0	NA	Intergenic	Intergenic	443751	NR_110792	101927921		NR_110792	ENSG00000267337	LINC01478	-	long intergenic non-protein coding RNA 1478	ncRNA
CCKAR	chr4	26522351	26522753	+	0	NA	Intergenic	Intergenic	-32068	NM_000730	886		NM_000730	ENSG00000163394	CCKAR	CCK-1R|CCK-A|CCK1-R|CCK1R|CCKRA	cholecystokinin A receptor	protein-coding
LINC02875	chr17	61431730	61432288	+	0	NA	Intergenic	Tigger4|DNA|TcMar-Tigger	20258	NR_160788	388407		NM_203425	ENSG00000187013	LINC02875	C17orf82	long intergenic non-protein coding RNA 2875	ncRNA
LINC02458-2	chr12	89080854	89081895	+	0	NA	Intergenic	Intergenic	-61682	NR_038385	728084		NR_038385	ENSG00000246363	LINC02458	-	long intergenic non-protein coding RNA 2458	ncRNA
IGFBP7-AS1	chr4	57078610	57079350	+	0	NA	intron (NM_001553, intron 1 of 4)	intron (NM_001553, intron 1 of 4)	-30782	NR_034081	255130		NR_034081	ENSG00000245067	IGFBP7-AS1	-	IGFBP7 antisense RNA 1	ncRNA
	chr19	12112421	12113432	+	0	NA	exon (NM_001348165, exon 3 of 3)	exon (NM_001348165, exon 3 of 3)	20629	NM_001348165								
EPHA6	chr3	97579442	97579666	+	0	NA	intron (NM_001278300, intron 8 of 12)	intron (NM_001278300, intron 8 of 12)	139947	NM_173655	285220		NM_173655	ENSG00000080224	EPHA6	EHK-2|EHK2|EK12|EPA6|HEK12|PRO57066	EPH receptor A6	protein-coding
BMPER	chr7	34066876	34067321	+	0	NA	intron (NM_133468, intron 12 of 15)	intron (NM_133468, intron 12 of 15)	161559	NM_001365308	168667		NM_133468	ENSG00000164619	BMPER	CRIM3|CV-2|CV2	BMP binding endothelial regulator	protein-coding
GJA1-2	chr6	121884265	121884808	+	0	NA	Intergenic	Intergenic	448890	NM_000165	2697		NM_000165	ENSG00000152661	GJA1	AVSD3|CMDR|CX43|EKVP|EKVP3|GJAL|HLHS1|HSS|ODDD|PPKCA	gap junction protein alpha 1	protein-coding
