TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.60.40.1770	ephrin a2 ectodomain	0.000226052068566506	-8.39474519334093	14	4	0.012012012012012	333	14531	285220,2044,2042,2043	EPHA6,EPHA5,EPHA3,EPHA4
4.10.900.10	TCF3-CBD (Catenin binding domain)	0.000463189391749449	-7.67737453406306	29	5	0.015015015015015	333	14531	1006,1016,1004,1825,1009	CDH8,CDH18,CDH6,DSC3,CDH11
6.10.250.2510	-	0.00154701947239915	-6.47142512026994	3	2	0.00600600600600601	333	14531	29119,1496	CTNNA3,CTNNA2
1.10.510.10	Transferase(Phosphotransferase) domain 1	0.00217536628066306	-6.13055822371745	491	22	0.0660660660660661	333	14531	7048,4593,6197,3791,22858,2042,7444,2044,817,51776,5581,1195,7204,122011,285220,6885,5583,7294,2043,658,140609,54861	TGFBR2,MUSK,RPS6KA3,KDR,CILK1,EPHA3,VRK2,EPHA5,CAMK2D,MAP3K20,PRKCE,CLK1,TRIO,CSNK1A1L,EPHA6,MAP3K7,PRKCH,TXK,EPHA4,BMPR1B,NEK7,SNRK
1.10.220.10	Annexin	0.00287562584910893	-5.85148494177654	13	3	0.00900900900900901	333	14531	306,301,308	ANXA3,ANXA1,ANXA5
6.10.250.230	-	0.00304713481927796	-5.79355353339425	4	2	0.00600600600600601	333	14531	8821,862	INPP4B,RUNX1T1
1.10.150.50	Transcription Factor, Ets-1	0.00495245462745951	-5.30787194097629	115	8	0.024024024024024	333	14531	2043,2042,2044,51776,285220,2113,22866,219285	EPHA4,EPHA3,EPHA5,MAP3K20,EPHA6,ETS1,CNKSR2,SAMD9L
2.60.120.260	Galactose-binding domain-like	0.00688422659230332	-4.97852248538384	97	7	0.021021021021021	333	14531	8728,285220,2044,2042,2043,8829,3912	ADAM19,EPHA6,EPHA5,EPHA3,EPHA4,NRP1,LAMB1
3.10.260.20	Ski	0.00738926666019767	-4.90772678301944	6	2	0.00600600600600601	333	14531	1602,117154	DACH1,DACH2
6.20.200.20	-	0.00753795176661702	-4.88780478285533	18	3	0.00900900900900901	333	14531	375567,168667,4753	VWC2,BMPER,NELL2
3.40.50.80	Nucleotide-binding domain of ferredoxin-NADP reductase (FNR) module	0.00880141589033385	-4.7328426738116	19	3	0.00900900900900901	333	14531	51700,50507,4842	CYB5R2,NOX4,NOS1
1.20.1440.80	Gap junction channel protein cysteine-rich domain	0.0101814118193172	-4.58719159188463	20	3	0.00900900900900901	333	14531	84694,2702,2697	GJA10,GJA5,GJA1
2.40.30.10	Translation factors	0.0140799390838054	-4.26300425469587	41	4	0.012012012012012	333	14531	51700,4842,11222,50507	CYB5R2,NOS1,MRPL3,NOX4
2.20.100.10	Thrombospondin type-1 (TSP1) repeat	0.0145770739335647	-4.2283052629703	63	5	0.015015015015015	333	14531	80070,137970,8633,4856,80731	ADAMTS20,UNC5D,UNC5C,CCN3,THSD7B
2.10.25.10	Laminin	0.0152937072312821	-4.18031382726059	226	11	0.033033033033033	333	14531	3912,255324,23245,7436,53353,64123,5627,168667,4753,3084,9369	LAMB1,EPGN,ASTN2,VLDLR,LRP1B,ADGRL4,PROS1,BMPER,NELL2,NRG1,NRXN3
2.60.40.60	Cadherins	0.0159089414385071	-4.14087397319497	114	7	0.021021021021021	333	14531	1009,5099,1006,1016,1825,1004,57526	CDH11,PCDH7,CDH8,CDH18,DSC3,CDH6,PCDH19
2.60.40.10	Immunoglobulins	0.016338114170238	-4.11425460806888	726	26	0.0780780780780781	333	14531	23022,11148,162282,145581,374462,2044,10512,1272,4593,5362,53942,9723,2043,1293,285220,7204,8633,5067,3084,3454,344807,137970,2042,4897,3791,221935	PALLD,HHLA2,ANKFN1,LRFN5,PTPRQ,EPHA5,SEMA3C,CNTN1,MUSK,PLXNA2,CNTN5,SEMA3E,EPHA4,COL6A3,EPHA6,TRIO,UNC5C,CNTN3,NRG1,IFNAR1,CD200R1L,UNC5D,EPHA3,NRCAM,KDR,SDK1
2.10.50.10	Tumor Necrosis Factor Receptor, subunit A, domain 2	0.0207638510581506	-3.87454173412367	46	4	0.012012012012012	333	14531	2042,2043,2044,285220	EPHA3,EPHA4,EPHA5,EPHA6
4.10.670.10	Cholecystokinin A receptor, N-terminal domain	0.022916523295564	-3.77589708731671	1	1	0.003003003003003	333	14531	886	CCKAR
