PeakID (cmd=annotatePeaks.pl results/tmp hg38 -annStats results/merged.p-3.anno.stats -go results/results/merged.p-3.go)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
C16_Up_LUT_NA-718	chr9	101127141	101127783	+	0	NA	intron (NM_207299, intron 1 of 7)	LTR14B|LTR|ERVK	-57573	NM_017753	54886		NM_017753	ENSG00000148123	PLPPR1	LPPR1|PRG-3|PRG3	phospholipid phosphatase related 1	protein-coding
C16_NA_LUT_Up-1175	chr5	63572056	63572514	+	0	NA	Intergenic	Intergenic	390160	NM_000524	3350		NM_000524	ENSG00000178394	HTR1A	5-HT-1A|5-HT1A|5HT1a|ADRB2RL1|ADRBRL1|G-21|PFMCD	5-hydroxytryptamine receptor 1A	protein-coding
C16_NA_LUT_Up-522	chr18	3715482	3716568	+	0	NA	intron (NM_001242763, intron 4 of 10)	intron (NM_001242763, intron 4 of 10)	112288	NR_119377	84777		NM_032691		DLGAP1-AS2	DLPAP1-AS2	DLGAP1 antisense RNA 2	ncRNA
C16_Up_LUT_NA-354	chr20	53365642	53366334	+	0	NA	intron (NM_173485, intron 2 of 2)	intron (NM_173485, intron 2 of 2)	180705	NM_001193421	128553		NM_173485	ENSG00000182463	TSHZ2	C20orf17|OVC10-2|TSH2|ZABC2|ZNF218	teashirt zinc finger homeobox 2	protein-coding
C16_Up_LUT_Up-243	chr4	151553706	151554558	+	0	NA	intron (NM_001109977, intron 3 of 13)	MIRb|SINE|MIR	144956	NM_001109977	729830		NM_001109977	ENSG00000164142	FHIP1A	FAM160A1|FHIP-L	FHF complex subunit HOOK interacting protein 1A	protein-coding
C16_NA_LUT_Up-154	chr10	9554217	9554681	+	0	NA	Intergenic	MER57B1|LTR|ERV1	-258856	NR_120635	101928272		NR_120635		LOC101928272	-	uncharacterized LOC101928272	ncRNA
C16_NA_LUT_Down-35	chr6	958648	958977	+	0	NA	Intergenic	AmnSINE2|SINE|tRNA-Deu	90314	NR_110853	101927691		NR_110853		LOC101927691	-	uncharacterized LOC101927691	ncRNA
C16_Up_LUT_NA-339	chr2	84160448	84161255	+	0	NA	Intergenic	Intergenic	-129831	NR_003663	388965		NM_001013648		FUNDC2P2	-	FUN14 domain containing 2 pseudogene 2	pseudo
C16_NA_LUT_Up-520	chr18	34480057	34481014	+	0	NA	Intergenic	L1MEf|LINE|L1	-12755	NM_032975	1837		NM_001390	ENSG00000134769	DTNA	D18S892E|DRP3|DTN|DTN-A|LVNC1	dystrobrevin alpha	protein-coding
C16_Up_LUT_Up-131	chr18	6566047	6566867	+	0	NA	intron (NR_120518, intron 2 of 5)	intron (NR_120518, intron 2 of 5)	55041	NR_120518	100130480		NM_001243517	ENSG00000265944	LINC01387	C18orf64	long intergenic non-protein coding RNA 1387	ncRNA
C16_NA_LUT_Up-1163	chr5	52605563	52606270	+	0	NA	Intergenic	Intergenic	-182000	NM_181501	3672		NM_181501	ENSG00000213949	ITGA1	CD49a|VLA1	integrin subunit alpha 1	protein-coding
C16_NA_LUT_Up-1655	chrX	35675310	35675858	+	0	NA	Intergenic	Intergenic	-122758	NM_001099921	139604		NM_001099921	ENSG00000189023	MAGEB16	-	MAGE family member B16	protein-coding
C16_NA_LUT_Up-579	chr2	12428321	12429385	+	0	NA	intron (NR_110196, intron 4 of 5)	intron (NR_110196, intron 4 of 5)	229723	NR_037452	100500884		NR_037452	ENSG00000264089	MIR3681	-	microRNA 3681	ncRNA
C16_NA_LUT_Up-498	chr17	61809872	61810374	+	0	NA	intron (NM_032043, intron 6 of 19)	intron (NM_032043, intron 6 of 19)	53405	NM_032043	83990		NM_032043	ENSG00000136492	BRIP1	BACH1|FANCJ|OF	BRCA1 interacting helicase 1	protein-coding
C16_NA_LUT_Up-139	chr10	48483417	48484097	+	0	NA	intron (NR_144642, intron 3 of 9)	L1MA4A|LINE|L1	9893	NM_001256026	58504		NM_021226	ENSG00000128805	ARHGAP22	RhoGAP2|RhoGap22	Rho GTPase activating protein 22	protein-coding
C16_Up_LUT_NA-150	chr12	81095249	81096083	+	0	NA	intron (NM_001330243, intron 1 of 16)	intron (NM_001330243, intron 1 of 16)	17587	NM_001330242	79611		NM_024560	ENSG00000111058	ACSS3	-	acyl-CoA synthetase short chain family member 3	protein-coding
C16_Up_LUT_Up-14	chr1	189986514	189986929	+	0	NA	Intergenic	L1MA3|LINE|L1	489289	NM_001317188	339479		NM_199051	ENSG00000162670	BRINP3	DBCCR1L|DBCCR1L1|FAM5C	BMP/retinoic acid inducible neural specific 3	protein-coding
C16_Up_LUT_Up-51	chr11	87757510	87758579	+	0	NA	Intergenic	Intergenic	-38633	NR_135090	105369423		NR_135090	ENSG00000255183	LINC02711	-	long intergenic non-protein coding RNA 2711	ncRNA
