chrom	start	end	id	logFC_C16vsDMSO	logCPM_C16vsDMSO	LR_C16vsDMSO	PValue_C16vsDMSO	logFC_LUTvsDMSO	logCPM_LUTvsDMSO	LR_LUTvsDMSO	PValue_LUTvsDMSO	class
chr1	100535831	100536160	chr1:100535831-100536160					3.48168358797435	0.904594462318985	16.6311879603787	4.53983356534323e-05	C16_NA_LUT_Up
chr1	100624992	100625626	chr1:100624992-100625626	3.16321251126002	1.18783371521583	13.5594712106762	0.000231122201200851	3.61898801331709	1.18783371521583	17.9684186526511	2.24600516436424e-05	C16_Up_LUT_Up
chr1	101179221	101179483	chr1:101179221-101179483					4.2092150354379	-0.12435286119711	17.0537400049898	3.63367392870045e-05	C16_NA_LUT_Up
chr1	103026002	103026519	chr1:103026002-103026519					2.78604278475164	1.5272927733897	13.3952963626698	0.000252256080402915	C16_NA_LUT_Up
chr1	10606994	10607694	chr1:10606994-10607694					3.36481763294363	1.67408037453357	18.2349210951073	1.95265660652521e-05	C16_NA_LUT_Up
chr1	106746545	106747084	chr1:106746545-106747084	5.1977145327425	1.23587691626309	26.8741776383626	2.17140791725411e-07	4.88268512352324	1.23587691626309	23.646201008647	1.157742391784e-06	C16_Up_LUT_Up
chr1	107453042	107454391	chr1:107453042-107454391	3.3769839866165	2.62958554418567	19.5085136267395	1.00152314686436e-05	3.28473016190243	2.62958554418567	18.5946867124973	1.61670522542936e-05	C16_Up_LUT_Up
chr1	109573485	109574245	chr1:109573485-109574245					2.553842169505	2.17894813164131	12.5550135166066	0.000395144740214241	C16_NA_LUT_Up
chr1	111388887	111389236	chr1:111388887-111389236	3.84597684186816	0.54174201935965	17.8910690373239	2.33916251144762e-05					C16_Up_LUT_NA
chr1	112571920	112572378	chr1:112571920-112572378	2.77698133703474	0.886798667073337	11.2998623999391	0.000775128352880082					C16_Up_LUT_NA
chr1	113047836	113048084	chr1:113047836-113048084					3.80383868327009	-0.28317165742758	13.5580719693634	0.000231294563659954	C16_NA_LUT_Up
chr1	115288468	115289124	chr1:115288468-115289124	3.20801153299326	2.12772282783277	17.2487772444209	3.27908512982752e-05	2.91347811749123	2.12772282783277	14.4313472671927	0.000145362401210182	C16_Up_LUT_Up
chr1	115685117	115685293	chr1:115685117-115685293					3.86920111225218	-0.434462633842456	14.0955975920362	0.000173749969787871	C16_NA_LUT_Up
chr1	116716463	116717449	chr1:116716463-116717449					2.61036250375134	2.91957461461958	13.6477413214218	0.000220506415466702	C16_NA_LUT_Up
chr1	118275627	118276413	chr1:118275627-118276413					2.56601139746183	2.29100480244277	12.456537123164	0.000416531451692967	C16_NA_LUT_Up
chr1	118849111	118849692	chr1:118849111-118849692					2.80036622431608	0.734853904110741	11.9805690209013	0.000537581660112155	C16_NA_LUT_Up
chr1	118963568	118964083	chr1:118963568-118964083					2.63585985166784	1.63330922127602	12.1666821871276	0.000486507681526799	C16_NA_LUT_Up
chr1	13585441	13586044	chr1:13585441-13586044					2.55551043677515	0.911232640768235	10.8852191334801	0.000969347111607752	C16_NA_LUT_Up
chr1	144493982	144494563	chr1:144493982-144494563					2.89397451348635	1.34042845306679	13.6568064724161	0.000219444403440772	C16_NA_LUT_Up
chr1	14517175	14518095	chr1:14517175-14518095	3.05153308139454	3.78375716990666	18.0663557262711	2.13338037956466e-05	2.47087867894687	3.78375716990666	12.3197939963606	0.000448180160547948	C16_Up_LUT_Up
chr1	146688672	146689125	chr1:146688672-146689125					2.7332815822496	0.60246033467818	11.0555826017421	0.000884205569929705	C16_NA_LUT_Up
chr1	147502481	147502995	chr1:147502481-147502995	2.63066364560604	3.37480032590521	13.3037357547803	0.000264877832236139	3.41625080009511	3.37480032590521	21.4368775114117	3.6567002144894e-06	C16_Up_LUT_Up
chr1	147676453	147676865	chr1:147676453-147676865	8.49544836682219	-0.0829522965687709	25.484266772884	4.46005177242952e-07	7.31168948216853	-0.0829522965687709	15.5281756954002	8.12846231230914e-05	C16_Up_LUT_Up
chr1	147833633	147834426	chr1:147833633-147834426	3.08408320886059	0.83235962260869	14.4071549475127	0.000147241798882244					C16_Up_LUT_NA
chr1	149464212	149465050	chr1:149464212-149465050					2.41119513266925	2.61707223434241	11.4698410354976	0.000707347307760341	C16_NA_LUT_Up
chr1	150609752	150610102	chr1:150609752-150610102					2.52049967679265	1.54362392829251	11.1580484316824	0.000836678919460175	C16_NA_LUT_Up
chr1	151542631	151543161	chr1:151542631-151543161					2.7395721081457	3.17253425250545	14.7937578027413	0.000119931835757036	C16_NA_LUT_Up
chr1	151980222	151981418	chr1:151980222-151981418	2.53424304385572	2.47284674468516	12.4379100760059	0.000420706287737192					C16_Up_LUT_NA
chr1	15392636	15393014	chr1:15392636-15393014					3.28659772183662	1.07530543171247	15.9882536831979	6.3736715510862e-05	C16_NA_LUT_Up
chr1	162470498	162470954	chr1:162470498-162470954	6.77881898880729	0.18043464731651	11.6619785612233	0.000637904611706984	8.94935729571707	0.18043464731651	30.3695360762142	3.57092372510784e-08	C16_Up_LUT_Up
chr1	162578216	162578632	chr1:162578216-162578632					3.15825766261437	0.721000624896254	14.2673036456992	0.000158595992317924	C16_NA_LUT_Up
chr1	163290013	163290524	chr1:163290013-163290524	4.15034935885208	1.33930096607574	20.9491399926471	4.71639511855881e-06	4.19177023887105	1.33930096607574	21.5151960181021	3.51035929569732e-06	C16_Up_LUT_Up
chr1	163709684	163709927	chr1:163709684-163709927					3.77001236142792	-0.169114800590878	13.2839524091286	0.000267687565010521	C16_NA_LUT_Up
chr1	163981644	163982265	chr1:163981644-163982265					3.42025526469563	1.06330991540928	17.7589459274086	2.50735684978274e-05	C16_NA_LUT_Up
chr1	164222400	164224079	chr1:164222400-164224079	3.24424536861822	3.37776327250474	19.3861546224076	1.06778388111851e-05	3.18475875081493	3.37776327250474	18.7866850816886	1.46184134400559e-05	C16_Up_LUT_Up
chr1	165172763	165173644	chr1:165172763-165173644	3.74329905694263	2.4455671607249	22.1764776186381	2.48702228574975e-06	3.73758816777198	2.4455671607249	22.184550422181	2.47658682696515e-06	C16_Up_LUT_Up
chr1	166811838	166812356	chr1:166811838-166812356					2.97518382053117	0.889236353019348	13.516828320198	0.000236433671419879	C16_NA_LUT_Up
chr1	168498244	168498660	chr1:168498244-168498660					3.20398777235435	0.962514654580464	14.6852425781923	0.000127037076462466	C16_NA_LUT_Up
chr1	168918915	168919587	chr1:168918915-168919587					2.71636542463875	1.26638443239734	12.4507688126499	0.000417819802437476	C16_NA_LUT_Up
chr1	17128398	17128792	chr1:17128398-17128792	2.85072001501413	1.2882978327201	13.3938882459804	0.000252445526302586					C16_Up_LUT_NA
chr1	171979862	171980126	chr1:171979862-171980126					3.47777703411038	0.0659477780201146	14.6202279830823	0.000131495512461854	C16_NA_LUT_Up
chr1	172278334	172279011	chr1:172278334-172279011					2.49928698639484	2.6202061114936	12.1554350135155	0.000489450260518844	C16_NA_LUT_Up
chr1	172351524	172352180	chr1:172351524-172352180	2.58024395936948	2.14076847842057	12.4341465682809	0.000421554906956791					C16_Up_LUT_NA
chr1	173187476	173187995	chr1:173187476-173187995					2.79615722317507	2.70677778645007	14.8992040171605	0.000113410828412631	C16_NA_LUT_Up
chr1	173269578	173270148	chr1:173269578-173270148	3.14422540876811	1.2999861629018	15.341897204958	8.97048277909214e-05					C16_Up_LUT_NA
chr1	174812764	174813268	chr1:174812764-174813268	2.65537025422887	1.16684413844318	12.1381511634695	0.000494007257433794					C16_Up_LUT_NA
chr1	176969658	176970230	chr1:176969658-176970230					3.09493809863244	0.644741486463596	13.6969398843263	0.000214804211645337	C16_NA_LUT_Up
chr1	177469154	177470158	chr1:177469154-177470158	2.92646339125117	1.4296216723285	12.5747914858509	0.000390984864306619	3.50516654315289	1.4296216723285	18.1346815285734	2.05818428889128e-05	C16_Up_LUT_Up
chr1	178394554	178394937	chr1:178394554-178394937					3.59576198949223	0.974047857131484	18.4610734955475	1.73410270099429e-05	C16_NA_LUT_Up
chr1	178438468	178438886	chr1:178438468-178438886					2.9726645328506	1.47240849680055	14.9957703969081	0.000107752414535526	C16_NA_LUT_Up
